index,open,high,low,close,volume,Name
2013-02-08,43.18,43.66,42.81,43.61,3517322,EW
2013-02-09,43.29,43.68,42.81,43.58,3114129,EW
2013-02-10,43.4,43.69,42.82,43.55,2710935,EW
2013-02-11,43.51,43.7,42.82,43.52,2307742,EW
2013-02-12,43.52,43.86,43.19,43.71,2037992,EW
2013-02-13,43.73,43.97,43.2,43.53,1559606,EW
2013-02-14,43.48,43.6,43.04,43.18,1389420,EW
2013-02-15,43.31,43.38,42.87,43.18,1377712,EW
2013-02-16,43.3,43.4,42.91,43.22,1470216,EW
2013-02-17,43.29,43.43,42.94,43.26,1562720,EW
2013-02-18,43.28,43.46,42.98,43.31,1655224,EW
2013-02-19,43.28,43.48,43.02,43.35,1747728,EW
2013-02-20,43.27,43.48,43.16,43.2,1478244,EW
2013-02-21,43.02,43.4,42.55,42.84,2068850,EW
2013-02-22,42.9,43.22,42.64,43.18,1369938,EW
2013-02-23,43.02,43.61,42.84,43.21,1723862,EW
2013-02-24,43.15,43.99,43.03,43.23,2077786,EW
2013-02-25,43.27,44.37,43.23,43.25,2431710,EW
2013-02-26,43.34,43.58,42.96,43.4,1682372,EW
2013-02-27,43.29,43.49,42.62,43.22,2026942,EW
2013-02-28,43.26,43.7,42.9,42.96,1915138,EW
2013-03-01,42.88,43.49,42.5,43.05,2275682,EW
2013-03-02,42.9,43.43,42.62,43.13,2010242,EW
2013-03-03,42.93,43.37,42.74,43.22,1744802,EW
2013-03-04,42.96,43.3,42.86,43.3,1479362,EW
2013-03-05,43.34,43.9,43.3,43.81,1188710,EW
2013-03-06,43.87,44.48,43.78,44.45,2143922,EW
2013-03-07,44.28,44.62,44.23,44.46,1519808,EW
2013-03-08,44.64,45.16,44.42,45.15,1756076,EW
2013-03-09,44.67,45.01,44.15,44.78,2329398,EW
2013-03-10,44.7,44.87,43.87,44.41,2902720,EW
2013-03-11,44.73,44.73,43.6,44.04,3476042,EW
2013-03-12,44.23,44.23,43.72,43.98,1476342,EW
2013-03-13,44.04,44.12,43.64,43.68,1234808,EW
2013-03-14,43.94,43.94,42.62,42.69,1976866,EW
2013-03-15,41.98,42.46,41.02,41.1,4159860,EW
2013-03-16,41.62,41.98,40.85,40.93,3183897,EW
2013-03-17,41.27,41.5,40.68,40.77,2207935,EW
2013-03-18,40.92,41.02,40.51,40.6,1231972,EW
2013-03-19,40.57,40.68,39.05,39.33,5129804,EW
2013-03-20,39.5,40.59,39.46,40.47,3692510,EW
2013-03-21,40.37,41.09,40.35,40.96,2244092,EW
2013-03-22,40.85,41.46,40.76,41.1,2604624,EW
2013-03-23,40.96,41.4,40.66,41.02,2358231,EW
2013-03-24,41.07,41.33,40.56,40.93,2111839,EW
2013-03-25,41.18,41.26,40.46,40.85,1865446,EW
2013-03-26,40.96,41.12,40.75,40.99,859678,EW
2013-03-27,40.76,41.2,40.6,40.84,1052714,EW
2013-03-28,40.9,41.4,40.74,41.08,1759610,EW
2013-03-29,40.95,41.44,40.81,41.1,1590230,EW
2013-03-30,41.0,41.48,40.88,41.11,1420850,EW
2013-03-31,41.05,41.53,40.95,41.13,1251470,EW
2013-04-01,41.1,41.57,41.02,41.14,1082090,EW
2013-04-02,41.25,41.74,41.24,41.58,2026792,EW
2013-04-03,41.6,41.88,41.46,41.71,1430380,EW
2013-04-04,41.74,41.9,41.14,41.21,1591784,EW
2013-04-05,40.9,41.15,40.58,40.7,1663876,EW
2013-04-06,40.82,41.06,40.57,40.74,1786891,EW
2013-04-07,40.73,40.97,40.55,40.77,1909905,EW
2013-04-08,40.65,40.88,40.53,40.81,2032920,EW
2013-04-09,40.92,41.94,40.92,41.8,1757186,EW
2013-04-10,41.83,41.98,41.26,41.54,1553276,EW
2013-04-11,41.61,42.3,41.57,41.91,1551996,EW
2013-04-12,41.9,42.42,41.9,42.4,1938888,EW
2013-04-13,42.03,42.47,41.85,42.21,1926157,EW
2013-04-14,42.16,42.52,41.8,42.02,1913425,EW
2013-04-15,42.3,42.58,41.75,41.83,1900694,EW
2013-04-16,41.98,42.5,41.8,42.46,1563428,EW
2013-04-17,42.28,42.43,41.24,41.94,1973000,EW
2013-04-18,41.98,42.21,41.22,41.38,1337894,EW
2013-04-19,41.53,41.86,41.18,41.56,1692502,EW
2013-04-20,41.57,41.86,41.26,41.64,1956045,EW
2013-04-21,41.61,41.85,41.34,41.73,2219589,EW
2013-04-22,41.66,41.85,41.42,41.82,2483132,EW
2013-04-23,42.01,43.06,41.08,41.4,5075244,EW
2013-04-24,33.28,33.3,31.75,32.3,22986474,EW
2013-04-25,32.87,33.06,32.67,32.7,8269150,EW
2013-04-26,32.66,32.93,32.02,32.08,3001326,EW
2013-04-27,32.52,32.74,31.99,32.1,2892742,EW
2013-04-28,32.38,32.56,31.97,32.12,2784158,EW
2013-04-29,32.24,32.37,31.94,32.14,2675574,EW
2013-04-30,32.21,32.33,31.5,31.9,3806872,EW
2013-05-01,31.76,31.98,31.17,31.27,3231716,EW
2013-05-02,31.39,32.34,31.39,32.1,3043082,EW
2013-05-03,32.26,32.26,31.48,31.6,2743760,EW
2013-05-04,32.03,32.2,31.47,31.68,2552271,EW
2013-05-05,31.8,32.14,31.46,31.76,2360781,EW
2013-05-06,31.57,32.08,31.45,31.83,2169292,EW
2013-05-07,31.95,32.02,31.61,32.0,3005488,EW
2013-05-08,32.0,32.75,31.8,32.72,3210490,EW
2013-05-09,32.72,33.73,32.56,33.36,2868680,EW
2013-05-10,33.32,33.98,33.28,33.94,2448602,EW
2013-05-11,33.49,34.03,33.39,33.85,2354202,EW
2013-05-12,33.66,34.08,33.52,33.76,2259802,EW
2013-05-13,33.84,34.12,33.64,33.67,2165402,EW
2013-05-14,34.51,36.0,34.37,35.78,5566024,EW
2013-05-15,35.78,36.2,35.34,35.57,2821280,EW
2013-05-16,35.42,35.42,33.88,34.3,3990718,EW
2013-05-17,34.34,34.62,33.2,33.53,4089538,EW
2013-05-18,34.06,34.24,32.93,33.42,4285309,EW
2013-05-19,33.78,33.87,32.65,33.3,4481081,EW
2013-05-20,33.5,33.5,32.38,33.18,4676852,EW
2013-05-21,33.12,33.16,32.44,33.0,3981270,EW
2013-05-22,32.98,33.48,32.03,32.15,4184658,EW
