index,open,high,low,close,volume,Name
2013-02-08,50.05,50.9,49.88,50.69,1417902,FAST
2013-02-09,50.27,50.93,50.08,50.71,1279520,FAST
2013-02-10,50.48,50.97,50.29,50.72,1141139,FAST
2013-02-11,50.7,51.0,50.49,50.74,1002757,FAST
2013-02-12,50.77,51.41,50.75,51.0,1420902,FAST
2013-02-13,51.35,52.08,51.21,52.0,1324606,FAST
2013-02-14,52.02,52.71,51.83,52.49,1733495,FAST
2013-02-15,52.56,53.35,52.55,52.76,2413439,FAST
2013-02-16,52.65,53.32,52.56,52.86,2179517,FAST
2013-02-17,52.74,53.3,52.57,52.97,1945595,FAST
2013-02-18,52.84,53.28,52.58,53.08,1711673,FAST
2013-02-19,52.93,53.25,52.59,53.18,1477751,FAST
2013-02-20,53.2,53.38,52.16,52.19,1488765,FAST
2013-02-21,52.05,52.15,50.83,50.89,1910722,FAST
2013-02-22,51.23,51.69,51.1,51.47,1205009,FAST
2013-02-23,51.45,51.82,51.03,51.28,1247758,FAST
2013-02-24,51.67,51.96,50.95,51.09,1290507,FAST
2013-02-25,51.89,52.09,50.88,50.9,1333256,FAST
2013-02-26,50.91,51.54,50.64,50.88,1096240,FAST
2013-02-27,50.95,52.63,50.73,52.29,1064727,FAST
2013-02-28,52.27,52.27,51.37,51.63,1346795,FAST
2013-03-01,51.57,52.14,50.84,51.74,1725246,FAST
2013-03-02,51.56,52.03,50.85,51.76,1638757,FAST
2013-03-03,51.54,51.93,50.87,51.78,1552267,FAST
2013-03-04,51.53,51.82,50.88,51.8,1465778,FAST
2013-03-05,51.96,52.35,51.46,51.57,1968612,FAST
2013-03-06,51.56,51.96,51.29,51.34,1784247,FAST
2013-03-07,51.43,51.5,51.07,51.1,1184275,FAST
2013-03-08,51.36,51.67,50.98,51.54,1195025,FAST
2013-03-09,51.37,51.68,51.04,51.47,1096403,FAST
2013-03-10,51.38,51.68,51.09,51.39,997780,FAST
2013-03-11,51.39,51.69,51.15,51.32,899158,FAST
2013-03-12,51.2,51.42,49.73,50.86,1149412,FAST
2013-03-13,50.86,51.25,50.58,51.02,841533,FAST
2013-03-14,51.18,51.18,50.71,50.95,860914,FAST
2013-03-15,50.68,51.22,50.68,50.8,1951114,FAST
2013-03-16,50.62,51.12,50.51,50.69,1609443,FAST
2013-03-17,50.56,51.02,50.33,50.58,1267773,FAST
2013-03-18,50.5,50.92,50.16,50.48,926102,FAST
2013-03-19,50.68,51.17,49.94,50.71,963177,FAST
2013-03-20,51.05,51.54,50.93,51.47,934330,FAST
2013-03-21,51.05,51.42,50.42,50.5,1129482,FAST
2013-03-22,50.51,51.57,50.51,51.51,1047259,FAST
2013-03-23,50.86,51.61,50.43,51.13,1096733,FAST
2013-03-24,51.22,51.66,50.36,50.75,1146206,FAST
2013-03-25,51.57,51.7,50.28,50.37,1195680,FAST
2013-03-26,50.49,50.62,50.06,50.48,883435,FAST
2013-03-27,50.22,50.7,49.8,50.54,919788,FAST
2013-03-28,50.61,51.41,50.46,51.33,1445180,FAST
2013-03-29,50.84,51.44,50.23,50.94,1472370,FAST
2013-03-30,51.08,51.47,50.0,50.56,1499560,FAST
2013-03-31,51.31,51.51,49.77,50.17,1526749,FAST
2013-04-01,51.54,51.54,49.54,49.78,1553939,FAST
2013-04-02,49.95,50.16,49.55,49.76,998176,FAST
2013-04-03,49.72,49.84,48.46,48.52,1724892,FAST
2013-04-04,48.68,49.42,48.46,49.35,927144,FAST
2013-04-05,48.59,49.25,48.33,49.19,909250,FAST
2013-04-06,48.86,49.6,48.6,49.56,1089781,FAST
2013-04-07,49.13,49.94,48.86,49.92,1270311,FAST
2013-04-08,49.4,50.29,49.13,50.29,1450842,FAST
2013-04-09,50.11,51.07,49.76,50.88,2003032,FAST
2013-04-10,48.92,50.32,48.1,49.12,4891733,FAST
2013-04-11,49.23,49.81,48.78,48.8,2414530,FAST
2013-04-12,48.91,49.61,48.22,49.49,3108006,FAST
2013-04-13,49.06,49.53,48.12,49.02,2782237,FAST
2013-04-14,49.2,49.46,48.03,48.54,2456469,FAST
2013-04-15,49.35,49.38,47.93,48.07,2130700,FAST
2013-04-16,48.54,49.51,48.5,49.25,2236066,FAST
2013-04-17,49.01,49.01,47.68,47.92,1907847,FAST
2013-04-18,47.89,48.25,47.08,47.26,2056382,FAST
2013-04-19,47.05,48.44,47.01,48.14,1666285,FAST
2013-04-20,47.46,48.54,47.24,48.3,1447719,FAST
2013-04-21,47.88,48.64,47.47,48.45,1229153,FAST
2013-04-22,48.29,48.74,47.7,48.61,1010587,FAST
2013-04-23,48.75,49.25,48.45,49.15,1137425,FAST
2013-04-24,49.43,49.93,49.16,49.49,962253,FAST
2013-04-25,49.6,49.88,49.23,49.34,1393535,FAST
2013-04-26,49.46,49.78,49.12,49.47,1204616,FAST
2013-04-27,49.46,49.92,49.11,49.62,1177204,FAST
2013-04-28,49.46,50.07,49.1,49.77,1149791,FAST
2013-04-29,49.46,50.21,49.09,49.92,1122379,FAST
2013-04-30,49.62,50.0,48.42,49.05,2315466,FAST
2013-05-01,48.94,49.17,47.72,47.91,1913036,FAST
2013-05-02,47.95,48.24,47.72,47.95,1865476,FAST
2013-05-03,48.49,48.5,47.8,47.86,1906887,FAST
2013-05-04,48.31,48.4,47.78,47.86,1669847,FAST
2013-05-05,48.14,48.3,47.76,47.86,1432808,FAST
2013-05-06,47.96,48.2,47.74,47.86,1195768,FAST
2013-05-07,48.09,48.98,48.04,48.64,1400755,FAST
2013-05-08,48.5,48.82,48.04,48.44,1336238,FAST
2013-05-09,48.21,49.02,48.16,48.72,1175211,FAST
2013-05-10,48.87,50.94,48.71,50.78,2303295,FAST
2013-05-11,49.43,51.18,49.32,50.83,2212396,FAST
2013-05-12,49.99,51.42,49.94,50.89,2121498,FAST
2013-05-13,50.55,51.66,50.55,50.94,2030599,FAST
2013-05-14,50.98,52.12,50.83,51.87,1949548,FAST
2013-05-15,51.67,52.09,51.54,52.0,1464785,FAST
2013-05-16,51.69,51.93,50.7,50.85,1289859,FAST
2013-05-17,51.02,51.33,50.61,51.11,1841122,FAST
2013-05-18,51.04,51.27,50.61,51.01,1631819,FAST
2013-05-19,51.07,51.2,50.61,50.9,1422517,FAST
2013-05-20,51.09,51.14,50.61,50.8,1213214,FAST
2013-05-21,50.89,51.88,50.76,51.74,1493928,FAST
2013-05-22,51.49,52.27,50.78,51.1,1867035,FAST
2013-05-23,51.0,52.34,50.56,51.87,1978438,FAST
2013-05-24,51.13,52.15,50.69,51.91,1580251,FAST
2013-05-25,51.47,52.25,50.93,51.96,1506874,FAST
2013-05-26,51.82,52.36,51.17,52.0,1433497,FAST
2013-05-27,52.16,52.46,51.41,52.05,1360120,FAST
2013-05-28,52.5,52.56,51.66,52.1,1286743,FAST
2013-05-29,51.85,52.13,51.22,51.91,904120,FAST
2013-05-30,52.11,52.19,51.63,51.7,967439,FAST
2013-05-31,51.49,53.12,51.41,52.18,1871797,FAST
2013-06-01,51.81,52.91,51.31,52.11,1811798,FAST
2013-06-02,52.14,52.69,51.21,52.05,1751798,FAST
2013-06-03,52.46,52.48,51.11,51.98,1691799,FAST
2013-06-04,51.91,52.09,50.63,50.92,1537799,FAST
2013-06-05,50.32,50.41,47.6,47.7,3984166,FAST
2013-06-06,47.7,48.28,47.05,47.63,2733777,FAST
2013-06-07,48.21,48.68,48.0,48.41,1587318,FAST
2013-06-08,48.26,48.76,47.98,48.45,1585708,FAST
2013-06-09,48.31,48.83,47.95,48.48,1584099,FAST
2013-06-10,48.36,48.91,47.93,48.52,1582489,FAST
2013-06-11,47.84,48.85,47.71,48.48,1412080,FAST
2013-06-12,48.84,48.93,47.7,47.71,1101954,FAST
2013-06-13,47.78,48.71,47.6,48.56,846045,FAST
2013-06-14,48.45,48.89,47.6,47.69,1165696,FAST
2013-06-15,48.27,48.68,47.41,47.53,1383960,FAST
2013-06-16,48.08,48.48,47.21,47.36,1602223,FAST
2013-06-17,47.9,48.27,47.02,47.2,1820487,FAST
2013-06-18,47.27,47.39,46.75,46.9,2534760,FAST
2013-06-19,46.88,47.46,46.32,46.32,1616166,FAST
2013-06-20,45.75,46.05,44.8,44.95,2232918,FAST
2013-06-21,45.03,45.4,44.73,45.07,2896759,FAST
2013-06-22,44.99,45.51,44.62,45.11,2535114,FAST
2013-06-23,44.94,45.61,44.5,45.14,2173469,FAST
2013-06-24,44.9,45.72,44.39,45.18,1811824,FAST
2013-06-25,45.73,45.88,45.28,45.49,2013765,FAST
2013-06-26,46.01,46.42,45.59,46.1,1317336,FAST
2013-06-27,46.49,47.0,46.06,46.9,1471082,FAST
2013-06-28,46.49,46.72,45.56,45.79,3179587,FAST
2013-06-29,46.33,46.69,45.61,45.81,2700326,FAST
2013-06-30,46.16,46.65,45.65,45.82,2221066,FAST
2013-07-01,46.0,46.61,45.7,45.84,1741805,FAST
2013-07-02,46.02,46.4,45.61,45.82,1053189,FAST
2013-07-03,45.53,45.78,45.13,45.29,1170473,FAST
2013-07-04,45.7,45.91,45.15,45.55,1119717,FAST
2013-07-05,45.88,46.04,45.17,45.81,1068961,FAST
2013-07-06,45.96,46.17,45.37,45.86,1215673,FAST
2013-07-07,46.03,46.29,45.58,45.92,1362384,FAST
2013-07-08,46.11,46.41,45.78,45.97,1509096,FAST
2013-07-09,46.53,47.44,46.12,47.1,1953168,FAST
2013-07-10,46.68,46.83,44.9,45.77,5190931,FAST
2013-07-11,46.13,46.75,45.48,46.56,4469767,FAST
2013-07-12,46.55,47.18,46.14,47.13,1742641,FAST
2013-07-13,46.7,47.2,46.33,47.08,1571343,FAST
2013-07-14,46.86,47.21,46.51,47.03,1400046,FAST
2013-07-15,47.01,47.23,46.7,46.98,1228748,FAST
2013-07-16,46.96,47.17,46.59,47.08,1156397,FAST
2013-07-17,47.12,47.28,46.7,47.0,1058807,FAST
2013-07-18,47.04,47.59,46.88,47.18,1249643,FAST
2013-07-19,47.31,47.31,46.58,46.81,1249625,FAST
2013-07-20,47.23,47.25,46.61,46.84,1286718,FAST
2013-07-21,47.15,47.2,46.64,46.87,1323811,FAST
2013-07-22,47.07,47.14,46.67,46.9,1360904,FAST
2013-07-23,47.19,47.19,46.43,46.64,1406809,FAST
2013-07-24,46.72,46.72,45.17,45.45,2146689,FAST
2013-07-25,45.3,46.27,45.27,46.25,1258755,FAST
2013-07-26,46.1,46.69,45.96,46.68,1077568,FAST
2013-07-27,46.22,46.94,46.12,46.81,1230048,FAST
2013-07-28,46.33,47.18,46.29,46.94,1382528,FAST
2013-07-29,46.45,47.43,46.45,47.07,1535008,FAST
2013-07-30,47.16,48.64,46.99,48.34,2282553,FAST
2013-07-31,48.37,49.34,48.37,49.03,2478663,FAST
2013-08-01,49.45,50.16,48.98,50.12,2250750,FAST
2013-08-02,49.99,50.26,49.47,50.24,1593895,FAST
2013-08-03,49.6,50.04,49.1,49.92,1792384,FAST
2013-08-04,49.22,49.83,48.74,49.6,1990873,FAST
2013-08-05,48.83,49.62,48.37,49.28,2189362,FAST
2013-08-06,49.03,49.24,48.64,49.03,1222176,FAST
2013-08-07,48.85,48.98,47.69,47.75,1328784,FAST
2013-08-08,48.05,48.18,47.44,47.52,1267930,FAST
2013-08-09,47.56,47.83,47.25,47.53,997223,FAST
2013-08-10,47.45,47.74,47.07,47.28,1068551,FAST
2013-08-11,47.35,47.64,46.88,47.03,1139878,FAST
2013-08-12,47.24,47.55,46.7,46.78,1211206,FAST
2013-08-13,47.03,47.39,46.33,46.93,1337841,FAST
2013-08-14,47.04,47.13,46.4,46.43,966626,FAST
2013-08-15,46.04,46.18,45.05,45.2,1305631,FAST
2013-08-16,45.14,45.4,44.33,44.8,1447217,FAST
2013-08-17,44.95,45.2,44.27,44.59,1378067,FAST
2013-08-18,44.76,45.0,44.22,44.39,1308916,FAST
2013-08-19,44.57,44.8,44.16,44.18,1239766,FAST
2013-08-20,44.27,45.0,43.97,44.82,2378688,FAST
2013-08-21,44.63,44.97,44.46,44.6,1773262,FAST
2013-08-22,44.66,45.49,44.61,45.24,983611,FAST
2013-08-23,45.19,45.28,44.61,45.17,1274448,FAST
2013-08-24,45.13,45.24,44.66,45.08,1291615,FAST
2013-08-25,45.06,45.21,44.7,44.98,1308781,FAST
2013-08-26,45.0,45.17,44.75,44.89,1325948,FAST
2013-08-27,44.34,44.53,43.75,44.02,1637752,FAST
2013-08-28,44.21,44.44,43.84,44.04,885305,FAST
2013-08-29,43.97,44.88,43.84,44.46,806391,FAST
2013-08-30,44.68,44.75,43.88,43.99,985694,FAST
2013-08-31,44.66,44.92,44.0,44.24,1195810,FAST
2013-09-01,44.64,45.1,44.12,44.5,1405927,FAST
2013-09-02,44.63,45.28,44.24,44.75,1616044,FAST
2013-09-03,44.61,45.45,44.36,45.0,1826160,FAST
2013-09-04,45.15,45.94,44.92,45.84,2142631,FAST
2013-09-05,46.93,49.0,46.93,48.6,4442321,FAST
2013-09-06,48.71,48.92,47.73,47.89,2066414,FAST
2013-09-07,48.42,49.01,47.77,48.28,1954285,FAST
2013-09-08,48.14,49.09,47.81,48.68,1842155,FAST
2013-09-09,47.85,49.18,47.85,49.07,1730026,FAST
2013-09-10,49.18,50.3,49.12,50.26,1988942,FAST
2013-09-11,50.27,50.77,50.19,50.25,1603672,FAST
2013-09-12,50.23,50.47,50.03,50.15,840716,FAST
2013-09-13,50.33,50.37,49.54,50.08,816860,FAST
2013-09-14,50.45,50.48,49.74,50.15,802979,FAST
2013-09-15,50.56,50.59,49.95,50.21,789099,FAST
2013-09-16,50.68,50.7,50.15,50.28,775218,FAST
2013-09-17,50.11,50.38,49.89,50.24,1231924,FAST
2013-09-18,50.26,51.23,50.06,50.85,1301498,FAST
2013-09-19,51.1,51.48,50.9,50.98,871867,FAST
2013-09-20,51.14,51.34,50.13,50.16,2442745,FAST
2013-09-21,50.79,50.99,49.94,50.04,2048691,FAST
2013-09-22,50.43,50.65,49.76,49.91,1654638,FAST
2013-09-23,50.08,50.3,49.57,49.79,1260584,FAST
2013-09-24,49.9,50.23,49.84,49.93,1254248,FAST
2013-09-25,50.05,50.12,49.42,49.6,1794681,FAST
2013-09-26,49.82,50.64,49.64,49.87,927498,FAST
2013-09-27,49.75,50.08,49.64,50.0,1226521,FAST
2013-09-28,49.7,50.26,49.59,50.09,1329901,FAST
2013-09-29,49.66,50.45,49.53,50.18,1433282,FAST
2013-09-30,49.61,50.63,49.48,50.27,1536662,FAST
2013-10-01,50.12,51.5,49.9,51.36,2575028,FAST
2013-10-02,50.92,51.6,50.72,51.51,2029930,FAST
2013-10-03,51.19,51.34,50.55,50.99,1206865,FAST
2013-10-04,50.84,51.54,50.72,51.26,1481740,FAST
2013-10-05,50.76,51.31,50.62,50.99,1495363,FAST
2013-10-06,50.67,51.07,50.51,50.72,1508986,FAST
2013-10-07,50.59,50.84,50.41,50.45,1522609,FAST
2013-10-08,50.41,50.81,49.82,49.98,2235544,FAST
2013-10-09,48.13,48.52,45.85,46.85,6652902,FAST
2013-10-10,46.99,48.22,46.87,47.92,4141042,FAST
2013-10-11,47.91,48.08,47.06,47.31,2593395,FAST
2013-10-12,47.68,48.16,47.06,47.57,2317826,FAST
2013-10-13,47.45,48.23,47.06,47.84,2042256,FAST
2013-10-14,47.22,48.31,47.06,48.1,1766687,FAST
2013-10-15,47.83,48.21,47.48,47.93,1780311,FAST
2013-10-16,48.13,48.94,47.68,48.73,2248925,FAST
2013-10-17,48.21,48.91,47.84,48.9,1493899,FAST
2013-10-18,48.76,49.28,48.76,49.2,1709227,FAST
2013-10-19,48.73,49.26,48.73,49.17,1601971,FAST
2013-10-20,48.7,49.25,48.7,49.15,1494716,FAST
2013-10-21,48.67,49.23,48.67,49.12,1387460,FAST
2013-10-22,49.4,49.98,49.15,49.9,1729824,FAST
2013-10-23,49.25,49.31,48.76,48.88,1446370,FAST
2013-10-24,48.86,49.53,48.86,49.24,776359,FAST
2013-10-25,49.38,50.63,48.91,50.63,1533972,FAST
2013-10-26,49.77,50.7,49.36,50.59,1489420,FAST
2013-10-27,50.15,50.76,49.81,50.54,1444867,FAST
2013-10-28,50.54,50.83,50.26,50.5,1400315,FAST
2013-10-29,50.48,50.9,50.45,50.88,911058,FAST
2013-10-30,50.9,51.49,50.27,50.49,1614532,FAST
2013-10-31,50.56,50.71,49.71,49.83,1872078,FAST
2013-11-01,49.82,50.61,48.81,49.39,2726694,FAST
2013-11-02,49.77,51.06,49.09,50.22,2758555,FAST
2013-11-03,49.73,51.51,49.38,51.06,2790416,FAST
2013-11-04,49.68,51.96,49.66,51.89,2822277,FAST
2013-11-05,49.84,50.0,48.74,49.15,4619216,FAST
2013-11-06,49.5,49.5,48.08,48.27,3026563,FAST
2013-11-07,48.39,48.5,46.43,46.49,2968553,FAST
2013-11-08,46.61,47.18,46.31,47.13,1642150,FAST
2013-11-09,46.81,47.2,46.44,47.03,1626843,FAST
2013-11-10,47.02,47.23,46.58,46.93,1611537,FAST
2013-11-11,47.22,47.25,46.71,46.83,1596230,FAST
2013-11-12,46.63,47.25,46.63,47.0,1499842,FAST
2013-11-13,46.52,46.69,45.86,46.49,2700901,FAST
2013-11-14,46.59,46.76,46.12,46.6,1579044,FAST
