index,open,high,low,close,volume,Name
2013-02-08,33.26,33.62,33.19,33.61,853602,FBHS
2013-02-09,33.39,33.66,33.25,33.59,969378,FBHS
2013-02-10,33.51,33.7,33.32,33.57,1085155,FBHS
2013-02-11,33.64,33.74,33.38,33.55,1200931,FBHS
2013-02-12,33.9,34.61,33.72,34.6,1581419,FBHS
2013-02-13,34.8,35.63,34.35,34.62,2525974,FBHS
2013-02-14,34.52,34.6,34.05,34.22,1193212,FBHS
2013-02-15,34.25,34.27,33.82,34.03,1222930,FBHS
2013-02-16,34.22,34.3,33.76,34.0,1381402,FBHS
2013-02-17,34.2,34.33,33.7,33.97,1539873,FBHS
2013-02-18,34.17,34.36,33.63,33.93,1698344,FBHS
2013-02-19,34.14,34.38,33.57,33.9,1856816,FBHS
2013-02-20,33.87,34.05,32.51,32.56,1738051,FBHS
2013-02-21,32.61,33.49,32.52,33.42,2344106,FBHS
2013-02-22,33.5,34.14,33.4,34.13,1129050,FBHS
2013-02-23,33.76,34.2,33.29,33.79,1519699,FBHS
2013-02-24,34.01,34.27,33.19,33.44,1910347,FBHS
2013-02-25,34.27,34.34,33.08,33.1,2300996,FBHS
2013-02-26,33.38,34.01,33.0,33.9,1243424,FBHS
2013-02-27,33.82,34.89,33.78,34.55,888992,FBHS
2013-02-28,34.57,34.96,34.41,34.55,1046296,FBHS
2013-03-01,34.21,34.51,33.51,34.37,1488071,FBHS
2013-03-02,34.2,34.67,33.7,34.55,1280918,FBHS
2013-03-03,34.19,34.82,33.89,34.74,1073765,FBHS
2013-03-04,34.18,34.98,34.07,34.92,866612,FBHS
2013-03-05,35.0,35.47,34.91,35.47,945844,FBHS
2013-03-06,35.48,36.1,35.44,36.04,1733758,FBHS
2013-03-07,35.97,35.98,35.39,35.85,1146519,FBHS
2013-03-08,36.13,36.34,35.76,36.02,627704,FBHS
2013-03-09,36.11,36.28,35.69,35.96,768598,FBHS
2013-03-10,36.08,36.23,35.63,35.91,909491,FBHS
2013-03-11,36.06,36.17,35.56,35.85,1050385,FBHS
2013-03-12,35.87,35.94,35.29,35.59,1055150,FBHS
2013-03-13,35.58,36.01,35.42,35.96,1078008,FBHS
2013-03-14,36.03,36.34,35.84,36.33,816354,FBHS
2013-03-15,36.36,36.56,36.03,36.35,1883298,FBHS
2013-03-16,36.19,36.56,35.92,36.32,1605824,FBHS
2013-03-17,36.02,36.57,35.82,36.29,1328351,FBHS
2013-03-18,35.85,36.57,35.71,36.26,1050877,FBHS
2013-03-19,36.47,36.63,35.74,36.37,1053843,FBHS
2013-03-20,36.74,37.78,36.69,37.67,1299848,FBHS
2013-03-21,38.16,38.16,36.21,36.29,1524128,FBHS
2013-03-22,36.56,36.88,36.35,36.68,593373,FBHS
2013-03-23,36.71,37.07,36.44,36.82,712218,FBHS
2013-03-24,36.85,37.27,36.52,36.97,831062,FBHS
2013-03-25,37.0,37.46,36.61,37.11,949907,FBHS
2013-03-26,37.13,37.19,36.09,36.73,1428759,FBHS
2013-03-27,36.6,36.81,36.32,36.74,610460,FBHS
2013-03-28,36.83,37.47,36.76,37.43,808489,FBHS
2013-03-29,36.96,37.44,36.6,37.13,829738,FBHS
2013-03-30,37.08,37.42,36.44,36.83,850987,FBHS
2013-03-31,37.21,37.39,36.28,36.53,872236,FBHS
2013-04-01,37.34,37.36,36.12,36.23,893485,FBHS
2013-04-02,36.5,36.9,35.53,35.68,1274408,FBHS
2013-04-03,35.71,35.79,34.25,34.58,1649439,FBHS
