index,open,high,low,close,volume,Name
2013-02-08,28.89,29.17,28.51,28.54,37662614,FB
2013-02-09,28.8,29.01,28.35,28.45,37434920,FB
2013-02-10,28.7,28.84,28.2,28.36,37207227,FB
2013-02-11,28.61,28.68,28.04,28.26,36979533,FB
2013-02-12,27.67,28.16,27.1,27.37,93417215,FB
2013-02-13,27.36,28.32,27.31,27.91,50100805,FB
2013-02-14,28.02,28.63,28.01,28.5,35581045,FB
2013-02-15,28.52,28.75,28.09,28.32,33061895,FB
2013-02-16,28.45,28.83,28.1,28.47,37135594,FB
2013-02-17,28.38,28.92,28.1,28.62,41209293,FB
2013-02-18,28.3,29.0,28.11,28.78,45282992,FB
2013-02-19,28.23,29.08,28.12,28.93,49356691,FB
2013-02-20,28.92,29.05,28.33,28.46,42046417,FB
2013-02-21,28.28,28.55,27.15,27.28,49593513,FB
2013-02-22,27.62,27.63,26.82,27.13,36299386,FB
2013-02-23,27.47,27.63,26.93,27.18,35719291,FB
2013-02-24,27.31,27.64,27.04,27.22,35139196,FB
2013-02-25,27.16,27.64,27.15,27.27,34559101,FB
2013-02-26,27.36,27.46,26.7,27.39,31585238,FB
2013-02-27,27.34,27.34,26.63,26.87,44266586,FB
2013-02-28,26.84,27.3,26.34,27.25,82980886,FB
2013-03-01,27.05,28.12,26.81,27.78,54040282,FB
2013-03-02,27.29,28.1,27.02,27.76,46819495,FB
2013-03-03,27.52,28.08,27.23,27.74,39598709,FB
2013-03-04,27.76,28.06,27.44,27.72,32377922,FB
2013-03-05,27.88,28.18,27.21,27.52,40193063,FB
2013-03-06,28.1,28.13,27.35,27.45,33481681,FB
2013-03-07,27.57,28.68,27.47,28.58,74454860,FB
2013-03-08,28.42,28.47,27.73,27.96,44167632,FB
2013-03-09,28.29,28.53,27.76,28.02,41309469,FB
2013-03-10,28.15,28.58,27.8,28.08,38451306,FB
2013-03-11,28.01,28.64,27.83,28.14,35593143,FB
2013-03-12,28.1,28.32,27.6,27.83,27509183,FB
2013-03-13,27.62,27.65,26.92,27.08,39537298,FB
2013-03-14,27.1,27.43,26.83,27.04,27618325,FB
2013-03-15,27.03,27.06,26.56,26.64,31561265,FB
2013-03-16,26.81,26.97,26.3,26.59,29916779,FB
2013-03-17,26.59,26.88,26.04,26.54,28272292,FB
2013-03-18,26.37,26.79,25.78,26.49,26627806,FB
2013-03-19,26.53,26.9,26.21,26.55,25229042,FB
2013-03-20,26.68,26.69,25.78,25.86,43942514,FB
2013-03-21,25.66,26.11,25.56,25.74,24304408,FB
2013-03-22,25.8,26.01,25.63,25.73,18423908,FB
2013-03-23,25.78,25.94,25.45,25.53,25336345,FB
2013-03-24,25.77,25.87,25.26,25.33,32248781,FB
2013-03-25,25.75,25.8,25.08,25.13,39161218,FB
2013-03-26,25.08,25.48,25.03,25.2,26939599,FB
2013-03-27,25.0,26.28,24.72,26.09,52258253,FB
2013-03-28,26.09,26.17,25.52,25.58,28572419,FB
2013-03-29,25.98,26.1,25.46,25.57,26982607,FB
2013-03-30,25.86,26.03,25.4,25.56,25392795,FB
2013-03-31,25.74,25.96,25.34,25.54,23802983,FB
2013-04-01,25.63,25.89,25.28,25.53,22213171,FB
2013-04-02,25.77,26.12,25.3,25.42,35124893,FB
2013-04-03,25.83,26.39,25.7,26.25,48128075,FB
2013-04-04,26.62,27.23,26.11,27.07,81931310,FB
2013-04-05,26.86,27.8,26.61,27.39,64496186,FB
2013-04-06,26.97,27.6,26.62,27.21,52076016,FB
2013-04-07,27.08,27.4,26.62,27.03,39655847,FB
2013-04-08,27.19,27.2,26.63,26.85,27235677,FB
2013-04-09,26.58,26.89,26.42,26.59,21283261,FB
2013-04-10,27.01,27.84,26.9,27.57,45896160,FB
2013-04-11,27.48,28.1,27.25,28.02,33320952,FB
2013-04-12,28.0,28.0,27.24,27.4,28656896,FB
2013-04-13,27.72,27.83,26.95,27.11,29169252,FB
2013-04-14,27.44,27.65,26.65,26.81,29681608,FB
2013-04-15,27.16,27.48,26.36,26.52,30193964,FB
2013-04-16,26.81,27.11,26.4,26.92,27362116,FB
2013-04-17,26.65,27.2,26.39,26.62,26415310,FB
2013-04-18,26.82,26.82,25.15,25.69,39023033,FB
2013-04-19,25.62,25.96,25.33,25.73,20353547,FB
2013-04-20,25.68,26.09,25.45,25.81,22119938,FB
2013-04-21,25.75,26.23,25.58,25.89,23886330,FB
2013-04-22,25.81,26.36,25.7,25.97,25652721,FB
2013-04-23,26.22,26.33,25.77,25.98,25151001,FB
2013-04-24,25.93,26.4,25.8,26.11,19708346,FB
2013-04-25,26.07,26.4,26.0,26.14,17096750,FB
2013-04-26,26.6,27.62,26.6,26.85,32967841,FB
2013-04-27,26.79,27.55,26.69,26.89,31619015,FB
2013-04-28,26.97,27.48,26.77,26.94,30270190,FB
2013-04-29,27.16,27.41,26.86,26.98,28921364,FB
2013-04-30,27.13,27.85,27.0,27.77,36190778,FB
2013-05-01,27.85,27.92,27.31,27.43,63608087,FB
2013-05-02,28.01,29.02,27.98,28.97,104167498,FB
2013-05-03,29.04,29.07,28.15,28.31,58243465,FB
2013-05-04,28.8,28.87,27.93,28.06,53449852,FB
2013-05-05,28.57,28.66,27.7,27.82,48656238,FB
2013-05-06,28.33,28.46,27.48,27.57,43862625,FB
2013-05-07,27.55,27.85,26.85,26.89,41196823,FB
2013-05-08,26.88,27.3,26.65,27.12,34607912,FB
2013-05-09,27.08,27.55,26.85,27.04,33386333,FB
2013-05-10,27.14,27.3,26.57,26.68,30805291,FB
2013-05-11,26.96,27.31,26.56,26.73,30206743,FB
2013-05-12,26.78,27.32,26.54,26.77,29608196,FB
2013-05-13,26.6,27.32,26.53,26.82,29009648,FB
2013-05-14,26.89,27.28,26.82,27.07,24902009,FB
2013-05-15,26.92,26.99,26.4,26.6,30264929,FB
2013-05-16,26.48,26.55,25.9,26.13,35488576,FB
2013-05-17,26.4,26.6,26.2,26.25,29437107,FB
2013-05-18,26.33,26.46,26.03,26.09,33748373,FB
2013-05-19,26.25,26.33,25.86,25.92,38059640,FB
2013-05-20,26.18,26.19,25.69,25.76,42370906,FB
2013-05-21,25.87,26.08,25.59,25.66,26235841,FB
2013-05-22,25.65,25.85,24.92,25.16,45258811,FB
2013-05-23,24.8,25.53,24.77,25.06,37659380,FB
2013-05-24,24.97,24.97,24.08,24.31,58675970,FB
2013-05-25,24.86,24.86,24.04,24.26,56520699,FB
2013-05-26,24.76,24.76,24.0,24.21,54365428,FB
2013-05-27,24.65,24.65,23.96,24.15,52210157,FB
2013-05-28,24.54,24.54,23.92,24.1,50054886,FB
2013-05-29,23.79,23.81,23.26,23.32,64160837,FB
2013-05-30,24.13,24.78,23.93,24.55,60617851,FB
2013-05-31,24.63,24.95,24.27,24.35,35897146,FB
2013-06-01,24.51,24.74,24.08,24.18,35831955,FB
2013-06-02,24.39,24.53,23.9,24.01,35766763,FB
2013-06-03,24.26,24.32,23.71,23.85,35701572,FB
2013-06-04,23.89,23.93,23.32,23.52,34758418,FB
2013-06-05,23.35,23.7,22.79,22.9,53783403,FB
2013-06-06,22.99,23.09,22.67,22.97,31227999,FB
2013-06-07,23.03,23.4,22.86,23.29,38685767,FB
2013-06-08,23.37,23.8,23.24,23.64,45231068,FB
2013-06-09,23.72,24.2,23.61,23.98,51776370,FB
2013-06-10,24.06,24.6,23.99,24.33,58321671,FB
2013-06-11,24.03,24.35,24.0,24.03,29855079,FB
2013-06-12,24.16,24.26,23.58,23.77,26407850,FB
