index,open,high,low,close,volume,Name
2013-02-08,106.8,107.5,106.23,106.41,2101805,FDX
2013-02-09,106.54,107.12,105.98,106.28,1983217,FDX
2013-02-10,106.27,106.75,105.73,106.14,1864629,FDX
2013-02-11,106.01,106.37,105.48,106.01,1746041,FDX
2013-02-12,106.09,106.48,105.58,106.12,2044439,FDX
2013-02-13,106.12,106.64,105.56,106.16,1740007,FDX
2013-02-14,105.85,106.86,105.44,106.56,1660557,FDX
2013-02-15,106.9,107.45,106.19,106.42,1595629,FDX
2013-02-16,106.83,107.44,106.24,106.65,1470199,FDX
2013-02-17,106.76,107.42,106.3,106.88,1344769,FDX
2013-02-18,106.68,107.4,106.35,107.1,1219339,FDX
2013-02-19,106.61,107.39,106.41,107.33,1093909,FDX
2013-02-20,107.39,107.39,105.59,105.69,1472480,FDX
2013-02-21,105.35,106.08,104.25,104.88,1730895,FDX
2013-02-22,105.13,105.82,104.88,105.82,899404,FDX
2013-02-23,105.53,106.21,104.29,104.92,1130558,FDX
2013-02-24,105.93,106.61,103.69,104.01,1361711,FDX
2013-02-25,106.33,107.0,103.1,103.11,1592865,FDX
2013-02-26,103.68,103.95,102.72,103.16,2718501,FDX
2013-02-27,102.7,106.12,102.33,105.74,2263909,FDX
2013-02-28,105.57,106.08,104.83,105.43,1691526,FDX
2013-03-01,105.11,106.06,104.31,105.38,1449080,FDX
2013-03-02,105.17,106.0,104.41,105.52,1279601,FDX
2013-03-03,105.22,105.94,104.5,105.66,1110122,FDX
2013-03-04,105.28,105.88,104.6,105.8,940643,FDX
2013-03-05,106.83,109.11,106.75,107.91,1817887,FDX
2013-03-06,109.08,109.48,107.77,108.04,1716818,FDX
2013-03-07,107.81,108.0,106.59,106.96,1746587,FDX
2013-03-08,107.59,107.95,107.02,107.8,1195825,FDX
2013-03-09,107.62,108.52,106.77,107.67,1254799,FDX
2013-03-10,107.66,109.09,106.52,107.54,1313773,FDX
2013-03-11,107.69,109.66,106.27,107.41,1372747,FDX
2013-03-12,107.48,107.68,106.0,106.43,1267671,FDX
2013-03-13,106.53,108.2,106.48,107.87,1412771,FDX
2013-03-14,108.01,108.84,107.84,108.84,1449922,FDX
2013-03-15,108.62,109.12,108.04,109.07,2099835,FDX
2013-03-16,108.36,108.88,107.65,108.48,1994980,FDX
2013-03-17,108.09,108.65,107.25,107.88,1890125,FDX
2013-03-18,107.83,108.41,106.85,107.29,1785270,FDX
2013-03-19,107.4,107.98,106.0,106.46,2647483,FDX
2013-03-20,102.0,102.5,98.82,99.13,11579659,FDX
2013-03-21,98.78,98.99,95.3,96.5,9160608,FDX
2013-03-22,97.02,98.9,96.99,98.48,5360219,FDX
2013-03-23,97.52,98.82,96.69,97.99,4543550,FDX
2013-03-24,98.01,98.74,96.38,97.51,3726880,FDX
2013-03-25,98.51,98.66,96.08,97.02,2910211,FDX
2013-03-26,97.33,98.32,97.16,97.72,2534346,FDX
2013-03-27,97.29,97.68,96.62,97.65,2335440,FDX
2013-03-28,97.28,98.43,97.2,98.2,2219716,FDX
2013-03-29,97.56,98.71,97.29,98.1,2177457,FDX
2013-03-30,97.84,98.98,97.38,97.99,2135198,FDX
2013-03-31,98.13,99.26,97.47,97.88,2092939,FDX
2013-04-01,98.41,99.53,97.56,97.78,2050680,FDX
2013-04-02,97.8,98.22,96.82,97.12,1838871,FDX
2013-04-03,97.15,97.66,96.08,96.28,2932676,FDX
2013-04-04,96.53,97.25,95.96,95.98,2248905,FDX
2013-04-05,94.91,95.85,94.2,95.5,2878278,FDX
2013-04-06,95.08,95.91,94.48,95.42,2596461,FDX
2013-04-07,95.26,95.97,94.77,95.33,2314645,FDX
2013-04-08,95.43,96.03,95.05,95.25,2032828,FDX
2013-04-09,95.29,95.82,94.67,95.34,2270579,FDX
2013-04-10,95.49,98.23,95.44,97.95,3138719,FDX
2013-04-11,97.87,98.0,96.56,96.66,2035993,FDX
2013-04-12,96.47,96.94,95.86,96.33,1387355,FDX
