index,open,high,low,close,volume,Name
2013-02-08,105.16,106.66,104.54,105.25,1049612,FFIV
2013-02-09,104.95,106.4,104.13,104.67,998399,FFIV
2013-02-10,104.73,106.15,103.72,104.1,947186,FFIV
2013-02-11,104.52,105.89,103.31,103.52,895973,FFIV
2013-02-12,103.29,103.74,101.88,102.15,1136798,FFIV
2013-02-13,102.26,103.6,100.38,102.28,1201870,FFIV
2013-02-14,101.83,102.03,100.31,100.89,1422082,FFIV
2013-02-15,100.81,101.76,100.37,101.72,1391331,FFIV
2013-02-16,101.05,102.28,100.65,102.2,1287669,FFIV
2013-02-17,101.29,102.8,100.94,102.67,1184007,FFIV
2013-02-18,101.53,103.32,101.22,103.15,1080345,FFIV
2013-02-19,101.77,103.84,101.51,103.62,976683,FFIV
2013-02-20,103.75,105.3,102.18,102.2,2167117,FFIV
2013-02-21,102.12,102.47,99.28,100.73,1093460,FFIV
2013-02-22,101.36,102.0,99.79,101.06,903166,FFIV
2013-02-23,100.62,101.17,97.79,98.67,1858801,FFIV
2013-02-24,99.89,100.33,95.79,96.29,2814437,FFIV
2013-02-25,99.15,99.5,93.79,93.9,3770072,FFIV
2013-02-26,94.16,96.65,93.66,94.64,1887749,FFIV
2013-02-27,94.68,94.89,92.87,93.04,1807879,FFIV
2013-02-28,92.69,95.13,92.01,94.43,1971328,FFIV
2013-03-01,94.22,94.46,92.8,93.58,1261842,FFIV
2013-03-02,93.84,94.16,92.59,93.27,1339702,FFIV
2013-03-03,93.45,93.86,92.39,92.96,1417563,FFIV
2013-03-04,93.07,93.56,92.18,92.65,1495423,FFIV
2013-03-05,93.27,93.94,92.57,93.43,1596943,FFIV
2013-03-06,94.02,94.4,92.71,93.11,869393,FFIV
2013-03-07,94.03,95.67,93.08,94.23,1315416,FFIV
2013-03-08,94.68,95.4,93.79,94.01,1713771,FFIV
2013-03-09,94.42,95.22,93.66,94.25,1492267,FFIV
2013-03-10,94.16,95.05,93.53,94.5,1270762,FFIV
2013-03-11,93.9,94.87,93.4,94.74,1049258,FFIV
2013-03-12,94.43,95.22,92.85,93.46,1145230,FFIV
2013-03-13,93.55,95.0,92.12,92.79,1262527,FFIV
2013-03-14,93.0,93.1,91.07,91.31,2154955,FFIV
2013-03-15,91.14,92.54,90.65,90.91,1866966,FFIV
2013-03-16,90.6,91.84,89.76,90.69,1814369,FFIV
2013-03-17,90.07,91.14,88.86,90.46,1761773,FFIV
2013-03-18,89.53,90.44,87.97,90.24,1709176,FFIV
2013-03-19,90.34,90.36,88.1,89.7,1261214,FFIV
2013-03-20,90.63,91.1,89.89,90.95,1056545,FFIV
2013-03-21,90.0,91.2,88.66,89.03,1003286,FFIV
2013-03-22,89.11,89.7,86.33,87.01,1803341,FFIV
2013-03-23,88.55,89.18,86.54,87.17,1608634,FFIV
2013-03-24,88.0,88.67,86.76,87.32,1413927,FFIV
2013-03-25,87.44,88.15,86.97,87.48,1219220,FFIV
2013-03-26,87.84,88.0,87.03,87.57,807093,FFIV
2013-03-27,88.45,89.05,87.51,88.72,1426906,FFIV
2013-03-28,88.43,89.81,87.83,89.08,1130206,FFIV
2013-03-29,88.53,89.7,87.78,88.79,1063074,FFIV
2013-03-30,88.64,89.6,87.72,88.5,995943,FFIV
2013-03-31,88.74,89.49,87.66,88.2,928812,FFIV
2013-04-01,88.84,89.39,87.61,87.91,861680,FFIV
2013-04-02,89.88,90.0,88.92,89.83,1542843,FFIV
2013-04-03,90.75,92.57,89.88,90.52,1931253,FFIV
2013-04-04,90.11,91.0,89.69,90.42,2113347,FFIV
2013-04-05,73.33,75.79,71.95,73.21,12458325,FFIV
2013-04-06,73.34,74.99,71.85,73.06,9447268,FFIV
2013-04-07,73.36,74.2,71.75,72.92,6436212,FFIV
2013-04-08,73.37,73.4,71.65,72.77,3425155,FFIV
2013-04-09,72.75,73.43,72.07,72.45,2672241,FFIV
2013-04-10,72.93,73.79,72.12,73.4,1959091,FFIV
2013-04-11,73.38,76.76,72.96,75.9,2503194,FFIV
2013-04-12,75.61,75.84,73.86,74.98,1418491,FFIV
2013-04-13,75.26,75.61,73.51,74.32,1415371,FFIV
2013-04-14,74.92,75.37,73.15,73.66,1412251,FFIV
2013-04-15,74.57,75.13,72.8,73.0,1409131,FFIV
2013-04-16,73.44,74.56,73.09,73.94,1263225,FFIV
2013-04-17,73.45,74.64,72.98,73.49,1407657,FFIV
2013-04-18,73.74,74.18,72.2,72.54,1068793,FFIV
