index,open,high,low,close,volume,Name
2013-02-08,40.05,40.34,39.98,40.24,1279204,FISV
2013-02-09,40.14,40.4,40.09,40.3,1330109,FISV
2013-02-10,40.24,40.47,40.19,40.36,1381013,FISV
2013-02-11,40.33,40.53,40.29,40.42,1431918,FISV
2013-02-12,40.29,40.45,40.18,40.27,1041038,FISV
2013-02-13,40.22,40.38,40.12,40.28,933972,FISV
2013-02-14,40.15,40.32,39.82,40.08,1392636,FISV
2013-02-15,40.09,40.48,39.96,40.44,1599320,FISV
2013-02-16,40.16,40.53,40.06,40.45,1659192,FISV
2013-02-17,40.24,40.58,40.17,40.47,1719064,FISV
2013-02-18,40.31,40.63,40.27,40.49,1778936,FISV
2013-02-19,40.38,40.68,40.38,40.51,1838808,FISV
2013-02-20,40.61,40.9,40.34,40.34,1470438,FISV
2013-02-21,40.2,40.23,39.64,39.75,1225598,FISV
2013-02-22,39.84,40.12,39.75,40.12,1245554,FISV
2013-02-23,39.93,40.28,39.75,40.01,1349692,FISV
2013-02-24,40.03,40.44,39.75,39.9,1453830,FISV
2013-02-25,40.13,40.59,39.76,39.8,1557968,FISV
2013-02-26,39.9,40.41,39.82,40.38,1326350,FISV
2013-02-27,40.08,40.8,40.08,40.67,2687954,FISV
2013-02-28,40.62,41.22,40.62,41.12,2641764,FISV
2013-03-01,41.04,41.07,40.59,40.75,1375318,FISV
2013-03-02,40.92,41.18,40.62,40.97,1393605,FISV
2013-03-03,40.79,41.3,40.64,41.19,1411891,FISV
2013-03-04,40.66,41.42,40.66,41.41,1430178,FISV
2013-03-05,41.48,42.3,41.44,42.3,1789004,FISV
2013-03-06,42.3,42.49,41.86,41.98,1191964,FISV
2013-03-07,42.04,42.29,41.81,42.04,1311974,FISV
2013-03-08,42.2,42.38,42.0,42.36,1183556,FISV
2013-03-09,42.22,42.4,42.07,42.35,971081,FISV
2013-03-10,42.23,42.41,42.14,42.35,758605,FISV
2013-03-11,42.25,42.42,42.2,42.34,546130,FISV
