index,open,high,low,close,volume,Name
2013-02-08,37.21,37.62,37.16,37.62,1285725,FIS
2013-02-09,37.32,37.65,37.22,37.6,1235360,FIS
2013-02-10,37.42,37.69,37.28,37.58,1184996,FIS
2013-02-11,37.53,37.72,37.34,37.56,1134631,FIS
2013-02-12,36.04,37.1,35.21,36.5,3131016,FIS
2013-02-13,36.63,37.49,36.6,37.2,2232532,FIS
2013-02-14,37.06,37.07,36.56,36.98,2471973,FIS
2013-02-15,36.9,36.94,36.4,36.49,2522319,FIS
2013-02-16,36.8,36.95,36.39,36.62,2631560,FIS
2013-02-17,36.7,36.96,36.38,36.74,2740801,FIS
2013-02-18,36.6,36.98,36.37,36.86,2850042,FIS
2013-02-19,36.5,36.99,36.36,36.99,2959283,FIS
2013-02-20,36.97,37.49,36.92,37.26,2392383,FIS
2013-02-21,37.13,37.24,36.31,36.55,2744208,FIS
2013-02-22,36.56,37.02,36.01,37.0,2180678,FIS
2013-02-23,36.73,37.13,36.25,36.91,2251717,FIS
2013-02-24,36.9,37.24,36.48,36.81,2322756,FIS
2013-02-25,37.07,37.35,36.72,36.72,2393795,FIS
2013-02-26,36.83,37.15,36.59,37.04,1938855,FIS
2013-02-27,37.1,37.87,36.98,37.7,2099303,FIS
2013-02-28,37.7,37.86,37.46,37.65,1850817,FIS
2013-03-01,37.46,37.73,36.87,37.66,1426382,FIS
2013-03-02,37.49,37.74,37.03,37.7,1298986,FIS
2013-03-03,37.52,37.76,37.18,37.73,1171590,FIS
2013-03-04,37.55,37.77,37.34,37.77,1044194,FIS
2013-03-05,37.89,38.28,37.82,38.28,2044180,FIS
2013-03-06,38.39,38.44,38.14,38.41,1231114,FIS
2013-03-07,37.5,37.93,37.05,37.53,6179288,FIS
2013-03-08,37.72,38.16,37.52,37.91,4262957,FIS
2013-03-09,37.78,38.26,37.58,38.09,4107774,FIS
2013-03-10,37.85,38.37,37.63,38.27,3952590,FIS
2013-03-11,37.91,38.47,37.69,38.45,3797407,FIS
2013-03-12,38.29,38.64,38.14,38.48,2051479,FIS
2013-03-13,38.35,38.58,38.16,38.51,1459684,FIS
2013-03-14,38.57,38.67,38.43,38.57,1727130,FIS
2013-03-15,38.49,38.84,38.14,38.3,10386359,FIS
2013-03-16,38.31,38.65,37.96,38.1,7745587,FIS
2013-03-17,38.12,38.45,37.79,37.9,5104816,FIS
2013-03-18,37.94,38.26,37.61,37.7,2464044,FIS
2013-03-19,37.85,38.1,37.61,38.0,2090015,FIS
2013-03-20,38.31,38.51,38.1,38.44,1556166,FIS
2013-03-21,38.17,38.52,38.17,38.43,1930648,FIS
2013-03-22,38.5,38.63,38.2,38.57,1016027,FIS
2013-03-23,38.58,38.8,38.26,38.54,1050611,FIS
2013-03-24,38.67,38.97,38.32,38.52,1085194,FIS
2013-03-25,38.75,39.14,38.38,38.49,1119778,FIS
2013-03-26,38.66,39.03,38.58,39.02,1882755,FIS
2013-03-27,38.7,39.16,38.7,39.02,1148452,FIS
2013-03-28,39.09,39.66,38.97,39.62,1972423,FIS
2013-03-29,39.25,39.71,39.1,39.64,2481073,FIS
2013-03-30,39.4,39.77,39.23,39.66,2989722,FIS
2013-03-31,39.56,39.82,39.36,39.68,3498372,FIS
2013-04-01,39.71,39.88,39.49,39.7,4007022,FIS
2013-04-02,39.76,39.99,39.7,39.98,3014803,FIS
2013-04-03,40.05,40.29,39.68,39.9,4950955,FIS
2013-04-04,39.89,40.0,39.58,39.73,1895099,FIS
2013-04-05,39.34,39.43,38.85,39.05,2039799,FIS
2013-04-06,39.22,39.34,38.86,39.09,1746633,FIS
2013-04-07,39.11,39.25,38.87,39.12,1453468,FIS
2013-04-08,38.99,39.16,38.88,39.16,1160302,FIS
2013-04-09,39.27,39.27,38.91,39.09,1520701,FIS
2013-04-10,39.25,40.05,39.15,40.04,2642560,FIS
2013-04-11,40.12,41.02,39.94,41.0,3823739,FIS
2013-04-12,40.44,40.77,40.26,40.75,1944466,FIS
2013-04-13,40.49,40.71,40.21,40.54,2270672,FIS
2013-04-14,40.53,40.65,40.16,40.33,2596877,FIS
2013-04-15,40.58,40.59,40.11,40.12,2923083,FIS
2013-04-16,40.35,40.69,39.96,40.65,1801138,FIS
2013-04-17,40.43,40.43,39.67,40.11,1465198,FIS
2013-04-18,40.16,40.28,39.71,40.25,1558707,FIS
2013-04-19,40.48,40.94,40.27,40.81,1954360,FIS
2013-04-20,40.61,40.98,40.29,40.74,1730555,FIS
2013-04-21,40.73,41.02,40.3,40.67,1506751,FIS
2013-04-22,40.86,41.06,40.32,40.6,1282946,FIS
2013-04-23,40.78,41.07,40.55,40.96,1467518,FIS
2013-04-24,41.0,41.14,40.78,40.93,1398072,FIS
2013-04-25,41.08,41.25,40.96,41.06,1232680,FIS
2013-04-26,40.99,41.06,40.72,40.79,2152705,FIS
2013-04-27,40.94,41.0,40.63,40.75,2664840,FIS
2013-04-28,40.89,40.95,40.55,40.71,3176975,FIS
2013-04-29,40.84,40.89,40.47,40.67,3689110,FIS
2013-04-30,42.0,42.3,40.56,42.05,3957617,FIS
2013-05-01,41.93,42.44,41.84,42.1,2415655,FIS
2013-05-02,42.09,42.45,42.07,42.33,1842180,FIS
2013-05-03,42.5,42.95,42.43,42.72,1547299,FIS
2013-05-04,42.6,42.9,42.43,42.66,1368530,FIS
2013-05-05,42.71,42.86,42.42,42.6,1189762,FIS
2013-05-06,42.81,42.81,42.42,42.54,1010993,FIS
2013-05-07,42.55,42.72,42.33,42.63,1149158,FIS
2013-05-08,42.63,43.69,42.52,43.57,2633053,FIS
2013-05-09,43.43,44.0,43.37,43.79,1903798,FIS
2013-05-10,43.81,44.0,43.59,43.79,1147076,FIS
2013-05-11,43.76,43.93,43.58,43.77,1272197,FIS
2013-05-12,43.7,43.86,43.58,43.74,1397319,FIS
2013-05-13,43.65,43.79,43.57,43.72,1522440,FIS
2013-05-14,43.74,44.02,43.65,43.97,2317273,FIS
2013-05-15,43.91,44.36,43.9,44.32,1485245,FIS
2013-05-16,44.3,44.77,44.28,44.51,1586226,FIS
2013-05-17,44.54,45.11,44.51,45.08,1477436,FIS
2013-05-18,44.71,45.17,44.65,45.14,1581754,FIS
2013-05-19,44.88,45.24,44.78,45.2,1686072,FIS
2013-05-20,45.05,45.3,44.92,45.26,1790390,FIS
2013-05-21,45.29,45.82,45.2,45.29,1346921,FIS
2013-05-22,45.34,45.75,44.98,45.18,2104612,FIS
2013-05-23,44.91,45.36,44.85,45.24,1609447,FIS
2013-05-24,44.99,45.25,44.56,45.16,1090626,FIS
2013-05-25,45.1,45.42,44.76,45.32,1201168,FIS
2013-05-26,45.22,45.6,44.96,45.48,1311710,FIS
2013-05-27,45.34,45.78,45.17,45.64,1422251,FIS
2013-05-28,45.45,45.95,45.37,45.8,1532793,FIS
2013-05-29,45.46,45.53,44.94,45.07,1565183,FIS
2013-05-30,45.13,45.87,45.09,45.78,1109626,FIS
2013-05-31,45.58,45.67,44.88,44.9,3218708,FIS
2013-06-01,45.35,45.52,44.72,44.9,2737999,FIS
2013-06-02,45.12,45.38,44.57,44.91,2257290,FIS
2013-06-03,44.89,45.23,44.41,44.91,1776581,FIS
2013-06-04,44.9,44.98,44.0,44.32,2073002,FIS
2013-06-05,44.23,44.45,43.34,43.37,1791284,FIS
2013-06-06,43.31,44.14,43.03,44.13,1638723,FIS
2013-06-07,44.36,44.71,44.24,44.53,1432425,FIS
2013-06-08,44.43,44.73,44.27,44.59,1396232,FIS
2013-06-09,44.51,44.75,44.3,44.65,1360040,FIS
2013-06-10,44.58,44.77,44.32,44.71,1323847,FIS
2013-06-11,44.26,44.95,44.07,44.58,1605870,FIS
2013-06-12,44.57,44.66,43.81,43.85,1448939,FIS
2013-06-13,43.85,44.77,43.6,44.71,961384,FIS
2013-06-14,44.29,44.47,43.46,43.64,1586632,FIS
2013-06-15,44.19,44.47,43.54,43.77,1635353,FIS
2013-06-16,44.08,44.47,43.61,43.89,1684075,FIS
2013-06-17,43.98,44.47,43.69,44.02,1732796,FIS
2013-06-18,44.11,44.33,43.95,44.33,1199874,FIS
2013-06-19,44.38,44.52,43.76,43.77,919892,FIS
2013-06-20,43.43,43.66,42.55,42.62,1497746,FIS
2013-06-21,42.87,42.9,42.16,42.64,1900480,FIS
2013-06-22,42.7,42.89,42.14,42.6,1916786,FIS
2013-06-23,42.54,42.88,42.11,42.57,1933092,FIS
2013-06-24,42.37,42.87,42.09,42.53,1949398,FIS
2013-06-25,42.91,43.07,42.43,43.01,1538416,FIS
2013-06-26,43.41,43.41,42.77,42.95,2115276,FIS
2013-06-27,43.11,43.15,42.89,43.01,2140207,FIS
2013-06-28,42.68,43.27,42.68,42.84,4008275,FIS
2013-06-29,42.83,43.4,42.81,43.03,3131802,FIS
2013-06-30,42.99,43.52,42.95,43.22,2255328,FIS
2013-07-01,43.14,43.65,43.08,43.41,1378855,FIS
2013-07-02,43.45,43.55,42.73,42.8,1873539,FIS
2013-07-03,42.61,43.31,42.61,43.05,1420988,FIS
2013-07-04,43.02,43.48,42.87,43.34,1288698,FIS
2013-07-05,43.42,43.65,43.13,43.63,1156408,FIS
2013-07-06,43.61,44.0,43.4,43.96,1286757,FIS
2013-07-07,43.81,44.36,43.68,44.3,1417105,FIS
2013-07-08,44.0,44.71,43.95,44.63,1547454,FIS
2013-07-09,44.81,44.93,44.28,44.43,998830,FIS
2013-07-10,44.37,44.92,44.37,44.86,1220248,FIS
2013-07-11,45.32,45.43,45.01,45.35,1097908,FIS
2013-07-12,45.33,45.43,44.78,45.06,944178,FIS
2013-07-13,45.22,45.38,44.78,45.06,826607,FIS
2013-07-14,45.1,45.33,44.79,45.05,709036,FIS
2013-07-15,44.99,45.28,44.79,45.05,591465,FIS
2013-07-16,45.01,45.19,44.58,44.7,754538,FIS
2013-07-17,44.79,44.94,44.53,44.73,553355,FIS
2013-07-18,44.76,45.07,44.62,44.71,625986,FIS
2013-07-19,44.87,44.87,44.32,44.37,943139,FIS
2013-07-20,44.7,44.74,44.29,44.34,1037967,FIS
2013-07-21,44.52,44.61,44.26,44.32,1132796,FIS
2013-07-22,44.35,44.48,44.23,44.29,1227624,FIS
2013-07-23,44.73,44.76,44.3,44.54,1359478,FIS
2013-07-24,44.75,44.83,44.25,44.32,873433,FIS
2013-07-25,44.35,44.64,44.1,44.55,911350,FIS
2013-07-26,44.19,44.35,43.86,44.35,800909,FIS
2013-07-27,44.19,44.37,43.95,44.33,837198,FIS
2013-07-28,44.2,44.39,44.04,44.3,873488,FIS
2013-07-29,44.2,44.41,44.13,44.28,909777,FIS
2013-07-30,44.5,44.55,42.82,43.06,2601248,FIS
2013-07-31,42.95,43.35,42.78,43.16,2495628,FIS
2013-08-01,43.35,44.9,43.26,44.85,2096678,FIS
2013-08-02,44.77,45.42,44.49,45.33,1782473,FIS
2013-08-03,44.92,45.5,44.7,45.39,1831380,FIS
2013-08-04,45.06,45.56,44.9,45.46,1880287,FIS
2013-08-05,45.21,45.64,45.11,45.52,1929194,FIS
2013-08-06,45.42,46.26,45.37,45.94,1829061,FIS
2013-08-07,45.84,46.56,45.66,46.42,1789378,FIS
2013-08-08,46.69,46.98,46.37,46.53,1796202,FIS
2013-08-09,46.46,47.17,46.46,46.95,1129828,FIS
2013-08-10,46.56,47.36,46.53,47.1,1465606,FIS
2013-08-11,46.67,47.54,46.61,47.26,1801384,FIS
2013-08-12,46.77,47.73,46.68,47.41,2137162,FIS
