index,open,high,low,close,volume,Name
2013-02-08,16.55,16.61,16.4,16.61,9814015,FITB
2013-02-09,16.51,16.58,16.39,16.57,10605236,FITB
2013-02-10,16.48,16.55,16.39,16.54,11396458,FITB
2013-02-11,16.44,16.52,16.38,16.5,12187679,FITB
2013-02-12,16.54,16.63,16.45,16.56,8284724,FITB
2013-02-13,16.53,16.55,16.05,16.11,16635670,FITB
2013-02-14,16.09,16.19,16.04,16.13,11091204,FITB
2013-02-15,16.12,16.16,16.0,16.05,9471938,FITB
2013-02-16,16.11,16.16,15.98,16.02,9859065,FITB
2013-02-17,16.1,16.16,15.97,16.0,10246192,FITB
2013-02-18,16.08,16.16,15.96,15.98,10633318,FITB
2013-02-19,16.07,16.16,15.94,15.96,11020445,FITB
2013-02-20,15.95,16.03,15.79,15.83,12260560,FITB
2013-02-21,15.85,15.96,15.51,15.6,17671587,FITB
2013-02-22,15.77,15.84,15.7,15.8,6752270,FITB
2013-02-23,15.81,15.87,15.64,15.71,8823490,FITB
2013-02-24,15.86,15.91,15.58,15.62,10894709,FITB
2013-02-25,15.9,15.94,15.52,15.53,12965929,FITB
2013-02-26,15.6,15.64,15.43,15.56,10616342,FITB
2013-02-27,15.56,15.76,15.47,15.72,8481443,FITB
2013-02-28,15.68,15.92,15.67,15.84,8898892,FITB
2013-03-01,15.73,15.9,15.57,15.82,11481195,FITB
2013-03-02,15.76,15.95,15.62,15.89,10529836,FITB
2013-03-03,15.8,15.99,15.66,15.96,9578477,FITB
2013-03-04,15.83,16.04,15.71,16.02,8627118,FITB
2013-03-05,16.15,16.19,15.88,16.02,15272806,FITB
2013-03-06,16.06,16.12,15.88,16.03,11432535,FITB
2013-03-07,16.05,16.25,16.01,16.23,8861570,FITB
2013-03-08,16.35,16.37,16.18,16.34,8404137,FITB
2013-03-09,16.36,16.39,16.2,16.34,9115184,FITB
2013-03-10,16.36,16.4,16.22,16.35,9826232,FITB
2013-03-11,16.37,16.42,16.24,16.35,10537279,FITB
2013-03-12,16.38,16.46,16.23,16.25,6625693,FITB
2013-03-13,16.24,16.39,16.18,16.39,8843791,FITB
2013-03-14,16.44,16.55,16.3,16.37,8659402,FITB
2013-03-15,16.35,16.61,16.3,16.61,16194478,FITB
2013-03-16,16.36,16.59,16.29,16.57,13308428,FITB
2013-03-17,16.36,16.56,16.28,16.52,10422378,FITB
2013-03-18,16.37,16.54,16.27,16.48,7536328,FITB
2013-03-19,16.56,16.58,16.41,16.51,8465919,FITB
2013-03-20,16.61,16.62,16.48,16.52,7800319,FITB
2013-03-21,16.4,16.52,16.35,16.37,8088336,FITB
2013-03-22,16.37,16.44,16.23,16.29,6922715,FITB
2013-03-23,16.35,16.43,16.23,16.31,7295492,FITB
2013-03-24,16.33,16.41,16.22,16.33,7668268,FITB
2013-03-25,16.31,16.39,16.22,16.35,8041045,FITB
2013-03-26,16.36,16.45,16.29,16.41,6967536,FITB
2013-03-27,16.34,16.4,16.25,16.37,4895182,FITB
2013-03-28,16.31,16.37,16.2,16.31,5584391,FITB
2013-03-29,16.3,16.35,16.16,16.27,5613946,FITB
2013-03-30,16.3,16.34,16.13,16.23,5643501,FITB
2013-03-31,16.29,16.32,16.1,16.18,5673056,FITB
2013-04-01,16.28,16.3,16.06,16.14,5702611,FITB
2013-04-02,16.14,16.22,16.08,16.16,6808365,FITB
2013-04-03,16.13,16.23,15.82,15.99,13451520,FITB
2013-04-04,15.99,16.04,15.85,15.95,8668767,FITB
2013-04-05,15.73,16.06,15.64,16.02,10322762,FITB
2013-04-06,15.82,16.13,15.72,16.09,10285740,FITB
2013-04-07,15.9,16.19,15.81,16.15,10248718,FITB
2013-04-08,15.99,16.26,15.89,16.22,10211696,FITB
2013-04-09,16.3,16.49,16.2,16.39,8064266,FITB
2013-04-10,16.57,16.68,16.46,16.63,9086870,FITB
2013-04-11,16.62,16.86,16.53,16.86,9786737,FITB
2013-04-12,16.69,16.74,16.35,16.49,16086317,FITB
2013-04-13,16.62,16.66,16.25,16.35,14075736,FITB
2013-04-14,16.54,16.57,16.16,16.22,12065155,FITB
2013-04-15,16.47,16.49,16.06,16.08,10054574,FITB
2013-04-16,16.16,16.27,16.06,16.15,9928457,FITB
2013-04-17,15.97,15.98,15.64,15.8,11214905,FITB
2013-04-18,16.25,16.25,15.62,15.92,16586071,FITB
2013-04-19,16.03,16.42,15.89,16.4,11483115,FITB
2013-04-20,16.12,16.39,15.96,16.35,9843276,FITB
2013-04-21,16.22,16.37,16.04,16.3,8203438,FITB
2013-04-22,16.31,16.34,16.11,16.24,6563599,FITB
2013-04-23,16.31,16.5,16.22,16.47,8082308,FITB
2013-04-24,16.48,16.72,16.44,16.72,6444832,FITB
2013-04-25,16.75,16.95,16.69,16.83,5791422,FITB
2013-04-26,16.81,16.84,16.65,16.76,3342639,FITB
2013-04-27,16.8,16.86,16.69,16.78,3699262,FITB
2013-04-28,16.78,16.88,16.72,16.81,4055885,FITB
2013-04-29,16.77,16.89,16.76,16.83,4412508,FITB
2013-04-30,16.84,17.04,16.68,17.03,9295467,FITB
2013-05-01,17.03,17.1,16.7,16.75,7514942,FITB
2013-05-02,16.77,16.97,16.71,16.86,4456928,FITB
2013-05-03,17.05,17.12,17.01,17.1,6915978,FITB
2013-05-04,17.06,17.18,17.01,17.17,5980403,FITB
2013-05-05,17.07,17.25,17.02,17.23,5044828,FITB
2013-05-06,17.08,17.31,17.02,17.3,4109253,FITB
2013-05-07,17.37,17.53,17.3,17.51,6898090,FITB
2013-05-08,17.5,17.67,17.45,17.62,7591822,FITB
2013-05-09,17.66,17.81,17.53,17.57,8011150,FITB
2013-05-10,17.6,17.73,17.58,17.71,5419203,FITB
2013-05-11,17.62,17.74,17.57,17.71,8187477,FITB
2013-05-12,17.63,17.75,17.56,17.7,10955750,FITB
2013-05-13,17.65,17.76,17.55,17.7,13724024,FITB
2013-05-14,17.73,17.97,17.73,17.91,7011030,FITB
2013-05-15,17.91,18.15,17.81,18.08,6229813,FITB
2013-05-16,18.01,18.2,17.97,18.02,5154579,FITB
2013-05-17,18.17,18.31,18.04,18.25,6115266,FITB
2013-05-18,18.19,18.34,18.09,18.3,6179241,FITB
2013-05-19,18.21,18.38,18.14,18.34,6243215,FITB
2013-05-20,18.23,18.41,18.19,18.39,6307190,FITB
2013-05-21,18.45,18.5,18.22,18.3,7774030,FITB
2013-05-22,18.37,18.49,17.99,18.0,13408788,FITB
2013-05-23,17.81,18.2,17.76,18.1,8075612,FITB
2013-05-24,18.06,18.25,18.01,18.25,5605971,FITB
2013-05-25,18.17,18.34,18.1,18.3,5905473,FITB
