index,open,high,low,close,volume,Name
2013-02-08,64.7,64.7,63.24,63.71,1856494,FLR
2013-02-09,64.47,64.58,63.21,63.62,1715855,FLR
2013-02-10,64.24,64.46,63.18,63.52,1575216,FLR
2013-02-11,64.01,64.34,63.15,63.43,1434577,FLR
2013-02-12,63.6,63.7,63.19,63.57,1172858,FLR
2013-02-13,64.06,64.99,63.98,64.05,1434754,FLR
2013-02-14,63.85,64.89,63.7,64.57,1277750,FLR
2013-02-15,64.47,64.7,64.19,64.51,1082102,FLR
2013-02-16,64.47,65.1,64.21,64.95,1319849,FLR
2013-02-17,64.47,65.49,64.24,65.4,1557596,FLR
2013-02-18,64.47,65.89,64.26,65.84,1795343,FLR
2013-02-19,64.47,66.28,64.28,66.28,2033090,FLR
2013-02-20,65.98,66.12,64.33,64.34,2010745,FLR
2013-02-21,63.74,64.04,61.89,63.53,3061390,FLR
2013-02-22,63.91,64.28,63.18,64.05,1418251,FLR
2013-02-23,64.1,64.38,62.6,63.18,1612955,FLR
2013-02-24,64.29,64.47,62.03,62.32,1807660,FLR
2013-02-25,64.48,64.56,61.45,61.45,2002364,FLR
2013-02-26,61.71,61.78,59.61,61.36,3035755,FLR
2013-02-27,61.32,62.92,61.17,62.53,1249643,FLR
2013-02-28,62.53,62.84,61.89,61.9,1609080,FLR
2013-03-01,61.29,61.3,59.49,60.51,3538675,FLR
2013-03-02,60.92,60.96,59.18,60.35,3308905,FLR
2013-03-03,60.54,60.62,58.87,60.19,3079135,FLR
2013-03-04,60.17,60.28,58.56,60.03,2849365,FLR
2013-03-05,60.61,61.79,60.53,61.63,1850398,FLR
2013-03-06,62.09,62.92,61.81,62.75,2008077,FLR
2013-03-07,62.92,63.62,62.72,63.41,2141427,FLR
2013-03-08,63.88,64.52,63.45,64.31,1093026,FLR
2013-03-09,64.01,64.44,63.55,64.19,1152972,FLR
2013-03-10,64.14,64.35,63.65,64.08,1212917,FLR
2013-03-11,64.27,64.27,63.75,63.96,1272863,FLR
2013-03-12,63.97,64.16,63.03,63.83,1033370,FLR
2013-03-13,63.8,63.99,63.37,63.78,1041404,FLR
2013-03-14,64.0,64.87,63.94,64.79,1005480,FLR
2013-03-15,64.47,65.15,64.2,64.48,1522365,FLR
2013-03-16,64.13,64.75,63.71,64.17,1516985,FLR
2013-03-17,63.8,64.34,63.22,63.86,1511604,FLR
2013-03-18,63.46,63.94,62.73,63.55,1506224,FLR
2013-03-19,63.84,63.98,62.76,63.5,1389954,FLR
2013-03-20,63.79,64.25,63.62,64.03,772513,FLR
2013-03-21,63.58,64.32,63.26,63.63,857823,FLR
2013-03-22,63.95,65.08,63.59,64.94,1333774,FLR
2013-03-23,64.34,65.22,63.66,64.73,1319657,FLR
2013-03-24,64.72,65.36,63.73,64.51,1305539,FLR
2013-03-25,65.11,65.5,63.8,64.3,1291422,FLR
2013-03-26,64.68,65.51,64.61,65.49,861500,FLR
2013-03-27,64.84,65.41,64.11,65.25,1036517,FLR
2013-03-28,65.42,66.46,65.06,66.33,1259388,FLR
2013-03-29,65.64,66.55,65.08,66.11,1240024,FLR
2013-03-30,65.86,66.64,65.1,65.88,1220660,FLR
2013-03-31,66.08,66.74,65.11,65.66,1201295,FLR
2013-04-01,66.3,66.83,65.13,65.44,1181931,FLR
2013-04-02,65.56,65.98,64.14,64.28,1137342,FLR
2013-04-03,64.24,64.66,61.1,61.91,2845373,FLR
2013-04-04,62.02,62.42,61.18,61.82,1817576,FLR
2013-04-05,60.74,62.16,60.0,62.03,1352722,FLR
2013-04-06,61.18,62.42,60.62,62.17,1208190,FLR
2013-04-07,61.63,62.67,61.24,62.31,1063658,FLR
2013-04-08,62.07,62.93,61.86,62.45,919126,FLR
2013-04-09,62.59,63.1,61.91,62.68,1016008,FLR
2013-04-10,62.86,63.64,62.06,62.57,2109090,FLR
2013-04-11,62.64,63.19,62.02,62.92,1052801,FLR
2013-04-12,62.51,62.61,60.01,60.22,2519770,FLR
2013-04-13,61.58,61.65,58.31,58.58,6800486,FLR
2013-04-14,60.65,60.68,56.61,56.94,11081203,FLR
2013-04-15,59.72,59.72,54.91,55.3,15361919,FLR
2013-04-16,56.58,57.27,56.12,56.64,4489807,FLR
2013-04-17,56.08,56.08,54.42,55.27,3759905,FLR
2013-04-18,55.45,55.8,54.22,54.33,2462555,FLR
2013-04-19,54.32,54.67,53.76,54.16,2077498,FLR
2013-04-20,54.31,54.9,53.67,54.53,2175528,FLR
2013-04-21,54.29,55.14,53.59,54.9,2273557,FLR
2013-04-22,54.28,55.37,53.5,55.27,2371587,FLR
2013-04-23,55.5,55.61,53.75,54.38,2684568,FLR
2013-04-24,54.61,56.33,54.61,56.32,2283650,FLR
2013-04-25,56.69,57.16,56.34,56.63,1827342,FLR
2013-04-26,56.61,56.85,56.14,56.38,1098993,FLR
2013-04-27,56.58,56.9,56.11,56.4,1198832,FLR
2013-04-28,56.55,56.95,56.08,56.43,1298670,FLR
2013-04-29,56.52,57.0,56.05,56.45,1398509,FLR
2013-04-30,56.37,57.0,55.72,56.98,2149655,FLR
2013-05-01,56.5,56.77,55.63,56.15,2701674,FLR
2013-05-02,56.36,57.68,56.18,57.45,1756935,FLR
2013-05-03,59.73,61.75,59.08,59.8,3084301,FLR
2013-05-04,59.76,61.33,59.18,59.9,2599265,FLR
2013-05-05,59.78,60.9,59.29,59.99,2114229,FLR
2013-05-06,59.81,60.48,59.4,60.09,1629193,FLR
2013-05-07,60.15,60.51,59.79,60.43,1559715,FLR
2013-05-08,60.44,61.96,60.38,61.79,2082712,FLR
2013-05-09,62.1,62.37,61.43,61.67,1736441,FLR
2013-05-10,61.7,61.93,61.03,61.91,1535389,FLR
2013-05-11,61.62,61.89,60.78,61.47,1636267,FLR
2013-05-12,61.55,61.84,60.52,61.02,1737146,FLR
2013-05-13,61.47,61.8,60.27,60.58,1838024,FLR
2013-05-14,60.62,61.84,60.51,61.84,2035463,FLR
2013-05-15,61.5,62.64,61.27,62.29,2046738,FLR
2013-05-16,61.96,62.88,61.57,62.0,1597889,FLR
2013-05-17,62.3,64.67,62.21,64.57,2272368,FLR
2013-05-18,62.94,65.41,62.86,65.14,2474376,FLR
2013-05-19,63.58,66.16,63.52,65.71,2676383,FLR
2013-05-20,64.22,66.9,64.17,66.28,2878391,FLR
2013-05-21,66.08,66.66,65.4,65.99,1759557,FLR
2013-05-22,65.92,66.62,64.76,65.0,1656298,FLR
2013-05-23,63.87,65.33,63.25,64.93,1913508,FLR
2013-05-24,64.28,64.75,62.38,63.68,1949734,FLR
2013-05-25,64.42,64.78,62.8,63.82,1816096,FLR
2013-05-26,64.56,64.81,63.22,63.97,1682459,FLR
2013-05-27,64.69,64.84,63.63,64.12,1548822,FLR
2013-05-28,64.83,64.87,64.05,64.26,1415184,FLR
2013-05-29,63.56,64.3,63.12,63.4,1239832,FLR
2013-05-30,63.75,64.27,63.12,63.89,942918,FLR
2013-05-31,63.5,64.43,63.21,63.21,1901572,FLR
2013-06-01,63.42,64.15,62.73,63.17,1835193,FLR
2013-06-02,63.34,63.86,62.26,63.14,1768813,FLR
2013-06-03,63.26,63.58,61.78,63.1,1702434,FLR
2013-06-04,62.8,63.61,61.85,62.67,1394081,FLR
2013-06-05,62.5,62.65,61.17,61.58,1647314,FLR
2013-06-06,61.36,62.24,61.08,62.2,1611294,FLR
2013-06-07,62.5,63.15,62.12,62.86,1016079,FLR
2013-06-08,62.67,63.26,62.21,62.93,1004326,FLR
2013-06-09,62.83,63.37,62.31,63.01,992573,FLR
2013-06-10,63.0,63.48,62.4,63.08,980820,FLR
2013-06-11,62.14,62.32,61.01,61.57,1793907,FLR
2013-06-12,62.2,62.41,59.94,60.21,1646113,FLR
2013-06-13,60.1,61.35,60.0,61.14,1611374,FLR
2013-06-14,61.15,61.86,60.85,61.0,1171815,FLR
2013-06-15,61.27,62.21,61.05,61.44,1307901,FLR
2013-06-16,61.38,62.56,61.25,61.87,1443987,FLR
2013-06-17,61.5,62.92,61.45,62.31,1580073,FLR
2013-06-18,62.53,63.51,62.42,63.28,1347845,FLR
2013-06-19,63.14,63.5,62.21,62.23,1296474,FLR
2013-06-20,61.3,61.31,59.71,60.01,1927881,FLR
2013-06-21,60.43,60.73,59.3,60.17,2597211,FLR
2013-06-22,59.99,60.2,58.81,59.65,2318293,FLR
2013-06-23,59.55,59.67,58.33,59.13,2039375,FLR
2013-06-24,59.11,59.14,57.84,58.61,1760457,FLR
2013-06-25,59.28,59.74,58.75,59.14,1731302,FLR
2013-06-26,59.67,59.74,58.44,58.86,1537167,FLR
2013-06-27,59.35,59.9,58.97,59.73,1326524,FLR
2013-06-28,59.19,59.71,58.78,59.31,2051570,FLR
2013-06-29,59.41,59.8,58.81,59.21,1967750,FLR
2013-06-30,59.62,59.9,58.83,59.12,1883929,FLR
2013-07-01,59.84,59.99,58.86,59.02,1800109,FLR
2013-07-02,58.97,59.25,58.01,58.3,1337886,FLR
2013-07-03,58.23,58.67,57.64,58.27,944526,FLR
2013-07-04,58.56,58.82,57.57,58.43,1169447,FLR
2013-07-05,58.88,58.97,57.5,58.59,1394368,FLR
2013-07-06,58.85,58.96,57.57,58.31,1599035,FLR
2013-07-07,58.83,58.94,57.64,58.03,1803701,FLR
2013-07-08,58.8,58.93,57.7,57.75,2008368,FLR
2013-07-09,58.33,59.54,58.23,59.01,1287568,FLR
2013-07-10,59.11,59.52,58.8,59.29,1091571,FLR
2013-07-11,60.31,61.36,60.18,61.24,2093367,FLR
2013-07-12,61.07,61.86,60.7,61.49,1255148,FLR
2013-07-13,61.21,61.93,60.92,61.61,1130907,FLR
2013-07-14,61.36,62.0,61.13,61.72,1006667,FLR
2013-07-15,61.5,62.07,61.35,61.84,882426,FLR
2013-07-16,62.0,62.15,60.65,61.17,1146319,FLR
2013-07-17,61.63,61.76,61.06,61.27,918339,FLR
2013-07-18,61.36,62.56,61.36,62.27,1130902,FLR
2013-07-19,62.33,63.12,62.0,62.84,1406674,FLR
2013-07-20,62.43,63.1,62.08,62.9,1277062,FLR
2013-07-21,62.52,63.07,62.15,62.95,1147451,FLR
2013-07-22,62.62,63.05,62.23,63.01,1017839,FLR
2013-07-23,63.12,63.15,62.64,62.95,802176,FLR
2013-07-24,63.1,63.38,62.21,62.29,1016896,FLR
2013-07-25,62.07,62.77,61.75,62.1,1315405,FLR
2013-07-26,61.58,62.17,61.11,61.6,1563125,FLR
2013-07-27,61.5,61.91,60.73,61.17,1585296,FLR
2013-07-28,61.42,61.64,60.36,60.73,1607467,FLR
2013-07-29,61.34,61.38,59.98,60.3,1629638,FLR
2013-07-30,60.58,60.86,60.14,60.73,2057314,FLR
2013-07-31,60.9,63.4,60.9,62.56,2884525,FLR
2013-08-01,63.19,65.46,61.68,65.04,2593716,FLR
2013-08-02,64.92,67.06,64.33,66.53,2620089,FLR
2013-08-03,65.39,67.01,64.83,66.59,2179087,FLR
2013-08-04,65.85,66.96,65.32,66.64,1738085,FLR
2013-08-05,66.32,66.91,65.82,66.7,1297083,FLR
2013-08-06,66.53,66.65,64.89,65.55,2970088,FLR
2013-08-07,65.37,65.47,64.22,65.21,2039779,FLR
2013-08-08,65.5,66.7,64.94,66.04,2553100,FLR
2013-08-09,66.02,66.25,65.34,65.98,1787681,FLR
2013-08-10,65.81,66.14,65.3,65.84,1665093,FLR
2013-08-11,65.61,66.03,65.27,65.69,1542506,FLR
2013-08-12,65.4,65.92,65.23,65.55,1419918,FLR
2013-08-13,65.74,66.1,65.34,65.81,1145670,FLR
2013-08-14,65.92,66.74,65.54,66.43,1344233,FLR
2013-08-15,65.82,66.3,65.31,65.95,1402717,FLR
2013-08-16,65.74,66.6,65.62,66.19,1026608,FLR
2013-08-17,65.78,66.41,65.37,65.81,1101989,FLR
2013-08-18,65.82,66.21,65.11,65.44,1177370,FLR
2013-08-19,65.86,66.02,64.86,65.06,1252751,FLR
2013-08-20,65.29,65.75,64.75,65.05,1876102,FLR
2013-08-21,64.76,66.0,64.66,65.25,1282809,FLR
2013-08-22,65.71,66.69,65.63,66.28,679083,FLR
2013-08-23,66.33,66.33,65.23,66.08,939181,FLR
2013-08-24,66.33,66.56,65.57,66.21,994193,FLR
2013-08-25,66.32,66.79,65.91,66.35,1049205,FLR
2013-08-26,66.32,67.02,66.25,66.48,1104217,FLR
2013-08-27,65.63,65.69,64.5,64.73,1477729,FLR
2013-08-28,64.56,64.75,64.08,64.31,1083807,FLR
2013-08-29,63.89,64.46,63.77,63.9,1252503,FLR
2013-08-30,64.03,64.14,63.17,63.43,926963,FLR
2013-08-31,64.04,64.27,63.18,63.46,929928,FLR
2013-09-01,64.06,64.41,63.19,63.48,932893,FLR
2013-09-02,64.07,64.54,63.2,63.51,935858,FLR
2013-09-03,64.08,64.68,63.21,63.54,938823,FLR
