index,open,high,low,close,volume,Name
2013-02-08,34.69,34.96,34.63,34.85,956594,FL
2013-02-09,34.72,34.93,34.61,34.85,1023370,FL
2013-02-10,34.76,34.91,34.59,34.84,1090147,FL
2013-02-11,34.79,34.88,34.57,34.84,1156923,FL
2013-02-12,34.85,35.03,34.69,34.72,1197578,FL
2013-02-13,34.72,34.89,33.15,33.44,3338838,FL
2013-02-14,33.43,33.67,33.05,33.29,1891509,FL
2013-02-15,33.27,33.87,33.19,33.51,2457908,FL
2013-02-16,33.35,33.95,33.19,33.65,2328141,FL
2013-02-17,33.43,34.03,33.19,33.79,2198374,FL
2013-02-18,33.51,34.12,33.19,33.93,2068606,FL
2013-02-19,33.59,34.2,33.19,34.07,1938839,FL
2013-02-20,34.04,34.54,34.0,34.35,2913333,FL
2013-02-21,34.39,34.94,34.15,34.29,2885457,FL
2013-02-22,34.3,34.59,33.72,33.96,1759711,FL
2013-02-23,34.19,34.4,33.52,33.68,1742165,FL
2013-02-24,34.09,34.21,33.33,33.41,1724620,FL
2013-02-25,33.98,34.02,33.13,33.13,1707074,FL
2013-02-26,33.14,33.59,32.84,33.04,1691407,FL
2013-02-27,33.06,34.01,33.04,33.88,1402554,FL
2013-02-28,34.11,34.39,33.95,34.19,1633281,FL
2013-03-01,34.09,34.56,33.98,34.55,1651200,FL
2013-03-02,34.18,34.71,34.11,34.53,1747469,FL
2013-03-03,34.27,34.85,34.23,34.51,1843739,FL
2013-03-04,34.36,35.0,34.36,34.49,1940008,FL
2013-03-05,34.81,35.35,34.68,35.34,2352501,FL
2013-03-06,35.42,35.64,34.94,35.17,3687642,FL
2013-03-07,35.16,35.5,34.96,35.31,2186766,FL
2013-03-08,33.5,33.66,31.79,32.79,9830053,FL
2013-03-09,33.24,33.37,31.89,32.69,8140909,FL
2013-03-10,32.99,33.08,32.0,32.59,6451765,FL
2013-03-11,32.73,32.79,32.1,32.49,4762621,FL
2013-03-12,32.4,33.15,32.36,32.76,3065484,FL
2013-03-13,32.88,33.28,32.8,32.94,1861862,FL
2013-03-14,33.12,33.34,32.89,33.0,2308642,FL
2013-03-15,33.08,33.14,32.33,32.36,2989452,FL
2013-03-16,32.77,32.88,32.24,32.29,2876805,FL
2013-03-17,32.47,32.62,32.16,32.22,2764158,FL
2013-03-18,32.16,32.36,32.07,32.15,2651511,FL
2013-03-19,32.08,32.23,31.3,31.95,4623578,FL
2013-03-20,32.17,34.25,32.07,32.21,5448439,FL
2013-03-21,32.15,32.53,32.06,32.28,5061255,FL
2013-03-22,32.79,33.91,32.73,33.31,4821722,FL
2013-03-23,32.96,33.77,32.74,33.22,4361628,FL
2013-03-24,33.14,33.64,32.75,33.13,3901534,FL
2013-03-25,33.31,33.5,32.76,33.04,3441440,FL
2013-03-26,33.13,33.94,33.06,33.79,3642597,FL
2013-03-27,33.58,34.22,33.4,34.12,3143143,FL
2013-03-28,34.15,34.77,33.99,34.24,2795189,FL
2013-03-29,34.16,34.65,33.87,34.14,2484226,FL
2013-03-30,34.17,34.53,33.76,34.03,2173264,FL
2013-03-31,34.19,34.41,33.64,33.92,1862302,FL
2013-04-01,34.2,34.29,33.52,33.82,1551339,FL
2013-04-02,34.04,34.12,33.61,33.75,3023263,FL
2013-04-03,33.9,34.41,33.1,33.21,3516406,FL
2013-04-04,33.24,33.46,32.95,33.15,4124105,FL
2013-04-05,32.86,33.38,32.57,33.36,2453651,FL
2013-04-06,33.04,33.43,32.76,33.32,2045592,FL
2013-04-07,33.22,33.48,32.96,33.29,1637534,FL
2013-04-08,33.4,33.53,33.15,33.25,1229475,FL
2013-04-09,33.42,33.68,32.96,32.96,2306042,FL
2013-04-10,33.02,33.86,33.02,33.76,1576902,FL
2013-04-11,33.76,34.6,33.71,34.06,2481103,FL
2013-04-12,34.21,34.53,33.95,34.51,1968608,FL
2013-04-13,34.24,34.49,33.76,34.16,2248159,FL
2013-04-14,34.26,34.46,33.58,33.82,2527711,FL
2013-04-15,34.29,34.42,33.39,33.47,2807262,FL
2013-04-16,33.56,33.72,32.96,33.31,2931248,FL
2013-04-17,32.87,32.97,32.11,32.47,2777082,FL
2013-04-18,32.6,32.65,31.7,31.79,3005362,FL
2013-04-19,31.88,32.35,31.36,31.92,2467493,FL
2013-04-20,31.93,32.51,31.54,32.2,2480238,FL
2013-04-21,31.97,32.66,31.72,32.49,2492984,FL
2013-04-22,32.02,32.82,31.9,32.77,2505729,FL
2013-04-23,32.96,33.4,32.38,32.52,2534412,FL
2013-04-24,32.53,32.87,32.23,32.34,1948368,FL
2013-04-25,32.53,33.49,32.42,33.4,2646559,FL
2013-04-26,33.3,33.73,33.29,33.69,1821056,FL
2013-04-27,33.44,33.89,33.4,33.77,1795228,FL
2013-04-28,33.57,34.04,33.52,33.84,1769401,FL
2013-04-29,33.71,34.2,33.63,33.92,1743573,FL
2013-04-30,34.07,34.87,33.97,34.87,2682514,FL
2013-05-01,34.89,34.9,34.59,34.66,2144056,FL
2013-05-02,34.71,35.13,34.68,34.91,2204055,FL
2013-05-03,35.18,35.45,35.14,35.28,2752433,FL
2013-05-04,35.21,35.4,35.05,35.21,2526635,FL
2013-05-05,35.24,35.36,34.96,35.13,2300838,FL
2013-05-06,35.27,35.31,34.86,35.06,2075040,FL
2013-05-07,35.21,35.84,34.91,35.69,2789040,FL
2013-05-08,35.61,35.87,35.42,35.86,1794781,FL
2013-05-09,35.8,36.31,35.8,35.97,2004007,FL
2013-05-10,35.99,36.27,35.88,36.17,1364160,FL
2013-05-11,36.05,36.29,35.94,36.21,1343135,FL
2013-05-12,36.11,36.3,35.99,36.26,1322111,FL
2013-05-13,36.17,36.32,36.05,36.3,1301086,FL
2013-05-14,36.32,36.42,35.84,36.35,1998523,FL
2013-05-15,36.39,36.72,36.22,36.55,1454086,FL
2013-05-16,36.47,36.76,36.26,36.4,1350625,FL
2013-05-17,36.51,36.94,36.29,36.92,2108974,FL
2013-05-18,36.62,36.92,36.33,36.81,2102282,FL
2013-05-19,36.72,36.89,36.36,36.7,2095590,FL
2013-05-20,36.83,36.87,36.4,36.59,2088898,FL
2013-05-21,36.74,36.99,36.29,36.3,2903845,FL
2013-05-22,36.33,36.54,35.68,35.83,2517407,FL
2013-05-23,35.53,35.84,35.41,35.68,3676782,FL
2013-05-24,33.74,34.02,32.61,33.9,10437193,FL
2013-05-25,33.94,34.28,32.95,33.95,9321586,FL
2013-05-26,34.15,34.53,33.29,34.0,8205978,FL
2013-05-27,34.36,34.79,33.63,34.05,7090371,FL
2013-05-28,34.56,35.05,33.97,34.1,5974764,FL
2013-05-29,33.99,34.26,33.79,34.02,3914886,FL
2013-05-30,34.03,34.25,33.82,34.01,4058214,FL
2013-05-31,33.95,34.75,33.75,34.32,3198733,FL
2013-06-01,34.06,34.62,33.8,34.3,3163256,FL
2013-06-02,34.16,34.49,33.86,34.29,3127778,FL
2013-06-03,34.27,34.36,33.91,34.27,3092301,FL
2013-06-04,34.29,34.85,34.26,34.81,2779218,FL
2013-06-05,34.66,34.86,34.0,34.06,2976325,FL
2013-06-06,34.07,34.49,33.81,34.49,1600618,FL
2013-06-07,34.74,35.08,34.49,34.93,1867690,FL
2013-06-08,34.91,35.2,34.68,35.03,2056479,FL
2013-06-09,35.07,35.33,34.87,35.12,2245267,FL
2013-06-10,35.24,35.46,35.06,35.22,2434056,FL
2013-06-11,34.87,35.24,34.56,34.58,1960213,FL
2013-06-12,34.75,35.0,34.08,34.16,2261566,FL
2013-06-13,34.25,34.57,33.99,34.46,2461177,FL
2013-06-14,34.39,35.08,34.35,34.77,2172436,FL
2013-06-15,34.59,35.12,34.41,34.73,1960087,FL
2013-06-16,34.8,35.15,34.48,34.7,1747738,FL
2013-06-17,35.0,35.19,34.54,34.66,1535389,FL
2013-06-18,34.75,35.46,34.72,35.41,2673619,FL
2013-06-19,35.45,36.02,35.37,35.5,2819208,FL
2013-06-20,35.27,35.34,34.77,34.95,3065552,FL
2013-06-21,35.1,35.26,34.7,34.98,3151121,FL
2013-06-22,34.96,35.07,34.48,34.77,2665051,FL
2013-06-23,34.81,34.89,34.25,34.57,2178980,FL
2013-06-24,34.67,34.7,34.02,34.36,1692910,FL
2013-06-25,34.66,34.84,34.52,34.57,1810885,FL
2013-06-26,34.9,34.9,33.53,33.9,3560137,FL
2013-06-27,34.19,34.43,34.04,34.25,2409830,FL
2013-06-28,34.26,35.37,34.25,35.13,3351699,FL
2013-06-29,34.67,35.58,34.59,35.21,2935267,FL
2013-06-30,35.08,35.8,34.92,35.28,2518834,FL
2013-07-01,35.49,36.01,35.26,35.36,2102402,FL
2013-07-02,35.4,36.02,35.34,35.69,1847351,FL
2013-07-03,35.55,35.75,35.23,35.44,536414,FL
2013-07-04,35.64,35.83,35.24,35.6,847594,FL
2013-07-05,35.73,35.91,35.24,35.76,1158775,FL
2013-07-06,35.73,36.28,35.4,36.06,1718471,FL
2013-07-07,35.72,36.66,35.56,36.36,2278166,FL
2013-07-08,35.72,37.03,35.72,36.66,2837862,FL
2013-07-09,36.74,36.85,36.5,36.6,1746886,FL
2013-07-10,36.68,37.03,36.49,36.75,1993527,FL
2013-07-11,37.21,37.24,36.5,36.78,2115952,FL
2013-07-12,36.83,37.18,36.8,37.05,1834206,FL
2013-07-13,36.98,37.35,36.88,37.07,1791553,FL
2013-07-14,37.13,37.53,36.96,37.09,1748899,FL
2013-07-15,37.28,37.7,37.04,37.11,1706246,FL
2013-07-16,37.15,37.22,36.28,36.41,2125713,FL
2013-07-17,36.42,36.61,36.1,36.23,1094619,FL
2013-07-18,36.39,36.94,36.33,36.58,1324060,FL
2013-07-19,36.5,36.83,36.41,36.49,854906,FL
2013-07-20,36.53,36.83,36.44,36.52,875433,FL
2013-07-21,36.55,36.82,36.47,36.56,895959,FL
2013-07-22,36.58,36.82,36.5,36.59,916486,FL
2013-07-23,36.6,36.88,36.32,36.34,2059722,FL
2013-07-24,36.47,36.59,35.47,35.65,2468781,FL
2013-07-25,35.63,36.1,35.55,36.07,1583501,FL
2013-07-26,36.0,36.46,35.91,36.27,1148390,FL
2013-07-27,36.04,36.48,35.98,36.29,1290842,FL
2013-07-28,36.09,36.51,36.05,36.31,1433294,FL
2013-07-29,36.13,36.53,36.12,36.33,1575746,FL
2013-07-30,36.49,36.58,36.13,36.47,1113100,FL
2013-07-31,36.56,36.84,35.91,36.13,1581017,FL
2013-08-01,36.42,37.43,36.17,37.26,2308697,FL
2013-08-02,37.17,37.42,36.78,37.31,1239572,FL
2013-08-03,37.24,37.56,36.94,37.41,1326580,FL
2013-08-04,37.3,37.71,37.11,37.51,1413589,FL
2013-08-05,37.37,37.85,37.27,37.61,1500597,FL
2013-08-06,37.23,37.23,34.92,35.63,6548549,FL
2013-08-07,35.7,35.99,35.36,35.84,3222080,FL
2013-08-08,35.74,36.2,35.62,35.67,3083127,FL
2013-08-09,35.0,35.4,34.06,34.52,4550996,FL
2013-08-10,34.83,35.31,34.17,34.67,3618675,FL
2013-08-11,34.67,35.23,34.27,34.82,2686355,FL
2013-08-12,34.5,35.14,34.38,34.97,1754034,FL
2013-08-13,34.98,35.03,34.55,34.94,1530900,FL
2013-08-14,34.82,35.07,34.51,34.86,1313512,FL
2013-08-15,34.87,34.93,34.4,34.61,1596628,FL
2013-08-16,34.49,34.83,34.4,34.65,1658928,FL
2013-08-17,34.54,34.79,34.25,34.44,1916029,FL
2013-08-18,34.58,34.74,34.11,34.22,2173131,FL
