index,open,high,low,close,volume,Name
2013-02-08,59.71,60.09,59.06,59.82,1126347,FMC
2013-02-09,59.78,60.1,59.1,59.61,1069886,FMC
2013-02-10,59.86,60.11,59.14,59.41,1013425,FMC
2013-02-11,59.93,60.12,59.18,59.2,956964,FMC
2013-02-12,59.6,59.6,58.01,58.13,1594216,FMC
2013-02-13,58.25,59.0,58.25,58.81,1104986,FMC
2013-02-14,58.59,59.08,58.25,59.01,922822,FMC
2013-02-15,59.02,59.89,59.0,59.47,1188598,FMC
2013-02-16,59.2,59.97,59.08,59.43,1198570,FMC
2013-02-17,59.38,60.06,59.16,59.4,1208542,FMC
2013-02-18,59.55,60.14,59.24,59.36,1218515,FMC
2013-02-19,59.73,60.22,59.32,59.32,1228487,FMC
2013-02-20,59.3,59.53,58.16,58.23,1418952,FMC
2013-02-21,57.92,57.92,57.0,57.46,1520104,FMC
2013-02-22,57.57,58.76,57.53,58.71,723163,FMC
2013-02-23,58.03,58.9,57.52,58.31,882784,FMC
2013-02-24,58.48,59.04,57.52,57.91,1042406,FMC
2013-02-25,58.94,59.18,57.51,57.51,1202027,FMC
2013-02-26,57.79,58.72,57.66,58.52,905961,FMC
2013-02-27,58.57,59.98,58.47,59.65,613294,FMC
2013-02-28,59.68,60.66,59.62,60.26,1567281,FMC
2013-03-01,59.97,60.21,59.14,59.9,978054,FMC
2013-03-02,59.83,60.23,59.15,60.01,915536,FMC
2013-03-03,59.68,60.25,59.17,60.13,853019,FMC
2013-03-04,59.54,60.27,59.18,60.24,790501,FMC
2013-03-05,60.45,61.01,60.17,60.74,851659,FMC
2013-03-06,60.88,61.34,60.6,61.07,668782,FMC
2013-03-07,61.06,61.48,60.79,60.89,633604,FMC
2013-03-08,61.23,61.5,60.81,61.12,918341,FMC
2013-03-09,61.21,61.51,60.83,61.21,848900,FMC
2013-03-10,61.19,61.51,60.85,61.3,779458,FMC
2013-03-11,61.17,61.51,60.86,61.39,710017,FMC
2013-03-12,61.33,61.67,61.01,61.27,897190,FMC
2013-03-13,61.32,61.32,60.65,61.15,577562,FMC
2013-03-14,61.38,61.61,60.95,61.16,727380,FMC
2013-03-15,60.86,61.19,59.93,60.0,2603906,FMC
2013-03-16,60.42,60.8,59.73,59.84,2049451,FMC
2013-03-17,59.97,60.42,59.52,59.67,1494995,FMC
2013-03-18,59.53,60.03,59.32,59.51,940540,FMC
2013-03-19,59.62,59.7,58.42,59.27,850323,FMC
2013-03-20,59.52,59.79,58.93,59.16,645459,FMC
2013-03-21,58.76,58.84,57.09,57.19,1372884,FMC
2013-03-22,57.5,57.79,57.22,57.45,943292,FMC
2013-03-23,57.5,57.73,56.99,57.18,955353,FMC
2013-03-24,57.5,57.67,56.77,56.92,967415,FMC
2013-03-25,57.5,57.61,56.54,56.65,979476,FMC
2013-03-26,56.72,57.22,56.5,56.96,671491,FMC
2013-03-27,56.5,56.72,56.26,56.56,863715,FMC
2013-03-28,56.6,57.11,56.43,57.03,1160777,FMC
2013-03-29,56.76,57.14,56.33,56.81,1018911,FMC
2013-03-30,56.92,57.17,56.24,56.58,877044,FMC
2013-03-31,57.07,57.2,56.14,56.36,735178,FMC
2013-04-01,57.23,57.23,56.04,56.14,593312,FMC
2013-04-02,56.41,56.68,56.06,56.4,973950,FMC
2013-04-03,56.5,57.0,55.67,56.04,1682586,FMC
2013-04-04,56.26,56.72,55.79,56.26,797076,FMC
2013-04-05,55.48,55.71,55.18,55.45,1060586,FMC
2013-04-06,55.68,56.18,55.4,55.98,1100890,FMC
2013-04-07,55.89,56.64,55.63,56.52,1141193,FMC
2013-04-08,56.09,57.11,55.86,57.05,1181497,FMC
2013-04-09,57.19,57.6,56.76,57.15,588249,FMC
2013-04-10,57.32,57.84,57.25,57.84,773304,FMC
2013-04-11,57.82,58.86,57.8,58.69,835681,FMC
2013-04-12,58.44,58.57,58.14,58.43,856915,FMC
2013-04-13,58.28,58.44,57.56,57.75,942486,FMC
2013-04-14,58.11,58.31,56.97,57.07,1028058,FMC
2013-04-15,57.95,58.18,56.39,56.39,1113629,FMC
2013-04-16,56.8,58.24,56.73,58.21,1097817,FMC
2013-04-17,57.72,58.26,57.31,57.81,1480858,FMC
2013-04-18,57.87,58.56,57.47,57.68,1068729,FMC
2013-04-19,57.91,58.38,57.69,57.88,867530,FMC
2013-04-20,57.93,58.36,57.5,57.96,737100,FMC
2013-04-21,57.94,58.34,57.3,58.04,606669,FMC
2013-04-22,57.96,58.32,57.11,58.12,476239,FMC
2013-04-23,58.33,59.25,57.97,59.19,656536,FMC
2013-04-24,59.51,60.2,59.32,59.56,698088,FMC
2013-04-25,59.94,60.85,59.73,60.67,596219,FMC
2013-04-26,60.5,60.88,59.89,59.89,862373,FMC
2013-04-27,60.45,60.88,59.84,60.15,743814,FMC
2013-04-28,60.39,60.87,59.79,60.41,625255,FMC
2013-04-29,60.34,60.87,59.74,60.67,506696,FMC
2013-04-30,60.44,61.01,60.09,60.7,1244146,FMC
2013-05-01,56.56,62.0,55.71,58.37,2002668,FMC
2013-05-02,58.42,59.04,57.92,58.8,1318206,FMC
2013-05-03,59.58,60.12,59.34,59.57,1295950,FMC
2013-05-04,59.56,60.17,59.33,59.78,1028809,FMC
2013-05-05,59.53,60.22,59.31,59.98,761667,FMC
2013-05-06,59.51,60.28,59.3,60.19,494526,FMC
2013-05-07,60.17,60.8,59.8,60.65,960874,FMC
2013-05-08,60.69,61.85,60.65,61.82,801117,FMC
2013-05-09,61.82,61.82,61.11,61.52,440685,FMC
2013-05-10,61.54,61.97,61.26,61.95,691460,FMC
2013-05-11,61.58,61.92,60.99,61.53,728328,FMC
2013-05-12,61.63,61.88,60.72,61.12,765197,FMC
2013-05-13,61.67,61.83,60.45,60.7,802065,FMC
2013-05-14,60.7,63.3,60.6,62.9,1520477,FMC
2013-05-15,62.71,63.28,62.28,62.99,823734,FMC
2013-05-16,62.77,62.89,61.93,62.0,629046,FMC
2013-05-17,62.06,63.36,62.06,63.35,700593,FMC
2013-05-18,62.44,63.34,62.28,63.3,721883,FMC
2013-05-19,62.81,63.32,62.51,63.25,743172,FMC
2013-05-20,63.19,63.3,62.73,63.2,764462,FMC
2013-05-21,63.02,63.33,62.77,62.88,585930,FMC
2013-05-22,62.88,63.39,62.67,62.9,1529836,FMC
2013-05-23,62.3,64.15,62.01,63.5,1240433,FMC
2013-05-24,63.11,63.55,62.84,63.51,772050,FMC
2013-05-25,63.42,63.9,63.12,63.75,789376,FMC
2013-05-26,63.73,64.25,63.4,64.0,806701,FMC
2013-05-27,64.04,64.6,63.68,64.24,824026,FMC
2013-05-28,64.35,64.95,63.96,64.48,841352,FMC
2013-05-29,63.94,64.31,63.39,63.8,858436,FMC
2013-05-30,63.97,64.06,63.31,63.91,587147,FMC
2013-05-31,63.54,63.87,62.71,62.71,703776,FMC
2013-06-01,63.3,63.58,62.35,62.48,816631,FMC
2013-06-02,63.07,63.29,62.0,62.26,929486,FMC
2013-06-03,62.83,63.0,61.64,62.03,1042341,FMC
2013-06-04,62.09,62.85,61.47,62.18,1182421,FMC
2013-06-05,61.87,62.19,61.18,61.21,748423,FMC
2013-06-06,61.23,61.53,60.66,61.26,863101,FMC
2013-06-07,61.64,62.92,61.29,62.87,779349,FMC
2013-06-08,62.15,63.09,61.59,62.85,675377,FMC
2013-06-09,62.66,63.25,61.89,62.84,571404,FMC
2013-06-10,63.17,63.42,62.19,62.82,467432,FMC
2013-06-11,62.11,63.07,61.81,62.72,753594,FMC
2013-06-12,63.29,63.35,61.86,62.17,539730,FMC
2013-06-13,61.93,63.32,61.4,63.07,745027,FMC
2013-06-14,63.07,63.43,62.2,62.57,570546,FMC
2013-06-15,63.07,63.63,62.33,63.0,744636,FMC
2013-06-16,63.07,63.84,62.46,63.42,918726,FMC
2013-06-17,63.07,64.04,62.59,63.85,1092816,FMC
2013-06-18,63.86,64.95,63.49,64.7,791288,FMC
2013-06-19,64.78,64.96,64.02,64.12,615205,FMC
2013-06-20,61.96,63.6,61.96,62.62,819633,FMC
2013-06-21,63.25,63.46,61.88,62.58,1037533,FMC
2013-06-22,62.84,63.08,61.62,62.29,924199,FMC
2013-06-23,62.43,62.7,61.36,62.01,810866,FMC
2013-06-24,62.02,62.32,61.09,61.72,697532,FMC
2013-06-25,62.34,62.56,61.16,61.72,953762,FMC
