index,open,high,low,close,volume,Name
2013-06-19,28.15,28.76,27.95,28.35,10861005,FOXA
2013-06-20,29.9,29.9,27.3,27.5,8726576,FOXA
2013-06-21,28.0,28.0,27.22,27.59,2741716,FOXA
2013-06-22,27.83,28.15,27.14,27.49,2981456,FOXA
2013-06-23,27.66,28.31,27.07,27.4,3221197,FOXA
2013-06-24,27.49,28.46,26.99,27.3,3460937,FOXA
2013-06-25,27.99,27.99,27.43,27.53,3287184,FOXA
2013-06-26,27.64,28.45,27.64,28.45,8798528,FOXA
2013-06-27,28.9,29.2,28.56,28.88,12870371,FOXA
2013-06-28,28.8,28.99,28.61,28.99,6017566,FOXA
2013-06-29,28.79,29.28,28.66,29.13,7953397,FOXA
2013-06-30,28.78,29.58,28.72,29.26,9889228,FOXA
2013-07-01,28.77,29.87,28.77,29.4,11825059,FOXA
2013-07-02,29.75,29.75,29.13,29.21,16679989,FOXA
2013-07-03,29.07,29.72,28.79,29.65,9751279,FOXA
2013-07-04,29.7,30.13,29.35,30.02,10728113,FOXA
2013-07-05,30.33,30.54,29.91,30.38,11704947,FOXA
2013-07-06,30.42,30.58,29.96,30.38,11878861,FOXA
2013-07-07,30.51,30.61,30.02,30.38,12052775,FOXA
2013-07-08,30.6,30.65,30.07,30.37,12226689,FOXA
2013-07-09,30.5,30.61,29.96,30.09,14498600,FOXA
2013-07-10,30.07,30.18,29.61,30.02,11913310,FOXA
2013-07-11,30.52,30.52,29.78,29.94,18499844,FOXA
2013-07-12,30.08,30.26,29.9,30.19,14667217,FOXA
2013-07-13,30.15,30.29,29.9,30.13,13647222,FOXA
2013-07-14,30.21,30.31,29.9,30.06,12627228,FOXA
2013-07-15,30.28,30.34,29.9,30.0,11607233,FOXA
2013-07-16,30.14,30.37,30.04,30.22,6887980,FOXA
2013-07-17,30.28,30.46,29.94,30.16,6300288,FOXA
2013-07-18,30.28,31.14,30.25,31.02,14419778,FOXA
2013-07-19,30.99,31.11,30.54,30.68,10239955,FOXA
2013-07-20,31.1,31.23,30.55,30.74,9817646,FOXA
2013-07-21,31.21,31.36,30.55,30.81,9395338,FOXA
2013-07-22,31.32,31.48,30.56,30.87,8973029,FOXA
2013-07-23,30.69,30.98,30.51,30.86,11194922,FOXA
2013-07-24,30.8,30.95,30.28,30.48,9384885,FOXA
2013-07-25,30.14,30.46,30.11,30.39,8224272,FOXA
2013-07-26,30.07,30.45,30.06,30.43,7218603,FOXA
2013-07-27,30.14,30.4,29.97,30.26,8374542,FOXA
2013-07-28,30.22,30.35,29.87,30.08,9530481,FOXA
2013-07-29,30.29,30.3,29.78,29.91,10686420,FOXA
2013-07-30,29.91,30.16,29.42,29.42,15675405,FOXA
