index,open,high,low,close,volume,Name
2013-06-19,28.35,28.83,28.1,28.48,1501427,FOX
2013-06-20,28.12,28.39,27.49,27.67,1623162,FOX
2013-06-21,27.83,27.97,27.44,27.81,1143996,FOX
2013-06-22,27.67,27.92,27.36,27.74,1153831,FOX
2013-06-23,27.51,27.86,27.27,27.67,1163665,FOX
2013-06-24,27.35,27.81,27.19,27.6,1173500,FOX
2013-06-25,27.85,28.07,27.71,27.85,215906,FOX
2013-06-26,28.22,28.56,27.88,28.56,289666,FOX
2013-06-27,29.64,29.64,28.85,29.13,650067,FOX
2013-06-28,28.99,29.23,28.85,29.02,323940,FOX
2013-06-29,29.03,29.44,28.73,29.19,589950,FOX
2013-06-30,29.06,29.66,28.62,29.36,855960,FOX
2013-07-01,29.1,29.87,28.5,29.53,1121970,FOX
2013-07-02,29.81,29.87,29.26,29.34,1503474,FOX
2013-07-03,29.22,29.83,28.93,29.75,718978,FOX
2013-07-04,29.93,30.24,29.48,30.04,1168974,FOX
2013-07-05,30.64,30.65,30.02,30.32,1618971,FOX
2013-07-06,30.52,30.64,30.07,30.35,1745321,FOX
2013-07-07,30.4,30.64,30.13,30.38,1871672,FOX
2013-07-08,30.28,30.63,30.18,30.41,1998022,FOX
2013-07-09,30.62,30.62,30.03,30.2,1436111,FOX
2013-07-10,30.3,30.4,29.73,30.06,2030131,FOX
2013-07-11,30.06,30.52,29.9,30.08,1773984,FOX
2013-07-12,30.07,30.38,30.04,30.29,1585583,FOX
2013-07-13,30.18,30.39,30.04,30.24,1472773,FOX
2013-07-14,30.29,30.39,30.05,30.2,1359964,FOX
2013-07-15,30.4,30.4,30.05,30.15,1247154,FOX
2013-07-16,30.25,30.46,30.15,30.31,1031096,FOX
2013-07-17,30.35,30.49,30.06,30.31,1079899,FOX
2013-07-18,30.28,31.23,30.25,31.03,2332483,FOX
2013-07-19,30.87,31.13,30.65,30.77,1269569,FOX
2013-07-20,30.97,31.15,30.64,30.81,1172841,FOX
2013-07-21,31.08,31.18,30.62,30.84,1076114,FOX
2013-07-22,31.18,31.2,30.61,30.88,979386,FOX
2013-07-23,30.87,31.02,30.6,30.84,3347988,FOX
2013-07-24,30.75,30.97,30.31,30.48,1720752,FOX
2013-07-25,30.26,30.53,30.16,30.45,866701,FOX
2013-07-26,30.18,30.5,30.18,30.48,1077175,FOX
2013-07-27,30.27,30.48,30.08,30.32,1100635,FOX
2013-07-28,30.36,30.47,29.97,30.15,1124096,FOX
2013-07-29,30.45,30.45,29.87,29.99,1147556,FOX
2013-07-30,29.97,30.21,29.53,29.53,2256547,FOX
2013-07-31,29.73,30.22,29.6,29.99,1927128,FOX
2013-08-01,30.34,30.73,30.21,30.67,855099,FOX
2013-08-02,30.73,31.58,30.65,31.54,1977766,FOX
2013-08-03,31.0,31.75,30.87,31.49,1842341,FOX
2013-08-04,31.27,31.93,31.08,31.44,1706916,FOX
2013-08-05,31.54,32.1,31.3,31.39,1571491,FOX
2013-08-06,31.49,31.65,31.15,31.29,1619868,FOX
2013-08-07,31.62,32.85,31.5,31.82,5071880,FOX
