index,open,high,low,close,volume,Name
2013-02-08,13.1,13.16,13.05,13.1,18596061,F
2013-02-09,13.09,13.17,13.04,13.1,18292579,F
2013-02-10,13.07,13.19,13.03,13.11,17989098,F
2013-02-11,13.06,13.2,13.02,13.11,17685616,F
2013-02-12,13.12,13.2,13.05,13.08,26231279,F
2013-02-13,13.11,13.14,12.99,13.04,24501066,F
2013-02-14,13.0,13.17,12.96,13.11,33487476,F
2013-02-15,13.14,13.14,13.01,13.02,32438244,F
2013-02-16,13.12,13.13,12.98,13.01,32100888,F
2013-02-17,13.09,13.12,12.96,13.0,31763533,F
2013-02-18,13.06,13.1,12.93,13.0,31426178,F
2013-02-19,13.04,13.09,12.9,12.99,31088822,F
2013-02-20,12.95,12.98,12.57,12.6,50348019,F
2013-02-21,12.51,12.51,12.3,12.39,43703152,F
2013-02-22,12.44,12.5,12.31,12.48,23866354,F
2013-02-23,12.47,12.52,12.24,12.36,28781363,F
2013-02-24,12.5,12.55,12.17,12.25,33696372,F
2013-02-25,12.53,12.57,12.1,12.13,38611381,F
2013-02-26,12.24,12.35,12.11,12.34,29191591,F
2013-02-27,12.35,12.85,12.35,12.76,51560391,F
2013-02-28,12.78,12.87,12.6,12.61,37682253,F
2013-03-01,12.56,12.75,12.38,12.61,38806557,F
2013-03-02,12.56,12.75,12.43,12.66,33983200,F
2013-03-03,12.55,12.75,12.48,12.7,29159844,F
2013-03-04,12.55,12.75,12.53,12.75,24336487,F
2013-03-05,12.87,12.98,12.79,12.87,26862736,F
2013-03-06,12.97,13.0,12.85,12.89,28940729,F
2013-03-07,12.89,12.91,12.77,12.83,27701475,F
2013-03-08,12.94,12.99,12.8,12.98,24715071,F
2013-03-09,12.95,13.13,12.84,13.1,32704201,F
2013-03-10,12.96,13.26,12.87,13.22,40693331,F
2013-03-11,12.97,13.4,12.9,13.34,48682461,F
2013-03-12,13.37,13.47,13.17,13.39,46031840,F
2013-03-13,13.37,13.45,13.35,13.4,26454559,F
2013-03-14,13.43,13.45,13.37,13.43,31644702,F
2013-03-15,13.31,13.45,13.26,13.45,63013516,F
2013-03-16,13.26,13.43,13.11,13.39,54288458,F
2013-03-17,13.21,13.41,12.95,13.32,45563401,F
2013-03-18,13.16,13.39,12.8,13.26,36838343,F
2013-03-19,13.27,13.35,13.09,13.16,37621767,F
2013-03-20,13.22,13.4,13.18,13.36,32687455,F
2013-03-21,13.25,13.42,13.23,13.26,29707625,F
2013-03-22,13.24,13.31,13.2,13.26,21412966,F
2013-03-23,13.26,13.34,13.22,13.27,23354376,F
2013-03-24,13.29,13.37,13.24,13.28,25295786,F
2013-03-25,13.31,13.4,13.26,13.29,27237196,F
2013-03-26,13.35,13.37,13.24,13.31,24236688,F
2013-03-27,13.23,13.25,13.1,13.22,26224393,F
2013-03-28,13.24,13.24,13.1,13.15,25471870,F
2013-03-29,13.18,13.21,13.05,13.09,27340844,F
2013-03-30,13.12,13.19,13.0,13.02,29209818,F
2013-03-31,13.07,13.17,12.95,12.96,31078791,F
2013-04-01,13.01,13.15,12.9,12.9,32947765,F
2013-04-02,13.0,13.19,12.96,13.01,35187038,F
2013-04-03,13.05,13.05,12.59,12.68,45186258,F
2013-04-04,12.68,12.78,12.45,12.65,29793838,F
2013-04-05,12.43,12.5,12.15,12.44,42605678,F
2013-04-06,12.44,12.61,12.23,12.55,36365132,F
2013-04-07,12.45,12.72,12.32,12.67,30124585,F
2013-04-08,12.46,12.83,12.4,12.78,23884039,F
2013-04-09,12.85,12.96,12.75,12.8,29807577,F
2013-04-10,12.87,13.13,12.82,13.12,31089780,F
2013-04-11,13.15,13.58,13.13,13.55,51475808,F
2013-04-12,13.43,13.55,13.26,13.53,37951747,F
2013-04-13,13.41,13.52,13.14,13.34,43917802,F
2013-04-14,13.38,13.49,13.03,13.14,49883858,F
2013-04-15,13.36,13.46,12.91,12.95,55849913,F
2013-04-16,13.17,13.24,13.0,13.12,36337661,F
