index,open,high,low,close,volume,Name
2013-02-08,40.32,41.27,40.15,40.9,8968762,GILD
2013-02-09,40.51,41.18,40.15,40.73,9666411,GILD
2013-02-10,40.71,41.1,40.16,40.57,10364059,GILD
2013-02-11,40.9,41.01,40.16,40.4,11061708,GILD
2013-02-12,40.46,40.95,40.3,40.83,9790964,GILD
2013-02-13,40.96,41.51,40.83,41.4,7962603,GILD
2013-02-14,41.18,41.75,41.11,41.6,8687783,GILD
2013-02-15,41.45,41.71,41.3,41.6,8020465,GILD
2013-02-16,41.65,42.04,41.49,41.77,8902340,GILD
2013-02-17,41.85,42.38,41.68,41.94,9784216,GILD
2013-02-18,42.05,42.71,41.87,42.11,10666091,GILD
2013-02-19,42.25,43.04,42.06,42.28,11547966,GILD
2013-02-20,42.51,42.84,41.88,41.88,9391797,GILD
2013-02-21,41.82,41.85,41.18,41.54,9769224,GILD
2013-02-22,41.66,42.49,41.6,42.45,6138636,GILD
2013-02-23,42.03,42.78,41.75,42.33,7279385,GILD
2013-02-24,42.4,43.06,41.91,42.21,8420133,GILD
2013-02-25,42.77,43.35,42.06,42.09,9560882,GILD
2013-02-26,42.14,42.42,41.69,42.25,7195925,GILD
2013-02-27,42.39,43.29,42.08,42.89,7984802,GILD
2013-02-28,43.03,43.18,42.71,42.72,10104187,GILD
2013-03-01,42.63,43.5,42.38,43.45,11294314,GILD
2013-03-02,42.93,43.63,42.65,43.59,10467512,GILD
2013-03-03,43.23,43.75,42.91,43.73,9640710,GILD
2013-03-04,43.53,43.88,43.18,43.87,8813908,GILD
2013-03-05,44.35,45.58,44.35,45.02,15086551,GILD
2013-03-06,45.23,45.45,44.64,45.4,8542154,GILD
2013-03-07,45.1,45.2,44.51,44.95,9176445,GILD
2013-03-08,45.24,45.55,44.51,45.43,6885072,GILD
2013-03-09,45.32,45.68,44.73,45.6,7022708,GILD
2013-03-10,45.41,45.82,44.96,45.77,7160345,GILD
2013-03-11,45.5,45.95,45.18,45.94,7297981,GILD
2013-03-12,45.97,46.37,45.53,46.18,9915880,GILD
2013-03-13,46.15,46.15,45.6,45.87,6112041,GILD
2013-03-14,45.9,46.14,45.68,45.88,8979676,GILD
2013-03-15,45.81,46.0,44.96,45.17,14207258,GILD
2013-03-16,45.45,45.67,44.67,45.05,12499569,GILD
2013-03-17,45.1,45.34,44.39,44.92,10791880,GILD
2013-03-18,44.74,45.01,44.1,44.8,9084191,GILD
2013-03-19,44.81,45.0,43.78,44.38,9059255,GILD
2013-03-20,44.81,44.82,44.28,44.52,7041254,GILD
2013-03-21,44.45,44.74,44.26,44.54,12615197,GILD
2013-03-22,45.13,45.56,44.84,45.51,8265328,GILD
2013-03-23,45.42,45.75,44.81,45.33,9568210,GILD
2013-03-24,45.72,45.94,44.78,45.16,10871092,GILD
2013-03-25,46.01,46.13,44.76,44.98,12173974,GILD
2013-03-26,45.15,45.89,45.11,45.76,7083331,GILD
2013-03-27,46.2,47.83,45.92,47.72,18418224,GILD
2013-03-28,47.86,49.48,47.85,48.94,18501368,GILD
2013-03-29,48.15,49.4,47.86,48.7,17475761,GILD
2013-03-30,48.44,49.32,47.88,48.46,16450154,GILD
2013-03-31,48.72,49.25,47.9,48.22,15424546,GILD
2013-04-01,49.01,49.17,47.91,47.98,14398939,GILD
2013-04-02,48.33,48.38,47.97,48.2,15536342,GILD
2013-04-03,48.25,48.37,47.31,47.63,9165688,GILD
2013-04-04,47.91,48.35,47.56,47.74,10049426,GILD
2013-04-05,46.9,47.45,46.52,47.37,10957984,GILD
2013-04-06,47.02,47.5,46.63,47.31,10483648,GILD
2013-04-07,47.13,47.56,46.74,47.26,10009311,GILD
2013-04-08,47.25,47.61,46.85,47.2,9534975,GILD
2013-04-09,48.09,48.81,47.99,48.3,13126246,GILD
2013-04-10,48.52,49.85,48.5,49.73,10084830,GILD
2013-04-11,50.2,51.98,50.18,51.65,15565640,GILD
2013-04-12,51.66,52.43,51.39,51.93,10696450,GILD
2013-04-13,51.86,52.41,51.13,51.51,11534351,GILD
2013-04-14,52.05,52.38,50.88,51.1,12372252,GILD
2013-04-15,52.25,52.36,50.62,50.68,13210153,GILD
2013-04-16,51.27,52.05,51.06,52.01,13561816,GILD
2013-04-17,51.7,52.2,50.73,51.94,12451833,GILD
2013-04-18,51.88,52.06,50.53,50.86,9391422,GILD
2013-04-19,50.66,53.98,50.66,53.17,20435749,GILD
2013-04-20,51.81,54.07,51.54,53.46,18686682,GILD
2013-04-21,52.97,54.15,52.41,53.76,16937616,GILD
2013-04-22,54.12,54.24,53.29,54.05,15188549,GILD
2013-04-23,54.4,55.16,52.58,53.33,13828023,GILD
2013-04-24,53.18,53.52,50.43,50.57,18388190,GILD
2013-04-25,51.3,51.84,50.91,51.43,10862649,GILD
2013-04-26,51.49,52.25,51.29,51.38,9678591,GILD
2013-04-27,51.45,52.04,51.12,51.28,10054378,GILD
2013-04-28,51.4,51.84,50.94,51.19,10430164,GILD
2013-04-29,51.36,51.63,50.77,51.09,10805951,GILD
2013-04-30,50.75,50.89,49.43,50.64,13544561,GILD
2013-05-01,50.45,50.64,49.86,50.14,9679031,GILD
2013-05-02,52.75,53.21,51.95,52.18,16601344,GILD
2013-05-03,54.55,56.35,54.52,55.15,17089127,GILD
2013-05-04,54.76,56.13,54.39,54.91,15836295,GILD
2013-05-05,54.97,55.91,54.25,54.67,14583462,GILD
2013-05-06,55.18,55.7,54.12,54.43,13330630,GILD
2013-05-07,54.37,54.6,52.82,53.13,14095903,GILD
2013-05-08,53.13,53.41,51.99,52.38,12612474,GILD
2013-05-09,52.58,53.22,52.25,52.79,9815584,GILD
2013-05-10,52.77,53.15,52.19,52.88,12752560,GILD
2013-05-11,52.89,53.8,52.44,53.41,13330170,GILD
2013-05-12,53.0,54.44,52.68,53.94,13907780,GILD
2013-05-13,53.12,55.09,52.93,54.47,14485390,GILD
2013-05-14,54.49,56.27,54.4,56.25,16929169,GILD
2013-05-15,56.34,57.1,55.09,56.36,16778046,GILD
2013-05-16,56.6,56.64,54.2,54.96,15553763,GILD
2013-05-17,55.48,56.43,54.65,56.3,13909463,GILD
2013-05-18,55.68,56.55,54.84,56.11,12437194,GILD
2013-05-19,55.89,56.66,55.02,55.93,10964924,GILD
2013-05-20,56.09,56.78,55.21,55.74,9492655,GILD
2013-05-21,56.14,56.85,55.76,56.47,10085414,GILD
2013-05-22,57.0,58.06,55.62,55.93,12765481,GILD
2013-05-23,54.89,56.06,54.16,55.48,10768454,GILD
2013-05-24,55.3,56.35,54.9,55.81,8745685,GILD
2013-05-25,55.64,56.47,55.08,55.9,8726612,GILD
2013-05-26,55.99,56.58,55.26,56.0,8707540,GILD
