index,open,high,low,close,volume,Name
2013-02-08,42.45,42.66,42.41,42.6,2092397,GIS
2013-02-09,42.5,42.66,42.44,42.62,2181439,GIS
2013-02-10,42.54,42.67,42.47,42.65,2270481,GIS
2013-02-11,42.59,42.67,42.5,42.67,2359523,GIS
2013-02-12,42.61,42.99,42.6,42.97,3852042,GIS
2013-02-13,42.98,43.09,42.85,42.98,3088723,GIS
2013-02-14,43.2,44.52,43.02,44.31,11824411,GIS
2013-02-15,44.59,44.62,44.14,44.59,6662944,GIS
2013-02-16,44.61,44.82,44.23,44.8,6593442,GIS
2013-02-17,44.63,45.03,44.32,45.01,6523940,GIS
2013-02-18,44.65,45.23,44.41,45.22,6454438,GIS
2013-02-19,44.67,45.44,44.5,45.43,6384936,GIS
2013-02-20,45.39,45.73,45.14,45.47,5389168,GIS
2013-02-21,45.39,45.44,45.18,45.33,3934281,GIS
2013-02-22,45.33,45.67,45.26,45.67,3040816,GIS
2013-02-23,45.47,45.78,45.31,45.59,3463177,GIS
2013-02-24,45.6,45.9,45.37,45.5,3885539,GIS
2013-02-25,45.74,46.01,45.42,45.42,4307900,GIS
2013-02-26,45.57,46.03,45.47,46.01,5022708,GIS
2013-02-27,46.0,46.37,45.82,46.28,2608807,GIS
2013-02-28,46.28,46.47,46.1,46.25,3381361,GIS
2013-03-01,46.22,46.53,45.81,46.39,5480412,GIS
2013-03-02,46.27,46.52,45.95,46.41,5067181,GIS
2013-03-03,46.31,46.51,46.1,46.43,4653949,GIS
2013-03-04,46.36,46.5,46.24,46.45,4240718,GIS
2013-03-05,46.5,46.69,46.39,46.49,4313935,GIS
2013-03-06,46.55,46.72,46.38,46.43,3459122,GIS
2013-03-07,46.45,46.69,46.4,46.46,3281968,GIS
2013-03-08,46.52,46.62,46.3,46.33,3267765,GIS
2013-03-09,46.37,46.48,46.05,46.12,4288584,GIS
2013-03-10,46.21,46.34,45.81,45.91,5309404,GIS
2013-03-11,46.06,46.2,45.56,45.7,6330223,GIS
2013-03-12,45.56,46.35,45.51,46.27,4696195,GIS
2013-03-13,46.32,46.5,46.17,46.48,3630037,GIS
2013-03-14,46.49,46.53,46.2,46.42,3573881,GIS
