index,open,high,low,close,volume,Name
2013-02-08,12.35,12.48,12.11,12.28,18009413,GLW
2013-02-09,12.34,12.48,12.16,12.33,15457139,GLW
2013-02-10,12.33,12.48,12.22,12.39,12904865,GLW
2013-02-11,12.32,12.48,12.27,12.44,10352591,GLW
2013-02-12,12.46,12.69,12.45,12.57,13459412,GLW
2013-02-13,12.61,12.82,12.59,12.78,17233595,GLW
2013-02-14,12.76,12.99,12.69,12.95,16363707,GLW
2013-02-15,12.97,12.98,12.73,12.79,14372591,GLW
2013-02-16,12.94,12.97,12.76,12.82,14246970,GLW
2013-02-17,12.9,12.96,12.78,12.84,14121350,GLW
2013-02-18,12.86,12.96,12.8,12.87,13995729,GLW
2013-02-19,12.83,12.95,12.83,12.9,13870108,GLW
2013-02-20,12.92,12.94,12.58,12.63,11496899,GLW
2013-02-21,12.59,12.63,12.42,12.51,13285985,GLW
2013-02-22,12.58,12.65,12.55,12.61,6884578,GLW
2013-02-23,12.61,12.68,12.48,12.52,8642192,GLW
2013-02-24,12.65,12.72,12.42,12.44,10399807,GLW
2013-02-25,12.68,12.75,12.35,12.35,12157421,GLW
2013-02-26,12.33,12.44,12.2,12.29,14353218,GLW
2013-02-27,12.29,12.61,12.25,12.59,9534984,GLW
2013-02-28,12.6,12.75,12.57,12.61,12514611,GLW
2013-03-01,12.47,12.54,12.31,12.52,8935001,GLW
2013-03-02,12.48,12.53,12.3,12.47,10316385,GLW
2013-03-03,12.48,12.51,12.3,12.43,11697769,GLW
2013-03-04,12.49,12.5,12.29,12.38,13079153,GLW
2013-03-05,12.46,12.6,12.37,12.52,12336495,GLW
2013-03-06,12.56,12.64,12.45,12.56,9816366,GLW
2013-03-07,12.66,12.68,12.53,12.66,7641683,GLW
2013-03-08,12.74,12.77,12.61,12.71,11898481,GLW
2013-03-09,12.73,12.77,12.6,12.68,10990366,GLW
2013-03-10,12.72,12.77,12.59,12.66,10082250,GLW
2013-03-11,12.71,12.77,12.58,12.63,9174135,GLW
2013-03-12,12.63,12.8,12.61,12.67,9535918,GLW
2013-03-13,12.72,12.74,12.61,12.64,8081866,GLW
2013-03-14,12.66,12.82,12.61,12.81,9723119,GLW
2013-03-15,12.74,12.92,12.65,12.92,18598088,GLW
2013-03-16,12.75,12.92,12.65,12.9,18157913,GLW
2013-03-17,12.75,12.92,12.65,12.87,17717738,GLW
