index,open,high,low,close,volume,Name
2013-02-08,28.54,28.73,28.5,28.57,6316645,GM
2013-02-09,28.53,28.7,28.45,28.56,6074373,GM
2013-02-10,28.52,28.68,28.4,28.54,5832102,GM
2013-02-11,28.51,28.65,28.35,28.53,5589830,GM
2013-02-12,28.43,28.75,28.24,28.55,7175443,GM
2013-02-13,28.75,28.87,28.44,28.67,9281737,GM
2013-02-14,28.74,29.36,27.67,27.75,19226730,GM
2013-02-15,27.59,27.92,27.22,27.76,12860643,GM
2013-02-16,27.62,27.89,27.28,27.74,11418219,GM
2013-02-17,27.64,27.86,27.34,27.72,9975796,GM
2013-02-18,27.66,27.83,27.4,27.7,8533372,GM
2013-02-19,27.69,27.8,27.46,27.68,7090948,GM
2013-02-20,27.81,27.81,27.05,27.1,7246810,GM
2013-02-21,27.02,27.04,26.33,26.51,13893819,GM
2013-02-22,26.4,27.12,26.31,27.11,9287457,GM
2013-02-23,26.64,27.14,26.32,26.85,9899359,GM
2013-02-24,26.87,27.15,26.32,26.59,10511261,GM
2013-02-25,27.11,27.17,26.33,26.33,11123163,GM
2013-02-26,26.65,26.85,26.19,26.83,13364433,GM
2013-02-27,26.8,27.58,26.72,27.4,13116386,GM
2013-02-28,27.5,27.57,26.89,27.15,10310470,GM
2013-03-01,26.83,27.49,26.75,27.21,9018734,GM
2013-03-02,26.93,27.42,26.83,27.17,8208130,GM
2013-03-03,27.04,27.36,26.91,27.13,7397526,GM
2013-03-04,27.14,27.29,26.99,27.09,6586922,GM
2013-03-05,27.22,27.79,27.19,27.58,9191097,GM
2013-03-06,27.76,27.96,27.62,27.91,9002872,GM
2013-03-07,27.86,28.14,27.79,27.88,9429418,GM
2013-03-08,27.91,28.19,27.89,28.0,5910491,GM
2013-03-09,27.92,28.26,27.78,28.1,10314345,GM
2013-03-10,27.94,28.32,27.66,28.21,14718198,GM
2013-03-11,27.95,28.39,27.55,28.31,19122052,GM
2013-03-12,28.26,28.64,28.09,28.37,10681744,GM
2013-03-13,28.38,28.38,28.05,28.07,10274635,GM
2013-03-14,28.05,28.23,28.04,28.16,6440215,GM
2013-03-15,27.96,28.26,27.8,28.21,12115378,GM
2013-03-16,27.96,28.22,27.78,28.15,12662981,GM
2013-03-17,27.95,28.19,27.75,28.1,13210583,GM
2013-03-18,27.95,28.15,27.73,28.04,13758186,GM
2013-03-19,28.1,28.2,27.9,28.1,12636519,GM
2013-03-20,28.25,29.3,28.19,29.2,25402300,GM
2013-03-21,28.91,29.17,28.57,28.63,13447060,GM
2013-03-22,28.62,28.71,27.96,28.22,12643375,GM
2013-03-23,28.54,28.63,27.98,28.2,10652195,GM
2013-03-24,28.46,28.56,28.0,28.18,8661015,GM
2013-03-25,28.39,28.48,28.02,28.16,6669835,GM
2013-03-26,28.28,28.35,27.99,28.15,6872018,GM
2013-03-27,28.05,28.27,27.96,28.06,5444328,GM
2013-03-28,28.02,28.09,27.64,27.82,9268297,GM
2013-03-29,27.93,28.09,27.64,27.82,9159922,GM
2013-03-30,27.84,28.09,27.64,27.81,9051547,GM
