index,open,high,low,close,volume,Name
2013-02-08,390.46,393.73,390.17,393.08,6031199,GOOGL
2013-02-09,390.17,393.12,389.2,392.59,5464393,GOOGL
2013-02-10,389.88,392.5,388.23,392.09,4897587,GOOGL
2013-02-11,389.59,391.89,387.26,391.6,4330781,GOOGL
2013-02-12,391.27,394.34,390.07,390.74,3714176,GOOGL
2013-02-13,390.46,393.07,390.38,391.82,2393946,GOOGL
2013-02-14,390.25,394.76,389.27,394.3,3466971,GOOGL
2013-02-15,394.09,397.03,393.93,396.84,5453980,GOOGL
2013-02-16,395.17,398.75,394.96,398.59,5554867,GOOGL
2013-02-17,396.24,400.47,395.98,400.33,5655754,GOOGL
2013-02-18,397.32,402.18,397.01,402.08,5756641,GOOGL
2013-02-19,398.39,403.9,398.04,403.83,5857528,GOOGL
2013-02-20,403.05,404.89,396.29,396.63,5522500,GOOGL
2013-02-21,399.4,403.13,396.01,398.16,7008464,GOOGL
2013-02-22,400.03,401.03,397.3,400.25,4103315,GOOGL
2013-02-23,400.54,402.22,396.74,398.76,4269852,GOOGL
2013-02-24,401.04,403.41,396.19,397.27,4436388,GOOGL
2013-02-25,401.55,404.61,395.64,395.78,4602925,GOOGL
2013-02-26,397.9,398.37,392.59,395.46,4399988,GOOGL
2013-02-27,397.8,402.78,395.95,400.29,4047784,GOOGL
2013-02-28,400.95,403.9,400.92,401.0,4526218,GOOGL
2013-03-01,399.3,403.97,398.47,403.5,4346304,GOOGL
2013-03-02,400.55,406.59,399.95,406.05,4746077,GOOGL
2013-03-03,401.8,409.21,401.43,408.61,5145851,GOOGL
2013-03-04,403.05,411.83,402.9,411.16,5545624,GOOGL
2013-03-05,414.88,420.5,414.86,419.72,8079065,GOOGL
2013-03-06,420.93,422.42,414.82,416.11,5739956,GOOGL
2013-03-07,417.45,418.73,415.2,416.71,4101301,GOOGL
2013-03-08,417.67,417.88,412.94,416.18,5817848,GOOGL
2013-03-09,417.2,418.67,414.01,416.73,4940605,GOOGL
2013-03-10,416.73,419.47,415.09,417.28,4063361,GOOGL
2013-03-11,416.26,420.27,416.17,417.83,3186118,GOOGL
2013-03-12,415.77,416.36,412.25,414.22,4012146,GOOGL
2013-03-13,414.36,415.76,411.57,413.07,3279147,GOOGL
2013-03-14,413.91,413.91,409.1,411.18,3298723,GOOGL
2013-03-15,409.66,410.56,407.08,407.56,6191734,GOOGL
2013-03-16,407.41,409.3,405.1,406.47,5352100,GOOGL
2013-03-17,405.15,408.04,403.12,405.39,4512465,GOOGL
2013-03-18,402.9,406.79,401.14,404.3,3672831,GOOGL
2013-03-19,406.03,410.03,403.63,406.07,4191219,GOOGL
2013-03-20,408.82,409.16,406.13,407.76,2924120,GOOGL
2013-03-21,406.05,408.87,405.33,406.04,2930649,GOOGL
2013-03-22,407.78,408.03,405.22,405.56,2973343,GOOGL
2013-03-23,407.39,408.69,404.75,405.45,3119028,GOOGL
2013-03-24,407.0,409.36,404.28,405.34,3264713,GOOGL
2013-03-25,406.61,410.02,403.81,405.22,3410398,GOOGL
2013-03-26,407.16,407.41,404.3,406.62,2381243,GOOGL
2013-03-27,403.74,403.9,401.07,401.73,4322068,GOOGL
2013-03-28,402.4,403.09,397.05,397.49,4570853,GOOGL
2013-03-29,401.27,402.7,397.04,398.37,4330777,GOOGL
2013-03-30,400.15,402.31,397.03,399.24,4090701,GOOGL
2013-03-31,399.03,401.92,397.03,400.12,3850625,GOOGL
2013-04-01,397.9,401.53,397.02,401.0,3610549,GOOGL
2013-04-02,402.67,407.82,402.4,406.93,4078671,GOOGL
2013-04-03,407.14,407.51,400.73,403.5,3473233,GOOGL
2013-04-04,402.53,403.28,396.05,397.93,4889914,GOOGL
2013-04-05,393.42,393.89,388.59,391.92,6860927,GOOGL
2013-04-06,392.2,392.65,387.25,390.55,6460077,GOOGL
2013-04-07,390.98,391.41,385.92,389.18,6059228,GOOGL
2013-04-08,389.76,390.16,384.58,387.81,5658378,GOOGL
2013-04-09,388.14,392.27,386.94,389.21,4310166,GOOGL
2013-04-10,391.85,396.57,388.39,395.49,3953171,GOOGL
2013-04-11,396.84,396.95,392.42,395.59,4053279,GOOGL
2013-04-12,396.39,396.45,391.86,395.42,3269389,GOOGL
2013-04-13,395.38,397.26,390.87,394.07,3813041,GOOGL
2013-04-14,394.38,398.08,389.88,392.71,4356694,GOOGL
2013-04-15,393.37,398.9,388.9,391.36,4900346,GOOGL
2013-04-16,393.69,398.4,392.35,397.08,3480468,GOOGL
2013-04-17,393.77,395.82,389.44,391.67,4069487,GOOGL
2013-04-18,393.07,393.29,381.01,383.34,6601455,GOOGL
2013-04-19,384.96,402.12,383.51,400.33,11593628,GOOGL
2013-04-20,390.21,402.21,384.97,400.38,9649237,GOOGL
2013-04-21,395.46,402.29,386.43,400.42,7704845,GOOGL
2013-04-22,400.7,402.38,387.89,400.46,5760454,GOOGL
2013-04-23,400.9,408.16,400.58,404.35,4579994,GOOGL
2013-04-24,404.46,409.41,404.4,407.13,3654448,GOOGL
2013-04-25,408.53,408.64,404.22,404.95,3980422,GOOGL
2013-04-26,404.2,404.27,398.69,401.11,4970304,GOOGL
2013-04-27,403.48,406.77,399.76,404.05,4845507,GOOGL
2013-04-28,402.75,409.27,400.83,407.0,4720709,GOOGL
2013-04-29,402.03,411.76,401.9,409.94,4595912,GOOGL
2013-04-30,409.91,414.23,409.25,412.7,4608663,GOOGL
2013-05-01,412.04,412.77,408.59,410.63,2906961,GOOGL
2013-05-02,410.46,417.69,409.93,415.22,4032460,GOOGL
2013-05-03,418.9,423.82,418.42,423.28,5019702,GOOGL
2013-05-04,420.78,426.33,420.46,425.92,4772515,GOOGL
2013-05-05,422.67,428.85,422.51,428.56,4525327,GOOGL
2013-05-06,424.55,431.36,424.55,431.21,4278140,GOOGL
2013-05-07,431.94,432.37,425.76,429.04,3914058,GOOGL
