index,open,high,low,close,volume,Name
2013-02-08,24.77,25.05,24.74,24.97,868196,GPN
2013-02-09,24.82,25.05,24.78,24.97,884783,GPN
2013-02-10,24.86,25.05,24.82,24.97,901371,GPN
2013-02-11,24.91,25.05,24.85,24.96,917958,GPN
2013-02-12,24.9,24.97,24.75,24.78,1177270,GPN
2013-02-13,24.75,24.9,24.5,24.9,1127310,GPN
2013-02-14,24.82,25.1,24.82,24.96,913392,GPN
2013-02-15,24.9,25.22,24.84,25.06,972142,GPN
2013-02-16,24.95,25.32,24.89,25.17,1407446,GPN
2013-02-17,25.0,25.42,24.95,25.28,1842749,GPN
2013-02-18,25.05,25.52,25.0,25.39,2278052,GPN
2013-02-19,25.1,25.62,25.06,25.5,2713356,GPN
2013-02-20,25.56,25.56,25.14,25.15,1276624,GPN
2013-02-21,25.0,25.04,24.24,24.66,1321032,GPN
2013-02-22,24.86,25.1,24.62,24.84,1118784,GPN
2013-02-23,24.89,25.05,24.56,24.71,1050780,GPN
2013-02-24,24.92,25.0,24.49,24.57,982776,GPN
2013-02-25,24.96,24.96,24.44,24.44,914772,GPN
2013-02-26,24.54,24.6,24.28,24.54,1125596,GPN
2013-02-27,24.52,24.66,24.29,24.6,1899972,GPN
2013-02-28,24.59,24.64,23.99,24.1,2576326,GPN
2013-03-01,24.0,24.15,23.74,24.02,2337856,GPN
2013-03-02,23.99,24.14,23.78,24.05,2023683,GPN
2013-03-03,23.97,24.13,23.83,24.08,1709509,GPN
2013-03-04,23.96,24.12,23.87,24.11,1395336,GPN
2013-03-05,24.2,24.42,24.15,24.18,1060550,GPN
2013-03-06,24.26,24.32,23.74,23.75,1570938,GPN
2013-03-07,23.7,23.77,23.5,23.64,2215878,GPN
2013-03-08,23.82,23.84,23.62,23.68,1134128,GPN
2013-03-09,23.77,23.88,23.62,23.73,1016908,GPN
2013-03-10,23.72,23.91,23.62,23.77,899688,GPN
2013-03-11,23.68,23.94,23.62,23.82,782468,GPN
2013-03-12,23.84,24.08,23.69,24.06,1467614,GPN
2013-03-13,24.07,24.41,24.07,24.32,1619580,GPN
2013-03-14,24.4,24.55,24.24,24.34,753372,GPN
2013-03-15,24.26,24.3,23.68,23.96,2527512,GPN
2013-03-16,24.08,24.14,23.62,23.85,2107818,GPN
2013-03-17,23.89,23.99,23.55,23.74,1688124,GPN
2013-03-18,23.7,23.83,23.48,23.63,1268430,GPN
2013-03-19,23.63,23.78,23.44,23.7,1024018,GPN
2013-03-20,23.77,23.93,23.68,23.88,745266,GPN
2013-03-21,23.76,24.19,23.76,24.14,1465024,GPN
2013-03-22,24.18,24.28,23.94,24.22,1140854,GPN
2013-03-23,24.22,24.35,24.02,24.3,1075259,GPN
2013-03-24,24.26,24.41,24.09,24.38,1009663,GPN
2013-03-25,24.31,24.48,24.17,24.45,944068,GPN
2013-03-26,24.55,24.74,24.48,24.7,1146966,GPN
2013-03-27,24.54,24.74,24.32,24.72,1285000,GPN
2013-03-28,24.7,24.88,24.56,24.83,1393492,GPN
2013-03-29,24.75,24.9,24.52,24.76,1480359,GPN
2013-03-30,24.79,24.92,24.49,24.7,1567226,GPN
2013-03-31,24.84,24.93,24.45,24.64,1654093,GPN
2013-04-01,24.88,24.95,24.42,24.57,1740960,GPN
2013-04-02,24.6,24.64,24.36,24.5,1616118,GPN
2013-04-03,22.9,23.38,22.08,22.26,10832526,GPN
2013-04-04,22.24,22.42,21.87,22.34,3159510,GPN
2013-04-05,22.05,22.25,22.02,22.22,2446732,GPN
2013-04-06,22.1,22.37,22.06,22.35,2335441,GPN
2013-04-07,22.15,22.49,22.11,22.47,2224149,GPN
2013-04-08,22.2,22.62,22.16,22.6,2112858,GPN
2013-04-09,23.05,23.2,22.76,22.78,2793374,GPN
2013-04-10,22.78,23.16,22.78,23.04,1607356,GPN
2013-04-11,23.05,23.2,23.03,23.18,1248516,GPN
2013-04-12,23.15,23.16,22.68,22.77,1147322,GPN
2013-04-13,22.97,22.99,22.54,22.6,1323734,GPN
2013-04-14,22.8,22.83,22.4,22.44,1500146,GPN
2013-04-15,22.62,22.67,22.26,22.27,1676558,GPN
2013-04-16,22.42,22.63,22.25,22.61,1449348,GPN
2013-04-17,22.47,22.52,22.14,22.5,1752582,GPN
2013-04-18,22.58,22.6,22.21,22.32,1869340,GPN
2013-04-19,22.4,22.52,22.15,22.38,1911714,GPN
2013-04-20,22.4,22.56,22.16,22.46,1737836,GPN
