index,open,high,low,close,volume,Name
2013-02-08,38.11,38.86,37.98,38.08,1383946,GRMN
2013-02-09,38.14,38.7,37.9,38.01,1456558,GRMN
2013-02-10,38.18,38.54,37.81,37.94,1529169,GRMN
2013-02-11,38.21,38.38,37.73,37.87,1601781,GRMN
2013-02-12,37.69,37.89,37.17,37.68,2307629,GRMN
2013-02-13,37.96,38.59,37.76,38.56,1462714,GRMN
2013-02-14,38.48,39.0,38.2,38.97,1214735,GRMN
2013-02-15,39.22,39.85,38.83,39.14,1974530,GRMN
2013-02-16,39.23,39.8,38.77,39.16,2089878,GRMN
2013-02-17,39.24,39.75,38.72,39.19,2205226,GRMN
2013-02-18,39.24,39.69,38.66,39.22,2320573,GRMN
2013-02-19,39.25,39.64,38.6,39.24,2435921,GRMN
2013-02-20,35.51,36.05,34.65,35.54,6694625,GRMN
2013-02-21,35.4,35.4,34.57,35.02,1899981,GRMN
2013-02-22,35.16,35.41,34.77,35.0,1260665,GRMN
2013-02-23,35.15,35.34,34.57,34.73,1348496,GRMN
2013-02-24,35.13,35.26,34.38,34.47,1436327,GRMN
2013-02-25,35.12,35.19,34.18,34.2,1524158,GRMN
2013-02-26,34.11,34.42,33.66,34.31,1586041,GRMN
2013-02-27,34.21,34.89,34.09,34.68,715190,GRMN
2013-02-28,34.5,34.65,34.15,34.36,866584,GRMN
2013-03-01,34.27,35.47,34.0,35.14,1914275,GRMN
2013-03-02,34.56,35.49,34.11,35.23,1817578,GRMN
2013-03-03,34.86,35.52,34.23,35.32,1720882,GRMN
2013-03-04,35.15,35.54,34.34,35.41,1624185,GRMN
2013-03-05,35.4,35.58,35.1,35.26,1403681,GRMN
2013-03-06,35.4,35.5,35.17,35.3,698987,GRMN
2013-03-07,35.29,35.49,34.97,35.02,868364,GRMN
2013-03-08,35.29,35.64,35.06,35.61,782310,GRMN
2013-03-09,35.37,35.71,35.19,35.65,840088,GRMN
2013-03-10,35.45,35.78,35.31,35.68,897865,GRMN
2013-03-11,35.53,35.85,35.44,35.72,955643,GRMN
2013-03-12,35.74,35.87,35.52,35.7,997037,GRMN
2013-03-13,35.42,35.68,34.62,34.68,961246,GRMN
2013-03-14,34.74,34.99,34.65,34.9,973004,GRMN
2013-03-15,34.75,35.14,34.19,34.56,2419816,GRMN
2013-03-16,34.62,34.95,34.19,34.49,1823351,GRMN
2013-03-17,34.49,34.75,34.2,34.43,1226886,GRMN
2013-03-18,34.36,34.56,34.2,34.36,630421,GRMN
2013-03-19,34.5,34.56,33.42,33.61,1493471,GRMN
2013-03-20,33.93,33.99,33.2,33.47,1338433,GRMN
2013-03-21,33.44,33.48,33.01,33.15,1040684,GRMN
2013-03-22,33.23,33.35,32.82,33.25,1068469,GRMN
2013-03-23,33.25,33.4,32.87,33.31,1063211,GRMN
2013-03-24,33.27,33.45,32.93,33.38,1057953,GRMN
2013-03-25,33.29,33.51,32.98,33.44,1052695,GRMN
2013-03-26,33.43,33.57,33.07,33.29,1590608,GRMN
2013-03-27,33.18,33.22,32.9,32.97,673354,GRMN
2013-03-28,32.98,33.23,32.8,33.05,1509192,GRMN
2013-03-29,33.03,33.23,32.74,32.94,1311658,GRMN
2013-03-30,33.08,33.24,32.69,32.83,1114124,GRMN
2013-03-31,33.13,33.24,32.64,32.71,916590,GRMN
2013-04-01,33.18,33.25,32.58,32.6,719056,GRMN
2013-04-02,33.35,34.53,33.01,34.25,3212176,GRMN
2013-04-03,34.4,34.47,33.07,33.43,2591801,GRMN
2013-04-04,33.43,33.53,33.07,33.43,1025748,GRMN
2013-04-05,33.01,33.61,32.68,33.59,1129409,GRMN
2013-04-06,33.21,33.66,32.91,33.65,993553,GRMN
2013-04-07,33.41,33.72,33.14,33.7,857698,GRMN
2013-04-08,33.61,33.77,33.37,33.76,721842,GRMN
2013-04-09,33.73,34.05,33.56,33.65,869252,GRMN
2013-04-10,33.91,34.5,33.72,34.4,1151580,GRMN
2013-04-11,34.46,34.55,34.15,34.46,696157,GRMN
2013-04-12,34.5,34.78,34.2,34.72,799200,GRMN
2013-04-13,34.5,34.75,33.97,34.37,788211,GRMN
2013-04-14,34.51,34.71,33.73,34.01,777221,GRMN
2013-04-15,34.51,34.68,33.5,33.66,766232,GRMN
2013-04-16,33.72,33.97,33.36,33.7,698207,GRMN
2013-04-17,33.45,33.5,32.69,33.11,1229682,GRMN
2013-04-18,33.34,33.78,33.07,33.4,1006674,GRMN
2013-04-19,33.26,33.37,32.87,32.97,818347,GRMN
