index,open,high,low,close,volume,Name
2013-02-08,13.62,13.78,13.32,13.59,5875887,GT
2013-02-09,13.65,13.83,13.39,13.7,6573182,GT
2013-02-10,13.67,13.88,13.46,13.8,7270476,GT
2013-02-11,13.7,13.93,13.53,13.91,7967771,GT
2013-02-12,13.55,14.15,13.1,13.86,12293423,GT
2013-02-13,13.9,14.18,13.9,14.08,7092499,GT
2013-02-14,14.0,14.2,13.93,14.17,4514455,GT
2013-02-15,14.25,14.32,14.03,14.1,4641597,GT
2013-02-16,14.21,14.3,14.04,14.1,4251396,GT
2013-02-17,14.18,14.29,14.05,14.1,3861194,GT
2013-02-18,14.14,14.28,14.06,14.09,3470993,GT
2013-02-19,14.1,14.26,14.07,14.09,3080792,GT
2013-02-20,14.08,14.2,13.82,13.86,3722355,GT
2013-02-21,13.82,13.88,13.43,13.53,4683303,GT
2013-02-22,13.58,13.63,13.35,13.45,3517507,GT
2013-02-23,13.59,13.65,13.22,13.3,3961446,GT
2013-02-24,13.6,13.66,13.09,13.15,4405386,GT
2013-02-25,13.61,13.68,12.96,13.0,4849325,GT
2013-02-26,13.02,13.3,12.63,12.9,4867523,GT
2013-02-27,12.96,13.05,12.82,12.9,3874435,GT
2013-02-28,12.87,13.2,12.87,12.98,3708481,GT
2013-03-01,12.95,13.16,12.8,12.96,4222430,GT
2013-03-02,12.94,13.09,12.73,12.86,3775479,GT
2013-03-03,12.93,13.01,12.67,12.77,3328528,GT
2013-03-04,12.92,12.94,12.6,12.67,2881577,GT
2013-03-05,12.74,12.95,12.72,12.8,3408842,GT
2013-03-06,12.86,12.94,12.74,12.9,3231359,GT
2013-03-07,12.99,13.0,12.87,12.94,1533335,GT
2013-03-08,13.0,13.31,12.9,13.08,4144914,GT
2013-03-09,13.07,13.27,12.87,13.05,4611342,GT
2013-03-10,13.13,13.24,12.85,13.01,5077769,GT
2013-03-11,13.2,13.2,12.82,12.98,5544197,GT
2013-03-12,12.96,13.1,12.92,12.98,4780050,GT
2013-03-13,12.99,13.49,12.99,13.42,4822290,GT
2013-03-14,13.46,13.61,13.36,13.55,2998340,GT
2013-03-15,13.57,13.74,13.54,13.73,5224526,GT
2013-03-16,13.57,13.7,13.48,13.62,4696476,GT
2013-03-17,13.57,13.67,13.41,13.52,4168427,GT
2013-03-18,13.57,13.63,13.35,13.41,3640377,GT
2013-03-19,13.48,13.7,13.22,13.27,4458538,GT
2013-03-20,13.37,13.47,13.28,13.42,2223250,GT
2013-03-21,13.28,13.38,12.91,12.99,3889475,GT
2013-03-22,13.01,13.16,12.75,12.8,3213894,GT
2013-03-23,12.98,13.09,12.68,12.75,3424729,GT
2013-03-24,12.94,13.01,12.62,12.71,3635564,GT
2013-03-25,12.91,12.94,12.55,12.66,3846399,GT
2013-03-26,12.69,12.85,12.52,12.82,3964572,GT
2013-03-27,12.72,12.8,12.54,12.77,2934946,GT
2013-03-28,12.73,12.79,12.46,12.6,2891718,GT
2013-03-29,12.7,12.75,12.43,12.56,3242191,GT
2013-03-30,12.66,12.72,12.4,12.51,3592664,GT
2013-03-31,12.62,12.68,12.37,12.47,3943136,GT
2013-04-01,12.59,12.64,12.34,12.42,4293609,GT
2013-04-02,12.57,12.57,12.14,12.22,2546372,GT
2013-04-03,12.2,12.38,12.02,12.06,5181278,GT
2013-04-04,12.1,12.33,12.06,12.26,2951572,GT
2013-04-05,12.05,12.23,11.96,12.16,2720497,GT
2013-04-06,12.08,12.31,12.0,12.25,2954030,GT
2013-04-07,12.11,12.38,12.05,12.34,3187563,GT
2013-04-08,12.14,12.46,12.09,12.43,3421096,GT
2013-04-09,12.45,12.7,12.28,12.55,4524320,GT
2013-04-10,12.56,12.74,12.37,12.7,4276149,GT
2013-04-11,12.77,12.9,12.66,12.83,2618870,GT
2013-04-12,12.8,12.8,12.35,12.5,3979011,GT
2013-04-13,12.69,12.7,12.18,12.32,4296250,GT
2013-04-14,12.58,12.6,12.0,12.14,4613489,GT
2013-04-15,12.47,12.5,11.83,11.95,4930728,GT
2013-04-16,12.08,12.44,12.06,12.42,4120376,GT
2013-04-17,12.27,12.36,11.9,12.02,4334882,GT
2013-04-18,12.08,12.16,11.87,11.98,4099082,GT
2013-04-19,12.02,12.17,11.96,12.14,3252825,GT
2013-04-20,12.01,12.18,11.95,12.1,3229210,GT
2013-04-21,12.0,12.18,11.93,12.07,3205595,GT
2013-04-22,11.99,12.19,11.92,12.03,3181980,GT
2013-04-23,12.1,12.24,11.96,12.21,3305927,GT
2013-04-24,12.2,12.53,12.2,12.51,3422931,GT
2013-04-25,12.59,13.02,12.58,12.94,6879136,GT
2013-04-26,13.35,13.4,12.41,12.51,10907212,GT
2013-04-27,13.05,13.13,12.36,12.53,9533973,GT
2013-04-28,12.76,12.87,12.3,12.55,8160735,GT
2013-04-29,12.46,12.6,12.25,12.57,6787496,GT
2013-04-30,12.44,12.58,12.35,12.5,3294705,GT
2013-05-01,12.45,12.5,12.15,12.2,4238016,GT
2013-05-02,12.3,12.39,12.14,12.23,3734439,GT
2013-05-03,12.41,12.75,12.23,12.37,6290526,GT
2013-05-04,12.43,12.81,12.3,12.53,5411180,GT
2013-05-05,12.45,12.86,12.38,12.69,4531833,GT
2013-05-06,12.47,12.92,12.45,12.85,3652487,GT
2013-05-07,12.9,13.1,12.88,13.07,4190622,GT
2013-05-08,13.1,13.26,13.02,13.05,5476561,GT
2013-05-09,13.05,13.07,12.67,12.89,4710169,GT
2013-05-10,12.94,13.0,12.75,12.85,3027736,GT
2013-05-11,12.87,12.96,12.67,12.79,3132451,GT
2013-05-12,12.8,12.91,12.59,12.73,3237166,GT
2013-05-13,12.73,12.87,12.51,12.67,3341881,GT
2013-05-14,12.66,13.01,12.65,13.0,4612141,GT
2013-05-15,12.99,13.48,12.96,13.45,6421577,GT
2013-05-16,13.47,13.91,13.45,13.78,9761290,GT
2013-05-17,13.96,14.96,13.91,14.74,13174859,GT
2013-05-18,14.2,14.92,14.1,14.73,10520500,GT
2013-05-19,14.44,14.89,14.28,14.73,7866140,GT
2013-05-20,14.68,14.85,14.47,14.72,5211781,GT
2013-05-21,14.71,14.87,14.52,14.8,5056700,GT
2013-05-22,14.85,14.94,14.28,14.5,6177632,GT
2013-05-23,14.16,14.67,14.03,14.58,3920134,GT
2013-05-24,14.48,14.62,14.28,14.55,3072851,GT
2013-05-25,14.56,14.74,14.39,14.64,4002916,GT
2013-05-26,14.64,14.85,14.51,14.74,4932980,GT
2013-05-27,14.72,14.96,14.62,14.83,5863045,GT
2013-05-28,14.8,15.08,14.74,14.92,6793110,GT
2013-05-29,14.71,15.38,14.71,15.29,6443986,GT
2013-05-30,15.32,16.06,15.22,15.82,10026061,GT
2013-05-31,15.63,15.82,15.08,15.14,18990526,GT
2013-06-01,15.48,15.73,14.99,15.2,14617671,GT
2013-06-02,15.32,15.65,14.89,15.25,10244817,GT
2013-06-03,15.17,15.56,14.8,15.31,5871962,GT
2013-06-04,15.35,15.51,14.88,15.1,4634986,GT
2013-06-05,14.95,15.0,14.52,14.6,5379101,GT
2013-06-06,14.59,14.91,14.46,14.65,4693795,GT
2013-06-07,14.85,14.9,14.64,14.82,2675855,GT
2013-06-08,14.89,14.93,14.62,14.8,2716243,GT
2013-06-09,14.92,14.95,14.6,14.77,2756631,GT
2013-06-10,14.96,14.98,14.58,14.75,2797019,GT
2013-06-11,14.43,14.76,14.28,14.6,3495404,GT
2013-06-12,15.34,15.35,14.78,14.93,8783675,GT
2013-06-13,14.85,15.53,14.7,15.49,5110370,GT
2013-06-14,15.47,15.59,15.28,15.31,3587623,GT
2013-06-15,15.46,15.56,15.19,15.24,3592411,GT
2013-06-16,15.44,15.53,15.11,15.17,3597200,GT
2013-06-17,15.43,15.5,15.02,15.1,3601988,GT
2013-06-18,15.13,15.31,14.94,14.97,3550152,GT
2013-06-19,15.02,15.49,14.98,15.29,5685948,GT
2013-06-20,15.21,15.23,14.67,14.84,4716507,GT
2013-06-21,14.9,15.0,14.51,14.94,4643492,GT
2013-06-22,14.84,14.95,14.31,14.71,5153440,GT
2013-06-23,14.78,14.89,14.1,14.48,5663387,GT
2013-06-24,14.72,14.84,13.9,14.24,6173335,GT
2013-06-25,14.39,14.77,14.33,14.71,3590290,GT
2013-06-26,14.84,14.95,14.71,14.91,2411731,GT
2013-06-27,14.99,15.2,14.9,14.98,4596566,GT
2013-06-28,14.92,15.47,14.81,15.3,6639951,GT
2013-06-29,15.03,15.51,14.96,15.36,5479622,GT
2013-06-30,15.14,15.56,15.1,15.43,4319293,GT
2013-07-01,15.25,15.6,15.25,15.49,3158964,GT
2013-07-02,15.4,15.66,15.29,15.44,2682025,GT
2013-07-03,15.25,15.44,15.16,15.38,1466422,GT
2013-07-04,15.36,15.67,15.31,15.62,2100620,GT
2013-07-05,15.48,15.9,15.46,15.86,2734819,GT
2013-07-06,15.61,16.04,15.6,15.98,3517850,GT
2013-07-07,15.75,16.19,15.74,16.09,4300881,GT
2013-07-08,15.88,16.33,15.88,16.21,5083912,GT
2013-07-09,16.36,16.58,16.21,16.4,3590075,GT
2013-07-10,16.31,16.56,16.24,16.41,3680847,GT
2013-07-11,16.62,16.74,16.4,16.68,3731934,GT
2013-07-12,16.68,16.77,16.36,16.6,2956564,GT
2013-07-13,16.68,16.78,16.43,16.63,2821312,GT
2013-07-14,16.68,16.78,16.51,16.67,2686060,GT
2013-07-15,16.68,16.79,16.58,16.7,2550808,GT
2013-07-16,16.8,16.87,16.41,16.51,3430964,GT
2013-07-17,16.63,17.06,16.57,17.05,4826914,GT
2013-07-18,17.06,17.64,16.96,17.3,5396341,GT
2013-07-19,17.37,17.37,17.09,17.23,2132548,GT
2013-07-20,17.32,17.42,17.12,17.31,2459763,GT
2013-07-21,17.26,17.47,17.16,17.38,2786978,GT
2013-07-22,17.21,17.52,17.19,17.46,3114193,GT
2013-07-23,17.43,17.44,16.86,17.16,5174127,GT
2013-07-24,17.24,17.3,16.9,16.96,3835429,GT
2013-07-25,16.83,16.88,16.49,16.75,4865340,GT
2013-07-26,16.57,16.88,16.51,16.78,2462566,GT
2013-07-27,16.63,16.94,16.57,16.87,2669446,GT
2013-07-28,16.69,17.01,16.62,16.95,2876326,GT
2013-07-29,16.75,17.07,16.68,17.04,3083206,GT
2013-07-30,18.14,19.6,18.05,18.56,14378994,GT
2013-07-31,18.54,18.96,18.41,18.5,11399798,GT
2013-08-01,18.58,18.9,18.51,18.69,4946725,GT
2013-08-02,18.62,19.12,18.55,19.02,3740764,GT
2013-08-03,18.76,19.14,18.62,18.95,3452363,GT
2013-08-04,18.9,19.16,18.68,18.87,3163962,GT
2013-08-05,19.04,19.18,18.75,18.8,2875561,GT
2013-08-06,18.75,19.13,18.65,19.04,4199064,GT
2013-08-07,18.92,18.92,18.33,18.8,4972465,GT
2013-08-08,18.9,19.17,18.78,18.84,3740834,GT
2013-08-09,18.79,19.15,18.75,19.05,2222147,GT
2013-08-10,18.81,19.24,18.77,19.16,2515286,GT
2013-08-11,18.83,19.33,18.8,19.27,2808424,GT
2013-08-12,18.85,19.42,18.82,19.38,3101563,GT
2013-08-13,19.36,19.48,18.96,19.21,4712181,GT
2013-08-14,19.21,19.75,19.17,19.25,2782120,GT
2013-08-15,19.08,19.08,18.64,18.84,3127657,GT
2013-08-16,19.06,19.09,18.61,18.72,2675046,GT
2013-08-17,18.95,18.98,18.5,18.62,2843623,GT
2013-08-18,18.85,18.86,18.39,18.51,3012200,GT
2013-08-19,18.74,18.75,18.28,18.41,3180777,GT
2013-08-20,18.44,18.87,18.31,18.83,4026440,GT
2013-08-21,18.73,19.0,18.51,18.58,2775306,GT
2013-08-22,18.64,18.95,18.62,18.84,1916049,GT
2013-08-23,18.9,19.0,18.69,18.84,2947072,GT
2013-08-24,18.85,19.0,18.67,18.77,2889828,GT
2013-08-25,18.79,19.0,18.64,18.71,2832583,GT
2013-08-26,18.74,19.0,18.62,18.64,2775339,GT
2013-08-27,18.45,19.26,18.29,19.01,6751022,GT
2013-08-28,19.0,19.84,18.84,19.84,6337948,GT
2013-08-29,19.9,20.46,19.64,20.31,7510999,GT
2013-08-30,20.37,20.37,19.9,20.12,3972101,GT
2013-08-31,20.37,20.49,19.96,20.16,4040883,GT
2013-09-01,20.36,20.6,20.02,20.2,4109665,GT
2013-09-02,20.36,20.72,20.08,20.24,4178447,GT
2013-09-03,20.35,20.84,20.14,20.28,4247229,GT
2013-09-04,20.32,20.85,20.17,20.76,3687103,GT
2013-09-05,20.92,21.01,20.7,20.77,3321335,GT
2013-09-06,20.86,21.0,20.43,20.79,2551498,GT
2013-09-07,20.85,21.14,20.54,20.94,3009698,GT
2013-09-08,20.85,21.27,20.65,21.09,3467897,GT
2013-09-09,20.84,21.41,20.76,21.24,3926097,GT
2013-09-10,21.47,22.28,21.24,21.97,6888549,GT
2013-09-11,22.01,22.36,21.92,22.1,4328369,GT
2013-09-12,22.02,22.15,21.65,21.77,4537250,GT
2013-09-13,21.85,21.91,21.41,21.82,3521366,GT
2013-09-14,21.92,22.04,21.52,21.82,3747759,GT
2013-09-15,22.0,22.16,21.62,21.82,3974152,GT
2013-09-16,22.07,22.28,21.73,21.82,4200545,GT
2013-09-17,21.75,22.16,21.58,21.98,3536231,GT
2013-09-18,21.93,22.37,21.62,22.17,3822778,GT
2013-09-19,22.48,22.5,21.92,22.23,4253191,GT
2013-09-20,23.07,23.13,22.11,22.22,7406489,GT
2013-09-21,22.78,22.88,22.01,22.18,6981105,GT
2013-09-22,22.49,22.62,21.91,22.15,6555721,GT
2013-09-23,22.2,22.37,21.81,22.11,6130337,GT
2013-09-24,22.23,22.99,22.04,22.82,6769821,GT
2013-09-25,22.83,23.24,22.72,22.98,5898765,GT
2013-09-26,23.1,23.21,22.51,22.6,3992025,GT
2013-09-27,22.43,22.75,22.31,22.46,2372620,GT
2013-09-28,22.38,22.7,22.2,22.46,2677382,GT
2013-09-29,22.32,22.66,22.08,22.45,2982143,GT
2013-09-30,22.27,22.61,21.97,22.45,3286905,GT
2013-10-01,22.5,23.26,22.42,23.25,4898156,GT
2013-10-02,22.8,23.4,22.75,23.27,4074299,GT
2013-10-03,23.14,23.34,22.68,22.78,4806391,GT
