index,open,high,low,close,volume,Name
2013-02-08,38.86,39.84,38.76,39.84,2648975,HAS
2013-02-09,39.25,39.94,38.97,39.79,2869016,HAS
2013-02-10,39.65,40.03,39.18,39.74,3089057,HAS
2013-02-11,40.04,40.13,39.4,39.69,3309098,HAS
2013-02-12,39.79,40.02,39.68,39.89,2206512,HAS
2013-02-13,40.23,40.55,39.92,40.42,2341325,HAS
2013-02-14,40.24,40.95,40.22,40.88,2161961,HAS
2013-02-15,40.99,41.0,40.43,40.53,1924981,HAS
2013-02-16,40.92,40.98,40.4,40.62,1881100,HAS
2013-02-17,40.86,40.96,40.38,40.72,1837218,HAS
2013-02-18,40.8,40.95,40.35,40.82,1793336,HAS
2013-02-19,40.73,40.93,40.32,40.91,1749455,HAS
2013-02-20,41.04,41.56,40.82,41.12,1427516,HAS
2013-02-21,41.62,41.62,40.75,41.12,1639702,HAS
2013-02-22,41.35,41.48,40.85,41.13,1164866,HAS
2013-02-23,41.34,41.48,40.6,40.79,1577856,HAS
2013-02-24,41.34,41.49,40.34,40.45,1990846,HAS
2013-02-25,41.33,41.49,40.09,40.11,2403836,HAS
2013-02-26,40.14,40.42,39.99,40.05,1460496,HAS
2013-02-27,40.01,40.62,39.99,40.52,1515133,HAS
2013-02-28,40.43,40.68,40.0,40.02,1494528,HAS
2013-03-01,40.1,40.43,39.88,40.11,2154667,HAS
2013-03-02,40.07,40.4,39.92,40.1,1914236,HAS
2013-03-03,40.04,40.38,39.97,40.09,1673806,HAS
2013-03-04,40.01,40.35,40.01,40.08,1433375,HAS
2013-03-05,40.29,40.84,40.28,40.7,1031526,HAS
2013-03-06,40.7,41.42,40.7,40.95,1664088,HAS
2013-03-07,40.91,41.47,40.89,41.06,930258,HAS
2013-03-08,41.3,41.75,41.07,41.67,778687,HAS
2013-03-09,41.43,41.93,41.17,41.87,1005477,HAS
2013-03-10,41.55,42.1,41.28,42.08,1232266,HAS
2013-03-11,41.68,42.28,41.38,42.28,1459056,HAS
2013-03-12,42.05,42.22,41.69,42.15,1008332,HAS
2013-03-13,41.55,41.98,41.3,41.81,1197633,HAS
2013-03-14,42.0,42.32,41.78,42.23,910248,HAS
2013-03-15,42.04,42.67,42.04,42.38,1271851,HAS
2013-03-16,42.05,42.57,41.96,42.33,1060296,HAS
2013-03-17,42.05,42.47,41.88,42.27,848741,HAS
2013-03-18,42.06,42.37,41.8,42.22,637186,HAS
2013-03-19,42.41,42.45,41.57,41.83,962663,HAS
2013-03-20,42.02,42.38,42.02,42.24,730346,HAS
2013-03-21,42.19,43.08,42.02,42.89,1152438,HAS
2013-03-22,42.93,43.92,42.79,43.84,1746914,HAS
2013-03-23,43.28,43.99,42.99,43.78,1623320,HAS
2013-03-24,43.62,44.06,43.19,43.73,1499726,HAS
2013-03-25,43.97,44.14,43.39,43.67,1376132,HAS
2013-03-26,43.64,43.86,43.45,43.83,985356,HAS
2013-03-27,43.73,43.95,43.56,43.67,660371,HAS
2013-03-28,43.82,44.0,43.61,43.94,992982,HAS
2013-03-29,43.86,44.01,43.56,43.84,989727,HAS
2013-03-30,43.91,44.02,43.51,43.75,986472,HAS
2013-03-31,43.96,44.02,43.46,43.66,983217,HAS
2013-04-01,44.0,44.03,43.41,43.56,979962,HAS
2013-04-02,43.63,43.63,43.2,43.39,1006608,HAS
2013-04-03,43.43,43.61,42.92,43.03,1494167,HAS
2013-04-04,43.23,43.69,42.98,43.46,1034239,HAS
2013-04-05,42.87,43.34,42.57,43.33,1822240,HAS
2013-04-06,43.02,43.36,42.72,43.3,1589740,HAS
2013-04-07,43.18,43.37,42.88,43.28,1357240,HAS
2013-04-08,43.33,43.39,43.04,43.25,1124740,HAS
2013-04-09,43.25,44.01,43.08,43.91,860274,HAS
