index,open,high,low,close,volume,Name
2013-02-08,10.03,10.18,9.98,10.13,4108672,HBI
2013-02-09,10.06,10.17,10.01,10.12,3846767,HBI
2013-02-10,10.09,10.15,10.04,10.11,3584861,HBI
2013-02-11,10.12,10.13,10.07,10.1,3322956,HBI
2013-02-12,10.11,10.14,10.02,10.04,4057168,HBI
2013-02-13,10.03,10.12,9.99,10.1,4732700,HBI
2013-02-14,10.06,10.14,10.01,10.1,3711356,HBI
2013-02-15,10.12,10.17,9.94,9.99,5861240,HBI
2013-02-16,10.09,10.14,9.93,9.97,5557497,HBI
2013-02-17,10.07,10.12,9.93,9.96,5253754,HBI
2013-02-18,10.05,10.09,9.92,9.94,4950011,HBI
2013-02-19,10.03,10.06,9.91,9.92,4646268,HBI
2013-02-20,9.93,9.93,9.76,9.77,3598204,HBI
2013-02-21,9.77,9.82,9.62,9.65,4020956,HBI
2013-02-22,9.72,9.74,9.59,9.68,3799700,HBI
2013-02-23,9.72,9.75,9.58,9.64,3409517,HBI
2013-02-24,9.72,9.77,9.57,9.61,3019335,HBI
2013-02-25,9.72,9.78,9.56,9.57,2629152,HBI
2013-02-26,9.62,9.72,9.54,9.71,4050008,HBI
2013-02-27,9.72,9.82,9.68,9.8,3472564,HBI
2013-02-28,9.8,10.06,9.79,9.91,7346344,HBI
2013-03-01,9.9,9.93,9.71,9.83,4093184,HBI
2013-03-02,9.87,9.94,9.73,9.85,4070728,HBI
2013-03-03,9.84,9.96,9.76,9.87,4048272,HBI
2013-03-04,9.82,9.98,9.79,9.89,4025816,HBI
2013-03-05,9.93,10.01,9.93,9.96,2211028,HBI
2013-03-06,9.96,10.01,9.86,9.89,2853952,HBI
2013-03-07,9.91,9.96,9.74,9.77,5051600,HBI
2013-03-08,9.83,10.03,9.77,10.02,5035440,HBI
2013-03-09,9.89,10.05,9.84,10.04,4573340,HBI
2013-03-10,9.95,10.06,9.91,10.05,4111240,HBI
2013-03-11,10.01,10.08,9.98,10.07,3649140,HBI
2013-03-12,10.04,10.12,10.02,10.09,3277604,HBI
2013-03-13,10.12,10.43,10.1,10.42,5914612,HBI
2013-03-14,10.43,10.49,10.25,10.3,7080156,HBI
2013-03-15,10.23,10.33,10.12,10.33,8245760,HBI
2013-03-16,10.24,10.35,10.16,10.31,6396996,HBI
2013-03-17,10.25,10.37,10.2,10.3,4548232,HBI
2013-03-18,10.26,10.39,10.24,10.28,2699468,HBI
2013-03-19,10.33,10.36,10.22,10.33,3818344,HBI
2013-03-20,10.4,10.48,10.3,10.46,2886760,HBI
2013-03-21,10.45,10.55,10.45,10.51,4593308,HBI
2013-03-22,10.78,11.14,10.64,10.68,5351104,HBI
2013-03-23,10.77,11.08,10.66,10.78,5173547,HBI
2013-03-24,10.76,11.03,10.69,10.88,4995989,HBI
2013-03-25,10.75,10.98,10.72,10.97,4818432,HBI
2013-03-26,11.0,11.04,10.98,11.02,3676096,HBI
2013-03-27,10.98,11.22,10.94,11.2,4585808,HBI
2013-03-28,11.24,11.42,11.17,11.39,5799064,HBI
2013-03-29,11.27,11.42,11.21,11.39,5797616,HBI
2013-03-30,11.31,11.42,11.25,11.39,5796168,HBI
2013-03-31,11.34,11.42,11.29,11.4,5794720,HBI
2013-04-01,11.38,11.42,11.32,11.4,5793272,HBI
2013-04-02,11.58,11.77,11.4,11.48,13643376,HBI
2013-04-03,11.57,11.58,10.98,11.18,10710024,HBI
2013-04-04,11.15,11.33,11.1,11.28,4273496,HBI
2013-04-05,11.37,11.74,11.37,11.71,6651712,HBI
2013-04-06,11.5,11.8,11.45,11.78,6774191,HBI
2013-04-07,11.63,11.86,11.53,11.84,6896669,HBI
2013-04-08,11.76,11.93,11.6,11.91,7019148,HBI
2013-04-09,11.94,12.1,11.85,12.03,4946452,HBI
2013-04-10,12.04,12.35,12.02,12.23,6667544,HBI
