index,open,high,low,close,volume,Name
2013-02-08,66.55,67.02,66.41,67.01,4458040,HD
2013-02-09,66.66,67.01,66.35,66.8,4289596,HD
2013-02-10,66.76,66.99,66.29,66.59,4121151,HD
2013-02-11,66.87,66.98,66.22,66.38,3952707,HD
2013-02-12,66.7,67.43,66.52,67.32,4932264,HD
2013-02-13,67.52,67.67,67.18,67.45,3668687,HD
2013-02-14,67.13,67.47,66.96,67.34,5439665,HD
2013-02-15,67.52,67.99,66.8,67.52,8132222,HD
2013-02-16,67.55,67.97,66.84,67.53,7463087,HD
2013-02-17,67.57,67.95,66.88,67.54,6793952,HD
2013-02-18,67.6,67.94,66.91,67.54,6124816,HD
2013-02-19,67.63,67.92,66.95,67.55,5455681,HD
2013-02-20,67.44,67.6,66.37,66.44,5598632,HD
2013-02-21,65.86,65.92,64.29,64.38,10622495,HD
2013-02-22,64.8,65.74,64.5,65.58,7501182,HD
2013-02-23,65.19,66.01,64.27,65.03,8423302,HD
2013-02-24,65.57,66.28,64.05,64.47,9345423,HD
2013-02-25,65.96,66.55,63.82,63.92,10267543,HD
2013-02-26,65.56,68.0,65.49,67.56,22792938,HD
2013-02-27,67.58,68.28,67.37,68.06,14170763,HD
2013-02-28,67.91,69.19,67.86,68.5,8705818,HD
2013-03-01,68.38,69.11,68.09,69.03,6242092,HD
2013-03-02,68.57,69.51,68.37,69.45,6953336,HD
2013-03-03,68.76,69.9,68.65,69.87,7664580,HD
2013-03-04,68.95,70.3,68.93,70.29,8375824,HD
2013-03-05,70.58,70.96,70.12,70.47,8311263,HD
2013-03-06,70.47,70.96,70.28,70.48,5275314,HD
2013-03-07,70.4,70.5,69.94,70.25,4997362,HD
2013-03-08,70.59,71.45,70.39,71.37,6472726,HD
2013-03-09,70.83,71.43,70.59,71.35,5949305,HD
2013-03-10,71.08,71.4,70.8,71.34,5425884,HD
2013-03-11,71.32,71.38,71.0,71.32,4902463,HD
2013-03-12,70.9,71.14,70.46,70.75,4449825,HD
2013-03-13,70.79,70.94,70.35,70.76,5827027,HD
2013-03-14,70.87,70.96,70.18,70.24,6314510,HD
2013-03-15,70.03,70.19,69.05,69.05,11273217,HD
2013-03-16,69.5,70.1,68.85,69.15,9518854,HD
2013-03-17,68.98,70.0,68.65,69.25,7764492,HD
2013-03-18,68.45,69.91,68.45,69.35,6010129,HD
2013-03-19,69.55,69.74,68.56,68.79,7654870,HD
2013-03-20,69.39,69.55,68.83,68.88,6108547,HD
2013-03-21,68.65,69.31,68.42,68.95,8036310,HD
2013-03-22,69.23,69.57,68.8,69.56,5244758,HD
2013-03-23,69.42,69.83,68.96,69.53,5815193,HD
2013-03-24,69.61,70.1,69.11,69.5,6385628,HD
2013-03-25,69.8,70.36,69.27,69.47,6956063,HD
2013-03-26,69.66,70.4,69.55,70.05,4661146,HD
2013-03-27,69.21,69.7,69.0,69.65,4156287,HD
2013-03-28,69.44,69.96,69.33,69.78,6725814,HD
2013-03-29,69.46,70.16,69.38,69.75,6384236,HD
2013-03-30,69.47,70.36,69.42,69.72,6042658,HD
2013-03-31,69.49,70.57,69.46,69.7,5701081,HD
2013-04-01,69.51,70.77,69.51,69.67,5359503,HD
2013-04-02,69.9,71.05,69.83,71.02,7291540,HD
2013-04-03,70.85,70.94,70.02,70.36,7795195,HD
2013-04-04,70.36,70.8,70.08,70.69,6613010,HD
2013-04-05,70.0,70.25,69.61,70.06,6987328,HD
2013-04-06,69.93,70.58,69.67,70.45,6690600,HD
2013-04-07,69.85,70.92,69.72,70.83,6393871,HD
2013-04-08,69.78,71.25,69.78,71.22,6097143,HD
2013-04-09,71.23,71.57,70.95,71.2,5994935,HD
2013-04-10,71.4,71.78,70.97,71.69,5423590,HD
2013-04-11,71.83,72.6,71.73,71.9,7626671,HD
2013-04-12,72.41,73.66,72.15,73.62,10493574,HD
2013-04-13,72.72,73.84,72.17,73.16,9782766,HD
2013-04-14,73.04,74.01,72.19,72.69,9071959,HD
2013-04-15,73.35,74.19,72.21,72.23,8361151,HD
2013-04-16,72.55,72.8,72.03,72.46,8120152,HD
2013-04-17,72.22,72.97,71.94,72.8,8838675,HD
2013-04-18,72.67,72.9,72.29,72.48,7477825,HD
2013-04-19,72.92,74.28,72.72,74.0,9566824,HD
2013-04-20,73.25,74.26,72.89,73.95,8780089,HD
2013-04-21,73.59,74.24,73.07,73.91,7993353,HD
2013-04-22,73.92,74.22,73.24,73.86,7206618,HD
2013-04-23,74.14,74.59,72.63,73.38,7886248,HD
2013-04-24,73.55,73.85,73.26,73.28,6248256,HD
2013-04-25,73.31,73.79,73.2,73.37,5619682,HD
2013-04-26,73.24,73.69,73.13,73.35,4984231,HD
2013-04-27,73.31,73.8,73.22,73.46,4829271,HD
2013-04-28,73.37,73.91,73.3,73.56,4674311,HD
2013-04-29,73.44,74.02,73.39,73.67,4519351,HD
2013-04-30,73.5,74.01,73.22,73.35,6602408,HD
2013-05-01,73.18,73.59,72.64,72.76,5554634,HD
2013-05-02,72.77,73.48,72.53,73.33,3722606,HD
2013-05-03,73.72,74.41,73.72,73.96,4951467,HD
2013-05-04,73.77,74.73,73.77,74.39,5211371,HD
2013-05-05,73.83,75.05,73.83,74.83,5471274,HD
2013-05-06,73.88,75.37,73.88,75.26,5731178,HD
2013-05-07,75.24,75.28,74.6,75.07,5582351,HD
2013-05-08,75.19,75.5,74.92,75.42,6533366,HD
2013-05-09,75.36,76.18,75.36,75.87,6337343,HD
2013-05-10,76.14,76.2,75.41,76.01,5170939,HD
2013-05-11,76.1,76.42,75.59,76.23,4935943,HD
2013-05-12,76.05,76.63,75.77,76.45,4700946,HD
2013-05-13,76.01,76.85,75.95,76.67,4465950,HD
2013-05-14,76.78,77.42,76.75,77.32,6071714,HD
2013-05-15,77.6,78.25,77.44,77.88,6706180,HD
2013-05-16,77.5,78.54,76.69,76.75,8299149,HD
2013-05-17,76.34,77.15,76.2,76.86,8670711,HD
2013-05-18,76.48,77.1,76.3,76.83,8712764,HD
2013-05-19,76.63,77.05,76.4,76.79,8754818,HD
2013-05-20,76.77,77.0,76.5,76.76,8796871,HD
2013-05-21,79.33,79.47,78.06,78.71,14106814,HD
2013-05-22,79.26,81.56,79.18,79.69,14831142,HD
2013-05-23,78.89,79.25,77.79,78.91,9617339,HD
2013-05-24,78.5,79.39,78.31,78.99,6188201,HD
2013-05-25,78.86,79.7,78.6,79.2,6566615,HD
2013-05-26,79.22,80.01,78.9,79.4,6945028,HD
2013-05-27,79.58,80.32,79.19,79.61,7323442,HD
2013-05-28,79.94,80.63,79.49,79.82,7701856,HD
2013-05-29,79.38,79.87,79.09,79.49,7126728,HD
2013-05-30,79.55,80.1,79.13,79.44,5448092,HD
2013-05-31,79.54,80.38,78.66,78.66,6910261,HD
2013-06-01,79.24,79.95,78.46,78.8,6670748,HD
2013-06-02,78.95,79.51,78.25,78.94,6431234,HD
2013-06-03,78.65,79.08,78.05,79.08,6191721,HD
2013-06-04,78.5,78.82,76.08,76.63,8791664,HD
2013-06-05,76.11,76.85,74.9,75.1,8760727,HD
2013-06-06,75.02,77.37,75.01,77.26,11515781,HD
2013-06-07,77.73,78.97,77.59,78.74,6556046,HD
2013-06-08,78.13,79.21,77.57,78.4,6913370,HD
2013-06-09,78.54,79.44,77.55,78.07,7270693,HD
2013-06-10,78.94,79.68,77.53,77.73,7628017,HD
2013-06-11,77.23,78.53,76.96,77.61,5979343,HD
2013-06-12,78.04,78.3,76.36,76.4,7360081,HD
2013-06-13,76.35,76.83,76.08,76.53,9194059,HD
2013-06-14,76.22,76.95,76.07,76.59,8613097,HD
2013-06-15,76.51,77.13,75.94,76.44,8847351,HD
2013-06-16,76.79,77.3,75.82,76.29,9081605,HD
2013-06-17,77.08,77.48,75.69,76.14,9315859,HD
2013-06-18,76.12,77.37,76.12,77.19,6421678,HD
2013-06-19,77.07,77.27,75.92,75.93,8027510,HD
2013-06-20,75.43,75.43,73.8,73.87,12374793,HD
2013-06-21,74.49,74.69,73.02,73.82,15552429,HD
2013-06-22,73.96,74.47,72.82,73.72,13773201,HD
2013-06-23,73.43,74.24,72.61,73.61,11993974,HD
2013-06-24,72.9,74.02,72.41,73.51,10214746,HD
2013-06-25,74.07,74.72,73.8,74.14,8524955,HD
2013-06-26,74.79,75.87,74.58,75.67,7389929,HD
2013-06-27,75.99,76.82,75.8,76.27,6682118,HD
2013-06-28,76.16,77.79,75.92,77.47,12488979,HD
2013-06-29,76.65,77.8,76.16,77.27,10816299,HD
2013-06-30,77.14,77.8,76.39,77.07,9143620,HD
2013-07-01,77.63,77.81,76.63,76.87,7470940,HD
2013-07-02,77.29,78.12,76.96,77.31,6887888,HD
2013-07-03,76.99,77.99,76.92,77.73,3034831,HD
2013-07-04,77.45,78.28,77.16,78.01,4013353,HD
2013-07-05,77.91,78.56,77.4,78.29,4991875,HD
2013-07-06,78.13,78.89,77.78,78.6,5345201,HD
2013-07-07,78.34,79.21,78.16,78.91,5698526,HD
2013-07-08,78.56,79.54,78.54,79.22,6051852,HD
2013-07-09,79.54,80.15,79.33,79.7,4987045,HD
2013-07-10,79.67,79.7,78.61,79.4,5460770,HD
2013-07-11,80.27,80.68,79.58,79.86,6846479,HD
2013-07-12,79.92,80.75,79.92,80.54,5178396,HD
2013-07-13,80.16,80.88,80.0,80.49,5132790,HD
2013-07-14,80.39,81.02,80.09,80.45,5087184,HD
2013-07-15,80.63,81.15,80.17,80.4,5041578,HD
2013-07-16,80.41,80.69,79.84,80.22,5032677,HD
2013-07-17,80.76,81.23,80.39,80.44,5702336,HD
2013-07-18,80.33,80.45,79.96,80.02,5297553,HD
2013-07-19,79.95,80.12,79.42,79.89,5886015,HD
2013-07-20,79.96,80.1,79.36,79.93,5909948,HD
2013-07-21,79.97,80.08,79.31,79.96,5933882,HD
2013-07-22,79.98,80.06,79.25,80.0,5957815,HD
2013-07-23,80.14,80.47,79.86,80.19,4985684,HD
2013-07-24,80.45,80.47,79.58,80.27,4814193,HD
2013-07-25,80.09,80.1,77.89,78.99,9966149,HD
2013-07-26,78.42,79.37,78.25,78.74,5577505,HD
2013-07-27,78.49,79.24,78.29,78.72,5444689,HD
2013-07-28,78.57,79.11,78.33,78.69,5311873,HD
2013-07-29,78.64,78.98,78.37,78.67,5179057,HD
2013-07-30,79.17,79.27,78.52,78.6,4813374,HD
2013-07-31,78.69,79.73,78.69,79.03,5914986,HD
