index,open,high,low,close,volume,Name
2013-02-08,66.69,67.68,66.69,67.37,2760327,HES
2013-02-09,66.83,67.49,66.57,67.16,2606702,HES
2013-02-10,66.98,67.31,66.46,66.95,2453076,HES
2013-02-11,67.12,67.12,66.34,66.74,2299451,HES
2013-02-12,66.71,67.38,66.48,66.98,2525119,HES
2013-02-13,67.0,68.44,66.99,67.96,10539573,HES
2013-02-14,67.76,68.96,67.53,68.35,3537045,HES
2013-02-15,68.18,68.39,67.02,67.42,4049201,HES
2013-02-16,68.06,68.41,67.12,67.62,3704187,HES
2013-02-17,67.94,68.42,67.22,67.82,3359173,HES
2013-02-18,67.81,68.44,67.32,68.01,3014159,HES
2013-02-19,67.69,68.46,67.42,68.21,2669145,HES
2013-02-20,68.11,68.17,65.84,66.01,3856204,HES
2013-02-21,65.72,65.93,63.9,64.4,6311500,HES
2013-02-22,65.04,66.1,64.38,66.03,2384782,HES
2013-02-23,65.51,66.39,64.16,65.27,2511446,HES
2013-02-24,65.98,66.68,63.94,64.5,2638109,HES
2013-02-25,66.45,66.97,63.72,63.74,2764773,HES
2013-02-26,64.17,65.05,63.4,64.61,3919169,HES
2013-02-27,64.24,66.08,64.06,65.68,2529719,HES
2013-02-28,65.71,67.23,65.45,66.5,3400026,HES
2013-03-01,66.04,66.55,65.18,66.54,4602723,HES
2013-03-02,67.06,67.7,66.21,67.31,6503508,HES
2013-03-03,68.09,68.85,67.23,68.07,8404294,HES
2013-03-04,69.11,70.0,68.26,68.84,10305079,HES
2013-03-05,69.93,70.49,69.48,69.82,6542441,HES
2013-03-06,70.3,70.46,69.26,69.49,3565491,HES
2013-03-07,69.88,69.92,68.8,69.04,2952587,HES
2013-03-08,69.27,69.66,68.84,69.47,3227143,HES
2013-03-09,69.26,69.76,68.78,69.61,3072018,HES
2013-03-10,69.24,69.86,68.71,69.75,2916892,HES
2013-03-11,69.23,69.96,68.65,69.89,2761767,HES
2013-03-12,69.93,70.85,69.77,70.38,4150993,HES
2013-03-13,70.32,71.99,70.04,71.69,3955604,HES
2013-03-14,71.67,72.12,71.35,71.97,3213437,HES
2013-03-15,71.59,72.56,71.34,72.51,4497659,HES
2013-03-16,71.57,72.58,71.34,72.41,3813139,HES
2013-03-17,71.54,72.61,71.33,72.32,3128620,HES
2013-03-18,71.52,72.63,71.33,72.22,2444100,HES
2013-03-19,72.17,72.4,69.04,70.0,3837264,HES
2013-03-20,70.57,70.7,69.79,69.9,2444267,HES
2013-03-21,69.42,70.36,69.24,69.27,2334072,HES
2013-03-22,69.62,70.37,69.53,70.27,2252016,HES
2013-03-23,70.08,70.83,69.81,70.33,2583443,HES
2013-03-24,70.54,71.28,70.08,70.38,2914871,HES
2013-03-25,71.0,71.74,70.36,70.44,3246298,HES
2013-03-26,70.67,71.35,70.28,71.11,2443854,HES
2013-03-27,70.76,72.23,70.11,72.03,2585704,HES
2013-03-28,72.0,72.5,71.13,71.61,2691347,HES
2013-03-29,71.89,73.0,71.19,72.09,3145468,HES
2013-03-30,71.78,73.49,71.24,72.58,3599590,HES
2013-03-31,71.68,73.98,71.3,73.06,4053712,HES
2013-04-01,71.57,74.48,71.36,73.54,4507833,HES
2013-04-02,73.73,74.22,72.78,74.14,2992198,HES
2013-04-03,74.25,74.25,71.84,72.06,3411201,HES
2013-04-04,72.1,72.24,70.65,71.79,2784647,HES
2013-04-05,71.0,72.11,70.39,71.69,1661054,HES
2013-04-06,71.33,72.22,70.71,71.94,1737605,HES
2013-04-07,71.67,72.33,71.03,72.19,1814156,HES
2013-04-08,72.0,72.44,71.35,72.44,1890707,HES
2013-04-09,72.48,73.6,71.88,73.3,3168217,HES
2013-04-10,73.33,73.68,72.67,72.92,1861719,HES
2013-04-11,73.12,73.28,71.99,72.66,1598947,HES
2013-04-12,72.15,72.15,70.7,71.39,1898306,HES
2013-04-13,71.33,71.37,69.78,70.25,2358995,HES
2013-04-14,70.5,70.6,68.86,69.11,2819683,HES
2013-04-15,69.68,69.82,67.94,67.97,3280372,HES
2013-04-16,68.97,69.33,67.77,68.79,2674597,HES
2013-04-17,68.01,68.05,65.67,66.91,3209894,HES
2013-04-18,66.96,67.54,66.11,67.02,2990815,HES
2013-04-19,67.23,67.28,66.55,66.78,4448695,HES
2013-04-20,67.25,67.65,66.63,67.15,4723261,HES
2013-04-21,67.27,68.01,66.7,67.53,4997827,HES
2013-04-22,67.29,68.37,66.78,67.9,5272393,HES
2013-04-23,68.18,68.94,67.67,68.21,3074067,HES
2013-04-24,69.28,70.73,69.05,70.12,3998699,HES
2013-04-25,70.27,72.26,70.06,71.16,3176604,HES
2013-04-26,71.02,71.49,70.82,70.99,3406455,HES
2013-04-27,71.23,71.83,71.0,71.39,2899060,HES
2013-04-28,71.43,72.16,71.19,71.8,2391664,HES
2013-04-29,71.64,72.5,71.38,72.2,1884269,HES
2013-04-30,72.08,72.18,70.79,72.18,3307411,HES
2013-05-01,71.62,71.62,70.42,70.71,2718035,HES
2013-05-02,71.9,72.41,71.03,72.21,2234876,HES
2013-05-03,73.0,73.91,72.91,73.0,4777805,HES
2013-05-04,72.97,73.72,72.76,72.82,4127821,HES
2013-05-05,72.93,73.54,72.6,72.64,3477838,HES
2013-05-06,72.9,73.35,72.45,72.46,2827854,HES
2013-05-07,72.69,73.08,71.94,72.26,2117259,HES
2013-05-08,72.17,72.57,71.56,71.89,3415863,HES
2013-05-09,71.86,71.98,70.7,70.96,2596203,HES
2013-05-10,70.66,70.68,69.01,69.3,4846657,HES
2013-05-11,70.19,70.38,68.93,69.33,4373700,HES
2013-05-12,69.72,70.07,68.85,69.36,3900744,HES
2013-05-13,69.25,69.77,68.77,69.39,3427787,HES
2013-05-14,69.58,72.27,69.53,72.22,5847900,HES
2013-05-15,71.69,72.42,70.55,70.6,3423422,HES
2013-05-16,70.95,70.95,68.0,69.11,11770067,HES
2013-05-17,69.58,69.95,69.27,69.68,3576904,HES
2013-05-18,69.59,70.02,69.27,69.69,3502156,HES
2013-05-19,69.59,70.08,69.28,69.71,3427408,HES
2013-05-20,69.6,70.15,69.28,69.72,3352660,HES
2013-05-21,69.66,70.19,69.16,69.61,3336826,HES
2013-05-22,69.41,69.99,67.85,68.58,3880516,HES
2013-05-23,67.55,68.24,66.75,68.04,3071873,HES
2013-05-24,67.43,67.6,66.33,67.48,4042019,HES
2013-05-25,67.74,67.99,66.73,67.74,4021232,HES
2013-05-26,68.04,68.38,67.13,68.0,4000444,HES
2013-05-27,68.35,68.78,67.53,68.26,3979656,HES
2013-05-28,68.66,69.17,67.93,68.52,3958869,HES
2013-05-29,67.83,68.82,67.74,68.57,2056981,HES
2013-05-30,68.26,69.16,67.87,68.74,2587887,HES
2013-05-31,68.5,68.85,67.4,67.41,3890386,HES
2013-06-01,68.19,68.96,67.44,67.87,3575813,HES
2013-06-02,67.89,69.06,67.47,68.33,3261239,HES
2013-06-03,67.58,69.17,67.51,68.79,2946666,HES
2013-06-04,68.46,68.92,67.53,68.25,2339479,HES
2013-06-05,67.97,68.19,66.56,66.76,2821915,HES
2013-06-06,66.7,67.99,66.27,67.99,2244211,HES
2013-06-07,68.63,69.34,68.01,69.18,2126352,HES
2013-06-08,68.83,69.35,68.11,69.04,1881856,HES
2013-06-09,69.03,69.37,68.22,68.89,1637359,HES
2013-06-10,69.23,69.38,68.32,68.75,1392863,HES
2013-06-11,67.72,68.03,67.11,67.29,1552399,HES
2013-06-12,68.12,68.22,66.46,66.82,2370165,HES
2013-06-13,66.67,67.11,66.0,66.85,3234106,HES
2013-06-14,67.24,67.25,65.77,65.97,3066379,HES
2013-06-15,67.02,67.5,66.04,66.48,2800727,HES
2013-06-16,66.81,67.75,66.32,67.0,2535075,HES
2013-06-17,66.59,68.0,66.59,67.51,2269423,HES
2013-06-18,67.54,67.75,67.14,67.52,3253673,HES
2013-06-19,67.33,68.08,66.25,66.38,2678660,HES
