index,open,high,low,close,volume,Name
2013-02-08,24.26,24.35,24.04,24.17,4077911,HIG
2013-02-09,24.21,24.4,24.01,24.25,4094566,HIG
2013-02-10,24.16,24.44,23.98,24.33,4111220,HIG
2013-02-11,24.11,24.49,23.95,24.41,4127875,HIG
2013-02-12,24.35,24.51,24.21,24.4,5725410,HIG
2013-02-13,24.46,24.55,24.34,24.45,3636901,HIG
2013-02-14,24.31,24.56,24.21,24.49,5069658,HIG
2013-02-15,24.46,24.67,24.14,24.2,4463187,HIG
2013-02-16,24.45,24.7,24.17,24.34,5004176,HIG
2013-02-17,24.44,24.74,24.21,24.48,5545164,HIG
2013-02-18,24.43,24.77,24.24,24.62,6086152,HIG
2013-02-19,24.42,24.8,24.28,24.76,6627141,HIG
2013-02-20,24.8,24.85,24.3,24.31,6051037,HIG
2013-02-21,24.2,24.29,23.58,23.7,7827622,HIG
2013-02-22,24.02,24.2,23.91,24.09,5103475,HIG
2013-02-23,24.11,24.25,23.61,23.74,6373645,HIG
2013-02-24,24.2,24.3,23.32,23.4,7643815,HIG
2013-02-25,24.29,24.35,23.02,23.05,8913985,HIG
2013-02-26,23.25,23.39,22.64,23.35,8921607,HIG
2013-02-27,23.3,23.82,23.17,23.73,4445731,HIG
2013-02-28,23.69,23.89,23.56,23.61,3823357,HIG
2013-03-01,23.38,23.75,23.11,23.68,5256969,HIG
2013-03-02,23.39,23.75,23.16,23.68,5144467,HIG
2013-03-03,23.39,23.75,23.2,23.69,5031966,HIG
2013-03-04,23.4,23.76,23.25,23.69,4919464,HIG
2013-03-05,23.87,24.36,23.8,24.15,6516145,HIG
2013-03-06,24.34,24.54,24.2,24.26,6982473,HIG
2013-03-07,24.22,24.42,24.03,24.35,5965297,HIG
2013-03-08,24.47,25.55,24.46,25.45,10335877,HIG
2013-03-09,24.79,25.64,24.69,25.51,8894274,HIG
2013-03-10,25.12,25.74,24.93,25.56,7452671,HIG
2013-03-11,25.44,25.83,25.16,25.62,6011068,HIG
2013-03-12,25.62,25.98,25.57,25.65,6815254,HIG
2013-03-13,25.74,25.88,25.57,25.75,4432664,HIG
2013-03-14,25.94,26.5,25.87,26.46,6751435,HIG
2013-03-15,26.45,26.6,26.16,26.3,5840588,HIG
2013-03-16,26.27,26.46,26.0,26.17,5647906,HIG
2013-03-17,26.1,26.33,25.84,26.05,5455223,HIG
2013-03-18,25.92,26.19,25.68,25.92,5262541,HIG
2013-03-19,26.01,26.08,25.38,25.52,7373940,HIG
2013-03-20,25.85,26.28,25.85,26.15,9931068,HIG
2013-03-21,25.99,26.23,25.92,26.0,6606885,HIG
2013-03-22,26.13,26.42,25.96,26.4,5287515,HIG
2013-03-23,26.29,26.51,25.91,26.27,6616452,HIG
2013-03-24,26.44,26.6,25.86,26.14,7945390,HIG
2013-03-25,26.6,26.69,25.81,26.01,9274327,HIG
2013-03-26,26.17,26.29,25.87,26.25,4451849,HIG
2013-03-27,26.01,26.08,25.68,25.95,3484064,HIG
2013-03-28,25.91,25.97,25.55,25.8,4818448,HIG
2013-03-29,25.89,25.99,25.53,25.74,4457937,HIG
2013-03-30,25.88,26.02,25.52,25.69,4097426,HIG
2013-03-31,25.86,26.04,25.5,25.64,3736915,HIG
2013-04-01,25.84,26.07,25.48,25.58,3376404,HIG
2013-04-02,25.63,25.71,25.36,25.55,4826680,HIG
2013-04-03,25.51,25.54,24.74,24.82,6498448,HIG
2013-04-04,25.03,25.93,24.96,25.85,9605682,HIG
2013-04-05,25.22,25.42,24.66,25.17,10342172,HIG
2013-04-06,25.2,25.65,24.83,25.47,9627442,HIG
2013-04-07,25.17,25.87,24.99,25.78,8912711,HIG
2013-04-08,25.15,26.1,25.15,26.08,8197981,HIG
2013-04-09,26.15,26.37,26.04,26.16,6138644,HIG
2013-04-10,26.32,27.15,26.21,27.02,9698879,HIG
2013-04-11,27.4,28.12,27.23,27.38,15186025,HIG
2013-04-12,27.25,27.86,27.21,27.49,6777882,HIG
2013-04-13,27.3,27.71,26.86,27.1,7094703,HIG
2013-04-14,27.36,27.57,26.51,26.7,7411523,HIG
2013-04-15,27.41,27.42,26.16,26.31,7728344,HIG
2013-04-16,26.69,27.4,26.69,27.37,5754441,HIG
2013-04-17,27.01,27.1,26.68,26.99,8758602,HIG
2013-04-18,26.97,27.06,26.41,26.53,6095612,HIG
2013-04-19,26.71,26.93,26.2,26.84,6593777,HIG
2013-04-20,26.77,26.94,26.21,26.78,6093399,HIG
2013-04-21,26.84,26.94,26.23,26.73,5593022,HIG
