index,open,high,low,close,volume,Name
2013-02-08,44.81,45.4,44.61,45.39,387929,HII
2013-02-09,44.95,45.4,44.74,45.34,317476,HII
2013-02-10,45.09,45.4,44.87,45.28,247024,HII
2013-02-11,45.23,45.4,45.0,45.23,176571,HII
2013-02-12,45.27,45.4,45.15,45.25,176363,HII
2013-02-13,45.33,45.82,45.13,45.55,242203,HII
2013-02-14,45.39,45.48,45.04,45.2,251431,HII
2013-02-15,45.1,45.59,45.03,45.35,121880,HII
2013-02-16,45.16,45.58,45.08,45.4,165270,HII
2013-02-17,45.22,45.57,45.13,45.44,208660,HII
2013-02-18,45.29,45.56,45.18,45.49,252051,HII
2013-02-19,45.35,45.55,45.23,45.54,295441,HII
2013-02-20,45.45,45.95,45.38,45.44,480001,HII
2013-02-21,45.35,45.44,44.6,44.63,225792,HII
2013-02-22,44.85,45.19,44.8,44.95,263967,HII
2013-02-23,44.93,45.32,44.62,44.73,272669,HII
2013-02-24,45.02,45.46,44.45,44.51,281371,HII
2013-02-25,45.1,45.59,44.27,44.29,290073,HII
2013-02-26,44.35,45.74,44.35,45.47,279332,HII
2013-02-27,45.47,47.14,44.77,47.12,365594,HII
2013-02-28,46.77,48.52,46.76,48.04,385872,HII
2013-03-01,47.78,48.57,47.29,47.91,415491,HII
2013-03-02,47.76,48.31,47.25,47.69,381929,HII
2013-03-03,47.75,48.05,47.22,47.47,348367,HII
2013-03-04,47.73,47.79,47.18,47.25,314805,HII
2013-03-05,47.47,48.1,47.26,48.07,187127,HII
2013-03-06,48.37,49.18,48.35,49.17,224718,HII
2013-03-07,49.16,49.2,48.8,49.05,319591,HII
2013-03-08,49.35,50.76,49.35,50.56,294669,HII
2013-03-09,49.65,50.83,49.57,50.67,268835,HII
2013-03-10,49.95,50.91,49.79,50.79,243000,HII
2013-03-11,50.25,50.98,50.01,50.9,217166,HII
2013-03-12,50.7,51.42,50.66,51.34,227461,HII
2013-03-13,51.38,53.11,51.38,52.85,320253,HII
2013-03-14,52.89,54.12,52.59,54.08,283378,HII
2013-03-15,54.21,54.22,53.61,54.02,530082,HII
2013-03-16,53.98,54.11,53.49,53.89,416974,HII
2013-03-17,53.76,54.01,53.37,53.77,303866,HII
2013-03-18,53.53,53.9,53.25,53.64,190758,HII
2013-03-19,52.91,53.33,52.27,52.5,364085,HII
2013-03-20,52.59,52.98,52.48,52.82,199325,HII
2013-03-21,52.64,52.96,51.83,52.05,206168,HII
2013-03-22,52.44,53.06,52.19,52.41,174187,HII
2013-03-23,52.5,53.1,52.16,52.39,176508,HII
2013-03-24,52.57,53.15,52.14,52.38,178829,HII
2013-03-25,52.63,53.19,52.11,52.36,181150,HII
2013-03-26,52.4,53.34,52.4,53.2,190432,HII
2013-03-27,52.89,53.08,52.63,52.96,121414,HII
2013-03-28,53.08,53.47,52.94,53.33,122777,HII
2013-03-29,53.19,53.64,53.0,53.44,146692,HII
2013-03-30,53.3,53.82,53.06,53.56,170607,HII
2013-03-31,53.41,53.99,53.13,53.67,194522,HII
2013-04-01,53.52,54.16,53.19,53.78,218437,HII
2013-04-02,53.94,53.96,52.29,52.48,228373,HII
2013-04-03,52.56,53.31,51.89,51.95,440087,HII
2013-04-04,52.19,52.67,51.79,51.91,163335,HII
2013-04-05,51.19,51.78,50.88,51.58,134340,HII
2013-04-06,51.43,51.83,50.89,51.49,152358,HII
2013-04-07,51.68,51.87,50.9,51.39,170377,HII
2013-04-08,51.92,51.92,50.91,51.3,188395,HII
2013-04-09,51.26,51.44,50.41,51.08,213909,HII
2013-04-10,50.98,51.86,50.96,51.86,240673,HII
2013-04-11,51.86,52.3,51.8,52.13,109898,HII
2013-04-12,52.17,53.68,52.17,53.65,543391,HII
2013-04-13,52.54,53.65,51.95,53.06,469515,HII
2013-04-14,52.91,53.61,51.72,52.46,395639,HII
2013-04-15,53.28,53.58,51.5,51.87,321763,HII
2013-04-16,52.42,52.63,50.66,51.5,177088,HII
2013-04-17,51.12,51.32,50.03,50.63,137975,HII
2013-04-18,50.87,50.87,49.84,50.11,214935,HII
2013-04-19,50.23,50.62,49.9,50.27,149812,HII
2013-04-20,50.23,50.52,49.85,50.22,141994,HII
2013-04-21,50.23,50.41,49.79,50.17,134177,HII
2013-04-22,50.23,50.31,49.73,50.12,126359,HII
2013-04-23,50.28,51.01,50.28,50.98,142507,HII
2013-04-24,51.0,51.39,50.89,51.28,140020,HII
2013-04-25,51.51,52.51,51.36,52.48,201246,HII
2013-04-26,52.52,52.75,51.71,51.88,194380,HII
2013-04-27,52.37,52.83,51.83,52.22,193138,HII
2013-04-28,52.23,52.91,51.96,52.57,191895,HII
2013-04-29,52.08,52.99,52.08,52.91,190653,HII
2013-04-30,52.91,53.11,52.64,52.9,195621,HII
2013-05-01,52.73,53.06,51.88,51.93,132256,HII
2013-05-02,52.05,53.02,51.43,52.95,169609,HII
2013-05-03,53.26,53.66,53.12,53.34,116444,HII
2013-05-04,53.25,53.69,53.03,53.37,123431,HII
2013-05-05,53.24,53.72,52.93,53.41,130417,HII
2013-05-06,53.23,53.75,52.84,53.44,137404,HII
2013-05-07,53.57,54.1,53.38,54.0,250170,HII
2013-05-08,54.0,54.45,52.55,53.52,179252,HII
2013-05-09,53.74,53.92,52.86,53.66,189638,HII
2013-05-10,53.7,54.05,53.49,53.81,145078,HII
2013-05-11,53.68,53.97,53.46,53.71,164596,HII
2013-05-12,53.66,53.88,53.43,53.61,184113,HII
2013-05-13,53.64,53.8,53.39,53.51,203631,HII
2013-05-14,53.56,54.24,53.5,54.15,227742,HII
2013-05-15,54.0,54.7,53.85,54.58,156987,HII
2013-05-16,54.67,55.39,54.49,55.17,209443,HII
2013-05-17,55.54,56.0,55.3,55.82,224339,HII
2013-05-18,55.63,55.94,55.25,55.63,259938,HII
2013-05-19,55.73,55.88,55.2,55.45,295536,HII
