index,open,high,low,close,volume,Name
2015-10-19,18.5,18.5,16.48,16.55,1581576,HPE
2015-10-20,16.25,16.93,16.25,16.87,709632,HPE
2015-10-21,17.25,17.35,16.4,16.48,78598,HPE
2015-10-22,16.71,17.05,16.24,16.95,110000,HPE
2015-10-23,17.25,17.25,16.85,17.0,59910,HPE
2015-10-24,17.2,17.2,16.67,16.81,211540,HPE
2015-10-25,17.16,17.16,16.49,16.61,363169,HPE
2015-10-26,17.11,17.11,16.31,16.42,514799,HPE
2015-10-27,16.56,16.75,15.6,15.73,636017,HPE
2015-10-28,15.9,16.35,15.84,16.28,296321,HPE
2015-10-29,16.01,16.27,15.55,15.95,290446,HPE
2015-10-30,15.9,16.1,14.72,14.72,2449278,HPE
2015-10-31,15.6,15.79,14.43,14.64,15254923,HPE
2015-11-01,15.29,15.48,14.15,14.57,28060567,HPE
2015-11-02,14.99,15.17,13.86,14.49,40866212,HPE
2015-11-03,14.07,14.71,13.68,14.36,40205820,HPE
2015-11-04,14.39,14.51,13.61,13.66,31525806,HPE
2015-11-05,13.64,13.89,13.12,13.28,22190459,HPE
2015-11-06,13.18,14.48,13.15,14.4,30049954,HPE
2015-11-07,13.54,14.48,13.48,14.33,25875999,HPE
2015-11-08,13.9,14.48,13.8,14.27,21702043,HPE
2015-11-09,14.26,14.48,14.13,14.2,17528088,HPE
2015-11-10,14.13,14.44,14.01,14.41,14777765,HPE
2015-11-11,14.2,14.31,14.09,14.11,11009387,HPE
2015-11-12,13.81,13.82,13.59,13.7,20371666,HPE
2015-11-13,13.61,13.76,13.15,13.39,14924533,HPE
2015-11-14,13.53,13.71,13.15,13.39,14543580,HPE
2015-11-15,13.45,13.66,13.14,13.38,14162628,HPE
2015-11-16,13.37,13.61,13.14,13.38,13781675,HPE
2015-11-17,13.38,13.49,13.12,13.22,12420759,HPE
2015-11-18,13.48,13.73,13.19,13.64,13020475,HPE
2015-11-19,13.53,13.89,13.52,13.78,13171491,HPE
2015-11-20,13.78,14.63,13.68,14.21,18559394,HPE
2015-11-21,13.91,14.49,13.64,14.09,17478711,HPE
2015-11-22,14.04,14.35,13.61,13.97,16398028,HPE
2015-11-23,14.17,14.21,13.57,13.85,15317345,HPE
2015-11-24,13.58,14.02,13.5,13.69,24110878,HPE
2015-11-25,13.91,14.86,13.84,14.12,22677094,HPE
2015-11-26,14.02,14.75,13.94,14.24,14359406,HPE
2015-11-27,14.12,14.64,14.05,14.35,6041718,HPE
2015-11-28,14.16,14.76,14.09,14.52,13729230,HPE
2015-11-29,14.19,14.88,14.14,14.69,21416741,HPE
2015-11-30,14.23,15.0,14.18,14.86,29104253,HPE
2015-12-01,14.88,15.88,14.85,15.61,25106564,HPE
2015-12-02,15.37,15.54,14.87,14.95,12681142,HPE
2015-12-03,15.0,15.34,14.58,14.62,18905240,HPE
2015-12-04,14.39,15.3,14.24,15.22,12001085,HPE
2015-12-05,14.59,15.36,14.47,15.3,11182739,HPE
2015-12-06,14.8,15.42,14.69,15.37,10364393,HPE
2015-12-07,15.0,15.48,14.92,15.45,9546047,HPE
2015-12-08,15.09,15.29,14.62,15.17,11617601,HPE
2015-12-09,14.99,15.39,14.68,14.85,14261925,HPE
2015-12-10,14.79,14.81,14.53,14.72,11350209,HPE
2015-12-11,14.99,15.4,14.14,14.18,10614763,HPE
2015-12-12,14.76,15.1,14.07,14.27,10919223,HPE
2015-12-13,14.53,14.8,13.99,14.35,11223684,HPE
2015-12-14,14.3,14.5,13.92,14.44,11528144,HPE
2015-12-15,14.51,14.98,14.48,14.56,12888739,HPE
2015-12-16,14.62,14.81,14.55,14.7,7840968,HPE
2015-12-17,14.61,14.72,14.22,14.31,7625458,HPE
2015-12-18,14.27,14.38,14.0,14.16,19337615,HPE
2015-12-19,14.22,14.39,13.96,14.11,16179495,HPE
2015-12-20,14.17,14.4,13.91,14.07,13021375,HPE
2015-12-21,14.12,14.4,13.87,14.02,9863255,HPE
2015-12-22,14.04,14.14,13.92,14.06,7292476,HPE
2015-12-23,14.19,14.97,14.05,14.91,11252128,HPE
2015-12-24,14.81,15.17,14.79,15.02,2178459,HPE
2015-12-25,14.83,15.2,14.8,15.07,3116503,HPE
2015-12-26,14.85,15.22,14.81,15.12,4054548,HPE
2015-12-27,14.87,15.25,14.81,15.18,4992592,HPE
2015-12-28,14.89,15.28,14.82,15.23,5930636,HPE
2015-12-29,15.29,15.44,15.18,15.2,6275753,HPE
2015-12-30,15.29,15.48,15.15,15.28,6275778,HPE
2015-12-31,15.23,15.31,15.1,15.2,6768073,HPE
2016-01-01,15.16,15.27,15.01,15.18,8845264,HPE
2016-01-02,15.1,15.23,14.92,15.16,10922454,HPE
2016-01-03,15.04,15.19,14.83,15.15,12999644,HPE
2016-01-04,14.97,15.15,14.74,15.13,15076835,HPE
2016-01-05,15.13,15.25,14.94,15.03,10328195,HPE
2016-01-06,14.62,15.0,14.51,14.8,11315099,HPE
2016-01-07,14.5,14.56,13.65,13.71,19844662,HPE
2016-01-08,13.77,14.02,13.31,13.54,16431904,HPE
2016-01-09,13.66,13.92,13.23,13.45,15991552,HPE
2016-01-10,13.54,13.81,13.15,13.35,15551200,HPE
2016-01-11,13.43,13.71,13.07,13.26,15110848,HPE
2016-01-12,13.35,13.42,13.09,13.26,12458450,HPE
2016-01-13,13.35,13.35,12.53,12.75,17720765,HPE
2016-01-14,12.75,13.17,12.65,13.0,13352501,HPE
2016-01-15,12.6,12.8,12.49,12.54,19729482,HPE
2016-01-16,12.62,12.8,12.42,12.48,18028581,HPE
2016-01-17,12.64,12.79,12.34,12.43,16327680,HPE
2016-01-18,12.66,12.78,12.27,12.38,14626780,HPE
2016-01-19,12.68,12.78,12.2,12.32,12925879,HPE
2016-01-20,12.0,12.2,11.62,12.06,16640055,HPE
2016-01-21,12.0,12.54,11.82,12.41,16729584,HPE
2016-01-22,12.7,13.43,12.65,13.35,15269891,HPE
2016-01-23,12.9,13.47,12.81,13.35,13907736,HPE
2016-01-24,13.09,13.51,12.96,13.34,12545582,HPE
2016-01-25,13.29,13.55,13.12,13.34,11183427,HPE
2016-01-26,13.35,13.72,13.35,13.6,10726138,HPE
2016-01-27,13.53,13.61,12.96,13.39,18484506,HPE
2016-01-28,13.45,13.7,13.07,13.19,9874424,HPE
2016-01-29,13.41,13.88,13.35,13.76,11361905,HPE
2016-01-30,13.5,13.88,13.41,13.77,10757818,HPE
2016-01-31,13.58,13.88,13.47,13.78,10153731,HPE
2016-02-01,13.67,13.88,13.53,13.79,9549644,HPE
2016-02-02,13.7,13.97,13.36,13.45,9677516,HPE
2016-02-03,13.66,13.77,13.11,13.37,7553022,HPE
2016-02-04,13.31,13.89,13.31,13.85,6499149,HPE
2016-02-05,13.69,13.75,13.04,13.2,13227678,HPE
2016-02-06,13.46,13.52,12.81,12.97,13757069,HPE
2016-02-07,13.23,13.28,12.59,12.74,14286460,HPE
2016-02-08,13.0,13.05,12.37,12.51,14815851,HPE
2016-02-09,12.37,12.86,12.31,12.72,6686490,HPE
2016-02-10,12.77,13.07,12.71,12.86,5982701,HPE
2016-02-11,12.57,12.67,12.02,12.4,9834289,HPE
2016-02-12,12.5,12.79,12.18,12.29,10549410,HPE
2016-02-13,12.48,12.72,12.2,12.3,10906281,HPE
2016-02-14,12.46,12.64,12.22,12.31,11263152,HPE
2016-02-15,12.43,12.56,12.25,12.32,11620022,HPE
2016-02-16,12.41,12.49,12.27,12.33,11976893,HPE
2016-02-17,12.39,13.14,12.37,13.02,8666214,HPE
2016-02-18,13.05,13.7,13.02,13.53,11734114,HPE
2016-02-19,13.51,13.74,13.25,13.67,9414376,HPE
2016-02-20,13.59,13.79,13.36,13.71,9861440,HPE
2016-02-21,13.67,13.83,13.46,13.76,10308504,HPE
2016-02-22,13.75,13.88,13.57,13.8,10755568,HPE
2016-02-23,13.72,13.82,12.84,13.09,14646955,HPE
2016-02-24,13.0,13.57,12.82,13.53,13226854,HPE
2016-02-25,13.45,13.71,13.24,13.68,12079898,HPE
2016-02-26,13.78,13.8,13.15,13.44,10824943,HPE
2016-02-27,13.62,13.69,13.17,13.38,11465723,HPE
2016-02-28,13.47,13.59,13.18,13.33,12106503,HPE
2016-02-29,13.31,13.48,13.2,13.27,12747283,HPE
2016-03-01,13.42,13.47,13.09,13.28,8354199,HPE
2016-03-02,13.38,14.05,13.35,13.9,10016741,HPE
2016-03-03,13.91,13.95,13.28,13.6,10029569,HPE
2016-03-04,14.9,15.84,14.82,15.44,33370453,HPE
2016-03-05,14.98,15.89,14.9,15.62,28406374,HPE
2016-03-06,15.05,15.94,14.98,15.79,23442294,HPE
2016-03-07,15.13,15.99,15.06,15.97,18478215,HPE
2016-03-08,15.75,15.79,15.2,15.23,12330490,HPE
2016-03-09,15.34,15.84,15.3,15.49,11069442,HPE
2016-03-10,15.55,16.21,15.52,15.9,14285140,HPE
2016-03-11,16.0,16.44,16.0,16.33,15684195,HPE
2016-03-12,16.07,16.48,16.01,16.36,13680265,HPE
2016-03-13,16.13,16.53,16.03,16.38,11676334,HPE
2016-03-14,16.2,16.57,16.04,16.41,9672404,HPE
2016-03-15,16.36,16.88,16.25,16.77,13934243,HPE
2016-03-16,16.71,17.23,16.6,17.19,12513970,HPE
2016-03-17,17.13,17.33,16.96,17.16,10868207,HPE
2016-03-18,17.17,17.58,17.08,17.33,30962871,HPE
2016-03-19,17.22,17.7,17.15,17.46,24218883,HPE
2016-03-20,17.28,17.82,17.23,17.58,17474894,HPE
2016-03-21,17.33,17.94,17.3,17.71,10730906,HPE
2016-03-22,17.41,18.08,17.34,17.51,11318505,HPE
2016-03-23,17.52,17.57,17.09,17.46,11434939,HPE
2016-03-24,17.41,17.64,17.11,17.57,8869974,HPE
2016-03-25,17.43,17.65,17.14,17.56,8035564,HPE
2016-03-26,17.44,17.65,17.16,17.54,7201154,HPE
2016-03-27,17.46,17.66,17.19,17.53,6366744,HPE
2016-03-28,17.48,17.66,17.22,17.51,5532334,HPE
2016-03-29,17.37,17.68,17.22,17.65,5926601,HPE
2016-03-30,17.72,17.92,17.63,17.89,10552607,HPE
2016-03-31,17.84,17.96,17.51,17.73,10389804,HPE
2016-04-01,17.61,18.55,17.56,18.4,14849934,HPE
2016-04-02,17.89,18.51,17.68,18.28,12455612,HPE
2016-04-03,18.17,18.48,17.81,18.16,10061290,HPE
2016-04-04,18.45,18.45,17.93,18.04,7666968,HPE
2016-04-05,17.87,17.91,17.56,17.61,8299991,HPE
