index,open,high,low,close,volume,Name
2013-02-08,64.47,64.5,63.84,64.39,1015654,HP
2013-02-09,64.75,64.8,64.03,64.55,1089496,HP
2013-02-10,65.04,65.1,64.22,64.7,1163338,HP
2013-02-11,65.32,65.4,64.41,64.86,1237180,HP
2013-02-12,65.15,65.44,64.52,65.42,961950,HP
2013-02-13,65.47,65.76,65.2,65.68,848118,HP
2013-02-14,65.5,68.16,65.48,67.86,1387964,HP
2013-02-15,68.09,68.49,66.94,67.83,2117157,HP
2013-02-16,68.13,68.71,67.16,67.86,2285424,HP
2013-02-17,68.16,68.94,67.37,67.88,2453690,HP
2013-02-18,68.2,69.16,67.58,67.91,2621956,HP
2013-02-19,68.24,69.38,67.8,67.94,2790223,HP
2013-02-20,67.63,67.63,65.57,65.61,2105383,HP
2013-02-21,65.4,65.4,63.64,64.27,2274373,HP
2013-02-22,64.72,65.56,63.99,65.54,1536362,HP
2013-02-23,65.11,65.76,63.84,64.87,1732937,HP
2013-02-24,65.5,65.95,63.69,64.21,1929512,HP
2013-02-25,65.89,66.15,63.54,63.54,2126087,HP
2013-02-26,64.29,64.76,62.8,64.56,1457444,HP
2013-02-27,64.18,65.57,64.14,65.4,1236152,HP
2013-02-28,65.32,66.87,65.12,66.26,1894242,HP
2013-03-01,65.84,66.33,65.0,66.1,1637750,HP
2013-03-02,65.94,66.27,64.48,65.4,1791683,HP
2013-03-03,66.04,66.22,63.97,64.71,1945617,HP
2013-03-04,66.14,66.16,63.45,64.01,2099550,HP
2013-03-05,64.64,65.33,64.19,64.95,981988,HP
2013-03-06,65.3,65.64,64.58,64.69,847371,HP
2013-03-07,64.76,65.25,64.67,65.0,784136,HP
2013-03-08,65.24,65.24,63.86,64.28,1854483,HP
2013-03-09,64.88,64.88,63.6,64.1,1840386,HP
2013-03-10,64.51,64.52,63.35,63.93,1826289,HP
2013-03-11,64.15,64.16,63.1,63.75,1812192,HP
2013-03-12,63.89,64.37,63.23,63.79,1062820,HP
2013-03-13,63.84,64.15,62.86,63.3,1457848,HP
2013-03-14,63.5,65.74,63.48,65.41,1649779,HP
2013-03-15,65.42,66.61,65.42,66.26,1499041,HP
2013-03-16,65.16,65.98,64.32,65.04,2115982,HP
2013-03-17,64.9,65.35,63.23,63.82,2732923,HP
2013-03-18,64.64,64.72,62.13,62.6,3349864,HP
2013-03-19,62.49,62.88,60.74,61.28,2713266,HP
2013-03-20,61.64,61.96,60.0,60.67,2098205,HP
2013-03-21,60.25,60.94,60.13,60.43,1307330,HP
2013-03-22,60.79,61.21,60.1,60.57,1461053,HP
2013-03-23,60.78,61.14,60.05,60.46,1466182,HP
2013-03-24,60.76,61.06,60.01,60.36,1471311,HP
2013-03-25,60.75,60.99,59.96,60.25,1476440,HP
2013-03-26,60.59,61.2,60.41,61.14,1308608,HP
2013-03-27,60.49,61.63,60.01,60.96,1121153,HP
2013-03-28,60.94,61.15,60.15,60.7,1361877,HP
2013-03-29,60.93,61.25,59.91,60.48,1294079,HP
2013-03-30,60.92,61.35,59.67,60.26,1226280,HP
2013-03-31,60.91,61.45,59.43,60.03,1158482,HP
2013-04-01,60.9,61.55,59.19,59.81,1090684,HP
2013-04-02,59.88,60.89,59.35,59.89,1335620,HP
2013-04-03,60.02,60.27,58.15,59.0,1493559,HP
2013-04-04,58.89,59.26,58.1,59.21,802105,HP
2013-04-05,58.3,61.1,58.11,60.92,1647685,HP
2013-04-06,59.15,61.25,58.94,61.07,1559741,HP
2013-04-07,60.0,61.41,59.76,61.21,1471798,HP
2013-04-08,60.85,61.56,60.59,61.36,1383854,HP
2013-04-09,61.55,62.01,60.76,61.83,877036,HP
2013-04-10,61.9,63.63,61.84,63.38,1493244,HP
2013-04-11,63.4,63.48,62.24,62.61,1141969,HP
2013-04-12,62.17,62.35,60.73,61.35,1528373,HP
2013-04-13,61.6,61.72,59.71,60.14,1551307,HP
2013-04-14,61.04,61.1,58.7,58.93,1574242,HP
2013-04-15,60.47,60.47,57.68,57.72,1597176,HP
2013-04-16,58.46,59.19,57.52,58.7,1353363,HP
2013-04-17,58.03,58.03,56.09,56.25,1397035,HP
2013-04-18,56.81,58.16,55.78,57.34,1095259,HP
2013-04-19,57.51,57.99,56.32,57.28,1187283,HP
2013-04-20,57.5,58.27,56.62,57.78,1159553,HP
2013-04-21,57.49,58.56,56.93,58.29,1131824,HP
2013-04-22,57.48,58.84,57.23,58.79,1104094,HP
2013-04-23,58.94,59.94,58.05,59.53,1822700,HP
2013-04-24,59.89,61.65,59.78,60.71,1710330,HP
2013-04-25,60.73,61.63,57.39,59.57,2895715,HP
2013-04-26,59.25,59.74,57.65,57.99,1488753,HP
2013-04-27,58.96,59.41,57.62,58.07,1396664,HP
2013-04-28,58.67,59.09,57.6,58.15,1304576,HP
2013-04-29,58.38,58.76,57.58,58.23,1212487,HP
2013-04-30,58.22,58.67,57.48,58.62,1045954,HP
2013-05-01,57.96,58.37,57.11,58.09,1165035,HP
2013-05-02,58.46,59.99,58.28,59.8,1112344,HP
2013-05-03,60.73,62.01,60.57,61.75,1586589,HP
2013-05-04,61.15,62.28,60.86,61.92,1474536,HP
2013-05-05,61.58,62.55,61.15,62.1,1362482,HP
2013-05-06,62.0,62.82,61.44,62.27,1250429,HP
2013-05-07,62.54,63.0,61.71,62.6,766158,HP
2013-05-08,62.62,62.97,62.16,62.72,746804,HP
2013-05-09,62.61,63.2,61.96,62.96,946251,HP
2013-05-10,62.64,62.84,61.81,62.46,975385,HP
2013-05-11,62.51,62.77,61.66,62.28,873149,HP
2013-05-12,62.37,62.71,61.51,62.11,770914,HP
2013-05-13,62.24,62.64,61.36,61.93,668678,HP
2013-05-14,61.81,62.63,61.59,62.12,946922,HP
2013-05-15,61.8,62.58,61.48,61.99,912087,HP
2013-05-16,61.91,63.39,61.78,62.97,1055367,HP
2013-05-17,64.17,65.64,64.17,65.39,2119056,HP
2013-05-18,64.51,65.77,64.47,65.43,1713368,HP
2013-05-19,64.84,65.89,64.77,65.46,1307681,HP
2013-05-20,65.18,66.02,65.07,65.5,901993,HP
2013-05-21,65.42,65.77,64.49,64.7,1087037,HP
2013-05-22,64.63,64.69,61.8,62.39,2284590,HP
2013-05-23,61.07,62.15,60.66,62.09,1113414,HP
2013-05-24,61.85,63.07,61.57,63.02,1048249,HP
2013-05-25,62.45,63.48,62.06,63.21,1073744,HP
2013-05-26,63.05,63.9,62.54,63.4,1099238,HP
2013-05-27,63.65,64.31,63.03,63.58,1124732,HP
2013-05-28,64.25,64.72,63.52,63.77,1150227,HP
2013-05-29,63.24,64.22,62.98,64.14,950174,HP
2013-05-30,64.11,64.2,62.9,63.27,1309169,HP
2013-05-31,62.85,63.45,61.74,61.74,848971,HP
2013-06-01,62.66,63.23,61.75,62.07,847626,HP
2013-06-02,62.46,63.01,61.76,62.4,846281,HP
2013-06-03,62.27,62.79,61.77,62.73,844936,HP
2013-06-04,62.64,63.3,62.48,62.81,784261,HP
2013-06-05,62.85,64.5,62.01,62.66,2241365,HP
2013-06-06,62.52,63.0,61.45,62.55,1225930,HP
2013-06-07,62.91,64.23,62.26,64.12,1181456,HP
2013-06-08,63.38,64.34,62.62,64.19,1082039,HP
2013-06-09,63.85,64.46,62.97,64.26,982622,HP
2013-06-10,64.32,64.57,63.33,64.33,883205,HP
2013-06-11,63.12,63.32,62.05,62.38,1530460,HP
2013-06-12,62.81,63.11,60.95,60.97,989251,HP
2013-06-13,60.99,62.0,60.7,61.91,1392047,HP
2013-06-14,62.01,62.18,60.77,60.82,952410,HP
2013-06-15,61.82,62.79,61.0,61.72,1248359,HP
2013-06-16,61.64,63.39,61.22,62.61,1544308,HP
2013-06-17,61.45,64.0,61.45,63.51,1840257,HP
2013-06-18,63.45,64.25,63.38,64.04,922437,HP
2013-06-19,64.09,64.62,63.27,63.27,780128,HP
2013-06-20,62.19,62.35,60.95,61.23,1005555,HP
2013-06-21,61.64,62.46,60.69,61.69,1652941,HP
2013-06-22,61.26,62.44,60.38,61.73,1701073,HP
2013-06-23,60.88,62.43,60.08,61.77,1749206,HP
2013-06-24,60.5,62.41,59.77,61.81,1797338,HP
2013-06-25,62.42,64.25,62.42,63.66,1683332,HP
2013-06-26,63.98,64.37,62.78,62.94,995350,HP
2013-06-27,63.51,63.63,62.66,62.71,806300,HP
2013-06-28,62.45,63.05,62.22,62.45,1309776,HP
2013-06-29,62.73,63.46,62.41,62.89,1241918,HP
2013-06-30,63.02,63.88,62.6,63.32,1174059,HP
2013-07-01,63.3,64.29,62.79,63.76,1106201,HP
2013-07-02,63.77,64.54,63.76,64.05,1155575,HP
2013-07-03,63.98,64.05,63.28,63.82,498837,HP
2013-07-04,64.32,64.9,63.76,64.65,655594,HP
2013-07-05,64.66,65.76,64.24,65.48,812350,HP
2013-07-06,65.0,65.92,64.63,65.6,952442,HP
2013-07-07,65.34,66.08,65.01,65.73,1092535,HP
2013-07-08,65.68,66.24,65.4,65.85,1232627,HP
2013-07-09,65.88,65.96,64.96,65.37,1283198,HP
2013-07-10,65.5,65.5,64.03,64.59,1255881,HP
2013-07-11,65.75,65.76,64.03,64.73,929136,HP
2013-07-12,64.83,65.51,64.34,65.48,859316,HP
2013-07-13,65.14,65.67,64.54,65.41,798925,HP
2013-07-14,65.46,65.83,64.74,65.33,738534,HP
2013-07-15,65.77,65.99,64.94,65.26,678143,HP
2013-07-16,65.38,65.75,63.99,64.34,640520,HP
2013-07-17,64.58,65.55,64.21,65.21,801128,HP
2013-07-18,65.65,67.0,65.46,66.51,790092,HP
2013-07-19,66.47,67.46,65.69,67.39,974519,HP
2013-07-20,66.83,67.57,66.11,67.26,932470,HP
2013-07-21,67.19,67.67,66.54,67.13,890421,HP
2013-07-22,67.55,67.78,66.96,67.0,848372,HP
2013-07-23,67.37,67.52,66.23,66.85,1239065,HP
2013-07-24,67.0,67.11,65.16,65.94,855369,HP
2013-07-25,65.21,66.56,64.67,66.56,1454978,HP
2013-07-26,68.02,68.28,64.15,64.73,1980393,HP
2013-07-27,66.86,67.11,63.83,64.3,1822068,HP
2013-07-28,65.71,65.94,63.5,63.87,1663744,HP
2013-07-29,64.55,64.77,63.18,63.44,1505419,HP
2013-07-30,63.75,63.98,62.35,63.14,1566365,HP
2013-07-31,63.25,64.39,62.8,63.2,1691433,HP
2013-08-01,64.75,65.01,64.06,64.87,1053322,HP
2013-08-02,64.85,65.59,64.23,65.59,1028990,HP
2013-08-03,65.04,65.9,64.51,65.83,1105871,HP
2013-08-04,65.24,66.22,64.78,66.06,1182752,HP
2013-08-05,65.43,66.53,65.06,66.3,1259633,HP
2013-08-06,66.4,66.56,65.68,66.38,1449531,HP
2013-08-07,66.24,67.48,66.01,67.29,1887416,HP
2013-08-08,67.65,68.41,66.98,67.87,1555865,HP
2013-08-09,67.85,68.2,66.64,67.91,1354038,HP
2013-08-10,67.61,68.05,66.59,67.71,1236947,HP
2013-08-11,67.36,67.89,66.55,67.5,1119855,HP
