index,open,high,low,close,volume,Name
2013-02-08,24.07,24.43,24.03,24.4,2391821,HRB
2013-02-09,24.18,24.45,24.11,24.42,2751954,HRB
2013-02-10,24.29,24.46,24.18,24.43,3112088,HRB
2013-02-11,24.4,24.48,24.26,24.45,3472221,HRB
2013-02-12,24.45,24.84,24.4,24.74,3952402,HRB
2013-02-13,24.84,25.04,24.72,24.84,3523580,HRB
2013-02-14,24.77,24.93,24.73,24.86,2320228,HRB
2013-02-15,24.9,25.22,24.87,25.1,3879067,HRB
2013-02-16,24.94,25.19,24.64,25.08,5118828,HRB
2013-02-17,24.98,25.15,24.42,25.05,6358590,HRB
2013-02-18,25.03,25.11,24.19,25.02,7598351,HRB
2013-02-19,25.07,25.07,23.96,25.0,8838112,HRB
2013-02-20,25.0,25.06,24.44,24.45,3699480,HRB
2013-02-21,24.5,24.66,24.17,24.54,4898928,HRB
2013-02-22,24.64,24.85,24.44,24.66,3401474,HRB
2013-02-23,24.66,24.84,24.38,24.53,3588647,HRB
2013-02-24,24.68,24.84,24.33,24.4,3775819,HRB
2013-02-25,24.7,24.83,24.27,24.27,3962992,HRB
2013-02-26,24.41,24.7,24.33,24.61,3918270,HRB
2013-02-27,24.57,24.97,24.57,24.88,3369683,HRB
2013-02-28,24.9,25.0,24.79,24.86,2688780,HRB
2013-03-01,24.83,24.95,24.57,24.78,4195245,HRB
2013-03-02,24.8,25.13,24.6,25.0,4302349,HRB
2013-03-03,24.77,25.32,24.63,25.22,4409453,HRB
2013-03-04,24.74,25.5,24.66,25.44,4516557,HRB
2013-03-05,25.48,25.5,25.01,25.12,4055204,HRB
2013-03-06,25.21,25.31,24.98,25.26,3479957,HRB
2013-03-07,25.34,25.59,24.83,24.98,6998951,HRB
2013-03-08,26.85,27.5,26.53,27.28,15678080,HRB
2013-03-09,26.94,27.46,26.69,27.3,12218898,HRB
2013-03-10,27.04,27.43,26.86,27.32,8759716,HRB
2013-03-11,27.13,27.39,27.02,27.34,5300534,HRB
