index,open,high,low,close,volume,Name
2013-02-08,17.79,17.92,17.76,17.92,1215388,HRL
2013-02-09,17.83,17.92,17.78,17.88,1214301,HRL
2013-02-10,17.86,17.92,17.79,17.85,1213215,HRL
2013-02-11,17.9,17.93,17.81,17.82,1212128,HRL
2013-02-12,17.8,17.87,17.73,17.82,855948,HRL
2013-02-13,17.8,17.95,17.8,17.92,861672,HRL
2013-02-14,17.91,18.07,17.9,17.95,1409264,HRL
2013-02-15,18.0,18.07,17.89,18.04,2065912,HRL
2013-02-16,18.02,18.12,17.93,18.1,2047116,HRL
2013-02-17,18.04,18.17,17.97,18.16,2028320,HRL
2013-02-18,18.06,18.22,18.01,18.21,2009524,HRL
2013-02-19,18.08,18.27,18.05,18.27,1990728,HRL
2013-02-20,18.3,18.36,18.05,18.06,2159920,HRL
2013-02-21,18.06,18.57,18.05,18.26,3701814,HRL
2013-02-22,18.32,18.57,18.25,18.57,1430820,HRL
2013-02-23,18.41,18.58,18.26,18.47,1574984,HRL
2013-02-24,18.51,18.6,18.27,18.38,1719148,HRL
2013-02-25,18.6,18.61,18.27,18.28,1863312,HRL
2013-02-26,18.36,18.52,18.3,18.5,2389690,HRL
2013-02-27,18.5,18.71,18.39,18.68,1019632,HRL
2013-02-28,18.67,18.83,18.65,18.7,1984646,HRL
2013-03-01,18.7,18.74,18.57,18.74,1959628,HRL
2013-03-02,18.72,18.83,18.61,18.82,1731786,HRL
2013-03-03,18.73,18.91,18.66,18.9,1503944,HRL
2013-03-04,18.74,18.99,18.71,18.99,1276102,HRL
2013-03-05,19.0,19.16,18.98,19.08,2296124,HRL
2013-03-06,19.08,19.14,19.0,19.04,1148446,HRL
2013-03-07,19.11,19.34,19.08,19.14,2053472,HRL
2013-03-08,19.26,19.36,19.19,19.27,1029752,HRL
2013-03-09,19.25,19.34,19.19,19.27,994837,HRL
2013-03-10,19.24,19.33,19.19,19.27,959923,HRL
2013-03-11,19.24,19.32,19.18,19.26,925008,HRL
2013-03-12,19.24,19.31,19.18,19.29,943792,HRL
2013-03-13,19.3,19.76,19.24,19.71,2946574,HRL
2013-03-14,19.74,19.75,19.42,19.49,2208672,HRL
2013-03-15,19.42,19.8,19.36,19.64,4530878,HRL
2013-03-16,19.47,19.72,19.38,19.59,3461899,HRL
2013-03-17,19.51,19.65,19.4,19.55,2392921,HRL
2013-03-18,19.55,19.57,19.42,19.5,1323942,HRL
2013-03-19,19.55,19.76,19.53,19.76,1669254,HRL
2013-03-20,19.82,19.94,19.79,19.9,1473606,HRL
2013-03-21,19.8,19.89,19.64,19.68,1488524,HRL
2013-03-22,19.76,19.83,19.62,19.83,1370012,HRL
2013-03-23,19.81,19.9,19.67,19.83,1283127,HRL
2013-03-24,19.86,19.97,19.72,19.83,1196243,HRL
2013-03-25,19.92,20.04,19.76,19.83,1109358,HRL
2013-03-26,19.95,20.08,19.86,20.08,1588926,HRL
2013-03-27,19.98,20.11,19.86,20.08,962864,HRL
2013-03-28,20.12,20.66,20.06,20.66,2986420,HRL
2013-03-29,20.25,20.66,20.1,20.58,2743296,HRL
2013-03-30,20.38,20.66,20.15,20.51,2500173,HRL
2013-03-31,20.51,20.65,20.2,20.43,2257050,HRL
2013-04-01,20.64,20.65,20.24,20.36,2013926,HRL
2013-04-02,20.42,20.62,20.38,20.5,2110122,HRL
