index,open,high,low,close,volume,Name
2013-02-08,44.52,44.66,44.4,44.56,683914,HSIC
2013-02-09,44.56,44.72,44.42,44.61,769349,HSIC
2013-02-10,44.59,44.78,44.44,44.67,854783,HSIC
2013-02-11,44.62,44.84,44.46,44.72,940218,HSIC
2013-02-12,44.76,45.49,44.72,45.18,1725354,HSIC
2013-02-13,45.18,45.56,44.5,44.62,1793014,HSIC
2013-02-14,44.25,44.68,44.03,44.2,1752068,HSIC
2013-02-15,44.32,44.68,44.16,44.34,881804,HSIC
2013-02-16,44.32,44.75,44.18,44.42,941683,HSIC
2013-02-17,44.31,44.82,44.21,44.5,1001562,HSIC
2013-02-18,44.3,44.89,44.24,44.57,1061441,HSIC
2013-02-19,44.3,44.97,44.26,44.65,1121320,HSIC
2013-02-20,44.61,44.76,44.21,44.21,659912,HSIC
2013-02-21,44.14,44.34,43.5,43.68,1018084,HSIC
2013-02-22,43.86,44.0,43.7,43.89,693826,HSIC
2013-02-23,43.95,44.13,43.69,43.82,972045,HSIC
2013-02-24,44.04,44.26,43.68,43.75,1250265,HSIC
2013-02-25,44.14,44.39,43.67,43.68,1528484,HSIC
2013-02-26,43.87,43.96,43.4,43.65,820934,HSIC
2013-02-27,43.83,44.44,43.34,44.23,585520,HSIC
2013-02-28,44.19,44.78,44.15,44.61,919694,HSIC
2013-03-01,44.35,44.62,43.95,44.42,1170326,HSIC
2013-03-02,44.39,44.57,44.01,44.41,1048992,HSIC
2013-03-03,44.43,44.52,44.07,44.39,927658,HSIC
2013-03-04,44.47,44.47,44.12,44.38,806324,HSIC
2013-03-05,44.59,45.2,44.52,44.95,725774,HSIC
2013-03-06,44.96,45.1,44.85,44.87,622330,HSIC
2013-03-07,44.83,45.03,44.57,44.65,758842,HSIC
2013-03-08,44.8,45.23,44.76,45.16,658742,HSIC
2013-03-09,44.77,45.24,44.64,45.09,741113,HSIC
2013-03-10,44.74,45.25,44.51,45.03,823485,HSIC
2013-03-11,44.72,45.26,44.39,44.96,905856,HSIC
2013-03-12,44.8,45.12,44.74,45.02,677926,HSIC
2013-03-13,45.14,45.2,44.98,45.13,610770,HSIC
2013-03-14,45.18,45.32,45.01,45.32,609398,HSIC
2013-03-15,45.21,45.3,44.86,44.94,1133686,HSIC
2013-03-16,45.42,45.48,44.8,44.92,931545,HSIC
2013-03-17,45.64,45.66,44.74,44.89,729403,HSIC
2013-03-18,45.85,45.85,44.68,44.86,527262,HSIC
2013-03-19,44.84,45.34,44.84,45.02,1206646,HSIC
2013-03-20,45.26,45.6,45.26,45.45,759994,HSIC
2013-03-21,45.18,45.36,44.98,45.3,653296,HSIC
2013-03-22,45.45,45.58,45.2,45.29,410258,HSIC
2013-03-23,45.46,45.63,45.13,45.24,464369,HSIC
2013-03-24,45.48,45.68,45.05,45.2,518479,HSIC
2013-03-25,45.49,45.74,44.98,45.15,572590,HSIC
