index,open,high,low,close,volume,Name
2013-02-08,80.11,80.3,79.92,80.21,722127,HSY
2013-02-09,80.14,80.42,79.96,80.27,662161,HSY
2013-02-10,80.18,80.53,79.99,80.32,602196,HSY
2013-02-11,80.21,80.65,80.03,80.38,542230,HSY
2013-02-12,80.45,80.89,80.21,80.77,988687,HSY
2013-02-13,80.77,81.37,80.72,81.35,1002846,HSY
2013-02-14,81.53,81.81,80.83,80.89,1215409,HSY
2013-02-15,81.08,81.24,80.7,80.93,1458292,HSY
2013-02-16,81.06,81.38,80.59,81.13,1402662,HSY
2013-02-17,81.04,81.52,80.48,81.33,1347032,HSY
2013-02-18,81.02,81.65,80.37,81.53,1291402,HSY
2013-02-19,81.0,81.79,80.27,81.73,1235772,HSY
2013-02-20,81.57,81.71,80.82,80.85,1325069,HSY
2013-02-21,79.96,80.82,79.14,80.3,1764274,HSY
2013-02-22,80.3,81.24,79.86,81.23,831048,HSY
2013-02-23,80.61,81.44,80.11,81.02,1101632,HSY
2013-02-24,80.92,81.63,80.35,80.82,1372217,HSY
2013-02-25,81.23,81.83,80.6,80.61,1642801,HSY
2013-02-26,80.68,81.71,80.35,81.62,1243840,HSY
2013-02-27,81.54,82.69,81.22,82.6,1809437,HSY
2013-02-28,82.56,83.67,82.56,83.34,1947593,HSY
2013-03-01,83.0,83.55,82.57,83.45,1278402,HSY
2013-03-02,83.19,83.96,82.83,83.83,1339108,HSY
2013-03-03,83.37,84.36,83.1,84.2,1399814,HSY
2013-03-04,83.56,84.77,83.36,84.58,1460520,HSY
2013-03-05,84.86,85.5,84.69,85.2,942245,HSY
2013-03-06,85.22,85.43,84.35,84.48,693611,HSY
2013-03-07,84.64,85.06,84.46,84.52,739285,HSY
2013-03-08,84.93,84.93,83.93,84.32,981478,HSY
2013-03-09,84.79,84.88,83.97,84.29,914842,HSY
2013-03-10,84.64,84.82,84.02,84.25,848207,HSY
2013-03-11,84.5,84.77,84.06,84.22,781571,HSY
2013-03-12,84.22,84.48,84.0,84.29,923613,HSY
2013-03-13,84.52,84.55,84.14,84.36,922611,HSY
2013-03-14,84.48,84.61,84.3,84.5,577839,HSY
2013-03-15,83.87,84.5,83.82,83.9,1778478,HSY
2013-03-16,83.73,84.45,83.65,84.01,1467222,HSY
2013-03-17,83.58,84.4,83.49,84.11,1155965,HSY
2013-03-18,83.44,84.35,83.32,84.22,844709,HSY
2013-03-19,84.41,85.77,84.4,85.45,1167926,HSY
2013-03-20,85.71,86.01,85.55,85.92,946730,HSY
2013-03-21,85.5,86.3,85.2,85.23,667333,HSY
2013-03-22,85.51,85.94,85.3,85.91,796821,HSY
2013-03-23,85.71,86.06,85.24,85.77,784807,HSY
2013-03-24,85.9,86.19,85.18,85.63,772794,HSY
2013-03-25,86.1,86.31,85.12,85.49,760780,HSY
2013-03-26,85.56,86.94,85.55,86.94,858673,HSY
2013-03-27,86.5,86.96,86.32,86.9,721177,HSY
2013-03-28,87.0,87.62,86.61,87.53,926385,HSY
2013-03-29,87.09,87.59,86.65,87.4,836802,HSY
2013-03-30,87.18,87.56,86.69,87.28,747219,HSY
2013-03-31,87.26,87.52,86.73,87.16,657636,HSY
2013-04-01,87.35,87.49,86.77,87.03,568053,HSY
2013-04-02,87.08,87.32,86.0,86.43,1370744,HSY
2013-04-03,86.33,86.48,85.71,85.85,1674791,HSY
2013-04-04,86.1,86.41,85.55,85.78,864985,HSY
2013-04-05,85.41,85.73,85.24,85.44,1076894,HSY
2013-04-06,85.41,85.69,85.11,85.38,975361,HSY
2013-04-07,85.4,85.66,84.97,85.31,873829,HSY
2013-04-08,85.4,85.62,84.84,85.25,772296,HSY
2013-04-09,85.35,86.03,85.12,85.7,936681,HSY
2013-04-10,85.82,86.78,85.76,86.75,732498,HSY
2013-04-11,86.76,87.11,86.39,86.61,801268,HSY
2013-04-12,86.5,86.73,86.22,86.52,745238,HSY
2013-04-13,86.49,86.83,86.22,86.48,938468,HSY
2013-04-14,86.48,86.93,86.21,86.45,1131699,HSY
2013-04-15,86.47,87.03,86.21,86.41,1324929,HSY
2013-04-16,86.96,89.22,86.5,89.18,1450223,HSY
2013-04-17,88.89,89.18,88.52,88.95,1058764,HSY
2013-04-18,89.04,89.76,88.76,89.47,1038099,HSY
2013-04-19,89.55,90.7,89.55,90.38,1047963,HSY
2013-04-20,89.82,90.63,89.58,90.37,1162860,HSY
2013-04-21,90.08,90.56,89.61,90.35,1277757,HSY
2013-04-22,90.35,90.49,89.64,90.34,1392654,HSY
2013-04-23,90.58,91.42,90.35,91.25,1090254,HSY
2013-04-24,91.35,91.99,89.27,89.34,1817016,HSY
2013-04-25,89.8,91.42,88.54,88.89,1854436,HSY
2013-04-26,88.52,88.52,87.11,87.57,1916160,HSY
2013-04-27,88.21,88.41,87.18,87.75,1792948,HSY
2013-04-28,87.9,88.3,87.26,87.94,1669735,HSY
2013-04-29,87.59,88.2,87.33,88.12,1546523,HSY
2013-04-30,88.13,89.17,87.93,89.16,1373260,HSY
2013-05-01,88.92,89.22,87.84,88.0,1436548,HSY
2013-05-02,87.94,89.5,87.92,89.28,1051494,HSY
2013-05-03,89.68,89.74,89.02,89.56,762496,HSY
2013-05-04,89.6,89.64,88.83,89.26,651168,HSY
2013-05-05,89.53,89.55,88.64,88.96,539839,HSY
2013-05-06,89.45,89.45,88.45,88.66,428511,HSY
2013-05-07,88.75,89.34,88.74,89.26,597907,HSY
2013-05-08,89.09,89.4,88.36,88.92,768281,HSY
2013-05-09,88.97,89.24,87.63,87.75,838229,HSY
2013-05-10,87.81,87.99,87.32,87.9,649350,HSY
2013-05-11,87.87,88.23,87.49,88.14,699353,HSY
2013-05-12,87.94,88.48,87.66,88.37,749355,HSY
2013-05-13,88.0,88.72,87.83,88.61,799358,HSY
2013-05-14,88.61,89.9,88.61,89.83,766039,HSY
2013-05-15,89.73,90.36,89.29,90.32,759762,HSY
2013-05-16,90.04,90.58,89.67,89.94,1116258,HSY
2013-05-17,89.96,90.1,89.25,90.1,1211223,HSY
2013-05-18,90.02,90.17,89.06,89.67,1156385,HSY
2013-05-19,90.08,90.25,88.87,89.23,1101548,HSY
2013-05-20,90.14,90.32,88.68,88.8,1046710,HSY
