index,open,high,low,close,volume,Name
2013-02-08,29.83,29.93,29.58,29.8,5682435,ICE
2013-02-09,29.83,29.95,29.59,29.86,5051320,ICE
2013-02-10,29.82,29.97,29.61,29.91,4420205,ICE
2013-02-11,29.81,29.99,29.62,29.97,3789090,ICE
2013-02-12,30.0,30.38,29.96,30.14,7846650,ICE
2013-02-13,30.1,30.37,29.83,30.36,4662770,ICE
2013-02-14,30.29,31.23,30.17,31.1,8396745,ICE
2013-02-15,31.1,31.69,30.97,31.29,8647280,ICE
2013-02-16,31.16,31.64,30.98,31.26,8194749,ICE
2013-02-17,31.22,31.6,31.0,31.22,7742218,ICE
2013-02-18,31.27,31.55,31.02,31.19,7289686,ICE
2013-02-19,31.33,31.5,31.03,31.15,6837155,ICE
2013-02-20,31.08,31.32,30.91,30.94,5508665,ICE
2013-02-21,30.94,30.98,30.55,30.61,4356655,ICE
2013-02-22,30.76,31.23,30.75,31.2,4330255,ICE
2013-02-23,30.92,31.26,30.52,30.83,5016833,ICE
2013-02-24,31.08,31.29,30.3,30.47,5703412,ICE
2013-02-25,31.24,31.32,30.07,30.1,6389990,ICE
2013-02-26,30.4,30.62,30.12,30.57,3843005,ICE
2013-02-27,30.53,31.06,30.26,31.02,3022950,ICE
2013-02-28,31.03,31.25,30.77,30.96,3395225,ICE
2013-03-01,30.87,30.87,30.46,30.8,3330585,ICE
2013-03-02,30.83,31.03,30.5,30.97,3142947,ICE
2013-03-03,30.8,31.19,30.54,31.14,2955308,ICE
2013-03-04,30.76,31.35,30.58,31.31,2767670,ICE
2013-03-05,31.42,31.95,31.42,31.71,4208165,ICE
2013-03-06,32.03,32.46,31.95,32.07,3315560,ICE
2013-03-07,32.07,32.1,31.56,31.75,3502510,ICE
2013-03-08,31.93,32.02,31.58,31.72,3020210,ICE
2013-03-09,31.83,31.96,31.5,31.76,2977742,ICE
2013-03-10,31.74,31.91,31.42,31.81,2935273,ICE
2013-03-11,31.64,31.85,31.33,31.85,2892805,ICE
2013-03-12,31.74,31.83,31.63,31.7,2735720,ICE
2013-03-13,31.62,31.97,31.55,31.88,2212815,ICE
2013-03-14,31.79,32.52,31.74,32.47,4207455,ICE
2013-03-15,32.48,32.56,31.95,32.2,3263340,ICE
2013-03-16,32.23,32.44,31.86,32.12,2841842,ICE
2013-03-17,31.98,32.32,31.77,32.05,2420343,ICE
2013-03-18,31.73,32.2,31.69,31.97,1998845,ICE
2013-03-19,32.05,32.19,31.22,31.92,3595410,ICE
2013-03-20,31.96,32.48,31.88,32.32,2722520,ICE
2013-03-21,32.4,32.59,32.06,32.29,3280185,ICE
2013-03-22,32.33,32.57,32.22,32.46,2747005,ICE
2013-03-23,32.45,32.64,32.23,32.44,2637547,ICE
2013-03-24,32.57,32.7,32.23,32.42,2528088,ICE
2013-03-25,32.7,32.76,32.24,32.4,2418630,ICE
2013-03-26,32.52,32.64,31.88,32.31,2514920,ICE
2013-03-27,32.1,32.2,31.72,31.96,3241855,ICE
2013-03-28,31.92,32.64,31.73,32.61,3290515,ICE
2013-03-29,32.06,32.64,31.78,32.46,3109830,ICE
