index,open,high,low,close,volume,Name
2013-02-08,51.55,51.62,50.65,50.88,671538,ILMN
2013-02-09,51.3,51.43,50.46,50.67,851962,ILMN
2013-02-10,51.04,51.25,50.27,50.46,1032387,ILMN
2013-02-11,50.79,51.06,50.08,50.25,1212811,ILMN
2013-02-12,50.29,50.58,49.69,50.27,1002173,ILMN
2013-02-13,50.47,50.8,49.7,49.76,1194372,ILMN
2013-02-14,49.76,49.8,48.39,48.79,1748448,ILMN
2013-02-15,48.77,48.85,48.33,48.73,852305,ILMN
2013-02-16,48.76,49.19,48.41,48.8,949853,ILMN
2013-02-17,48.74,49.53,48.48,48.88,1047400,ILMN
2013-02-18,48.72,49.86,48.56,48.95,1144948,ILMN
2013-02-19,48.71,50.2,48.64,49.02,1242496,ILMN
2013-02-20,48.98,49.74,48.35,48.81,1144658,ILMN
2013-02-21,48.45,49.27,48.0,48.36,1125648,ILMN
2013-02-22,48.4,49.12,48.0,49.03,895724,ILMN
2013-02-23,48.61,49.17,48.19,48.94,981892,ILMN
2013-02-24,48.82,49.22,48.39,48.85,1068059,ILMN
2013-02-25,49.03,49.27,48.58,48.76,1154227,ILMN
2013-02-26,48.66,49.2,48.34,48.79,1076126,ILMN
2013-02-27,48.81,49.2,48.62,49.02,860063,ILMN
2013-02-28,49.18,50.47,48.91,50.13,2237150,ILMN
2013-03-01,50.65,52.5,50.46,52.22,2465443,ILMN
2013-03-02,51.05,52.56,50.87,52.36,2261968,ILMN
2013-03-03,51.45,52.61,51.28,52.51,2058493,ILMN
2013-03-04,51.85,52.67,51.69,52.65,1855018,ILMN
2013-03-05,52.6,53.35,52.41,53.0,1269403,ILMN
2013-03-06,52.88,53.86,52.68,53.24,1114989,ILMN
2013-03-07,53.39,53.75,53.05,53.33,646239,ILMN
2013-03-08,53.5,53.87,53.17,53.77,550445,ILMN
2013-03-09,53.41,53.88,53.19,53.78,623493,ILMN
2013-03-10,53.33,53.88,53.22,53.78,696541,ILMN
2013-03-11,53.24,53.89,53.24,53.79,769589,ILMN
2013-03-12,53.39,53.59,52.8,53.27,847884,ILMN
2013-03-13,53.35,53.69,52.47,52.57,943916,ILMN
2013-03-14,52.7,52.84,52.47,52.74,541205,ILMN
2013-03-15,52.7,52.79,52.28,52.28,851476,ILMN
2013-03-16,52.5,52.61,51.97,52.25,848613,ILMN
2013-03-17,52.3,52.44,51.65,52.21,845749,ILMN
2013-03-18,52.1,52.26,51.34,52.18,842886,ILMN
2013-03-19,52.05,52.16,50.3,51.73,1525727,ILMN
2013-03-20,52.1,53.09,51.74,52.89,970066,ILMN
2013-03-21,52.61,53.42,52.5,53.13,726576,ILMN
2013-03-22,53.35,53.45,52.81,52.98,422055,ILMN
2013-03-23,53.19,53.43,52.8,52.95,434901,ILMN
2013-03-24,53.04,53.42,52.8,52.91,447748,ILMN
2013-03-25,52.88,53.4,52.79,52.88,460594,ILMN
2013-03-26,52.94,53.94,52.75,53.88,628945,ILMN
2013-03-27,53.51,54.06,52.99,53.98,732991,ILMN
2013-03-28,53.86,54.32,53.7,53.98,1716522,ILMN
2013-03-29,53.94,54.33,53.72,54.04,1483016,ILMN
2013-03-30,54.02,54.34,53.74,54.11,1249510,ILMN
2013-03-31,54.1,54.35,53.75,54.18,1016003,ILMN
2013-04-01,54.18,54.36,53.77,54.24,782497,ILMN
2013-04-02,54.2,54.87,53.84,54.53,1073714,ILMN
2013-04-03,54.35,54.84,53.87,54.28,1447492,ILMN
2013-04-04,54.67,54.94,54.38,54.93,690516,ILMN
2013-04-05,54.16,54.59,53.93,54.43,501848,ILMN
2013-04-06,54.21,54.81,54.01,54.7,633905,ILMN
2013-04-07,54.27,55.02,54.09,54.96,765962,ILMN
2013-04-08,54.32,55.24,54.17,55.23,898019,ILMN
2013-04-09,55.14,55.94,54.64,55.53,1015548,ILMN
2013-04-10,55.67,57.29,55.63,57.27,1419243,ILMN
2013-04-11,56.92,58.23,56.81,57.95,1305426,ILMN
2013-04-12,57.37,58.0,57.34,57.84,560286,ILMN
2013-04-13,57.59,58.22,56.64,57.08,839256,ILMN
2013-04-14,57.82,58.43,55.95,56.32,1118225,ILMN
2013-04-15,58.04,58.65,55.25,55.56,1397195,ILMN
2013-04-16,55.99,57.9,55.66,57.86,1131363,ILMN
2013-04-17,57.72,57.86,57.13,57.67,841875,ILMN
2013-04-18,58.0,58.0,56.19,56.33,954946,ILMN
2013-04-19,56.75,57.0,56.0,56.09,1178267,ILMN
2013-04-20,56.48,56.74,55.61,55.77,1441575,ILMN
2013-04-21,56.2,56.49,55.23,55.44,1704883,ILMN
2013-04-22,55.93,56.23,54.84,55.12,1968191,ILMN
2013-04-23,60.0,63.82,59.99,62.44,6998809,ILMN
2013-04-24,61.99,63.07,61.79,62.66,2192140,ILMN
2013-04-25,62.38,63.0,62.31,62.54,1846923,ILMN
2013-04-26,62.06,62.8,61.95,62.61,1067397,ILMN
2013-04-27,62.26,63.36,62.1,63.2,1093670,ILMN
2013-04-28,62.46,63.91,62.25,63.8,1119942,ILMN
2013-04-29,62.66,64.47,62.4,64.39,1146215,ILMN
2013-04-30,64.06,65.0,63.26,64.69,1352638,ILMN
2013-05-01,64.63,64.96,63.78,63.82,1018450,ILMN
2013-05-02,63.81,65.16,63.81,64.95,757421,ILMN
2013-05-03,65.5,65.99,64.55,64.91,1120301,ILMN
2013-05-04,65.17,66.33,64.53,65.35,1054911,ILMN
2013-05-05,64.83,66.66,64.52,65.79,989521,ILMN
2013-05-06,64.5,67.0,64.5,66.23,924131,ILMN
2013-05-07,65.66,66.72,65.62,66.29,892729,ILMN
2013-05-08,65.46,67.28,65.46,67.07,1242654,ILMN
2013-05-09,67.0,67.81,66.34,67.16,1456890,ILMN
2013-05-10,67.34,77.11,66.68,69.98,7192553,ILMN
2013-05-11,68.12,74.82,67.19,69.59,5488323,ILMN
2013-05-12,68.9,72.54,67.71,69.19,3784092,ILMN
2013-05-13,69.68,70.25,68.22,68.8,2079862,ILMN
2013-05-14,69.19,71.53,68.69,70.74,1796969,ILMN
2013-05-15,70.72,71.6,70.09,70.37,1059991,ILMN
2013-05-16,70.5,71.0,69.16,69.65,1195516,ILMN
2013-05-17,70.13,72.42,69.65,72.0,1571817,ILMN
2013-05-18,70.73,72.91,70.35,72.36,1693685,ILMN
2013-05-19,71.32,73.39,71.06,72.72,1815553,ILMN
2013-05-20,71.92,73.88,71.76,73.08,1937421,ILMN
2013-05-21,73.34,74.51,72.58,72.58,2144139,ILMN
2013-05-22,72.38,72.68,69.82,70.69,2142042,ILMN
2013-05-23,69.48,71.2,67.9,71.08,1576754,ILMN
2013-05-24,70.39,70.78,69.81,70.31,1111968,ILMN
2013-05-25,70.76,71.28,69.96,70.64,1056676,ILMN
2013-05-26,71.12,71.79,70.1,70.96,1001384,ILMN
2013-05-27,71.49,72.29,70.25,71.29,946092,ILMN
2013-05-28,71.86,72.8,70.4,71.62,890800,ILMN
2013-05-29,71.2,71.57,70.33,71.09,614991,ILMN
2013-05-30,70.8,71.8,70.61,71.49,516046,ILMN
2013-05-31,71.14,72.78,70.23,70.32,1271632,ILMN
2013-06-01,71.07,72.33,69.91,70.51,1070939,ILMN
2013-06-02,71.01,71.88,69.58,70.69,870247,ILMN
2013-06-03,70.94,71.43,69.26,70.88,669554,ILMN
2013-06-04,70.77,71.6,69.21,69.89,808410,ILMN
2013-06-05,70.17,71.42,68.78,68.89,1382331,ILMN
2013-06-06,69.1,69.35,67.7,69.23,1212335,ILMN
2013-06-07,69.56,70.41,69.21,69.99,749516,ILMN
2013-06-08,69.55,70.42,68.84,69.9,1089127,ILMN
2013-06-09,69.53,70.42,68.47,69.82,1428737,ILMN
2013-06-10,69.52,70.43,68.1,69.73,1768348,ILMN
2013-06-11,69.51,69.64,68.25,68.5,779447,ILMN
2013-06-12,69.04,69.08,66.86,67.47,842075,ILMN
2013-06-13,66.55,68.42,66.11,67.89,1357841,ILMN
2013-06-14,67.93,68.41,67.5,67.99,765579,ILMN
2013-06-15,68.14,69.36,67.85,68.87,887281,ILMN
2013-06-16,68.35,70.32,68.21,69.74,1008984,ILMN
2013-06-17,68.56,71.27,68.56,70.62,1130686,ILMN
2013-06-18,70.82,72.04,70.56,71.69,815599,ILMN
2013-06-19,71.69,72.35,70.27,70.4,660244,ILMN
2013-06-20,69.68,70.07,68.84,69.26,1078029,ILMN
2013-06-21,69.51,70.82,69.47,69.93,1602337,ILMN
2013-06-22,69.36,71.43,69.26,70.67,1526515,ILMN
2013-06-23,69.22,72.04,69.05,71.42,1450694,ILMN
2013-06-24,69.07,72.65,68.84,72.16,1374872,ILMN
2013-06-25,71.98,74.42,71.94,73.66,1499312,ILMN
2013-06-26,74.75,76.08,74.44,74.69,2024480,ILMN
2013-06-27,75.09,75.86,74.72,74.95,1137442,ILMN
2013-06-28,74.99,76.0,74.71,74.84,1452242,ILMN
2013-06-29,75.06,76.38,74.69,75.32,1362720,ILMN
2013-06-30,75.14,76.76,74.67,75.79,1273198,ILMN
2013-07-01,75.21,77.14,74.65,76.27,1183676,ILMN
2013-07-02,75.83,76.25,72.68,73.44,2032013,ILMN
2013-07-03,73.31,74.19,72.7,73.36,1031342,ILMN
2013-07-04,73.59,74.74,73.28,74.32,845120,ILMN
2013-07-05,73.87,75.28,73.87,75.28,658897,ILMN
2013-07-06,74.51,75.47,73.81,74.96,753694,ILMN
2013-07-07,75.14,75.66,73.76,74.65,848490,ILMN
2013-07-08,75.78,75.85,73.7,74.33,943287,ILMN
2013-07-09,74.19,74.59,72.9,74.04,1077288,ILMN
2013-07-10,74.05,74.78,73.85,74.62,828285,ILMN
2013-07-11,75.0,76.05,74.0,76.0,1030251,ILMN
2013-07-12,76.36,78.24,72.13,74.9,2287751,ILMN
2013-07-13,75.74,77.64,72.92,75.15,1872293,ILMN
2013-07-14,75.12,77.05,73.71,75.39,1456836,ILMN
2013-07-15,74.5,76.45,74.5,75.64,1041378,ILMN
2013-07-16,75.71,75.85,73.44,73.89,999626,ILMN
2013-07-17,74.54,75.0,73.63,74.38,611819,ILMN
2013-07-18,74.82,75.3,74.22,74.9,460656,ILMN
2013-07-19,74.65,75.17,74.12,74.31,1250592,ILMN
2013-07-20,74.51,75.2,74.08,74.45,1197081,ILMN
2013-07-21,74.37,75.22,74.05,74.59,1143569,ILMN
2013-07-22,74.23,75.24,74.01,74.73,1090058,ILMN
2013-07-23,74.76,74.76,73.11,73.77,1374528,ILMN
2013-07-24,79.45,83.23,78.78,81.57,4697553,ILMN
2013-07-25,81.1,81.95,80.49,80.86,1175378,ILMN
2013-07-26,79.85,81.74,79.71,81.44,1075100,ILMN
2013-07-27,80.18,81.59,79.92,81.26,916124,ILMN
2013-07-28,80.5,81.45,80.12,81.08,757149,ILMN
2013-07-29,80.83,81.3,80.33,80.9,598173,ILMN
2013-07-30,80.95,81.88,80.35,80.89,870766,ILMN
2013-07-31,81.07,81.42,79.76,79.82,819590,ILMN
2013-08-01,80.49,81.9,79.28,79.45,1075338,ILMN
2013-08-02,79.94,80.0,77.07,77.28,1314808,ILMN
2013-08-03,79.08,79.65,77.05,77.64,1174126,ILMN
2013-08-04,78.21,79.3,77.02,78.01,1033445,ILMN
2013-08-05,77.35,78.95,77.0,78.37,892763,ILMN
2013-08-06,78.36,79.35,77.91,79.02,1053737,ILMN
2013-08-07,79.18,79.18,77.62,78.55,569487,ILMN
2013-08-08,78.68,78.84,77.46,78.29,534823,ILMN
2013-08-09,78.45,79.25,78.34,78.71,383100,ILMN
2013-08-10,78.21,79.19,78.06,78.71,402033,ILMN
2013-08-11,77.96,79.14,77.79,78.72,420965,ILMN
2013-08-12,77.72,79.08,77.51,78.72,439898,ILMN
2013-08-13,78.56,79.95,78.12,79.64,605895,ILMN
2013-08-14,79.44,80.62,79.28,79.85,530054,ILMN
2013-08-15,78.43,78.9,77.55,78.07,740228,ILMN
2013-08-16,77.56,78.71,76.85,77.04,1165961,ILMN
2013-08-17,77.38,78.56,76.68,77.25,1017537,ILMN
2013-08-18,77.21,78.4,76.52,77.47,869114,ILMN
2013-08-19,77.03,78.25,76.35,77.69,720690,ILMN
2013-08-20,77.41,78.85,77.07,78.54,536640,ILMN
2013-08-21,78.37,79.0,77.92,78.23,677903,ILMN
2013-08-22,78.77,80.43,78.29,79.73,675758,ILMN
2013-08-23,79.84,79.93,79.02,79.31,523353,ILMN
2013-08-24,79.69,80.2,79.07,79.45,590330,ILMN
2013-08-25,79.53,80.47,79.13,79.59,657307,ILMN
2013-08-26,79.38,80.74,79.18,79.73,724284,ILMN
2013-08-27,78.28,78.79,76.57,76.65,1085067,ILMN
2013-08-28,76.3,77.68,76.01,77.21,583513,ILMN
2013-08-29,77.45,78.76,77.45,77.63,761983,ILMN
2013-08-30,77.78,78.68,77.34,77.84,633315,ILMN
2013-08-31,77.96,78.78,76.96,77.55,746826,ILMN
2013-09-01,78.13,78.89,76.57,77.26,860336,ILMN
2013-09-02,78.31,78.99,76.19,76.97,973846,ILMN
2013-09-03,78.49,79.09,75.8,76.68,1087357,ILMN
2013-09-04,76.82,77.98,75.99,77.69,780030,ILMN
2013-09-05,77.62,80.27,77.04,79.47,765599,ILMN
2013-09-06,79.78,80.1,78.36,79.14,765124,ILMN
2013-09-07,79.53,80.25,78.56,79.29,677103,ILMN
2013-09-08,79.28,80.4,78.75,79.43,589082,ILMN
2013-09-09,79.03,80.55,78.95,79.58,501061,ILMN
2013-09-10,80.98,82.0,80.31,80.91,697670,ILMN
2013-09-11,81.01,84.5,80.79,83.93,1251596,ILMN
2013-09-12,83.61,83.98,81.76,83.52,999157,ILMN
2013-09-13,83.44,84.85,82.85,84.55,1333613,ILMN
2013-09-14,83.96,85.17,83.37,84.81,1181711,ILMN
2013-09-15,84.48,85.49,83.88,85.08,1029810,ILMN
2013-09-16,85.0,85.81,84.4,85.34,877908,ILMN
2013-09-17,85.2,85.44,83.5,84.43,1413382,ILMN
2013-09-18,84.0,84.69,82.31,83.25,1090796,ILMN
2013-09-19,83.0,83.59,81.51,81.67,809977,ILMN
2013-09-20,81.62,82.55,80.67,80.94,1305024,ILMN
