index,open,high,low,close,volume,Name
2013-02-08,62.64,62.66,60.12,61.51,5142055,INTU
2013-02-09,62.31,62.4,60.47,61.48,4150314,INTU
2013-02-10,61.98,62.13,60.82,61.45,3158572,INTU
2013-02-11,61.65,61.87,61.17,61.42,2166831,INTU
2013-02-12,61.39,61.61,61.16,61.44,1498765,INTU
2013-02-13,61.73,62.0,60.93,61.44,1759407,INTU
2013-02-14,61.22,61.39,60.6,60.76,2988157,INTU
2013-02-15,60.96,62.11,60.76,62.07,2139879,INTU
2013-02-16,61.24,62.22,61.06,62.1,1960340,INTU
2013-02-17,61.53,62.34,61.37,62.14,1780802,INTU
2013-02-18,61.82,62.45,61.68,62.18,1601263,INTU
2013-02-19,62.1,62.56,61.98,62.21,1421724,INTU
2013-02-20,62.38,62.5,61.37,61.42,2107780,INTU
2013-02-21,60.76,61.62,60.76,61.3,1939100,INTU
2013-02-22,62.0,63.07,61.05,62.78,3073826,INTU
2013-02-23,62.31,63.13,61.37,62.53,2881051,INTU
2013-02-24,62.62,63.18,61.69,62.27,2688276,INTU
2013-02-25,62.93,63.24,62.01,62.02,2495501,INTU
2013-02-26,62.01,62.76,61.87,62.64,2054609,INTU
2013-02-27,62.78,64.18,62.26,63.76,2097072,INTU
2013-02-28,63.76,64.66,63.7,64.47,2473337,INTU
2013-03-01,64.04,65.11,63.78,65.04,2307269,INTU
2013-03-02,64.32,65.5,64.11,65.45,2377952,INTU
2013-03-03,64.59,65.89,64.43,65.86,2448636,INTU
2013-03-04,64.87,66.28,64.76,66.27,2519319,INTU
2013-03-05,66.57,67.91,66.43,67.88,2677944,INTU
2013-03-06,67.99,68.41,67.77,67.99,2241961,INTU
2013-03-07,67.99,68.2,67.63,67.93,1495905,INTU
2013-03-08,67.92,68.27,67.29,67.75,1882232,INTU
2013-03-09,67.55,67.92,66.89,67.35,2317539,INTU
2013-03-10,67.17,67.58,66.5,66.96,2752845,INTU
2013-03-11,66.8,67.23,66.1,66.56,3188152,INTU
2013-03-12,66.52,66.82,66.2,66.36,1554993,INTU
2013-03-13,66.61,66.81,66.21,66.25,1685435,INTU
2013-03-14,66.6,66.7,66.0,66.18,2777912,INTU
2013-03-15,65.98,66.34,65.42,65.43,2502577,INTU
2013-03-16,65.61,66.11,65.15,65.42,2088255,INTU
2013-03-17,65.25,65.87,64.87,65.42,1673932,INTU
2013-03-18,64.88,65.64,64.6,65.41,1259610,INTU
2013-03-19,65.37,65.63,64.67,65.29,1851515,INTU
2013-03-20,65.76,65.97,65.08,65.17,1688272,INTU
