index,open,high,low,close,volume,Name
2013-02-08,52.13,53.45,52.07,53.43,2275786,IR
2013-02-09,52.49,53.42,52.33,53.27,2115132,IR
2013-02-10,52.85,53.4,52.6,53.11,1954477,IR
2013-02-11,53.21,53.37,52.87,52.95,1793823,IR
2013-02-12,53.08,53.27,52.77,53.05,1702591,IR
2013-02-13,53.14,53.5,52.98,53.19,1539069,IR
2013-02-14,53.23,53.57,53.02,53.03,2312482,IR
2013-02-15,53.22,53.42,52.87,53.03,2120419,IR
2013-02-16,53.18,53.48,52.86,53.18,2194531,IR
2013-02-17,53.14,53.54,52.86,53.34,2268644,IR
2013-02-18,53.09,53.59,52.85,53.49,2342756,IR
2013-02-19,53.05,53.65,52.84,53.64,2416868,IR
2013-02-20,53.75,53.9,52.8,52.88,2420535,IR
2013-02-21,52.58,52.75,52.06,52.25,2759844,IR
2013-02-22,52.62,52.94,52.26,52.61,2152711,IR
2013-02-23,52.7,53.01,51.81,52.05,2226307,IR
2013-02-24,52.78,53.09,51.35,51.49,2299904,IR
2013-02-25,52.86,53.16,50.9,50.93,2373500,IR
2013-02-26,51.14,51.74,50.91,51.3,1999556,IR
2013-02-27,51.47,52.57,51.26,52.36,1219431,IR
2013-02-28,52.26,52.92,52.1,52.65,1552604,IR
2013-03-01,52.21,52.53,51.54,51.93,1378197,IR
2013-03-02,52.05,52.43,51.56,51.98,1465029,IR
2013-03-03,51.88,52.32,51.59,52.04,1551861,IR
2013-03-04,51.72,52.22,51.61,52.09,1638693,IR
2013-03-05,52.45,53.3,52.31,53.24,1503951,IR
2013-03-06,53.5,53.75,53.04,53.44,1100163,IR
2013-03-07,53.44,54.15,53.26,53.72,2236672,IR
2013-03-08,53.89,54.37,53.65,54.31,1400279,IR
2013-03-09,53.97,54.54,53.8,54.48,1391382,IR
2013-03-10,54.04,54.71,53.94,54.66,1382485,IR
2013-03-11,54.12,54.88,54.09,54.83,1373588,IR
2013-03-12,54.63,55.12,54.6,55.03,2554592,IR
2013-03-13,55.02,55.17,54.67,55.15,1335748,IR
2013-03-14,55.25,55.85,55.08,55.79,1611479,IR
2013-03-15,55.57,55.75,55.18,55.39,1998973,IR
2013-03-16,55.31,55.64,55.01,55.27,1636273,IR
2013-03-17,55.04,55.52,54.85,55.16,1273574,IR
2013-03-18,54.78,55.41,54.68,55.04,910874,IR
2013-03-19,55.09,55.41,54.46,55.12,1417542,IR
2013-03-20,55.38,56.77,55.38,56.47,2653698,IR
2013-03-21,56.06,56.14,55.3,55.6,1722992,IR
2013-03-22,55.75,55.8,55.22,55.51,1699121,IR
2013-03-23,55.79,55.9,55.05,55.37,1717878,IR
2013-03-24,55.82,56.0,54.88,55.22,1736636,IR
2013-03-25,55.86,56.1,54.71,55.08,1755393,IR
2013-03-26,55.52,55.7,54.95,55.38,1865593,IR
2013-03-27,54.56,54.95,53.99,54.36,2207603,IR
2013-03-28,54.47,55.04,54.15,55.01,2654193,IR
2013-03-29,54.61,55.12,54.19,54.86,2586076,IR
2013-03-30,54.74,55.2,54.23,54.7,2517960,IR
2013-03-31,54.88,55.27,54.27,54.55,2449844,IR
2013-04-01,55.02,55.35,54.31,54.4,2381727,IR
2013-04-02,54.67,55.08,54.13,54.25,1976411,IR
2013-04-03,54.19,54.86,53.81,53.92,2612315,IR
2013-04-04,54.13,54.79,53.96,54.49,2334389,IR
2013-04-05,53.52,54.25,53.34,54.01,2665326,IR
2013-04-06,53.71,54.5,53.58,54.31,2470425,IR
2013-04-07,53.89,54.75,53.81,54.6,2275524,IR
2013-04-08,54.08,55.0,54.05,54.9,2080623,IR
2013-04-09,55.03,55.68,54.94,55.61,3055260,IR
2013-04-10,55.69,56.3,55.58,56.15,2397588,IR
2013-04-11,56.15,57.14,56.01,56.68,2349974,IR
2013-04-12,56.37,56.64,55.9,56.16,1546176,IR
2013-04-13,56.16,56.44,55.19,55.36,1763356,IR
2013-04-14,55.95,56.24,54.48,54.56,1980537,IR
2013-04-15,55.74,56.03,53.76,53.76,2197717,IR
2013-04-16,54.16,55.04,54.16,54.96,2079348,IR
2013-04-17,54.43,54.56,53.31,53.89,1925663,IR
2013-04-18,53.9,54.21,53.26,53.54,1436497,IR
2013-04-19,53.85,53.97,53.36,53.9,2135662,IR
2013-04-20,53.88,54.0,53.15,53.93,2125316,IR
2013-04-21,53.92,54.02,52.93,53.97,2114970,IR
2013-04-22,53.95,54.05,52.72,54.0,2104624,IR
2013-04-23,53.49,54.53,52.34,53.45,4577634,IR
2013-04-24,53.59,54.38,53.56,54.18,2212306,IR
2013-04-25,54.29,55.2,54.12,54.79,2816506,IR
2013-04-26,54.8,54.9,53.54,53.98,2385589,IR
2013-04-27,54.59,54.78,53.64,54.07,2068336,IR
2013-04-28,54.38,54.65,53.75,54.15,1751082,IR
2013-04-29,54.17,54.53,53.85,54.24,1433829,IR
2013-04-30,54.14,54.22,53.15,53.8,1790877,IR
2013-05-01,53.49,53.77,52.02,52.23,2976422,IR
2013-05-02,52.34,52.75,52.15,52.47,2755203,IR
2013-05-03,53.05,54.76,52.92,54.11,2591100,IR
2013-05-04,53.39,54.76,53.15,54.26,2232740,IR
2013-05-05,53.73,54.76,53.38,54.4,1874381,IR
2013-05-06,54.07,54.76,53.61,54.55,1516021,IR
2013-05-07,54.67,55.49,54.6,55.35,1640622,IR
2013-05-08,55.26,55.68,55.16,55.52,1223517,IR
2013-05-09,55.19,56.04,55.18,55.87,2454833,IR
2013-05-10,55.9,56.46,55.78,56.39,1880212,IR
2013-05-11,55.96,56.38,55.71,56.27,1776763,IR
2013-05-12,56.03,56.31,55.64,56.15,1673315,IR
2013-05-13,56.09,56.23,55.57,56.03,1569866,IR
2013-05-14,56.13,57.57,56.12,57.23,2399574,IR
2013-05-15,57.0,57.25,56.58,56.9,1855793,IR
2013-05-16,56.64,57.33,56.5,56.85,1632793,IR
2013-05-17,57.2,58.28,57.03,58.04,2200383,IR
2013-05-18,57.38,58.38,57.26,58.02,2145735,IR
2013-05-19,57.56,58.48,57.5,58.01,2091088,IR
2013-05-20,57.74,58.58,57.74,57.99,2036440,IR
2013-05-21,58.01,58.59,57.88,58.14,1001951,IR
2013-05-22,58.13,58.92,56.84,57.16,1779440,IR
2013-05-23,56.62,57.71,56.41,57.17,1257563,IR
2013-05-24,56.84,57.42,56.25,57.15,1167955,IR
2013-05-25,57.03,57.7,56.5,57.29,1205411,IR
2013-05-26,57.22,57.98,56.75,57.43,1242867,IR
