index,open,high,low,close,volume,Name
2013-02-08,190.67,193.22,190.18,192.92,509604,ISRG
2013-02-09,191.09,193.03,189.94,192.11,596716,ISRG
2013-02-10,191.51,192.84,189.71,191.31,683828,ISRG
2013-02-11,191.93,192.65,189.47,190.51,770940,ISRG
2013-02-12,190.88,191.24,189.51,190.46,423156,ISRG
2013-02-13,190.22,192.42,190.12,191.23,337554,ISRG
2013-02-14,189.74,191.2,189.02,190.42,582456,ISRG
2013-02-15,190.0,190.63,189.31,189.74,734034,ISRG
2013-02-16,189.76,191.55,189.19,190.82,772216,ISRG
2013-02-17,189.53,192.48,189.08,191.91,810399,ISRG
2013-02-18,189.29,193.41,188.96,193.0,848582,ISRG
2013-02-19,189.05,194.33,188.84,194.09,886764,ISRG
2013-02-20,192.0,192.56,184.17,185.61,2199807,ISRG
2013-02-21,183.78,187.9,182.25,187.08,1626957,ISRG
2013-02-22,191.3,193.14,190.0,191.35,881886,ISRG
2013-02-23,191.59,193.09,189.59,190.49,807808,ISRG
2013-02-24,191.87,193.04,189.19,189.64,733730,ISRG
2013-02-25,192.16,192.99,188.78,188.78,659652,ISRG
2013-02-26,189.07,191.06,187.88,189.59,606012,ISRG
2013-02-27,189.26,192.93,189.26,191.17,505842,ISRG
2013-02-28,191.15,192.29,164.12,169.96,2746851,ISRG
2013-03-01,184.33,186.0,182.19,184.47,3416436,ISRG
2013-03-02,184.11,185.43,180.37,183.12,2907668,ISRG
2013-03-03,183.89,184.86,178.56,181.78,2398900,ISRG
2013-03-04,183.67,184.29,176.75,180.44,1890132,ISRG
2013-03-05,177.76,178.5,171.33,175.24,3249798,ISRG
2013-03-06,175.5,178.47,172.36,173.26,1730286,ISRG
2013-03-07,173.27,174.32,168.55,171.06,2238657,ISRG
2013-03-08,171.41,172.98,169.12,171.54,1101636,ISRG
2013-03-09,171.14,173.51,169.61,171.78,985724,ISRG
2013-03-10,170.86,174.05,170.1,172.02,869812,ISRG
2013-03-11,170.59,174.58,170.59,172.25,753900,ISRG
2013-03-12,172.1,172.78,169.05,170.97,1072647,ISRG
2013-03-13,170.75,171.47,169.0,169.78,901059,ISRG
2013-03-14,171.41,172.48,161.13,163.3,4704894,ISRG
2013-03-15,161.99,162.92,151.73,153.15,7624218,ISRG
2013-03-16,159.68,162.73,152.84,156.04,6262879,ISRG
2013-03-17,157.37,162.53,153.95,158.94,4901540,ISRG
2013-03-18,155.07,162.33,155.07,161.84,3540201,ISRG
2013-03-19,161.66,162.02,157.09,160.89,2122293,ISRG
2013-03-20,161.29,165.63,161.0,165.29,2348127,ISRG
2013-03-21,170.0,170.67,162.11,162.26,2214051,ISRG
2013-03-22,162.86,164.31,160.68,163.13,1678539,ISRG
2013-03-23,163.02,164.39,160.91,163.02,1522385,ISRG
2013-03-24,163.18,164.46,161.14,162.91,1366231,ISRG
2013-03-25,163.34,164.54,161.37,162.8,1210077,ISRG
2013-03-26,162.63,165.86,160.73,165.75,2131767,ISRG
2013-03-27,165.1,166.54,163.06,163.51,1231194,ISRG
2013-03-28,163.33,164.98,162.78,163.73,888819,ISRG
2013-03-29,163.57,164.9,162.37,163.18,912665,ISRG
2013-03-30,163.81,164.82,161.96,162.63,936512,ISRG
2013-03-31,164.05,164.74,161.55,162.08,960358,ISRG
2013-04-01,164.29,164.67,161.14,161.53,984204,ISRG
2013-04-02,161.94,165.24,161.94,163.6,1086933,ISRG
2013-04-03,164.67,167.87,163.65,166.16,1362954,ISRG
2013-04-04,166.33,168.0,163.34,165.55,1310223,ISRG
2013-04-05,163.27,164.33,162.01,163.32,824601,ISRG
2013-04-06,163.53,165.29,162.63,163.77,882113,ISRG
2013-04-07,163.8,166.24,163.25,164.22,939625,ISRG
2013-04-08,164.06,167.2,163.87,164.67,997137,ISRG
2013-04-09,165.5,166.43,163.6,165.51,851721,ISRG
2013-04-10,165.68,167.5,164.97,166.28,917223,ISRG
2013-04-11,166.67,171.3,166.67,170.86,1037169,ISRG
2013-04-12,170.68,171.66,168.71,170.68,1119318,ISRG
2013-04-13,170.58,171.75,168.92,170.45,1138737,ISRG
2013-04-14,170.48,171.83,169.12,170.23,1158156,ISRG
