index,open,high,low,close,volume,Name
2013-02-08,27.44,27.54,27.15,27.31,3318753,IVZ
2013-02-09,27.41,27.56,27.2,27.35,3115091,IVZ
2013-02-10,27.39,27.57,27.24,27.39,2911430,IVZ
2013-02-11,27.36,27.59,27.29,27.43,2707768,IVZ
2013-02-12,27.65,27.86,27.47,27.71,4691082,IVZ
2013-02-13,27.73,27.85,27.47,27.63,2120034,IVZ
2013-02-14,27.45,27.81,27.34,27.78,2606689,IVZ
2013-02-15,27.76,27.79,27.13,27.36,5588816,IVZ
2013-02-16,27.64,27.76,27.12,27.44,5102400,IVZ
2013-02-17,27.52,27.74,27.11,27.51,4615984,IVZ
2013-02-18,27.39,27.72,27.1,27.58,4129569,IVZ
2013-02-19,27.27,27.69,27.09,27.66,3643153,IVZ
2013-02-20,27.57,27.67,27.14,27.16,5226048,IVZ
2013-02-21,27.05,27.11,26.23,26.3,5723753,IVZ
2013-02-22,26.48,26.61,26.35,26.59,5053727,IVZ
2013-02-23,26.58,26.72,26.21,26.37,5018374,IVZ
2013-02-24,26.67,26.84,26.06,26.15,4983020,IVZ
2013-02-25,26.77,26.95,25.92,25.93,4947667,IVZ
2013-02-26,26.09,26.15,25.46,25.64,8729386,IVZ
2013-02-27,25.63,26.56,25.55,26.44,5617561,IVZ
2013-02-28,26.37,26.92,26.31,26.79,5530162,IVZ
2013-03-01,26.93,26.99,26.24,26.83,7572157,IVZ
2013-03-02,26.88,27.18,26.39,27.04,7451377,IVZ
2013-03-03,26.84,27.36,26.55,27.25,7330596,IVZ
2013-03-04,26.79,27.55,26.7,27.46,7209816,IVZ
2013-03-05,27.7,27.94,27.6,27.7,3958678,IVZ
2013-03-06,27.93,28.04,27.72,27.78,3153158,IVZ
2013-03-07,27.85,28.04,27.8,27.94,3134881,IVZ
2013-03-08,28.13,28.19,27.79,28.11,3040292,IVZ
2013-03-09,28.11,28.21,27.81,28.16,2932143,IVZ
2013-03-10,28.1,28.24,27.83,28.2,2823994,IVZ
2013-03-11,28.08,28.26,27.85,28.25,2715845,IVZ
2013-03-12,28.25,28.25,27.98,28.12,2957134,IVZ
2013-03-13,27.71,28.49,27.64,28.45,3274645,IVZ
