index,open,high,low,close,volume,Name
2013-02-08,31.96,32.29,31.9,32.21,1887725,JCI
2013-02-09,32.03,32.36,31.97,32.2,1929144,JCI
2013-02-10,32.1,32.43,32.04,32.19,1970562,JCI
2013-02-11,32.18,32.5,32.12,32.18,2011981,JCI
2013-02-12,32.27,32.48,32.2,32.47,2213307,JCI
2013-02-13,32.32,33.04,32.32,32.98,3591768,JCI
2013-02-14,32.72,33.37,32.72,33.37,3327757,JCI
2013-02-15,33.5,33.73,33.4,33.56,4003036,JCI
2013-02-16,33.51,33.76,33.42,33.64,3614728,JCI
2013-02-17,33.52,33.8,33.43,33.71,3226421,JCI
2013-02-18,33.53,33.83,33.45,33.79,2838114,JCI
2013-02-19,33.54,33.86,33.47,33.86,2449806,JCI
2013-02-20,33.77,33.96,33.58,33.82,3760476,JCI
2013-02-21,33.64,33.64,32.92,33.26,3965395,JCI
2013-02-22,33.41,33.56,33.23,33.35,2030450,JCI
2013-02-23,33.43,33.55,33.07,33.16,2251527,JCI
2013-02-24,33.46,33.53,32.92,32.97,2472604,JCI
2013-02-25,33.48,33.52,32.76,32.77,2693681,JCI
2013-02-26,32.91,32.99,32.68,32.74,3473071,JCI
2013-02-27,32.65,33.54,32.56,33.42,2829138,JCI
2013-02-28,33.44,33.85,33.37,33.52,2892046,JCI
2013-03-01,33.3,33.62,33.05,33.16,2717899,JCI
2013-03-02,33.21,33.56,33.03,33.24,2633321,JCI
2013-03-03,33.12,33.5,33.01,33.32,2548743,JCI
2013-03-04,33.04,33.44,32.98,33.39,2464165,JCI
2013-03-05,33.54,33.95,33.52,33.79,2458579,JCI
2013-03-06,34.0,34.02,33.64,33.75,1616253,JCI
2013-03-07,33.77,33.77,33.33,33.34,2452911,JCI
2013-03-08,33.48,33.65,33.3,33.59,2039577,JCI
2013-03-09,33.48,33.69,33.35,33.65,1820981,JCI
2013-03-10,33.49,33.73,33.41,33.7,1602386,JCI
2013-03-11,33.5,33.77,33.47,33.76,1383790,JCI
2013-03-12,33.71,33.74,33.08,33.13,2450161,JCI
2013-03-13,33.2,33.33,33.04,33.23,1935037,JCI
2013-03-14,33.32,33.5,33.26,33.38,1712650,JCI
2013-03-15,33.2,33.38,32.99,33.11,2547238,JCI
2013-03-16,33.04,33.28,32.9,33.01,2370636,JCI
2013-03-17,32.88,33.18,32.8,32.91,2194035,JCI
2013-03-18,32.72,33.09,32.7,32.82,2017433,JCI
2013-03-19,32.91,32.91,32.26,32.7,2784997,JCI
2013-03-20,32.93,33.09,32.83,32.94,2584847,JCI
2013-03-21,32.81,32.95,32.32,32.34,3177494,JCI
2013-03-22,32.44,32.72,32.36,32.71,2704099,JCI
2013-03-23,32.56,32.79,32.34,32.62,2371107,JCI
2013-03-24,32.68,32.86,32.31,32.54,2038115,JCI
2013-03-25,32.8,32.92,32.29,32.45,1705123,JCI
2013-03-26,32.62,32.73,32.42,32.73,1887121,JCI
2013-03-27,32.5,32.69,32.35,32.65,1856540,JCI
2013-03-28,32.67,33.58,32.56,33.51,4376808,JCI
2013-03-29,32.91,33.6,32.68,33.44,3916718,JCI
2013-03-30,33.14,33.63,32.81,33.38,3456628,JCI
2013-03-31,33.38,33.65,32.93,33.31,2996538,JCI
2013-04-01,33.61,33.68,33.06,33.25,2536448,JCI
2013-04-02,33.31,33.46,32.97,33.13,3431376,JCI
2013-04-03,33.18,33.47,32.91,33.02,3977968,JCI
2013-04-04,33.01,33.34,32.86,33.08,2198762,JCI
2013-04-05,32.68,32.85,32.41,32.58,2736270,JCI
2013-04-06,32.61,32.83,32.43,32.6,2701376,JCI
2013-04-07,32.55,32.82,32.46,32.62,2666481,JCI
2013-04-08,32.48,32.81,32.48,32.64,2631587,JCI
2013-04-09,32.79,33.29,32.58,33.17,4293467,JCI
2013-04-10,33.31,34.03,33.2,33.97,2914730,JCI
2013-04-11,34.0,34.31,33.96,34.25,2969970,JCI
2013-04-12,34.16,34.21,33.62,33.77,2617239,JCI
2013-04-13,33.96,34.08,33.34,33.46,2832436,JCI
2013-04-14,33.77,33.95,33.05,33.15,3047633,JCI
2013-04-15,33.57,33.82,32.76,32.84,3262830,JCI
2013-04-16,33.07,33.2,32.86,33.07,2438529,JCI
2013-04-17,32.84,32.89,32.22,32.64,2983404,JCI
2013-04-18,32.65,32.67,32.2,32.34,2246256,JCI
2013-04-19,32.49,32.84,32.37,32.8,2828660,JCI
2013-04-20,32.59,32.86,32.31,32.61,2955901,JCI
2013-04-21,32.69,32.88,32.25,32.43,3083142,JCI
2013-04-22,32.8,32.9,32.2,32.24,3210383,JCI
2013-04-23,32.44,32.7,32.2,32.51,2189535,JCI
2013-04-24,32.44,32.63,32.06,32.15,3703728,JCI
2013-04-25,32.2,32.67,32.09,32.54,3579464,JCI
2013-04-26,33.83,34.5,32.85,32.9,11972396,JCI
2013-04-27,33.58,34.32,32.9,33.16,9915794,JCI
2013-04-28,33.32,34.14,32.95,33.42,7859191,JCI
2013-04-29,33.07,33.95,33.01,33.68,5802589,JCI
2013-04-30,33.75,34.0,33.51,33.63,4834736,JCI
2013-05-01,33.49,33.78,32.97,32.98,4546353,JCI
2013-05-02,33.01,33.5,32.99,33.25,5889722,JCI
2013-05-03,33.55,34.22,33.5,33.54,4413171,JCI
2013-05-04,33.53,34.29,33.49,33.83,3808040,JCI
2013-05-05,33.51,34.36,33.48,34.11,3202908,JCI
2013-05-06,33.5,34.43,33.47,34.4,2597777,JCI
2013-05-07,34.53,34.73,34.38,34.71,2025294,JCI
2013-05-08,34.67,35.37,34.62,35.36,3690272,JCI
2013-05-09,35.24,35.61,35.19,35.56,3025644,JCI
2013-05-10,35.51,35.6,35.29,35.47,5296923,JCI
2013-05-11,35.48,35.59,35.31,35.46,4050624,JCI
2013-05-12,35.46,35.58,35.32,35.46,2804326,JCI
2013-05-13,35.43,35.57,35.33,35.46,1558027,JCI
2013-05-14,35.43,35.85,35.39,35.72,2326639,JCI
2013-05-15,35.6,35.78,35.39,35.76,2386105,JCI
2013-05-16,35.69,35.69,35.42,35.51,3059170,JCI
2013-05-17,35.51,36.05,35.51,35.87,2071318,JCI
2013-05-18,35.59,36.01,35.57,35.87,2254271,JCI
2013-05-19,35.68,35.98,35.63,35.86,2437224,JCI
2013-05-20,35.76,35.94,35.69,35.85,2620177,JCI
2013-05-21,35.83,36.02,35.79,35.87,1279722,JCI
2013-05-22,35.87,35.93,35.51,35.69,4447422,JCI
2013-05-23,35.41,35.83,35.38,35.66,3371043,JCI
2013-05-24,35.49,35.97,35.33,35.88,2814018,JCI
2013-05-25,35.67,36.06,35.51,35.94,2555300,JCI
2013-05-26,35.85,36.15,35.7,36.01,2296583,JCI
2013-05-27,36.03,36.24,35.88,36.07,2037866,JCI
2013-05-28,36.21,36.32,36.06,36.13,1779148,JCI
2013-05-29,35.85,36.01,35.73,35.83,2518057,JCI
2013-05-30,35.84,36.15,35.72,35.81,2775784,JCI
2013-05-31,35.69,35.96,35.4,35.4,2954166,JCI
2013-06-01,35.6,35.82,35.29,35.41,3244311,JCI
2013-06-02,35.5,35.69,35.18,35.42,3534456,JCI
2013-06-03,35.41,35.55,35.07,35.42,3824601,JCI
2013-06-04,35.37,35.66,35.21,35.29,3452621,JCI
2013-06-05,35.13,35.23,34.79,34.85,3994156,JCI
2013-06-06,34.85,35.14,34.65,35.14,2256918,JCI
2013-06-07,35.49,36.46,35.38,35.9,2995922,JCI
2013-06-08,35.63,36.35,35.51,35.95,3189018,JCI
2013-06-09,35.77,36.25,35.64,36.0,3382114,JCI
2013-06-10,35.91,36.14,35.77,36.05,3575210,JCI
2013-06-11,35.57,35.76,35.27,35.3,5186502,JCI
2013-06-12,35.5,35.51,34.69,34.88,4059651,JCI
2013-06-13,34.82,35.12,34.56,35.03,2828109,JCI
2013-06-14,35.04,35.21,34.79,34.88,3804708,JCI
2013-06-15,35.05,35.23,34.77,34.91,3938147,JCI
2013-06-16,35.06,35.24,34.76,34.94,4071585,JCI
2013-06-17,35.08,35.26,34.75,34.96,4205024,JCI
2013-06-18,34.92,35.5,34.89,35.34,2607616,JCI
2013-06-19,35.37,35.41,34.94,34.96,4267549,JCI
2013-06-20,34.66,34.66,33.66,33.78,6760515,JCI
2013-06-21,34.06,34.06,33.38,33.94,5966115,JCI
2013-06-22,33.93,33.93,33.33,33.7,5619523,JCI
2013-06-23,33.8,33.8,33.27,33.46,5272931,JCI
2013-06-24,33.68,33.68,33.21,33.21,4926339,JCI
2013-06-25,33.48,33.62,33.19,33.49,5095915,JCI
2013-06-26,33.74,33.77,33.49,33.52,5099424,JCI
2013-06-27,33.81,34.59,33.8,34.43,5148404,JCI
2013-06-28,34.31,34.57,34.05,34.5,20550834,JCI
2013-06-29,34.61,35.14,34.38,35.01,16166117,JCI
2013-06-30,34.91,35.71,34.72,35.51,11781401,JCI
2013-07-01,35.21,36.29,35.05,36.02,7396684,JCI
2013-07-02,36.01,36.37,35.63,36.03,3390953,JCI
2013-07-03,35.76,35.94,35.54,35.77,1524835,JCI
2013-07-04,35.9,36.11,35.7,35.98,1460093,JCI
2013-07-05,36.03,36.28,35.86,36.2,1395351,JCI
2013-07-06,36.17,36.4,35.99,36.27,1696910,JCI
2013-07-07,36.3,36.51,36.12,36.35,1998470,JCI
2013-07-08,36.44,36.63,36.24,36.42,2300029,JCI
2013-07-09,36.65,37.06,36.64,36.98,3625053,JCI
2013-07-10,36.96,37.15,36.66,36.79,2403599,JCI
2013-07-11,37.21,37.3,36.61,36.74,3731778,JCI
2013-07-12,36.77,36.96,36.51,36.73,4065084,JCI
2013-07-13,36.82,37.12,36.59,36.86,3512849,JCI
