index,open,high,low,close,volume,Name
2013-02-08,75.17,75.61,74.73,75.48,8153254,JNJ
2013-02-09,75.21,75.57,74.84,75.46,7334398,JNJ
2013-02-10,75.24,75.54,74.94,75.43,6515542,JNJ
2013-02-11,75.28,75.5,75.05,75.41,5696686,JNJ
2013-02-12,75.42,75.86,75.42,75.8,7598678,JNJ
2013-02-13,75.79,75.87,75.37,75.66,8014788,JNJ
2013-02-14,75.5,76.09,75.38,75.81,9681846,JNJ
2013-02-15,75.72,76.16,75.51,76.16,10528944,JNJ
2013-02-16,75.8,76.37,75.62,76.36,10333667,JNJ
2013-02-17,75.88,76.58,75.74,76.56,10138390,JNJ
2013-02-18,75.95,76.79,75.85,76.76,9943114,JNJ
2013-02-19,76.03,77.0,75.96,76.96,9747837,JNJ
2013-02-20,76.79,76.97,76.54,76.65,7857256,JNJ
2013-02-21,76.47,77.02,76.38,76.87,9465651,JNJ
2013-02-22,76.39,76.49,75.97,76.25,8573208,JNJ
2013-02-23,76.42,76.55,75.84,76.02,9250002,JNJ
2013-02-24,76.44,76.6,75.7,75.8,9926796,JNJ
2013-02-25,76.47,76.66,75.57,75.57,10603590,JNJ
2013-02-26,75.88,76.34,75.5,75.75,10743210,JNJ
2013-02-27,75.68,76.45,75.6,76.32,8180393,JNJ
2013-02-28,76.23,76.49,76.11,76.11,11810494,JNJ
2013-03-01,75.79,76.77,75.73,76.7,9528387,JNJ
2013-03-02,76.1,76.94,76.06,76.87,10561642,JNJ
2013-03-03,76.42,77.11,76.4,77.03,11594896,JNJ
2013-03-04,76.73,77.28,76.73,77.2,12628151,JNJ
2013-03-05,77.56,77.71,77.44,77.66,9328078,JNJ
2013-03-06,77.69,77.74,77.22,77.39,8535851,JNJ
2013-03-07,77.62,77.96,77.59,77.75,7996489,JNJ
2013-03-08,77.84,78.22,77.7,78.19,8554283,JNJ
2013-03-09,77.87,78.32,77.75,78.27,8638698,JNJ
2013-03-10,77.89,78.42,77.79,78.36,8723112,JNJ
2013-03-11,77.92,78.52,77.84,78.44,8807527,JNJ
2013-03-12,78.5,78.69,78.21,78.56,8790845,JNJ
2013-03-13,78.52,78.67,78.2,78.55,7983720,JNJ
2013-03-14,78.67,79.1,78.49,79.1,10149230,JNJ
2013-03-15,78.62,79.24,78.62,79.19,18302441,JNJ
2013-03-16,78.65,79.22,78.65,79.06,14870113,JNJ
2013-03-17,78.69,79.21,78.67,78.94,11437785,JNJ
2013-03-18,78.72,79.19,78.7,78.81,8005457,JNJ
2013-03-19,78.98,79.09,78.5,78.86,7092364,JNJ
2013-03-20,79.18,79.61,79.17,79.45,7975120,JNJ
2013-03-21,79.12,79.5,78.77,79.01,8433701,JNJ
2013-03-22,79.11,79.74,79.02,79.74,6831380,JNJ
2013-03-23,79.35,79.81,79.17,79.72,7759756,JNJ
2013-03-24,79.59,79.87,79.32,79.7,8688133,JNJ
2013-03-25,79.83,79.94,79.47,79.68,9616509,JNJ
2013-03-26,79.93,80.88,79.85,80.85,12682754,JNJ
2013-03-27,80.56,81.35,80.27,81.27,10702998,JNJ
2013-03-28,81.37,81.59,80.95,81.53,11304546,JNJ
2013-03-29,81.38,81.68,81.03,81.63,10323024,JNJ
2013-03-30,81.38,81.78,81.12,81.73,9341503,JNJ
2013-03-31,81.39,81.87,81.2,81.83,8359982,JNJ
2013-04-01,81.39,81.96,81.28,81.93,7378460,JNJ
2013-04-02,82.0,82.69,81.9,82.69,10342171,JNJ
2013-04-03,82.74,82.95,81.57,82.07,12256304,JNJ
2013-04-04,82.2,82.72,81.92,82.41,10303375,JNJ
2013-04-05,81.79,82.11,81.62,82.04,8581618,JNJ
2013-04-06,81.62,81.87,81.18,81.73,10996877,JNJ
2013-04-07,81.44,81.63,80.75,81.42,13412136,JNJ
2013-04-08,81.27,81.39,80.31,81.11,15827395,JNJ
2013-04-09,81.26,81.75,81.24,81.52,9078243,JNJ
2013-04-10,81.83,82.2,81.74,82.02,7583115,JNJ
2013-04-11,82.14,82.96,82.08,82.32,9882669,JNJ
2013-04-12,82.25,82.74,82.17,82.74,6988194,JNJ
2013-04-13,82.41,82.86,82.02,82.4,8781667,JNJ
2013-04-14,82.56,82.97,81.86,82.05,10575139,JNJ
2013-04-15,82.72,83.09,81.71,81.71,12368612,JNJ
2013-04-16,82.33,83.54,82.07,83.44,12619019,JNJ
2013-04-17,83.36,84.43,83.29,83.9,13693285,JNJ
2013-04-18,83.96,84.3,83.03,83.18,9918341,JNJ
2013-04-19,83.51,84.57,83.47,84.49,10779317,JNJ
2013-04-20,83.87,84.69,83.71,84.6,9511309,JNJ
2013-04-21,84.23,84.81,83.95,84.72,8243300,JNJ
2013-04-22,84.59,84.93,84.2,84.83,6975292,JNJ
2013-04-23,84.99,85.68,84.0,85.45,8975954,JNJ
2013-04-24,85.68,85.74,84.28,84.39,9479780,JNJ
2013-04-25,84.54,85.44,84.34,85.22,8689408,JNJ
2013-04-26,85.3,85.49,84.8,85.12,6785201,JNJ
2013-04-27,85.21,85.62,84.84,85.27,7203394,JNJ
2013-04-28,85.11,85.76,84.88,85.43,7621588,JNJ
2013-04-29,85.02,85.89,84.91,85.58,8039781,JNJ
2013-04-30,85.39,85.7,84.89,85.23,12081848,JNJ
2013-05-01,84.5,85.13,83.88,84.23,12309501,JNJ
2013-05-02,84.44,85.21,84.17,85.16,8670010,JNJ
2013-05-03,85.58,85.99,85.45,85.75,9212094,JNJ
2013-05-04,85.65,85.92,85.15,85.39,9079659,JNJ
2013-05-05,85.71,85.85,84.85,85.04,8947223,JNJ
2013-05-06,85.78,85.78,84.55,84.68,8814788,JNJ
2013-05-07,84.87,85.57,84.63,85.53,9062990,JNJ
2013-05-08,85.48,85.6,84.93,85.46,8030714,JNJ
2013-05-09,85.45,85.69,84.96,85.15,8337717,JNJ
2013-05-10,85.29,85.76,85.18,85.76,7595332,JNJ
2013-05-11,85.38,85.86,85.27,85.79,7274031,JNJ
2013-05-12,85.47,85.97,85.35,85.82,6952731,JNJ
2013-05-13,85.56,86.07,85.44,85.85,6631430,JNJ
2013-05-14,85.76,87.08,85.76,86.97,10363203,JNJ
2013-05-15,86.94,87.88,86.94,87.64,13444477,JNJ
2013-05-16,87.33,87.77,87.06,87.45,9441996,JNJ
2013-05-17,87.47,88.2,87.41,88.09,11439298,JNJ
2013-05-18,87.68,88.2,87.54,88.06,10038127,JNJ
2013-05-19,87.89,88.2,87.68,88.04,8636955,JNJ
2013-05-20,88.1,88.2,87.81,88.01,7235784,JNJ
2013-05-21,87.94,88.64,87.79,88.59,10099587,JNJ
2013-05-22,88.7,89.99,88.2,88.46,13810803,JNJ
2013-05-23,87.11,87.97,87.0,87.21,14424194,JNJ
2013-05-24,86.8,87.03,86.49,86.82,10390046,JNJ
2013-05-25,86.98,87.34,86.68,87.02,9887690,JNJ
2013-05-26,87.17,87.66,86.88,87.22,9385335,JNJ
2013-05-27,87.36,87.98,87.07,87.41,8882980,JNJ
2013-05-28,87.54,88.29,87.27,87.61,8380624,JNJ
2013-05-29,87.08,87.16,85.14,85.65,11871743,JNJ
2013-05-30,85.71,86.31,85.68,85.99,7801107,JNJ
2013-05-31,85.68,85.99,84.18,84.18,13305355,JNJ
2013-06-01,85.21,85.56,83.91,84.36,12793703,JNJ
2013-06-02,84.75,85.14,83.64,84.53,12282050,JNJ
2013-06-03,84.28,84.71,83.37,84.71,11770398,JNJ
2013-06-04,84.72,85.03,83.56,84.1,9971961,JNJ
2013-06-05,83.91,85.0,83.48,83.68,9839006,JNJ
2013-06-06,83.59,84.46,82.65,84.46,10671700,JNJ
2013-06-07,84.96,85.18,84.4,84.91,8908732,JNJ
2013-06-08,84.98,85.36,84.51,84.99,8764813,JNJ
2013-06-09,84.99,85.53,84.62,85.06,8620894,JNJ
2013-06-10,85.01,85.71,84.73,85.14,8476975,JNJ
2013-06-11,84.76,85.02,84.13,84.69,8966971,JNJ
2013-06-12,85.18,85.5,83.7,83.74,8413194,JNJ
2013-06-13,83.6,84.96,83.08,84.91,8572402,JNJ
2013-06-14,84.71,85.48,84.66,84.91,6357030,JNJ
2013-06-15,84.93,85.79,84.77,85.15,7047709,JNJ
2013-06-16,85.15,86.1,84.87,85.39,7738389,JNJ
2013-06-17,85.37,86.4,84.98,85.63,8429068,JNJ
2013-06-18,85.75,86.44,85.63,86.36,7233633,JNJ
2013-06-19,86.43,86.5,84.8,84.86,8288194,JNJ
2013-06-20,84.21,84.45,82.12,82.62,15173632,JNJ
2013-06-21,83.0,84.32,82.5,83.2,20718487,JNJ
2013-06-22,82.97,84.65,82.6,83.67,18738157,JNJ
2013-06-23,82.95,84.98,82.71,84.14,16757828,JNJ
2013-06-24,82.92,85.31,82.81,84.61,14777498,JNJ
2013-06-25,85.16,85.59,84.54,85.35,11241086,JNJ
2013-06-26,85.95,87.32,85.94,86.99,11966641,JNJ
2013-06-27,87.53,87.82,86.49,86.71,8890310,JNJ
2013-06-28,86.72,87.38,85.85,85.86,11897743,JNJ
2013-06-29,86.39,87.47,85.73,86.12,11233755,JNJ
2013-06-30,86.05,87.55,85.62,86.37,10569767,JNJ
2013-07-01,85.72,87.64,85.5,86.63,9905779,JNJ
2013-07-02,86.65,87.2,86.21,86.57,8573755,JNJ
2013-07-03,86.72,87.04,86.1,86.78,3608615,JNJ
2013-07-04,87.15,87.46,86.51,87.32,4506062,JNJ
2013-07-05,87.58,87.88,86.92,87.87,5403508,JNJ
2013-07-06,87.75,88.25,87.27,88.11,7619562,JNJ
2013-07-07,87.92,88.62,87.62,88.35,9835615,JNJ
2013-07-08,88.09,88.99,87.97,88.59,12051669,JNJ
2013-07-09,88.65,89.08,88.36,88.88,9349609,JNJ
2013-07-10,88.88,89.48,88.81,89.24,7067188,JNJ
2013-07-11,89.81,89.93,89.0,89.67,8941210,JNJ
2013-07-12,89.69,89.99,89.38,89.99,7592485,JNJ
2013-07-13,89.76,90.26,89.51,90.13,9509402,JNJ
2013-07-14,89.84,90.54,89.63,90.26,11426319,JNJ
2013-07-15,89.91,90.81,89.76,90.4,13343236,JNJ
2013-07-16,91.04,91.66,90.13,90.4,11410317,JNJ
2013-07-17,90.58,90.97,89.88,90.13,12835285,JNJ
2013-07-18,90.33,90.95,90.06,90.17,8329613,JNJ
2013-07-19,90.24,92.27,90.05,92.23,12506366,JNJ
2013-07-20,90.85,92.37,90.57,92.25,11643207,JNJ
2013-07-21,91.47,92.46,91.09,92.26,10780048,JNJ
2013-07-22,92.08,92.56,91.61,92.28,9916889,JNJ
2013-07-23,92.39,92.86,92.11,92.42,8467834,JNJ
2013-07-24,92.65,92.66,91.75,92.36,6846208,JNJ
2013-07-25,92.0,92.75,91.75,92.57,7355636,JNJ
2013-07-26,92.32,92.93,91.65,92.83,8664292,JNJ
2013-07-27,92.42,93.08,91.97,92.96,8418106,JNJ
2013-07-28,92.53,93.24,92.29,93.08,8171920,JNJ
2013-07-29,92.63,93.39,92.61,93.21,7925734,JNJ
2013-07-30,93.47,93.97,93.02,93.17,8863057,JNJ
2013-07-31,93.23,94.42,93.19,93.5,11365654,JNJ
2013-08-01,94.16,94.4,93.7,93.77,11098955,JNJ
2013-08-02,93.56,94.39,93.45,94.39,8468725,JNJ
2013-08-03,93.72,94.36,93.44,94.19,8043290,JNJ
2013-08-04,93.89,94.33,93.44,94.0,7617855,JNJ
2013-08-05,94.05,94.3,93.43,93.8,7192420,JNJ
2013-08-06,93.88,93.94,93.5,93.81,6414982,JNJ
2013-08-07,93.6,94.03,93.47,93.66,9060926,JNJ
2013-08-08,94.27,94.37,92.71,93.34,11090305,JNJ
2013-08-09,93.39,93.39,91.78,92.36,12135904,JNJ
2013-08-10,92.95,93.18,91.77,92.24,11761405,JNJ
2013-08-11,92.52,92.98,91.76,92.12,11386906,JNJ
2013-08-12,92.08,92.77,91.76,92.0,11012407,JNJ
2013-08-13,91.89,93.35,91.76,93.01,10099808,JNJ
2013-08-14,92.79,92.95,90.51,90.7,12717722,JNJ
2013-08-15,90.32,90.41,89.09,89.55,12010672,JNJ
2013-08-16,89.13,89.8,88.77,89.37,14100923,JNJ
2013-08-17,89.24,90.28,88.96,89.73,12296293,JNJ
2013-08-18,89.36,90.77,89.16,90.09,10491662,JNJ
2013-08-19,89.47,91.25,89.35,90.45,8687032,JNJ
2013-08-20,90.55,91.65,89.73,89.73,8559068,JNJ
2013-08-21,89.47,89.63,88.68,88.8,7940700,JNJ
2013-08-22,88.76,89.03,88.12,88.26,7191852,JNJ
2013-08-23,87.93,88.44,87.21,88.41,7714511,JNJ
2013-08-24,88.07,88.45,87.27,88.12,7384168,JNJ
2013-08-25,88.22,88.47,87.33,87.82,7053825,JNJ
2013-08-26,88.36,88.48,87.39,87.53,6723482,JNJ
2013-08-27,86.97,87.08,85.96,86.17,9941186,JNJ
2013-08-28,86.36,86.91,85.88,86.53,8829179,JNJ
2013-08-29,86.41,87.14,85.99,86.57,5768849,JNJ
2013-08-30,86.78,86.78,85.85,86.41,7471522,JNJ
2013-08-31,86.81,86.91,85.9,86.41,7501270,JNJ
2013-09-01,86.84,87.04,85.94,86.42,7531017,JNJ
2013-09-02,86.86,87.17,85.98,86.42,7560764,JNJ
2013-09-03,86.89,87.3,86.03,86.42,7590512,JNJ
2013-09-04,86.46,87.24,86.25,86.9,8458849,JNJ
2013-09-05,87.0,87.17,86.62,87.04,5656291,JNJ
2013-09-06,87.22,87.92,86.0,87.16,10035452,JNJ
2013-09-07,87.28,87.81,86.34,87.29,8964436,JNJ
2013-09-08,87.33,87.71,86.67,87.43,7893419,JNJ
2013-09-09,87.39,87.6,87.01,87.56,6822403,JNJ
2013-09-10,88.14,88.58,87.85,88.53,8658856,JNJ
2013-09-11,88.63,89.27,88.14,89.23,8098283,JNJ
2013-09-12,89.3,89.57,88.88,89.01,7938942,JNJ
2013-09-13,89.13,89.25,88.2,88.57,7738679,JNJ
2013-09-14,89.23,89.36,88.41,88.72,7685967,JNJ
2013-09-15,89.33,89.46,88.62,88.88,7633256,JNJ
2013-09-16,89.43,89.57,88.83,89.03,7580544,JNJ
2013-09-17,89.05,89.22,88.58,89.06,6292099,JNJ
2013-09-18,88.91,89.91,88.3,89.91,10115451,JNJ
2013-09-19,90.05,90.2,89.79,90.07,6721349,JNJ
2013-09-20,90.2,90.72,89.68,89.68,14709212,JNJ
2013-09-21,89.94,90.4,89.39,89.48,12264922,JNJ
2013-09-22,89.69,90.07,89.1,89.29,9820633,JNJ
2013-09-23,89.43,89.75,88.81,89.09,7376343,JNJ
2013-09-24,89.02,89.2,88.15,88.22,7626473,JNJ
2013-09-25,88.42,88.47,87.07,87.08,7493027,JNJ
2013-09-26,87.28,87.7,86.72,87.07,6400181,JNJ
2013-09-27,86.81,86.94,86.44,86.73,5461071,JNJ
2013-09-28,86.65,86.94,86.34,86.72,6294819,JNJ
2013-09-29,86.49,86.95,86.25,86.7,7128566,JNJ
2013-09-30,86.33,86.95,86.15,86.69,7962314,JNJ
2013-10-01,86.59,87.49,86.26,87.47,6318781,JNJ
2013-10-02,87.13,87.29,86.44,87.29,6383361,JNJ
2013-10-03,87.19,87.4,86.28,86.58,7731275,JNJ
2013-10-04,86.82,87.42,86.56,87.31,6049955,JNJ
2013-10-05,86.78,87.27,86.47,87.07,5935049,JNJ
2013-10-06,86.74,87.12,86.38,86.83,5820144,JNJ
2013-10-07,86.7,86.98,86.29,86.59,5705238,JNJ
2013-10-08,86.62,86.74,85.57,85.61,8711718,JNJ
2013-10-09,85.93,86.23,85.5,85.96,8014226,JNJ
2013-10-10,86.72,87.78,86.7,87.78,8647855,JNJ
2013-10-11,88.62,89.48,88.02,89.45,8447844,JNJ
2013-10-12,88.69,89.62,88.22,89.57,8693327,JNJ
2013-10-13,88.76,89.75,88.43,89.68,8938810,JNJ
2013-10-14,88.83,89.89,88.63,89.8,9184293,JNJ
2013-10-15,90.33,91.46,89.93,89.93,11024237,JNJ
2013-10-16,90.42,91.17,90.16,91.11,8059465,JNJ
2013-10-17,90.87,92.0,90.77,91.97,8569649,JNJ
2013-10-18,91.75,92.05,91.14,91.63,9082602,JNJ
2013-10-19,91.71,91.91,91.02,91.49,8368564,JNJ
2013-10-20,91.67,91.77,90.89,91.34,7654526,JNJ
2013-10-21,91.63,91.63,90.77,91.2,6940488,JNJ
2013-10-22,91.53,92.56,91.5,92.36,9635464,JNJ
2013-10-23,92.07,92.43,91.52,92.1,6449625,JNJ
2013-10-24,92.65,92.99,92.14,92.35,5251016,JNJ
2013-10-25,92.04,92.27,91.78,92.09,6076014,JNJ
2013-10-26,92.01,92.45,91.83,92.19,6229974,JNJ
2013-10-27,91.99,92.62,91.87,92.29,6383934,JNJ
2013-10-28,91.96,92.8,91.92,92.39,6537894,JNJ
2013-10-29,92.8,93.18,92.58,93.14,6096833,JNJ
2013-10-30,93.27,93.45,92.65,92.79,6295422,JNJ
2013-10-31,92.85,93.35,92.32,92.61,7773908,JNJ
2013-11-01,92.38,93.58,92.38,93.37,6835898,JNJ
2013-11-02,92.74,93.55,92.4,93.26,6844775,JNJ
2013-11-03,93.1,93.53,92.41,93.14,6853653,JNJ
2013-11-04,93.46,93.5,92.43,93.03,6862530,JNJ
2013-11-05,92.54,92.95,92.28,92.81,5357054,JNJ
2013-11-06,93.03,93.2,92.72,93.04,5301288,JNJ
2013-11-07,93.19,93.35,92.69,92.69,6121393,JNJ
2013-11-08,92.63,94.1,92.56,94.05,7229531,JNJ
2013-11-09,93.08,94.28,93.02,94.13,6394096,JNJ
2013-11-10,93.52,94.46,93.48,94.21,5558662,JNJ
2013-11-11,93.97,94.64,93.94,94.29,4723227,JNJ
2013-11-12,93.98,94.09,93.0,93.56,7643136,JNJ
2013-11-13,93.36,93.45,92.32,93.34,8954411,JNJ
2013-11-14,93.4,94.14,93.4,93.92,7045742,JNJ
2013-11-15,93.63,94.4,93.55,94.39,7068584,JNJ
2013-11-16,93.87,94.47,93.7,94.36,7543052,JNJ
2013-11-17,94.12,94.53,93.86,94.33,8017520,JNJ
2013-11-18,94.36,94.6,94.01,94.3,8491988,JNJ
2013-11-19,94.27,94.92,94.0,94.86,6624211,JNJ
2013-11-20,94.94,95.47,94.66,95.15,7085659,JNJ
2013-11-21,95.46,95.75,95.05,95.2,6897627,JNJ
2013-11-22,94.39,95.58,94.39,95.25,6462244,JNJ
2013-11-23,94.76,95.72,94.62,95.38,6433295,JNJ
2013-11-24,95.12,95.85,94.85,95.5,6404345,JNJ
2013-11-25,95.49,95.99,95.08,95.63,6375396,JNJ
2013-11-26,95.58,95.87,94.97,95.06,7267610,JNJ
2013-11-27,95.34,95.37,94.61,94.98,4603769,JNJ
2013-11-28,95.28,95.44,94.52,94.82,4355282,JNJ
2013-11-29,95.23,95.5,94.43,94.66,4106795,JNJ
2013-11-30,94.96,95.22,94.28,94.53,4680723,JNJ
2013-12-01,94.68,94.94,94.12,94.41,5254652,JNJ
2013-12-02,94.41,94.66,93.96,94.28,5828580,JNJ
2013-12-03,94.2,94.56,93.51,93.97,9065252,JNJ
2013-12-04,93.76,94.25,93.13,93.63,6218496,JNJ
2013-12-05,93.42,93.63,92.66,92.97,8667604,JNJ
2013-12-06,93.6,94.48,93.42,94.44,7280472,JNJ
2013-12-07,93.83,94.48,93.51,94.44,7178495,JNJ
2013-12-08,94.07,94.48,93.61,94.44,7076518,JNJ
2013-12-09,94.3,94.48,93.7,94.44,6974541,JNJ
2013-12-10,94.58,94.79,93.96,94.14,7576606,JNJ
2013-12-11,94.4,94.45,93.03,93.11,9424296,JNJ
2013-12-12,92.84,92.86,91.07,91.16,12285664,JNJ
2013-12-13,91.46,91.86,91.08,91.35,7909466,JNJ
2013-12-14,91.45,92.01,91.11,91.36,7480650,JNJ
2013-12-15,91.43,92.16,91.13,91.36,7051835,JNJ
2013-12-16,91.42,92.32,91.16,91.37,6623019,JNJ
2013-12-17,91.3,91.33,90.5,90.66,8793968,JNJ
2013-12-18,90.95,92.66,89.77,92.64,9692564,JNJ
2013-12-19,92.4,92.4,91.42,91.98,7339601,JNJ
2013-12-20,91.95,92.75,91.95,92.09,11264971,JNJ
