index,open,high,low,close,volume,Name
2013-02-08,22.33,22.34,21.74,21.84,6260670,JNPR
2013-02-09,22.18,22.23,21.72,21.8,5450817,JNPR
2013-02-10,22.02,22.13,21.69,21.75,4640965,JNPR
2013-02-11,21.87,22.02,21.67,21.71,3831112,JNPR
2013-02-12,21.76,21.83,21.52,21.61,3770538,JNPR
2013-02-13,21.59,21.74,21.28,21.67,5598535,JNPR
2013-02-14,21.52,21.76,21.09,21.68,4892595,JNPR
2013-02-15,21.73,21.88,21.45,21.86,5636127,JNPR
2013-02-16,21.7,21.97,21.42,21.96,5592713,JNPR
2013-02-17,21.66,22.06,21.39,22.06,5549299,JNPR
2013-02-18,21.63,22.16,21.36,22.15,5505885,JNPR
2013-02-19,21.6,22.25,21.33,22.25,5462471,JNPR
2013-02-20,22.18,22.29,21.69,21.71,3850634,JNPR
2013-02-21,21.63,21.63,21.12,21.33,4742520,JNPR
2013-02-22,21.54,21.64,21.26,21.45,2551451,JNPR
2013-02-23,21.58,21.65,21.08,21.21,3535657,JNPR
2013-02-24,21.63,21.67,20.9,20.96,4519864,JNPR
2013-02-25,21.67,21.68,20.72,20.72,5504070,JNPR
2013-02-26,20.83,20.96,20.12,20.46,11591217,JNPR
2013-02-27,20.49,20.85,20.34,20.72,4956260,JNPR
2013-02-28,20.67,20.99,20.52,20.68,5062092,JNPR
2013-03-01,20.59,20.68,20.39,20.49,4359951,JNPR
2013-03-02,20.56,20.62,20.28,20.37,4602414,JNPR
2013-03-03,20.53,20.57,20.16,20.25,4844878,JNPR
2013-03-04,20.5,20.51,20.05,20.13,5087341,JNPR
2013-03-05,20.2,20.5,19.89,19.98,9383207,JNPR
2013-03-06,20.12,20.36,20.02,20.12,6014314,JNPR
2013-03-07,20.67,21.2,20.67,21.12,7520607,JNPR
2013-03-08,21.22,21.27,20.61,20.69,5743612,JNPR
2013-03-09,21.02,21.16,20.58,20.76,5009155,JNPR
2013-03-10,20.82,21.05,20.55,20.82,4274699,JNPR
2013-03-11,20.62,20.94,20.52,20.89,3540242,JNPR
2013-03-12,20.79,20.99,20.7,20.77,2790475,JNPR
2013-03-13,20.75,20.79,20.36,20.54,3596944,JNPR
2013-03-14,20.75,21.04,20.43,20.51,3430201,JNPR
2013-03-15,20.39,20.49,20.12,20.17,5613340,JNPR
2013-03-16,19.95,20.43,19.75,20.18,7929237,JNPR
2013-03-17,19.52,20.37,19.38,20.2,10245133,JNPR
2013-03-18,19.08,20.3,19.01,20.21,12561030,JNPR
2013-03-19,19.06,19.57,18.65,19.14,16872845,JNPR
2013-03-20,18.84,19.37,18.83,19.31,6636664,JNPR
2013-03-21,18.64,18.93,18.55,18.89,13177196,JNPR
2013-03-22,18.99,19.14,18.64,18.72,7086962,JNPR
2013-03-23,18.91,19.12,18.66,18.8,7211140,JNPR
2013-03-24,18.83,19.11,18.67,18.88,7335318,JNPR
2013-03-25,18.75,19.1,18.69,18.96,7459496,JNPR
2013-03-26,19.06,19.06,18.51,18.65,8993843,JNPR
2013-03-27,18.57,18.79,18.51,18.67,9203768,JNPR
2013-03-28,18.66,18.78,18.47,18.54,7870536,JNPR
2013-03-29,18.64,18.77,18.46,18.54,7083696,JNPR
2013-03-30,18.62,18.75,18.46,18.54,6296856,JNPR
2013-03-31,18.61,18.74,18.45,18.54,5510016,JNPR
2013-04-01,18.59,18.73,18.45,18.54,4723176,JNPR
2013-04-02,18.61,18.73,18.25,18.27,5177330,JNPR
2013-04-03,18.31,18.62,18.19,18.27,4539259,JNPR
2013-04-04,18.33,18.33,17.93,18.12,5458335,JNPR
2013-04-05,16.99,17.65,16.75,17.55,13042741,JNPR
2013-04-06,17.28,17.73,17.01,17.64,10324232,JNPR
2013-04-07,17.56,17.81,17.26,17.74,7605724,JNPR
2013-04-08,17.85,17.89,17.52,17.83,4887215,JNPR
2013-04-09,17.82,18.16,17.81,18.0,4161713,JNPR
2013-04-10,18.17,19.05,18.13,18.84,11719637,JNPR
2013-04-11,18.7,18.79,18.36,18.56,6622534,JNPR
2013-04-12,18.48,18.74,18.24,18.72,5574679,JNPR
2013-04-13,18.51,18.76,18.19,18.51,5621880,JNPR
2013-04-14,18.55,18.77,18.13,18.31,5669081,JNPR
2013-04-15,18.58,18.79,18.08,18.1,5716282,JNPR
2013-04-16,18.24,18.34,17.91,18.14,5710268,JNPR
2013-04-17,17.98,18.2,17.63,17.7,4896259,JNPR
2013-04-18,17.79,17.84,17.25,17.32,4655322,JNPR
2013-04-19,17.39,17.45,17.06,17.1,6325836,JNPR
