index,open,high,low,close,volume,Name
2013-02-08,37.72,38.17,37.41,37.6,6391066,KMI
2013-02-09,37.67,38.03,37.44,37.62,5236508,KMI
2013-02-10,37.62,37.89,37.47,37.63,4081950,KMI
2013-02-11,37.57,37.75,37.5,37.65,2927392,KMI
2013-02-12,37.59,37.82,37.34,37.74,2674711,KMI
2013-02-13,37.82,37.91,37.68,37.8,1976674,KMI
2013-02-14,37.62,37.77,37.37,37.57,2910025,KMI
2013-02-15,37.56,37.84,37.42,37.52,3856753,KMI
2013-02-16,37.55,37.83,37.4,37.5,3855130,KMI
2013-02-17,37.54,37.82,37.37,37.47,3853507,KMI
2013-02-18,37.53,37.8,37.34,37.44,3851884,KMI
2013-02-19,37.52,37.79,37.32,37.42,3850261,KMI
2013-02-20,37.44,37.55,37.1,37.13,4938171,KMI
2013-02-21,37.1,37.1,36.55,36.73,4216777,KMI
2013-02-22,36.8,37.06,36.67,37.0,2112141,KMI
2013-02-23,36.88,37.11,36.48,36.7,2658508,KMI
2013-02-24,36.96,37.17,36.3,36.41,3204875,KMI
2013-02-25,37.04,37.22,36.11,36.11,3751242,KMI
2013-02-26,36.2,36.47,35.89,36.21,3535406,KMI
2013-02-27,36.09,37.06,36.09,37.06,4729985,KMI
2013-02-28,37.06,37.48,36.77,37.07,7573291,KMI
2013-03-01,36.96,37.31,36.72,37.26,3194206,KMI
2013-03-02,37.04,37.39,36.76,37.35,3201490,KMI
2013-03-03,37.12,37.46,36.8,37.45,3208775,KMI
2013-03-04,37.2,37.54,36.84,37.54,3216059,KMI
2013-03-05,37.78,37.78,37.24,37.46,2700418,KMI
2013-03-06,37.54,37.54,36.9,36.97,2916008,KMI
2013-03-07,37.06,37.28,36.83,37.26,3201552,KMI
2013-03-08,37.38,37.45,37.09,37.37,3081857,KMI
2013-03-09,37.38,37.44,37.1,37.35,2663468,KMI
2013-03-10,37.38,37.43,37.12,37.34,2245080,KMI
2013-03-11,37.38,37.43,37.13,37.32,1826691,KMI
2013-03-12,37.36,37.47,37.13,37.27,3442703,KMI
2013-03-13,37.25,37.35,36.78,36.93,3112706,KMI
2013-03-14,37.0,37.21,36.84,36.95,2928857,KMI
2013-03-15,36.81,36.88,36.39,36.4,6788723,KMI
2013-03-16,36.61,36.75,36.3,36.35,5424048,KMI
2013-03-17,36.41,36.61,36.21,36.29,4059374,KMI
2013-03-18,36.21,36.48,36.11,36.24,2694699,KMI
2013-03-19,36.27,36.6,36.17,36.55,2408275,KMI
2013-03-20,36.65,37.03,36.64,36.97,3550811,KMI
2013-03-21,36.93,37.7,36.86,37.2,4947853,KMI
2013-03-22,37.17,37.86,37.16,37.62,2823688,KMI
2013-03-23,37.35,37.83,37.22,37.61,3169053,KMI
2013-03-24,37.53,37.79,37.29,37.61,3514418,KMI
2013-03-25,37.71,37.76,37.35,37.6,3859783,KMI
2013-03-26,37.72,38.0,37.57,37.99,3271739,KMI
2013-03-27,37.87,38.43,37.77,38.37,3416485,KMI
2013-03-28,38.36,38.8,38.08,38.68,5052554,KMI
2013-03-29,38.44,38.95,38.22,38.79,4872044,KMI
2013-03-30,38.52,39.1,38.37,38.89,4691534,KMI
2013-03-31,38.59,39.24,38.52,39.0,4511025,KMI
2013-04-01,38.67,39.39,38.67,39.11,4330515,KMI
2013-04-02,39.3,39.35,38.74,38.84,3672826,KMI
2013-04-03,38.78,38.84,37.59,37.84,5636439,KMI
2013-04-04,37.84,38.15,37.66,37.86,2887621,KMI
2013-04-05,37.55,37.8,37.24,37.52,4467419,KMI
2013-04-06,37.54,37.91,37.33,37.72,4143060,KMI
2013-04-07,37.53,38.02,37.41,37.92,3818700,KMI
2013-04-08,37.52,38.13,37.5,38.12,3494341,KMI
2013-04-09,38.1,38.8,38.04,38.64,3843929,KMI
2013-04-10,38.75,39.05,38.64,38.94,2679441,KMI
2013-04-11,39.0,39.07,38.71,38.77,2688250,KMI
2013-04-12,38.52,38.9,38.41,38.78,2734196,KMI
2013-04-13,38.53,38.79,38.25,38.5,2938173,KMI
2013-04-14,38.54,38.68,38.1,38.23,3142151,KMI
2013-04-15,38.55,38.57,37.94,37.95,3346128,KMI
2013-04-16,38.14,38.47,38.0,38.37,3331905,KMI
2013-04-17,38.24,38.26,37.6,37.8,4556359,KMI
2013-04-18,37.77,38.24,37.6,37.92,3837869,KMI
2013-04-19,38.12,39.02,38.07,38.87,4671632,KMI
2013-04-20,38.39,39.05,38.31,38.91,4209513,KMI
2013-04-21,38.67,39.07,38.54,38.96,3747394,KMI
2013-04-22,38.94,39.1,38.78,39.0,3285275,KMI
2013-04-23,39.24,39.67,39.05,39.53,3080277,KMI
2013-04-24,39.66,40.09,39.5,39.98,3676465,KMI
2013-04-25,39.6,39.87,39.02,39.11,4393198,KMI
2013-04-26,39.16,39.36,38.6,38.78,2820444,KMI
2013-04-27,39.13,39.27,38.67,38.82,2646614,KMI
2013-04-28,39.1,39.17,38.73,38.86,2472783,KMI
2013-04-29,39.07,39.08,38.8,38.9,2298953,KMI
2013-04-30,39.0,39.11,38.58,39.1,3114193,KMI
2013-05-01,39.07,39.09,38.46,38.53,3204337,KMI
2013-05-02,38.54,38.8,38.42,38.72,2812302,KMI
2013-05-03,38.93,38.94,38.56,38.85,3933225,KMI
2013-05-04,38.94,39.04,38.63,38.92,3581593,KMI
2013-05-05,38.95,39.13,38.7,39.0,3229962,KMI
2013-05-06,38.96,39.23,38.77,39.07,2878330,KMI
2013-05-07,39.07,39.26,38.83,39.26,2628886,KMI
2013-05-08,39.1,39.45,39.01,39.42,2413365,KMI
2013-05-09,39.45,39.6,39.27,39.46,2804247,KMI
2013-05-10,39.41,39.54,39.31,39.45,2177664,KMI
2013-05-11,39.42,39.56,39.27,39.46,2021675,KMI
2013-05-12,39.44,39.58,39.22,39.48,1865687,KMI
2013-05-13,39.45,39.6,39.18,39.49,1709698,KMI
2013-05-14,39.59,39.98,39.49,39.98,3072790,KMI
2013-05-15,39.94,40.42,39.91,40.2,2368968,KMI
2013-05-16,40.24,40.27,39.85,39.92,2609384,KMI
2013-05-17,39.92,40.48,39.92,40.48,3219691,KMI
2013-05-18,40.11,40.69,40.09,40.67,3381697,KMI
2013-05-19,40.29,40.89,40.25,40.86,3543702,KMI
2013-05-20,40.48,41.1,40.42,41.05,3705708,KMI
2013-05-21,41.05,41.49,40.94,41.09,3375789,KMI
2013-05-22,41.05,41.48,40.85,40.99,2370022,KMI
2013-05-23,40.59,40.63,40.15,40.45,3558940,KMI
2013-05-24,40.29,40.76,40.13,40.58,1765514,KMI
2013-05-25,40.47,40.83,40.19,40.54,1869553,KMI
2013-05-26,40.64,40.9,40.25,40.5,1973592,KMI
2013-05-27,40.82,40.97,40.3,40.46,2077631,KMI
2013-05-28,40.99,41.04,40.36,40.42,2181670,KMI
2013-05-29,40.26,40.26,39.36,39.58,3384351,KMI
2013-05-30,39.54,39.75,38.6,39.0,3978429,KMI
2013-05-31,38.96,39.09,37.98,37.98,5891642,KMI
2013-06-01,38.64,38.85,37.92,38.11,4893356,KMI
2013-06-02,38.33,38.61,37.86,38.23,3895069,KMI
2013-06-03,38.01,38.37,37.8,38.36,2896783,KMI
2013-06-04,38.27,38.43,37.75,37.93,2348482,KMI
2013-06-05,37.74,37.96,37.41,37.81,4017237,KMI
2013-06-06,37.88,38.95,37.72,38.94,4740838,KMI
2013-06-07,39.17,39.61,38.66,39.54,2961857,KMI
2013-06-08,39.35,39.65,38.71,39.32,2837760,KMI
2013-06-09,39.52,39.69,38.76,39.1,2713664,KMI
2013-06-10,39.7,39.73,38.81,38.88,2589567,KMI
2013-06-11,38.55,38.56,38.0,38.19,3089769,KMI
2013-06-12,38.49,38.59,37.43,37.63,3821829,KMI
2013-06-13,37.63,38.02,36.95,37.96,5421336,KMI
2013-06-14,38.02,38.6,37.74,38.42,2960807,KMI
2013-06-15,38.24,38.72,37.97,38.48,3200065,KMI
2013-06-16,38.45,38.83,38.2,38.53,3439324,KMI
2013-06-17,38.67,38.94,38.43,38.59,3678582,KMI
2013-06-18,38.51,38.74,38.32,38.57,2761636,KMI
2013-06-19,38.55,38.9,38.05,38.06,3272919,KMI
2013-06-20,37.7,37.73,36.1,36.3,8171936,KMI
2013-06-21,36.83,36.83,35.89,36.28,6989422,KMI
2013-06-22,36.59,36.86,35.77,36.37,6392104,KMI
2013-06-23,36.34,36.9,35.64,36.47,5794785,KMI
2013-06-24,36.1,36.93,35.52,36.56,5197467,KMI
2013-06-25,36.95,37.49,36.88,37.16,6179194,KMI
2013-06-26,37.5,37.73,37.26,37.57,3416557,KMI
2013-06-27,37.71,38.33,37.65,38.27,3736489,KMI
2013-06-28,38.23,38.79,37.92,38.15,10668890,KMI
2013-06-29,38.28,38.83,37.98,38.31,8343444,KMI
2013-06-30,38.34,38.86,38.04,38.47,6017997,KMI
2013-07-01,38.39,38.9,38.1,38.63,3692551,KMI
2013-07-02,38.74,38.74,38.08,38.28,4656358,KMI
2013-07-03,38.11,38.44,37.87,38.42,1331800,KMI
2013-07-04,38.29,38.47,37.89,38.43,1699661,KMI
2013-07-05,38.47,38.51,37.91,38.44,2067522,KMI
2013-07-06,38.49,38.67,38.11,38.62,2136642,KMI
2013-07-07,38.5,38.82,38.32,38.79,2205761,KMI
2013-07-08,38.52,38.98,38.52,38.97,2274881,KMI
2013-07-09,39.09,39.57,38.97,39.52,3179417,KMI
2013-07-10,39.58,39.72,39.09,39.32,2412199,KMI
2013-07-11,39.75,40.0,39.47,39.95,3107671,KMI
2013-07-12,39.87,40.11,39.67,40.07,2023295,KMI
2013-07-13,39.9,40.19,39.74,40.15,2166110,KMI
2013-07-14,39.93,40.28,39.81,40.23,2308926,KMI
2013-07-15,39.96,40.36,39.88,40.31,2451741,KMI
2013-07-16,40.23,40.45,39.59,39.75,1953280,KMI
2013-07-17,39.99,40.29,39.54,39.58,3998221,KMI
2013-07-18,39.96,40.1,39.47,39.52,4029543,KMI
2013-07-19,39.57,39.74,39.32,39.55,2754945,KMI
2013-07-20,39.59,39.73,39.35,39.54,2937520,KMI
2013-07-21,39.61,39.71,39.39,39.52,3120096,KMI
2013-07-22,39.63,39.7,39.42,39.51,3302671,KMI
2013-07-23,39.58,39.68,38.96,39.3,5155543,KMI
2013-07-24,39.34,39.37,38.6,38.76,4200940,KMI
2013-07-25,38.76,38.98,38.55,38.87,5694645,KMI
2013-07-26,38.8,38.86,38.44,38.71,3452427,KMI
2013-07-27,38.6,38.67,38.31,38.54,3268051,KMI
2013-07-28,38.41,38.47,38.18,38.37,3083676,KMI
2013-07-29,38.21,38.28,38.05,38.2,2899300,KMI
2013-07-30,38.4,38.43,37.78,37.92,5085120,KMI
2013-07-31,38.19,38.26,37.71,37.76,6053734,KMI
2013-08-01,38.05,38.17,37.85,37.91,7488406,KMI
2013-08-02,38.0,38.0,37.32,37.65,6511278,KMI
2013-08-03,37.86,37.89,37.33,37.65,5532700,KMI
2013-08-04,37.72,37.79,37.34,37.65,4554123,KMI
2013-08-05,37.58,37.68,37.35,37.65,3575545,KMI
2013-08-06,37.65,38.24,37.54,38.17,4894979,KMI
2013-08-07,37.98,38.09,37.76,37.89,3141446,KMI
2013-08-08,37.94,38.01,37.6,37.75,4890901,KMI
2013-08-09,37.76,37.8,37.5,37.6,3235609,KMI
2013-08-10,37.67,37.72,37.35,37.53,3776771,KMI
2013-08-11,37.59,37.64,37.19,37.47,4317932,KMI
2013-08-12,37.5,37.56,37.04,37.4,4859094,KMI
2013-08-13,37.5,37.56,36.88,37.14,4018976,KMI
2013-08-14,37.1,37.39,37.08,37.32,2984275,KMI
2013-08-15,37.21,37.78,37.04,37.61,3862416,KMI
2013-08-16,37.51,37.71,37.21,37.44,4740974,KMI
2013-08-17,37.44,37.61,37.01,37.17,4608359,KMI
2013-08-18,37.38,37.51,36.82,36.9,4475745,KMI
2013-08-19,37.31,37.4,36.62,36.63,4343130,KMI
2013-08-20,36.56,37.05,36.35,36.94,5019606,KMI
2013-08-21,36.94,37.2,36.76,36.93,2670699,KMI
2013-08-22,37.1,37.24,36.87,37.12,2481132,KMI
2013-08-23,37.19,37.26,36.94,37.23,3088304,KMI
2013-08-24,37.23,37.33,36.92,37.15,3239572,KMI
2013-08-25,37.27,37.39,36.89,37.08,3390840,KMI
2013-08-26,37.31,37.45,36.87,37.0,3542108,KMI
2013-08-27,36.81,37.18,36.76,37.12,2975861,KMI
2013-08-28,37.11,37.32,36.87,37.11,2541318,KMI
2013-08-29,37.06,37.84,36.82,37.84,5132872,KMI
2013-08-30,38.0,38.05,37.68,37.93,5491167,KMI
2013-08-31,38.04,38.11,37.58,37.84,5600227,KMI
2013-09-01,38.09,38.17,37.47,37.75,5709287,KMI
2013-09-02,38.14,38.23,37.36,37.66,5818347,KMI
2013-09-03,38.18,38.3,37.26,37.57,5927407,KMI
2013-09-04,37.22,37.34,35.29,35.3,24869345,KMI
2013-09-05,35.31,35.67,34.82,35.5,18160094,KMI
2013-09-06,35.63,36.24,35.2,35.22,9955372,KMI
2013-09-07,35.57,36.28,35.27,35.59,10220340,KMI
2013-09-08,35.52,36.33,35.34,35.96,10485309,KMI
2013-09-09,35.46,36.37,35.4,36.33,10750277,KMI
2013-09-10,36.33,37.06,36.01,37.05,8375769,KMI
2013-09-11,37.08,37.17,35.72,36.01,8211003,KMI
2013-09-12,35.82,36.32,35.61,35.61,4975376,KMI
2013-09-13,35.61,35.8,34.97,35.08,7484303,KMI
2013-09-14,35.51,35.71,34.88,34.96,7240283,KMI
2013-09-15,35.4,35.62,34.79,34.84,6996263,KMI
2013-09-16,35.3,35.53,34.7,34.72,6752243,KMI
2013-09-17,34.75,34.92,34.54,34.72,7178304,KMI
2013-09-18,35.59,36.3,35.25,36.26,11145768,KMI
2013-09-19,36.39,36.88,36.36,36.78,7275325,KMI
2013-09-20,36.83,36.9,36.02,36.21,10810668,KMI
2013-09-21,36.58,36.67,35.98,36.15,8126690,KMI
2013-09-22,36.34,36.43,35.94,36.1,5442711,KMI
2013-09-23,36.09,36.2,35.89,36.04,2758733,KMI
2013-09-24,35.98,36.34,35.95,36.19,2778845,KMI
2013-09-25,36.28,36.32,35.85,35.97,3836873,KMI
2013-09-26,35.99,36.2,35.85,35.98,2452927,KMI
2013-09-27,35.88,36.1,35.74,35.84,3310426,KMI
2013-09-28,35.8,35.97,35.61,35.75,3704688,KMI
2013-09-29,35.73,35.84,35.47,35.66,4098951,KMI
2013-09-30,35.65,35.72,35.34,35.57,4493213,KMI
2013-10-01,35.63,36.13,35.49,36.1,3881474,KMI
2013-10-02,35.97,36.0,35.34,35.85,3871780,KMI
2013-10-03,35.72,35.76,35.11,35.37,4079306,KMI
2013-10-04,35.4,35.64,35.18,35.4,3650642,KMI
2013-10-05,35.32,35.5,35.04,35.27,4114964,KMI
2013-10-06,35.23,35.35,34.89,35.15,4579285,KMI
2013-10-07,35.15,35.21,34.75,35.02,5043607,KMI
2013-10-08,35.0,35.06,34.58,34.59,3667812,KMI
2013-10-09,34.6,34.86,34.5,34.79,3989601,KMI
2013-10-10,35.06,35.29,34.86,35.28,3483085,KMI
2013-10-11,35.13,35.6,34.98,35.49,3424063,KMI
2013-10-12,35.22,35.55,35.01,35.41,4223424,KMI
2013-10-13,35.31,35.51,35.04,35.34,5022784,KMI
2013-10-14,35.4,35.46,35.06,35.26,5822145,KMI
2013-10-15,35.15,35.43,34.96,35.05,6115026,KMI
2013-10-16,35.36,35.68,35.19,35.62,5404529,KMI
2013-10-17,35.52,35.58,34.67,35.22,8866529,KMI
