index,open,high,low,close,volume,Name
2013-02-08,14.03,14.14,13.99,14.1,6722508,KR
2013-02-09,14.09,14.22,14.06,14.13,7463959,KR
2013-02-10,14.15,14.31,14.12,14.16,8205411,KR
2013-02-11,14.22,14.4,14.18,14.2,8946862,KR
2013-02-12,14.2,14.32,14.08,14.27,7079172,KR
2013-02-13,14.25,14.3,14.18,14.23,5036106,KR
2013-02-14,14.16,14.2,14.09,14.12,8497132,KR
2013-02-15,14.08,14.1,13.9,13.94,12235870,KR
2013-02-16,14.07,14.11,13.92,13.98,11094756,KR
2013-02-17,14.05,14.12,13.95,14.02,9953643,KR
2013-02-18,14.02,14.12,13.98,14.07,8812530,KR
2013-02-19,14.0,14.12,14.0,14.1,7671416,KR
2013-02-20,14.08,14.09,13.82,13.84,8548452,KR
2013-02-21,13.9,14.5,13.9,14.38,18029152,KR
2013-02-22,14.39,14.44,14.3,14.4,9723084,KR
2013-02-23,14.41,14.45,14.26,14.32,8734080,KR
2013-02-24,14.43,14.46,14.22,14.25,7745076,KR
2013-02-25,14.44,14.46,14.18,14.18,6756072,KR
2013-02-26,14.22,14.38,14.18,14.36,9539142,KR
2013-02-27,14.34,14.58,14.29,14.55,8383602,KR
2013-02-28,14.55,14.76,14.54,14.6,13482422,KR
2013-03-01,14.59,14.76,14.52,14.76,8591600,KR
2013-03-02,14.63,14.78,14.55,14.76,8827679,KR
2013-03-03,14.68,14.78,14.59,14.74,9063759,KR
2013-03-04,14.72,14.8,14.63,14.74,9299838,KR
2013-03-05,14.76,14.84,14.7,14.8,6111998,KR
2013-03-06,14.8,14.88,14.66,14.68,8667816,KR
2013-03-07,15.02,15.31,14.92,15.12,15358196,KR
2013-03-08,15.12,15.6,15.1,15.58,14930938,KR
2013-03-09,15.24,15.57,15.19,15.55,13167853,KR
2013-03-10,15.34,15.54,15.27,15.51,11404769,KR
2013-03-11,15.46,15.5,15.36,15.48,9641684,KR
2013-03-12,15.44,15.52,15.38,15.4,8328606,KR
2013-03-13,15.44,15.7,15.44,15.66,7152678,KR
2013-03-14,15.66,15.78,15.65,15.75,7481884,KR
2013-03-15,15.7,15.9,15.68,15.81,10707238,KR
2013-03-16,15.69,15.9,15.66,15.82,9503783,KR
2013-03-17,15.68,15.9,15.64,15.82,8300329,KR
2013-03-18,15.66,15.9,15.62,15.83,7096874,KR
2013-03-19,15.89,15.94,15.79,15.87,5925536,KR
2013-03-20,15.96,16.05,15.91,15.94,6106684,KR
2013-03-21,15.87,16.02,15.86,16.0,7661572,KR
2013-03-22,16.0,16.28,15.98,16.2,7350950,KR
2013-03-23,16.07,16.3,16.05,16.24,7383061,KR
2013-03-24,16.14,16.33,16.12,16.28,7415173,KR
2013-03-25,16.21,16.35,16.2,16.32,7447284,KR
2013-03-26,16.42,16.57,16.37,16.4,9021232,KR
2013-03-27,16.35,16.62,16.32,16.55,8094290,KR
2013-03-28,16.57,16.64,16.53,16.57,8169228,KR
2013-03-29,16.56,16.62,16.45,16.5,8667721,KR
2013-03-30,16.55,16.6,16.37,16.42,9166214,KR
