index,open,high,low,close,volume,Name
2013-02-08,95.54,95.89,93.9,95.09,640499,KSU
2013-02-09,95.41,95.79,94.04,95.18,653247,KSU
2013-02-10,95.29,95.68,94.19,95.27,665996,KSU
2013-02-11,95.16,95.58,94.33,95.36,678744,KSU
2013-02-12,95.5,96.25,95.16,95.87,575235,KSU
2013-02-13,95.88,97.63,95.88,97.36,1083953,KSU
2013-02-14,96.84,97.76,96.43,97.61,664738,KSU
2013-02-15,97.34,98.34,97.04,97.77,556377,KSU
2013-02-16,97.52,98.52,97.26,98.1,579801,KSU
2013-02-17,97.7,98.71,97.47,98.42,603225,KSU
2013-02-18,97.89,98.9,97.68,98.75,626649,KSU
2013-02-19,98.07,99.08,97.9,99.08,650073,KSU
2013-02-20,99.13,99.29,97.43,97.54,967632,KSU
2013-02-21,97.15,98.13,96.35,97.77,984696,KSU
2013-02-22,98.06,98.78,97.09,98.78,577812,KSU
2013-02-23,98.49,98.97,96.9,98.03,605731,KSU
2013-02-24,98.91,99.15,96.72,97.29,633649,KSU
2013-02-25,99.34,99.34,96.53,96.54,661568,KSU
2013-02-26,97.03,98.37,96.23,97.84,843924,KSU
2013-02-27,99.0,107.32,98.55,103.94,3280394,KSU
2013-02-28,104.25,104.31,102.67,102.97,1449343,KSU
2013-03-01,102.0,102.5,99.76,102.02,1667809,KSU
2013-03-02,101.99,103.31,100.43,102.64,1439146,KSU
2013-03-03,101.97,104.11,101.1,103.27,1210482,KSU
2013-03-04,101.96,104.92,101.77,103.89,981819,KSU
2013-03-05,104.54,106.35,103.6,105.64,992499,KSU
2013-03-06,105.67,106.83,104.06,104.34,616338,KSU
2013-03-07,105.02,105.02,102.63,103.61,789513,KSU
2013-03-08,104.61,105.45,103.23,105.32,692018,KSU
2013-03-09,104.87,105.91,103.82,105.56,620083,KSU
2013-03-10,105.13,106.36,104.4,105.8,548149,KSU
2013-03-11,105.39,106.82,104.99,106.04,476214,KSU
2013-03-12,106.14,107.13,104.94,106.09,751333,KSU
2013-03-13,106.12,107.34,105.66,107.02,749945,KSU
2013-03-14,107.24,108.72,106.69,108.58,811024,KSU
2013-03-15,108.39,108.93,107.36,107.98,859923,KSU
2013-03-16,107.81,109.1,106.97,107.98,824853,KSU
2013-03-17,107.24,109.27,106.59,107.99,789782,KSU
2013-03-18,106.66,109.44,106.2,107.99,754712,KSU
2013-03-19,108.1,108.85,106.44,107.91,393069,KSU
2013-03-20,108.57,109.2,107.67,108.98,541528,KSU
2013-03-21,108.56,108.72,106.52,106.59,802376,KSU
2013-03-22,107.11,108.26,106.51,107.56,584812,KSU
2013-03-23,107.25,108.36,106.41,107.28,637672,KSU
2013-03-24,107.4,108.46,106.31,106.99,690532,KSU
2013-03-25,107.54,108.56,106.2,106.71,743392,KSU
2013-03-26,107.44,109.54,107.33,109.51,1009237,KSU
2013-03-27,108.78,108.79,106.42,107.74,1615841,KSU
2013-03-28,107.63,112.25,107.34,110.9,1429656,KSU
2013-03-29,108.44,111.98,107.61,110.32,1247410,KSU
2013-03-30,109.25,111.7,107.88,109.74,1065164,KSU
2013-03-31,110.06,111.43,108.14,109.15,882919,KSU
2013-04-01,110.87,111.16,108.41,108.57,700673,KSU
2013-04-02,109.02,110.38,105.51,105.83,1339580,KSU
2013-04-03,105.7,106.68,102.75,104.46,1538004,KSU
2013-04-04,104.4,105.13,103.01,104.0,1056544,KSU
2013-04-05,101.59,104.85,100.35,104.73,1016793,KSU
2013-04-06,102.58,105.44,101.73,105.3,879312,KSU
2013-04-07,103.58,106.03,103.11,105.86,741831,KSU
2013-04-08,104.57,106.62,104.49,106.43,604350,KSU
