index,open,high,low,close,volume,Name
2013-02-08,39.46,39.56,38.69,39.18,3701511,LEN
2013-02-09,39.33,39.5,38.6,38.95,3985214,LEN
2013-02-10,39.21,39.45,38.52,38.73,4268916,LEN
2013-02-11,39.08,39.39,38.44,38.5,4552619,LEN
2013-02-12,38.52,40.74,38.52,40.07,6023549,LEN
2013-02-13,40.09,40.47,39.67,40.03,2639754,LEN
2013-02-14,40.0,40.25,39.76,39.84,2233780,LEN
2013-02-15,39.82,40.32,39.27,39.41,2688147,LEN
2013-02-16,39.73,40.19,39.02,39.34,2984874,LEN
2013-02-17,39.64,40.06,38.76,39.27,3281600,LEN
2013-02-18,39.55,39.93,38.51,39.2,3578327,LEN
2013-02-19,39.46,39.79,38.25,39.13,3875054,LEN
2013-02-20,38.73,38.82,36.3,36.45,7712691,LEN
2013-02-21,36.46,37.14,35.89,36.95,6954408,LEN
2013-02-22,37.13,37.47,36.7,37.14,3403717,LEN
2013-02-23,37.22,37.52,36.43,36.74,3538221,LEN
2013-02-24,37.32,37.57,36.17,36.34,3672724,LEN
2013-02-25,37.41,37.62,35.91,35.94,3807228,LEN
2013-02-26,36.19,37.36,36.04,37.26,5746868,LEN
2013-02-27,37.37,38.38,37.08,38.18,4428312,LEN
2013-02-28,38.26,38.96,37.75,37.83,4123071,LEN
2013-03-01,37.69,38.27,37.04,38.08,3980053,LEN
2013-03-02,37.79,38.55,37.36,38.41,4025984,LEN
2013-03-03,37.9,38.82,37.67,38.75,4071916,LEN
2013-03-04,38.0,39.09,37.99,39.08,4117847,LEN
2013-03-05,39.25,40.17,39.19,39.89,4225088,LEN
2013-03-06,40.17,40.9,40.06,40.44,4216965,LEN
2013-03-07,40.27,40.69,39.8,40.61,2987714,LEN
2013-03-08,40.96,41.02,40.13,40.9,3862552,LEN
2013-03-09,40.88,41.1,40.27,40.93,3578001,LEN
2013-03-10,40.79,41.18,40.42,40.96,3293450,LEN
2013-03-11,40.71,41.26,40.56,40.99,3008899,LEN
2013-03-12,40.84,40.98,40.14,40.19,3459059,LEN
2013-03-13,40.12,40.56,39.58,40.37,3963345,LEN
2013-03-14,40.44,41.23,40.43,41.12,3196566,LEN
2013-03-15,41.23,41.47,40.59,40.95,3990542,LEN
2013-03-16,40.96,41.31,40.47,40.89,3717037,LEN
2013-03-17,40.7,41.14,40.35,40.83,3443532,LEN
2013-03-18,40.44,40.98,40.23,40.76,3170027,LEN
2013-03-19,41.39,41.47,40.2,40.61,4529472,LEN
