index,open,high,low,close,volume,Name
2013-02-08,23.24,23.74,23.24,23.73,823004,LKQ
2013-02-09,23.41,23.82,23.22,23.59,800342,LKQ
2013-02-10,23.58,23.91,23.2,23.45,777679,LKQ
2013-02-11,23.75,23.99,23.18,23.31,755017,LKQ
2013-02-12,23.35,23.52,23.1,23.2,1190278,LKQ
2013-02-13,23.33,23.33,23.07,23.26,1746528,LKQ
2013-02-14,23.25,23.4,23.04,23.08,1516046,LKQ
2013-02-15,23.17,23.42,23.15,23.25,1106884,LKQ
2013-02-16,23.19,23.38,22.95,23.04,1409296,LKQ
2013-02-17,23.21,23.34,22.74,22.83,1711708,LKQ
2013-02-18,23.23,23.29,22.54,22.62,2014119,LKQ
2013-02-19,23.25,23.25,22.34,22.41,2316531,LKQ
2013-02-20,22.46,22.85,22.44,22.6,2265776,LKQ
2013-02-21,22.63,22.78,21.88,21.99,1827841,LKQ
2013-02-22,22.13,23.05,22.13,22.48,1654326,LKQ
2013-02-23,22.27,22.92,22.21,22.44,1760552,LKQ
2013-02-24,22.41,22.79,22.28,22.41,1866778,LKQ
2013-02-25,22.55,22.66,22.36,22.37,1973004,LKQ
2013-02-26,22.45,22.58,22.27,22.37,1290082,LKQ
2013-02-27,22.32,23.04,22.14,22.93,1639281,LKQ
2013-02-28,22.0,22.24,20.72,21.19,7505361,LKQ
2013-03-01,21.24,21.24,20.42,20.43,4979520,LKQ
2013-03-02,20.97,21.11,20.36,20.51,4547103,LKQ
2013-03-03,20.7,20.99,20.31,20.58,4114686,LKQ
2013-03-04,20.43,20.86,20.25,20.66,3682269,LKQ
2013-03-05,20.81,20.88,20.44,20.48,3641252,LKQ
2013-03-06,20.5,20.55,20.09,20.17,4816122,LKQ
2013-03-07,20.23,20.45,20.16,20.21,2923862,LKQ
2013-03-08,20.6,21.44,20.23,21.42,4304080,LKQ
2013-03-09,20.87,21.49,20.53,21.48,3821246,LKQ
2013-03-10,21.14,21.55,20.84,21.53,3338412,LKQ
2013-03-11,21.41,21.6,21.14,21.59,2855578,LKQ
2013-03-12,21.52,21.62,21.32,21.4,2507256,LKQ
2013-03-13,21.45,21.86,21.25,21.8,1760430,LKQ
2013-03-14,21.81,21.9,21.51,21.64,1621678,LKQ
2013-03-15,21.61,21.72,21.04,21.09,6024821,LKQ
2013-03-16,21.3,21.57,20.81,21.03,4715470,LKQ
2013-03-17,21.0,21.41,20.58,20.96,3406120,LKQ
2013-03-18,20.69,21.26,20.35,20.9,2096769,LKQ
2013-03-19,21.0,21.12,20.65,20.96,2408843,LKQ
2013-03-20,20.99,21.18,20.86,21.15,1715855,LKQ
2013-03-21,20.94,21.1,20.79,21.0,1138381,LKQ
2013-03-22,21.01,21.17,20.65,20.76,1632395,LKQ
2013-03-23,20.97,21.18,20.7,20.82,1628253,LKQ
2013-03-24,20.92,21.19,20.75,20.87,1624110,LKQ
2013-03-25,20.88,21.2,20.8,20.93,1619968,LKQ
2013-03-26,20.99,21.58,20.99,21.36,2398691,LKQ
2013-03-27,21.26,21.68,21.07,21.49,1382322,LKQ
2013-03-28,21.48,21.8,21.4,21.76,1436493,LKQ
2013-03-29,21.56,21.8,21.39,21.68,1422980,LKQ
2013-03-30,21.64,21.8,21.38,21.59,1409466,LKQ
2013-03-31,21.73,21.81,21.36,21.51,1395953,LKQ
2013-04-01,21.81,21.82,21.35,21.42,1382440,LKQ
2013-04-02,21.51,21.62,21.29,21.38,702850,LKQ
2013-04-03,21.44,21.5,21.06,21.11,1724457,LKQ
2013-04-04,21.07,21.47,21.06,21.26,1179507,LKQ
2013-04-05,21.02,21.42,20.95,21.32,944041,LKQ
2013-04-06,21.09,21.46,20.99,21.39,928283,LKQ
2013-04-07,21.16,21.5,21.03,21.46,912525,LKQ
2013-04-08,21.23,21.54,21.06,21.53,896767,LKQ
2013-04-09,21.52,21.61,21.22,21.44,785512,LKQ
2013-04-10,21.41,21.51,21.16,21.25,3475874,LKQ
2013-04-11,21.34,21.81,21.25,21.72,1885418,LKQ
2013-04-12,21.59,22.26,21.59,22.04,2142455,LKQ
2013-04-13,21.72,22.26,21.39,21.73,2074971,LKQ
2013-04-14,21.84,22.25,21.2,21.41,2007487,LKQ
2013-04-15,21.97,22.25,21.0,21.1,1940003,LKQ
2013-04-16,21.21,21.44,21.07,21.43,826838,LKQ
2013-04-17,21.22,21.28,20.7,20.91,1096352,LKQ
2013-04-18,20.93,21.14,20.44,20.54,1113251,LKQ
2013-04-19,20.53,20.94,20.28,20.71,1302495,LKQ
2013-04-20,20.63,21.0,20.28,20.82,1478313,LKQ
2013-04-21,20.72,21.05,20.28,20.92,1654130,LKQ
2013-04-22,20.82,21.11,20.28,21.03,1829948,LKQ
2013-04-23,20.97,21.42,20.97,21.16,1171949,LKQ
2013-04-24,21.22,21.56,21.16,21.48,1982066,LKQ
2013-04-25,21.72,23.53,21.54,22.82,5142584,LKQ
2013-04-26,22.94,23.07,22.48,23.0,1723455,LKQ
