index,open,high,low,close,volume,Name
2013-02-08,53.64,54.0,53.56,53.72,17142758,LLY
2013-02-09,53.61,54.02,53.53,53.78,17530934,LLY
2013-02-10,53.59,54.04,53.51,53.84,17919111,LLY
2013-02-11,53.56,54.06,53.48,53.9,18307287,LLY
2013-02-12,53.74,53.91,53.68,53.8,19666635,LLY
2013-02-13,53.4,53.45,53.26,53.44,4384918,LLY
2013-02-14,53.22,53.58,53.18,53.5,4278087,LLY
2013-02-15,53.5,54.0,53.5,53.59,5484683,LLY
2013-02-16,53.53,54.04,53.52,53.74,5108952,LLY
2013-02-17,53.56,54.09,53.55,53.89,4733221,LLY
2013-02-18,53.59,54.14,53.58,54.03,4357490,LLY
2013-02-19,53.62,54.18,53.6,54.18,3981759,LLY
2013-02-20,54.16,54.68,54.1,54.29,4447345,LLY
2013-02-21,54.11,54.25,53.93,54.02,5514475,LLY
2013-02-22,54.07,54.27,53.53,54.27,5519169,LLY
2013-02-23,54.21,54.49,53.61,54.1,5799750,LLY
2013-02-24,54.36,54.71,53.69,53.94,6080332,LLY
2013-02-25,54.5,54.93,53.77,53.77,6360913,LLY
2013-02-26,54.08,54.52,53.72,54.43,4773606,LLY
2013-02-27,54.5,54.99,54.26,54.8,3974875,LLY
2013-02-28,54.68,54.98,54.58,54.66,5885735,LLY
2013-03-01,54.31,54.85,54.31,54.78,4597086,LLY
2013-03-02,54.43,54.87,54.38,54.77,4539629,LLY
2013-03-03,54.54,54.89,54.46,54.77,4482173,LLY
2013-03-04,54.66,54.91,54.53,54.76,4424716,LLY
2013-03-05,54.97,55.74,54.91,55.54,4866771,LLY
2013-03-06,55.58,55.67,54.92,55.08,6788180,LLY
2013-03-07,55.09,55.56,55.08,55.35,3602203,LLY
2013-03-08,55.5,55.59,54.97,55.16,4826876,LLY
2013-03-09,55.35,55.47,54.91,55.13,4806625,LLY
2013-03-10,55.21,55.36,54.85,55.1,4786373,LLY
2013-03-11,55.06,55.24,54.79,55.07,4766122,LLY
2013-03-12,55.06,55.43,54.95,55.08,3872663,LLY
2013-03-13,55.15,55.27,55.0,55.06,3624596,LLY
2013-03-14,55.46,55.65,54.81,55.07,5361792,LLY
2013-03-15,54.68,55.13,54.39,55.13,10663577,LLY
2013-03-16,54.66,55.07,54.44,54.97,8417879,LLY
2013-03-17,54.65,55.01,54.49,54.82,6172180,LLY
2013-03-18,54.63,54.95,54.54,54.66,3926482,LLY
2013-03-19,54.83,54.96,54.5,54.79,3338211,LLY
2013-03-20,55.05,55.45,55.02,55.3,3805460,LLY
2013-03-21,55.04,55.29,54.88,55.08,2702413,LLY
2013-03-22,55.25,55.68,55.13,55.57,2811084,LLY
2013-03-23,55.4,55.71,55.17,55.59,3432418,LLY
2013-03-24,55.55,55.75,55.22,55.6,4053753,LLY
2013-03-25,55.7,55.79,55.26,55.62,4675087,LLY
2013-03-26,55.9,56.68,55.78,56.29,5107993,LLY
2013-03-27,56.03,56.46,55.95,56.37,3417543,LLY
2013-03-28,56.51,56.94,56.32,56.79,4223262,LLY
2013-03-29,56.55,56.9,56.3,56.74,4084594,LLY
2013-03-30,56.59,56.87,56.27,56.7,3945926,LLY
2013-03-31,56.63,56.83,56.24,56.66,3807258,LLY
2013-04-01,56.67,56.8,56.22,56.61,3668590,LLY
2013-04-02,56.63,57.14,56.29,56.5,4040375,LLY
2013-04-03,56.67,57.23,56.58,56.85,5563601,LLY
2013-04-04,56.85,57.28,56.56,56.93,3017229,LLY
2013-04-05,56.45,56.61,56.22,56.48,3001799,LLY
2013-04-06,56.45,56.68,56.1,56.59,3231802,LLY
2013-04-07,56.45,56.75,55.99,56.71,3461806,LLY
2013-04-08,56.45,56.82,55.88,56.82,3691809,LLY
2013-04-09,56.96,57.23,56.58,56.74,4145132,LLY
2013-04-10,57.22,57.68,57.21,57.59,3238954,LLY
2013-04-11,57.65,58.26,57.58,58.0,4048003,LLY
2013-04-12,57.77,58.34,57.36,57.51,4710461,LLY
2013-04-13,57.52,58.14,57.07,57.17,5005860,LLY
2013-04-14,57.27,57.95,56.77,56.83,5301258,LLY
2013-04-15,57.02,57.75,56.48,56.49,5596657,LLY
2013-04-16,56.8,57.33,56.54,57.18,4131379,LLY
2013-04-17,56.98,57.63,56.74,57.47,4147392,LLY
2013-04-18,57.48,57.51,56.17,56.29,4098568,LLY
2013-04-19,56.56,57.44,56.37,57.42,4898965,LLY
2013-04-20,56.86,57.5,56.58,57.47,4177001,LLY
2013-04-21,57.16,57.57,56.78,57.53,3455038,LLY
2013-04-22,57.46,57.63,56.99,57.58,2733074,LLY
2013-04-23,57.94,58.4,57.52,58.33,4015988,LLY
2013-04-24,57.91,58.33,56.02,56.05,6678466,LLY
2013-04-25,56.38,56.5,55.02,56.43,7431363,LLY
2013-04-26,56.45,56.75,56.28,56.46,3457577,LLY
