index,open,high,low,close,volume,Name
2013-02-08,87.43,88.23,87.43,88.01,1936845,LMT
2013-02-09,87.62,88.16,87.36,87.85,1885094,LMT
2013-02-10,87.8,88.08,87.28,87.69,1833344,LMT
2013-02-11,87.99,88.01,87.21,87.53,1781593,LMT
2013-02-12,87.78,87.99,87.01,87.26,1746861,LMT
2013-02-13,87.31,87.49,86.49,87.06,1899889,LMT
2013-02-14,86.48,87.36,85.88,87.08,2400135,LMT
2013-02-15,87.08,87.87,87.05,87.87,2564643,LMT
2013-02-16,87.3,87.96,87.14,87.96,2534076,LMT
2013-02-17,87.52,88.05,87.23,88.05,2503508,LMT
2013-02-18,87.73,88.14,87.32,88.14,2472941,LMT
2013-02-19,87.95,88.23,87.41,88.23,2442374,LMT
2013-02-20,87.93,88.48,87.72,87.73,2883870,LMT
2013-02-21,87.65,87.8,87.1,87.56,1956738,LMT
2013-02-22,87.9,88.67,87.65,88.12,6849103,LMT
2013-02-23,88.08,88.81,87.67,88.04,8184138,LMT
2013-02-24,88.25,88.94,87.69,87.96,9519173,LMT
2013-02-25,88.43,89.08,87.71,87.88,10854208,LMT
2013-02-26,88.08,88.34,87.04,87.3,12053321,LMT
2013-02-27,85.91,88.58,85.91,88.33,2666548,LMT
2013-02-28,88.59,88.79,87.94,88.0,2283177,LMT
2013-03-01,87.75,88.37,87.09,88.17,1866450,LMT
2013-03-02,87.78,88.21,86.9,87.81,1833200,LMT
2013-03-03,87.81,88.05,86.7,87.46,1799950,LMT
2013-03-04,87.84,87.89,86.51,87.1,1766700,LMT
2013-03-05,87.1,88.09,86.9,87.81,1492465,LMT
2013-03-06,88.1,88.42,87.71,88.36,1684691,LMT
2013-03-07,88.54,89.28,88.42,88.79,1416156,LMT
2013-03-08,89.16,90.2,88.98,89.99,1771291,LMT
2013-03-09,89.37,90.33,89.22,90.17,1882166,LMT
2013-03-10,89.58,90.45,89.46,90.36,1993040,LMT
2013-03-11,89.79,90.58,89.7,90.54,2103915,LMT
2013-03-12,90.23,90.44,89.95,90.37,2116188,LMT
2013-03-13,90.64,92.49,90.3,92.3,2079091,LMT
2013-03-14,92.29,92.54,92.01,92.54,1879495,LMT
2013-03-15,92.09,92.8,92.02,92.74,2517437,LMT
2013-03-16,92.0,92.91,91.91,92.61,2175351,LMT
2013-03-17,91.9,93.03,91.81,92.49,1833266,LMT
2013-03-18,91.81,93.14,91.7,92.36,1491180,LMT
2013-03-19,92.73,93.57,92.46,92.87,1465480,LMT
2013-03-20,93.23,93.5,92.23,92.24,1849748,LMT
2013-03-21,92.0,92.45,91.65,91.68,1571485,LMT
2013-03-22,92.17,92.84,91.8,92.26,1560396,LMT
2013-03-23,92.32,92.89,91.84,92.28,1481702,LMT
2013-03-24,92.46,92.95,91.87,92.29,1403008,LMT
2013-03-25,92.61,93.0,91.91,92.31,1324314,LMT
2013-03-26,92.75,93.75,92.63,93.7,1974082,LMT
