index,open,high,low,close,volume,Name
2013-02-08,29.31,29.43,29.1,29.43,2288601,LNC
2013-02-09,29.34,29.53,29.14,29.46,2490838,LNC
2013-02-10,29.36,29.62,29.18,29.5,2693074,LNC
2013-02-11,29.39,29.72,29.21,29.53,2895311,LNC
2013-02-12,29.45,29.93,29.37,29.89,3166038,LNC
2013-02-13,29.88,30.28,29.88,30.16,3307787,LNC
2013-02-14,29.92,30.53,29.59,30.45,2868353,LNC
2013-02-15,30.34,30.58,30.18,30.33,4023710,LNC
2013-02-16,30.38,30.63,30.24,30.44,3845702,LNC
2013-02-17,30.42,30.68,30.31,30.54,3667694,LNC
2013-02-18,30.45,30.74,30.38,30.64,3489686,LNC
2013-02-19,30.49,30.79,30.44,30.75,3311678,LNC
2013-02-20,30.76,30.82,29.54,29.62,3916319,LNC
2013-02-21,29.48,29.53,29.0,29.22,2313855,LNC
2013-02-22,29.51,29.76,29.47,29.73,2510397,LNC
2013-02-23,29.65,29.83,29.09,29.26,3095237,LNC
2013-02-24,29.78,29.9,28.71,28.8,3680078,LNC
2013-02-25,29.92,29.97,28.33,28.33,4264918,LNC
2013-02-26,28.52,28.63,27.82,28.49,4008068,LNC
2013-02-27,28.86,29.37,28.77,29.29,4529147,LNC
2013-02-28,29.31,29.95,29.22,29.54,3513025,LNC
2013-03-01,29.26,29.81,28.91,29.8,3823568,LNC
2013-03-02,29.37,29.95,29.11,29.94,3579472,LNC
2013-03-03,29.49,30.08,29.3,30.07,3335377,LNC
2013-03-04,29.6,30.22,29.5,30.21,3091281,LNC
2013-03-05,30.41,31.22,30.32,30.88,3221218,LNC
2013-03-06,31.07,31.56,31.04,31.3,3093263,LNC
2013-03-07,31.4,31.76,31.23,31.63,2950677,LNC
2013-03-08,31.95,33.1,31.95,33.0,7906541,LNC
2013-03-09,32.27,33.18,32.17,33.05,6763660,LNC
2013-03-10,32.58,33.25,32.4,33.09,5620780,LNC
2013-03-11,32.9,33.33,32.62,33.14,4477899,LNC
2013-03-12,33.06,33.18,32.77,33.0,2933633,LNC
2013-03-13,33.09,33.3,32.78,33.24,2818191,LNC
2013-03-14,33.47,33.66,33.29,33.47,2640584,LNC
2013-03-15,33.32,33.54,33.06,33.44,4428622,LNC
2013-03-16,33.1,33.43,32.85,33.24,3929428,LNC
2013-03-17,32.88,33.31,32.64,33.03,3430234,LNC
2013-03-18,32.66,33.19,32.42,32.83,2931040,LNC
2013-03-19,33.06,33.18,32.01,32.35,4313918,LNC
2013-03-20,32.71,33.02,32.6,32.85,3008937,LNC
2013-03-21,32.56,32.72,32.24,32.37,2287766,LNC
2013-03-22,32.61,32.73,32.31,32.67,1207297,LNC
2013-03-23,32.71,32.83,32.23,32.54,1972868,LNC
2013-03-24,32.82,32.92,32.16,32.4,2738439,LNC
