index,open,high,low,close,volume,Name
2013-02-08,23.14,23.21,23.05,23.19,495972,LNT
2013-02-09,23.16,23.24,23.08,23.21,507363,LNT
2013-02-10,23.18,23.27,23.1,23.23,518753,LNT
2013-02-11,23.2,23.3,23.12,23.26,530144,LNT
2013-02-12,23.22,23.42,23.22,23.32,643436,LNT
2013-02-13,23.34,23.42,23.22,23.3,874582,LNT
2013-02-14,23.26,23.56,23.13,23.5,1191670,LNT
2013-02-15,23.58,23.59,23.36,23.47,1364088,LNT
2013-02-16,23.55,23.7,23.39,23.6,1412577,LNT
2013-02-17,23.52,23.8,23.41,23.74,1461066,LNT
2013-02-18,23.49,23.9,23.44,23.88,1509555,LNT
2013-02-19,23.46,24.01,23.46,24.01,1558044,LNT
2013-02-20,23.96,24.08,23.78,23.78,947462,LNT
2013-02-21,23.77,23.84,23.67,23.79,1102238,LNT
2013-02-22,23.85,23.99,23.83,23.99,808748,LNT
2013-02-23,23.91,24.04,23.77,23.88,877770,LNT
2013-02-24,23.97,24.09,23.72,23.77,946792,LNT
2013-02-25,24.03,24.14,23.66,23.66,1015814,LNT
2013-02-26,23.68,23.87,23.52,23.71,1043798,LNT
2013-02-27,23.71,23.94,23.66,23.91,692762,LNT
2013-02-28,23.88,24.0,23.74,23.84,1141338,LNT
2013-03-01,23.78,23.88,23.54,23.86,1647608,LNT
2013-03-02,23.78,23.93,23.62,23.9,1330671,LNT
2013-03-03,23.78,23.98,23.69,23.94,1013733,LNT
2013-03-04,23.78,24.02,23.76,23.98,696796,LNT
2013-03-05,24.04,24.23,23.94,24.16,962702,LNT
2013-03-06,24.2,24.26,24.04,24.13,817530,LNT
2013-03-07,24.18,24.2,23.85,23.86,1078510,LNT
2013-03-08,23.99,24.16,23.76,24.12,1316844,LNT
2013-03-09,24.02,24.19,23.86,24.16,1101800,LNT
2013-03-10,24.04,24.21,23.96,24.19,886756,LNT
2013-03-11,24.06,24.24,24.06,24.23,671712,LNT
2013-03-12,24.18,24.22,24.0,24.16,662230,LNT
2013-03-13,24.14,24.33,24.09,24.28,703216,LNT
2013-03-14,24.31,24.42,24.25,24.38,721224,LNT
2013-03-15,24.32,24.43,24.25,24.38,960398,LNT
2013-03-16,24.29,24.42,24.23,24.37,849910,LNT
2013-03-17,24.26,24.4,24.21,24.35,739422,LNT
2013-03-18,24.22,24.39,24.2,24.33,628934,LNT
2013-03-19,24.32,24.44,24.26,24.33,1012588,LNT
2013-03-20,24.43,24.62,24.38,24.54,749446,LNT
2013-03-21,24.44,24.54,24.38,24.44,554348,LNT
2013-03-22,24.46,24.62,24.34,24.58,787438,LNT
