index,open,high,low,close,volume,Name
2013-02-08,26.82,26.94,26.64,26.73,1357550,LUK
2013-02-09,26.78,26.91,26.59,26.68,1238150,LUK
2013-02-10,26.74,26.88,26.53,26.63,1118751,LUK
2013-02-11,26.7,26.85,26.48,26.58,999351,LUK
2013-02-12,26.69,27.01,26.59,26.87,944684,LUK
2013-02-13,26.9,27.18,26.83,27.05,1671480,LUK
2013-02-14,26.98,27.62,26.93,27.57,1182282,LUK
2013-02-15,27.49,27.59,27.02,27.06,1587347,LUK
2013-02-16,27.4,27.52,27.02,27.09,1850278,LUK
2013-02-17,27.32,27.45,27.02,27.12,2113209,LUK
2013-02-18,27.24,27.38,27.02,27.15,2376140,LUK
2013-02-19,27.15,27.31,27.02,27.18,2639071,LUK
2013-02-20,27.17,27.49,27.08,27.36,1918167,LUK
2013-02-21,27.24,27.61,27.14,27.31,2732332,LUK
2013-02-22,27.45,28.16,27.34,28.16,2525553,LUK
2013-02-23,27.71,28.22,27.12,27.69,2584509,LUK
2013-02-24,27.98,28.28,26.89,27.23,2643464,LUK
2013-02-25,28.24,28.34,26.67,26.76,2702420,LUK
2013-02-26,26.35,26.93,26.23,26.52,2404935,LUK
2013-02-27,26.55,26.83,26.28,26.73,2047918,LUK
2013-02-28,26.79,27.23,26.77,26.9,18698588,LUK
2013-03-01,26.89,27.14,26.27,26.4,4076554,LUK
2013-03-02,26.74,26.93,26.0,26.22,5037699,LUK
2013-03-03,26.6,26.72,25.73,26.05,5998845,LUK
2013-03-04,26.45,26.51,25.46,25.87,6959990,LUK
2013-03-05,26.08,26.48,25.9,26.19,3506260,LUK
2013-03-06,26.25,26.55,26.16,26.4,1941789,LUK
2013-03-07,26.46,26.61,26.1,26.37,2328760,LUK
2013-03-08,26.58,26.68,26.28,26.67,1535431,LUK
2013-03-09,26.57,26.7,26.17,26.67,1573655,LUK
2013-03-10,26.56,26.71,26.06,26.67,1611878,LUK
2013-03-11,26.55,26.72,25.95,26.67,1650102,LUK
2013-03-12,26.62,26.98,26.51,26.89,1747056,LUK
2013-03-13,26.87,26.93,26.45,26.62,1765116,LUK
2013-03-14,26.72,27.18,26.53,27.18,1257610,LUK
2013-03-15,27.09,27.36,26.86,27.25,3496833,LUK
2013-03-16,27.01,27.28,26.76,27.05,2849628,LUK
2013-03-17,26.93,27.2,26.67,26.85,2202423,LUK
2013-03-18,26.85,27.11,26.57,26.65,1555218,LUK
2013-03-19,26.66,27.03,26.3,26.5,1165660,LUK
2013-03-20,26.72,26.86,26.53,26.72,1141606,LUK
2013-03-21,26.59,26.95,26.48,26.59,1531081,LUK
2013-03-22,26.72,26.88,26.51,26.83,1075872,LUK
2013-03-23,26.81,26.98,26.59,26.89,1197986,LUK
2013-03-24,26.91,27.09,26.68,26.96,1320099,LUK
2013-03-25,27.0,27.19,26.76,27.02,1442213,LUK
2013-03-26,27.2,27.42,27.09,27.38,2044488,LUK
2013-03-27,27.26,27.29,26.87,27.19,1930977,LUK
2013-03-28,27.23,27.5,27.07,27.43,1717570,LUK
2013-03-29,27.26,27.59,27.09,27.43,1631810,LUK
2013-03-30,27.3,27.69,27.11,27.44,1546050,LUK
2013-03-31,27.33,27.78,27.13,27.44,1460291,LUK
2013-04-01,27.36,27.88,27.14,27.44,1374531,LUK
2013-04-02,27.52,27.58,27.24,27.36,1193169,LUK
2013-04-03,27.38,27.57,27.06,27.44,1568616,LUK
2013-04-04,27.48,28.0,27.43,28.0,1608802,LUK
2013-04-05,27.64,27.64,27.2,27.49,1218209,LUK
2013-04-06,27.58,27.74,27.23,27.64,1124014,LUK
2013-04-07,27.52,27.83,27.27,27.78,1029819,LUK
2013-04-08,27.46,27.93,27.3,27.93,935624,LUK
2013-04-09,28.01,28.46,27.93,28.46,1157570,LUK
2013-04-10,28.59,29.14,28.46,29.14,1644197,LUK
2013-04-11,29.12,29.57,29.0,29.22,1735575,LUK
2013-04-12,29.05,29.12,28.7,29.03,975866,LUK
2013-04-13,28.98,29.07,28.61,28.84,1220906,LUK
2013-04-14,28.9,29.01,28.53,28.66,1465947,LUK
2013-04-15,28.83,28.96,28.44,28.47,1710987,LUK
2013-04-16,28.75,29.6,28.7,29.58,1631641,LUK
2013-04-17,29.31,29.33,28.5,28.85,1656650,LUK
2013-04-18,28.9,28.94,28.37,28.6,1138792,LUK
2013-04-19,28.72,29.08,28.41,29.05,1422231,LUK
2013-04-20,28.84,29.17,28.48,29.11,1345289,LUK
2013-04-21,28.95,29.27,28.56,29.18,1268348,LUK
2013-04-22,29.07,29.36,28.63,29.24,1191406,LUK
2013-04-23,29.47,29.98,29.42,29.92,1320164,LUK
2013-04-24,30.04,30.39,29.96,30.3,1789988,LUK
2013-04-25,30.39,30.49,30.18,30.25,1275655,LUK
2013-04-26,30.19,30.2,29.89,29.99,744133,LUK
2013-04-27,30.18,30.21,29.9,30.05,751939,LUK
2013-04-28,30.17,30.22,29.92,30.1,759744,LUK
2013-04-29,30.16,30.23,29.93,30.16,767550,LUK
2013-04-30,30.51,30.89,30.1,30.89,1996847,LUK
2013-05-01,30.81,30.89,30.22,30.6,2031512,LUK
2013-05-02,30.7,31.1,30.51,31.1,1181759,LUK
2013-05-03,31.3,31.77,31.09,31.29,1629954,LUK
2013-05-04,31.3,31.82,31.16,31.49,1527155,LUK
2013-05-05,31.31,31.86,31.24,31.68,1424356,LUK
2013-05-06,31.31,31.91,31.31,31.88,1321557,LUK
2013-05-07,32.0,32.43,31.83,32.0,1178187,LUK
2013-05-08,32.01,32.33,31.92,32.2,1274267,LUK
2013-05-09,32.08,32.25,31.73,31.85,1194111,LUK
2013-05-10,31.89,31.99,31.1,31.7,1635773,LUK
2013-05-11,31.79,31.92,31.21,31.7,1457672,LUK
2013-05-12,31.68,31.86,31.32,31.69,1279572,LUK
2013-05-13,31.58,31.79,31.43,31.69,1101471,LUK
2013-05-14,31.7,31.95,31.67,31.85,1087028,LUK
2013-05-15,31.78,31.84,31.48,31.79,1438967,LUK
2013-05-16,31.66,31.95,31.56,31.7,992100,LUK
2013-05-17,31.76,32.13,31.69,32.02,947066,LUK
2013-05-18,31.85,32.15,31.69,31.97,986749,LUK
2013-05-19,31.93,32.17,31.7,31.92,1026433,LUK
2013-05-20,32.02,32.19,31.7,31.87,1066116,LUK
2013-05-21,31.87,32.0,31.53,31.57,1022703,LUK
2013-05-22,31.58,31.99,30.97,31.28,2003614,LUK
2013-05-23,30.85,30.85,30.38,30.58,2314747,LUK
2013-05-24,30.36,30.68,30.27,30.65,861295,LUK
2013-05-25,30.54,30.88,30.32,30.78,1153250,LUK
2013-05-26,30.73,31.09,30.38,30.9,1445206,LUK
2013-05-27,30.92,31.3,30.44,31.02,1737161,LUK
2013-05-28,31.1,31.5,30.49,31.15,2029116,LUK
2013-05-29,30.92,31.33,30.69,30.96,1171980,LUK
2013-05-30,30.96,31.62,30.96,31.52,1176910,LUK
2013-05-31,31.48,31.85,31.31,31.38,1952086,LUK
2013-06-01,31.48,31.74,30.98,31.16,1703638,LUK
2013-06-02,31.47,31.62,30.65,30.93,1455191,LUK
2013-06-03,31.47,31.51,30.32,30.71,1206743,LUK
2013-06-04,30.65,30.73,29.78,29.91,1658643,LUK
2013-06-05,29.85,29.93,29.21,29.22,1547849,LUK
2013-06-06,29.24,29.55,28.76,29.36,1632973,LUK
2013-06-07,29.62,29.78,29.36,29.52,1361338,LUK
2013-06-08,29.62,29.75,29.28,29.43,1272100,LUK
2013-06-09,29.62,29.71,29.21,29.34,1182861,LUK
2013-06-10,29.62,29.68,29.13,29.25,1093623,LUK
2013-06-11,28.92,28.98,28.36,28.37,1629173,LUK
2013-06-12,28.59,28.64,27.72,27.75,1692636,LUK
2013-06-13,27.72,28.18,27.7,28.15,1335518,LUK
2013-06-14,28.15,28.2,27.7,27.76,940316,LUK
2013-06-15,28.09,28.2,27.65,27.75,1021848,LUK
2013-06-16,28.03,28.21,27.6,27.75,1103381,LUK
2013-06-17,27.97,28.21,27.54,27.74,1184913,LUK
2013-06-18,27.8,27.91,27.3,27.36,1667133,LUK
2013-06-19,27.3,27.34,26.42,26.43,2485059,LUK
2013-06-20,26.16,26.21,25.31,25.41,2368749,LUK
2013-06-21,25.61,26.0,25.22,25.71,3698695,LUK
2013-06-22,25.55,25.85,25.05,25.45,3275470,LUK
2013-06-23,25.48,25.69,24.87,25.19,2852246,LUK
2013-06-24,25.42,25.54,24.7,24.93,2429021,LUK
2013-06-25,25.25,25.43,24.84,24.98,2065646,LUK
2013-06-26,25.22,25.22,24.75,25.01,1739337,LUK
2013-06-27,25.27,25.99,25.09,25.82,1760714,LUK
2013-06-28,25.74,26.39,25.62,26.22,2752946,LUK
2013-06-29,25.93,26.46,25.84,26.3,2364654,LUK
2013-06-30,26.12,26.53,26.07,26.37,1976361,LUK
2013-07-01,26.31,26.6,26.29,26.45,1588069,LUK
2013-07-02,26.48,26.73,25.96,26.11,1479190,LUK
