index,open,high,low,close,volume,Name
2013-02-08,11.6,11.73,11.53,11.64,6534957,LUV
2013-02-09,11.62,11.74,11.56,11.64,5849165,LUV
2013-02-10,11.65,11.75,11.6,11.65,5163372,LUV
2013-02-11,11.67,11.76,11.63,11.65,4477580,LUV
2013-02-12,11.65,11.66,11.51,11.55,3759886,LUV
2013-02-13,11.57,11.66,11.54,11.61,3951473,LUV
2013-02-14,11.6,11.6,11.38,11.47,8080751,LUV
2013-02-15,11.53,11.76,11.5,11.6,6955542,LUV
2013-02-16,11.56,11.74,11.52,11.62,6449619,LUV
2013-02-17,11.58,11.73,11.53,11.65,5943696,LUV
2013-02-18,11.61,11.71,11.54,11.68,5437773,LUV
2013-02-19,11.64,11.7,11.56,11.7,4931850,LUV
2013-02-20,11.66,11.69,11.41,11.43,4587646,LUV
2013-02-21,11.42,11.48,11.31,11.45,6436921,LUV
2013-02-22,11.47,11.63,11.45,11.6,4704042,LUV
2013-02-23,11.52,11.66,11.4,11.51,5180862,LUV
2013-02-24,11.58,11.69,11.36,11.41,5657683,LUV
2013-02-25,11.63,11.72,11.31,11.32,6134503,LUV
2013-02-26,11.35,11.41,11.23,11.4,5916994,LUV
2013-02-27,11.38,11.82,11.38,11.82,6345630,LUV
2013-02-28,11.82,11.9,11.64,11.7,7956918,LUV
2013-03-01,11.66,11.95,11.66,11.82,5655890,LUV
2013-03-02,11.69,12.0,11.69,11.89,6581073,LUV
2013-03-03,11.73,12.04,11.72,11.97,7506257,LUV
2013-03-04,11.76,12.09,11.74,12.04,8431440,LUV
2013-03-05,12.13,12.15,11.98,12.11,8189336,LUV
2013-03-06,12.17,12.2,11.98,12.05,5551771,LUV
2013-03-07,11.97,12.12,11.94,12.09,6672692,LUV
2013-03-08,12.25,12.3,12.14,12.26,6872234,LUV
2013-03-09,12.23,12.31,12.12,12.28,7304312,LUV
2013-03-10,12.21,12.32,12.09,12.31,7736391,LUV
2013-03-11,12.19,12.33,12.07,12.33,8168469,LUV
2013-03-12,12.34,12.46,12.29,12.34,7602797,LUV
