index,open,high,low,close,volume,Name
2013-02-08,61.56,62.23,60.94,62.11,3317232,LYB
2013-02-09,61.65,62.09,60.72,61.59,3270307,LYB
2013-02-10,61.73,61.96,60.51,61.06,3223381,LYB
2013-02-11,61.82,61.82,60.29,60.54,3176456,LYB
2013-02-12,60.62,60.89,60.12,60.51,2779682,LYB
2013-02-13,61.71,63.3,61.6,62.3,3847273,LYB
2013-02-14,61.57,61.9,61.06,61.17,9634675,LYB
2013-02-15,61.19,61.28,59.88,60.4,7182955,LYB
2013-02-16,61.1,61.26,60.01,60.6,6267103,LYB
2013-02-17,61.02,61.23,60.13,60.79,5351252,LYB
2013-02-18,60.93,61.21,60.26,60.98,4435400,LYB
2013-02-19,60.84,61.18,60.38,61.18,3519548,LYB
2013-02-20,61.15,61.4,60.17,60.26,8481598,LYB
2013-02-21,58.63,59.31,56.91,57.68,7841350,LYB
2013-02-22,58.3,59.32,57.97,59.32,3974434,LYB
2013-02-23,58.66,59.44,57.64,58.54,4262460,LYB
2013-02-24,59.02,59.56,57.3,57.76,4550487,LYB
2013-02-25,59.38,59.68,56.97,56.98,4838513,LYB
2013-02-26,57.46,57.72,55.94,56.84,7557170,LYB
2013-02-27,57.01,58.44,56.5,58.2,5336945,LYB
2013-02-28,58.38,59.46,58.17,58.62,3650753,LYB
2013-03-01,58.19,60.64,57.43,59.69,5650043,LYB
2013-03-02,58.62,60.57,57.87,59.94,4892218,LYB
2013-03-03,59.04,60.51,58.31,60.19,4134394,LYB
2013-03-04,59.47,60.44,58.75,60.44,3376569,LYB
2013-03-05,60.54,61.42,60.53,60.77,4685385,LYB
2013-03-06,61.9,62.79,61.41,62.52,4936967,LYB
2013-03-07,62.72,62.73,62.08,62.13,2085296,LYB
2013-03-08,62.79,63.85,62.59,63.6,3135130,LYB
2013-03-09,62.97,63.84,62.46,63.64,3120027,LYB
2013-03-10,63.14,63.84,62.33,63.69,3104925,LYB
2013-03-11,63.32,63.83,62.2,63.73,3089822,LYB
2013-03-12,63.77,64.4,63.62,64.08,4514369,LYB
2013-03-13,64.09,64.52,63.19,63.3,4700006,LYB
2013-03-14,63.94,65.35,63.86,64.77,4700782,LYB
2013-03-15,64.44,65.69,63.87,64.01,5086081,LYB
2013-03-16,64.09,65.15,63.61,63.92,4510030,LYB
2013-03-17,63.74,64.6,63.34,63.84,3933978,LYB
2013-03-18,63.39,64.06,63.08,63.75,3357927,LYB
2013-03-19,63.73,64.46,62.84,64.01,5838419,LYB
2013-03-20,64.52,65.67,64.46,65.42,4508643,LYB
2013-03-21,64.97,65.69,64.23,64.41,3722807,LYB
2013-03-22,64.66,64.93,64.25,64.5,2185963,LYB
2013-03-23,64.74,65.0,63.9,64.12,2633515,LYB
2013-03-24,64.83,65.07,63.54,63.73,3081066,LYB
2013-03-25,64.91,65.14,63.19,63.35,3528618,LYB
2013-03-26,63.74,64.0,63.36,63.45,3756186,LYB
2013-03-27,63.01,63.52,62.57,63.37,2227204,LYB
2013-03-28,63.56,64.15,63.18,63.29,2877458,LYB
2013-03-29,63.44,63.9,62.78,62.9,3091900,LYB
2013-03-30,63.32,63.66,62.37,62.52,3306343,LYB
2013-03-31,63.21,63.42,61.96,62.14,3520786,LYB
2013-04-01,63.09,63.17,61.56,61.75,3735228,LYB
2013-04-02,62.43,62.61,59.54,59.84,6255309,LYB
2013-04-03,59.77,59.8,57.78,58.65,10159986,LYB
2013-04-04,58.8,59.32,58.61,58.78,3656299,LYB
2013-04-05,57.67,59.04,57.11,58.98,4232003,LYB
2013-04-06,58.12,59.06,57.47,58.92,4267199,LYB
2013-04-07,58.57,59.08,57.84,58.86,4302394,LYB
2013-04-08,59.02,59.1,58.2,58.8,4337590,LYB
2013-04-09,58.84,60.35,58.69,60.22,3583648,LYB
2013-04-10,60.42,60.87,59.92,60.77,2355148,LYB
2013-04-11,60.75,62.13,60.55,61.38,3175756,LYB
2013-04-12,61.07,61.2,58.67,59.46,4363429,LYB
2013-04-13,60.26,60.37,57.6,58.14,5291436,LYB
2013-04-14,59.45,59.54,56.54,56.83,6219443,LYB
2013-04-15,58.64,58.71,55.47,55.51,7147450,LYB
2013-04-16,56.15,57.55,55.7,57.33,4902182,LYB
2013-04-17,56.66,56.66,55.42,56.1,6444536,LYB
