index,open,high,low,close,volume,Name
2013-02-08,51.85,52.45,51.83,52.45,5214240,MA
2013-02-09,52.08,52.5,51.86,52.33,5347890,MA
2013-02-10,52.32,52.56,51.89,52.21,5481540,MA
2013-02-11,52.56,52.62,51.92,52.08,5615190,MA
2013-02-12,52.09,52.21,51.85,51.96,3378040,MA
2013-02-13,52.12,52.19,51.62,51.92,4095090,MA
2013-02-14,51.62,52.33,51.62,52.22,6655150,MA
2013-02-15,51.63,52.49,51.63,52.31,7031470,MA
2013-02-16,51.85,52.53,51.75,52.31,6332300,MA
2013-02-17,52.07,52.57,51.86,52.3,5633130,MA
2013-02-18,52.28,52.61,51.98,52.29,4933960,MA
2013-02-19,52.5,52.65,52.1,52.29,4234790,MA
2013-02-20,52.2,52.42,51.29,51.29,5376220,MA
2013-02-21,51.4,52.09,51.06,51.96,6813240,MA
2013-02-22,52.29,52.44,51.73,52.38,6586920,MA
2013-02-23,52.37,52.5,51.52,51.95,7281287,MA
2013-02-24,52.45,52.55,51.3,51.52,7975653,MA
2013-02-25,52.53,52.6,51.09,51.09,8670020,MA
2013-02-26,51.35,51.58,50.74,50.97,7956620,MA
2013-02-27,51.1,51.62,50.8,51.52,6993870,MA
2013-02-28,51.52,52.14,51.34,51.78,6149710,MA
2013-03-01,51.5,51.95,51.33,51.83,4141600,MA
2013-03-02,51.53,52.05,51.41,51.93,3923190,MA
2013-03-03,51.57,52.14,51.49,52.04,3704780,MA
2013-03-04,51.6,52.24,51.58,52.14,3486370,MA
2013-03-05,52.25,53.08,52.18,52.71,5883780,MA
2013-03-06,52.55,53.12,52.34,52.76,5179090,MA
2013-03-07,52.77,53.0,52.57,52.67,6684540,MA
2013-03-08,53.0,53.03,52.45,52.92,5069930,MA
2013-03-09,52.99,53.1,52.58,52.98,4743573,MA
2013-03-10,52.97,53.18,52.71,53.03,4417217,MA
2013-03-11,52.96,53.25,52.84,53.09,4090860,MA
2013-03-12,52.99,53.1,52.22,52.32,4808490,MA
2013-03-13,52.23,52.84,52.11,52.75,4714930,MA
2013-03-14,52.86,53.12,52.67,52.72,5566830,MA
2013-03-15,52.6,52.88,51.82,51.94,11607910,MA
2013-03-16,52.24,52.58,51.71,51.79,9614513,MA
2013-03-17,51.89,52.27,51.59,51.65,7621117,MA
2013-03-18,51.53,51.97,51.47,51.5,5627720,MA
2013-03-19,51.62,51.78,50.82,51.16,6301550,MA
2013-03-20,51.6,51.87,51.44,51.86,4546810,MA
2013-03-21,51.64,51.77,51.32,51.4,5500830,MA
2013-03-22,51.58,51.88,51.55,51.75,5057530,MA
2013-03-23,51.73,52.05,51.66,51.83,5178313,MA
2013-03-24,51.88,52.22,51.77,51.92,5299097,MA
2013-03-25,52.02,52.4,51.88,52.0,5419880,MA
2013-03-26,52.3,53.72,52.22,53.55,9105410,MA
2013-03-27,53.22,54.07,53.04,53.8,6483860,MA
2013-03-28,53.84,54.2,53.69,54.11,6688330,MA
2013-03-29,53.94,54.32,53.67,54.02,6391615,MA
2013-03-30,54.04,54.44,53.64,53.92,6094900,MA
2013-03-31,54.14,54.57,53.62,53.82,5798185,MA
2013-04-01,54.24,54.69,53.6,53.72,5501470,MA
2013-04-02,54.07,54.4,53.9,54.06,3695680,MA
2013-04-03,54.08,54.3,53.04,53.32,5329590,MA
2013-04-04,53.28,53.56,53.01,53.42,4432080,MA
2013-04-05,52.67,53.26,52.63,53.16,5784070,MA
2013-04-06,52.8,53.37,52.74,53.25,5066283,MA
2013-04-07,52.94,53.47,52.86,53.34,4348497,MA
2013-04-08,53.07,53.57,52.98,53.44,3630710,MA
2013-04-09,53.4,53.44,52.32,52.76,9010480,MA
2013-04-10,52.97,53.8,52.84,53.44,4838830,MA
2013-04-11,53.44,54.23,53.26,54.12,5678360,MA
2013-04-12,53.46,53.64,52.96,53.3,6795150,MA
2013-04-13,53.32,53.56,52.7,52.92,6290207,MA
2013-04-14,53.17,53.47,52.43,52.55,5785263,MA
2013-04-15,53.02,53.38,52.17,52.17,5280320,MA
2013-04-16,52.31,53.16,52.21,53.16,5495190,MA
2013-04-17,52.72,53.09,52.47,52.58,6309250,MA
2013-04-18,52.58,52.65,52.1,52.1,6402200,MA
2013-04-19,52.28,52.37,51.86,52.2,5096020,MA
2013-04-20,52.26,52.37,51.86,52.2,4863293,MA
2013-04-21,52.23,52.37,51.87,52.21,4630567,MA
2013-04-22,52.2,52.37,51.88,52.21,4397840,MA
2013-04-23,52.59,53.12,52.36,53.1,3560880,MA
2013-04-24,53.2,53.48,53.12,53.2,2663010,MA
2013-04-25,53.41,53.9,52.52,53.51,3769050,MA
2013-04-26,53.42,53.82,53.35,53.53,4542560,MA
2013-04-27,53.53,53.88,53.41,53.66,4298040,MA
2013-04-28,53.64,53.94,53.47,53.78,4053520,MA
2013-04-29,53.75,54.0,53.54,53.9,3809000,MA
2013-04-30,53.98,55.29,53.96,55.29,7980400,MA
2013-05-01,53.88,54.48,53.6,53.98,10109970,MA
2013-05-02,53.6,54.73,53.57,54.55,9469350,MA
2013-05-03,55.17,55.77,55.06,55.36,7937660,MA
2013-05-04,55.24,55.74,54.94,55.16,7312613,MA
2013-05-05,55.3,55.71,54.82,54.97,6687567,MA
2013-05-06,55.36,55.68,54.7,54.77,6062520,MA
2013-05-07,54.81,55.19,54.54,55.13,4332380,MA
2013-05-08,55.12,55.5,54.83,55.37,4387660,MA
2013-05-09,55.3,55.62,54.99,55.19,4386870,MA
2013-05-10,55.38,55.75,53.38,55.51,4669100,MA
2013-05-11,55.35,55.78,54.02,55.54,4259723,MA
2013-05-12,55.33,55.81,54.66,55.56,3850347,MA
2013-05-13,55.3,55.84,55.3,55.58,3440970,MA
2013-05-14,55.79,57.12,55.64,56.97,6569560,MA
2013-05-15,57.03,57.5,56.92,57.44,6554610,MA
2013-05-16,57.29,57.37,57.01,57.01,4408210,MA
2013-05-17,57.44,58.5,57.22,58.48,6244660,MA
2013-05-18,57.73,58.62,57.55,58.43,5651763,MA
2013-05-19,58.02,58.74,57.88,58.38,5058867,MA
2013-05-20,58.31,58.85,58.2,58.33,4465970,MA
2013-05-21,58.45,58.9,58.24,58.48,3917840,MA
2013-05-22,58.7,58.83,57.61,57.67,5598490,MA
2013-05-23,56.98,57.7,56.84,56.97,6475650,MA
2013-05-24,56.68,57.29,56.33,57.15,3909260,MA
2013-05-25,57.01,57.6,56.64,57.25,4109560,MA
2013-05-26,57.34,57.91,56.95,57.36,4309860,MA
2013-05-27,57.67,58.22,57.26,57.47,4510160,MA
2013-05-28,58.0,58.53,57.57,57.57,4710460,MA
2013-05-29,57.23,57.62,57.04,57.3,3506280,MA
2013-05-30,57.36,58.26,57.2,57.62,3783120,MA
2013-05-31,57.52,58.06,56.96,57.02,6106850,MA
2013-06-01,57.39,57.9,56.93,57.21,6011623,MA
2013-06-02,57.26,57.75,56.9,57.4,5916397,MA
2013-06-03,57.13,57.59,56.87,57.59,5821170,MA
2013-06-04,57.55,57.69,56.4,56.82,6459360,MA
2013-06-05,56.5,56.82,55.93,55.96,5420120,MA
2013-06-06,55.78,56.52,55.71,56.5,4399200,MA
2013-06-07,56.78,56.94,56.37,56.62,7165200,MA
2013-06-08,56.77,56.93,56.33,56.61,6148743,MA
2013-06-09,56.76,56.92,56.3,56.59,5132287,MA
2013-06-10,56.76,56.91,56.27,56.58,4115830,MA
2013-06-11,56.22,56.52,56.0,56.04,4333570,MA
2013-06-12,56.48,56.51,55.8,55.8,5815600,MA
2013-06-13,55.76,57.55,55.71,57.37,8603940,MA
2013-06-14,57.4,57.48,56.92,57.12,6230190,MA
2013-06-15,57.4,57.68,57.08,57.35,6569183,MA
2013-06-16,57.4,57.89,57.24,57.58,6908177,MA
2013-06-17,57.41,58.1,57.41,57.82,7247170,MA
2013-06-18,58.16,58.49,58.02,58.44,5494920,MA
2013-06-19,58.55,59.19,58.53,58.64,7661120,MA
2013-06-20,57.96,58.57,57.22,57.27,9214350,MA
2013-06-21,57.92,57.99,56.89,57.33,12167630,MA
2013-06-22,57.39,57.65,56.51,56.97,11253860,MA
2013-06-23,56.86,57.3,56.13,56.62,10340090,MA
2013-06-24,56.34,56.96,55.75,56.26,9426320,MA
2013-06-25,56.73,56.76,56.16,56.46,8311060,MA
2013-06-26,56.8,57.28,56.38,57.0,5345710,MA
2013-06-27,57.15,57.74,57.0,57.07,5941920,MA
2013-06-28,56.92,57.45,56.65,57.45,10395620,MA
2013-06-29,57.23,57.97,57.02,57.74,9774797,MA
2013-06-30,57.55,58.48,57.39,58.03,9153973,MA
2013-07-01,57.86,59.0,57.76,58.32,8533150,MA
2013-07-02,58.19,58.9,57.97,58.31,5604160,MA
2013-07-03,57.98,58.76,57.98,58.62,2436120,MA
2013-07-04,58.49,59.13,58.29,59.06,3951390,MA
2013-07-05,59.0,59.5,58.6,59.5,5466660,MA
2013-07-06,59.24,59.76,58.71,59.31,5994660,MA
2013-07-07,59.48,60.02,58.81,59.12,6522660,MA
2013-07-08,59.72,60.27,58.92,58.93,7050660,MA
2013-07-09,59.37,59.65,59.19,59.36,5921290,MA
2013-07-10,59.36,59.51,58.74,59.09,5329480,MA
2013-07-11,59.68,60.16,59.22,60.1,4651330,MA
2013-07-12,60.08,60.18,59.64,59.89,4496880,MA
2013-07-13,60.02,60.12,59.56,59.79,4433980,MA
2013-07-14,59.97,60.06,59.48,59.69,4371080,MA
2013-07-15,59.92,60.0,59.4,59.59,4308180,MA
2013-07-16,59.62,59.79,58.94,58.98,4651100,MA
2013-07-17,58.3,59.39,58.3,59.34,9215990,MA
2013-07-18,59.6,60.07,59.45,59.69,3486820,MA
2013-07-19,59.88,60.1,59.27,59.33,8238410,MA
2013-07-20,59.73,60.19,59.28,59.64,7279367,MA
2013-07-21,59.58,60.29,59.29,59.95,6320323,MA
2013-07-22,59.43,60.38,59.31,60.26,5361280,MA
2013-07-23,60.38,60.48,59.75,59.8,4648820,MA
2013-07-24,59.83,60.0,58.96,59.1,7751390,MA
2013-07-25,59.42,60.19,59.41,59.9,7264490,MA
2013-07-26,59.66,59.97,59.29,59.82,3847150,MA
2013-07-27,59.74,60.02,59.35,59.78,3653533,MA
2013-07-28,59.81,60.06,59.4,59.74,3459917,MA
2013-07-29,59.89,60.1,59.45,59.7,3266300,MA
2013-07-30,59.96,60.39,59.91,60.14,6028230,MA
2013-07-31,62.45,62.62,56.7,61.06,40093460,MA
2013-08-01,61.87,64.96,61.87,64.64,30348990,MA
2013-08-02,64.43,64.7,64.04,64.56,6683960,MA
2013-08-03,64.33,64.66,64.04,64.45,6415447,MA
2013-08-04,64.22,64.62,64.04,64.35,6146933,MA
2013-08-05,64.12,64.59,64.04,64.24,5878420,MA
2013-08-06,64.22,65.7,64.0,65.4,8198720,MA
2013-08-07,65.3,65.3,64.5,64.63,5859990,MA
2013-08-08,64.91,65.0,64.15,64.58,4531630,MA
2013-08-09,64.74,64.74,63.77,63.8,3953180,MA
2013-08-10,64.48,64.48,63.49,63.55,4382177,MA
2013-08-11,64.22,64.22,63.2,63.31,4811173,MA
2013-08-12,63.96,63.96,62.92,63.07,5240170,MA
2013-08-13,63.68,63.68,63.02,63.33,3245200,MA
2013-08-14,63.56,63.71,62.81,63.0,3943070,MA
2013-08-15,62.39,62.48,61.56,61.87,5328930,MA
2013-08-16,61.83,62.42,61.61,61.82,4833890,MA
2013-08-17,61.86,62.48,61.66,61.88,4524797,MA
2013-08-18,61.89,62.54,61.7,61.93,4215703,MA
2013-08-19,61.92,62.6,61.75,61.99,3906610,MA
2013-08-20,62.12,62.51,61.9,62.24,3000550,MA
2013-08-21,61.96,62.76,61.8,61.93,9310280,MA
2013-08-22,62.3,62.3,61.69,62.11,3926260,MA
2013-08-23,62.2,62.66,61.8,62.61,4607950,MA
2013-08-24,62.33,62.63,61.69,62.25,5035763,MA
2013-08-25,62.45,62.6,61.57,61.88,5463577,MA
2013-08-26,62.58,62.58,61.45,61.52,5891390,MA
2013-08-27,60.82,61.26,60.59,60.79,5534050,MA
2013-08-28,60.59,61.32,60.54,61.06,6405790,MA
2013-08-29,61.05,61.84,61.04,61.26,5059840,MA
2013-08-30,61.4,61.5,60.36,60.61,6122560,MA
