index,open,high,low,close,volume,Name
2013-02-08,94.39,95.48,94.36,94.87,5331506,MCD
2013-02-09,94.51,95.42,94.44,94.97,4740203,MCD
2013-02-10,94.63,95.37,94.52,95.07,4148901,MCD
2013-02-11,94.75,95.31,94.6,95.17,3557598,MCD
2013-02-12,95.05,95.34,94.81,95.1,4526880,MCD
2013-02-13,94.64,94.75,93.48,94.0,6663099,MCD
2013-02-14,93.86,93.89,93.19,93.56,5360819,MCD
2013-02-15,93.81,94.31,93.21,93.9,5095513,MCD
2013-02-16,93.89,94.36,93.35,93.89,4922155,MCD
2013-02-17,93.98,94.4,93.49,93.88,4748797,MCD
2013-02-18,94.06,94.44,93.63,93.86,4575439,MCD
2013-02-19,94.14,94.49,93.77,93.85,4402081,MCD
2013-02-20,93.86,94.48,93.75,93.91,4024068,MCD
2013-02-21,93.44,94.45,93.3,94.14,4425256,MCD
2013-02-22,94.27,95.25,93.85,95.25,4421583,MCD
2013-02-23,94.64,95.76,94.32,95.55,5957116,MCD
2013-02-24,95.01,96.27,94.79,95.84,7492648,MCD
2013-02-25,95.38,96.78,95.26,96.14,9028181,MCD
2013-02-26,96.35,96.57,96.05,96.22,6452891,MCD
2013-02-27,95.36,95.95,95.11,95.73,4327288,MCD
2013-02-28,95.71,96.22,95.51,95.9,3970852,MCD
2013-03-01,95.68,95.82,94.96,95.68,3824220,MCD
2013-03-02,95.65,95.77,94.93,95.48,4095365,MCD
2013-03-03,95.63,95.72,94.9,95.27,4366511,MCD
2013-03-04,95.6,95.67,94.87,95.07,4637656,MCD
2013-03-05,95.54,96.1,95.33,95.81,5629964,MCD
2013-03-06,95.95,96.82,95.93,96.81,5054337,MCD
2013-03-07,96.64,97.16,96.64,97.09,4566416,MCD
2013-03-08,98.13,98.95,98.03,98.71,8838407,MCD
2013-03-09,98.24,98.93,98.11,98.77,7510127,MCD
2013-03-10,98.35,98.91,98.19,98.83,6181847,MCD
2013-03-11,98.46,98.89,98.28,98.89,4853567,MCD
2013-03-12,98.86,98.87,98.53,98.76,3856650,MCD
2013-03-13,98.74,99.47,98.54,99.38,3896551,MCD
2013-03-14,99.36,99.38,98.9,99.31,3650189,MCD
2013-03-15,98.97,99.7,98.82,99.67,6389739,MCD
2013-03-16,98.96,99.58,98.61,99.3,5571491,MCD
2013-03-17,98.96,99.46,98.41,98.94,4753243,MCD
2013-03-18,98.95,99.34,98.21,98.57,3934995,MCD
2013-03-19,98.78,98.99,98.2,98.4,4645243,MCD
