index,open,high,low,close,volume,Name
2013-02-08,27.8,28.1,27.75,27.76,11158962,MDLZ
2013-02-09,27.78,28.0,27.71,27.76,10709914,MDLZ
2013-02-10,27.75,27.9,27.67,27.75,10260866,MDLZ
2013-02-11,27.73,27.8,27.63,27.75,9811818,MDLZ
2013-02-12,27.7,27.83,27.27,27.68,14931001,MDLZ
2013-02-13,27.74,27.81,27.46,27.75,13902243,MDLZ
2013-02-14,26.69,27.02,26.45,26.57,37728644,MDLZ
2013-02-15,26.84,27.07,26.6,26.72,21794438,MDLZ
2013-02-16,26.82,27.1,26.64,26.78,20928308,MDLZ
2013-02-17,26.8,27.13,26.68,26.84,20062178,MDLZ
2013-02-18,26.77,27.16,26.71,26.9,19196048,MDLZ
2013-02-19,26.75,27.19,26.75,26.96,18329918,MDLZ
2013-02-20,27.07,27.15,26.95,27.02,17057160,MDLZ
2013-02-21,26.99,27.04,26.64,26.82,16936542,MDLZ
2013-02-22,26.89,27.13,26.73,26.77,16664776,MDLZ
2013-02-23,26.86,27.11,26.65,26.68,16285545,MDLZ
2013-02-24,26.82,27.1,26.56,26.58,15906315,MDLZ
2013-02-25,26.79,27.08,26.48,26.49,15527084,MDLZ
2013-02-26,26.53,26.98,26.51,26.95,13702822,MDLZ
2013-02-27,26.86,27.67,26.86,27.57,13810104,MDLZ
2013-02-28,27.54,27.86,27.53,27.64,15016680,MDLZ
2013-03-01,26.94,27.86,26.94,27.81,17228009,MDLZ
2013-03-02,27.19,28.05,27.16,27.96,18596501,MDLZ
2013-03-03,27.45,28.24,27.39,28.12,19964992,MDLZ
2013-03-04,27.7,28.44,27.61,28.28,21333484,MDLZ
2013-03-05,28.36,28.67,28.33,28.51,17493490,MDLZ
2013-03-06,28.5,28.67,28.45,28.52,9612984,MDLZ
2013-03-07,28.67,28.68,28.44,28.55,14008707,MDLZ
2013-03-08,28.62,28.75,28.39,28.58,8026353,MDLZ
2013-03-09,28.59,28.69,28.4,28.53,8154810,MDLZ
2013-03-10,28.57,28.64,28.41,28.48,8283268,MDLZ
2013-03-11,28.54,28.58,28.42,28.43,8411725,MDLZ
2013-03-12,28.49,28.55,28.16,28.21,12486185,MDLZ
2013-03-13,28.3,28.51,28.21,28.47,8432003,MDLZ
2013-03-14,28.5,28.55,28.34,28.52,8321067,MDLZ
2013-03-15,28.45,28.68,28.36,28.41,20243090,MDLZ
2013-03-16,28.39,28.61,28.26,28.38,16120161,MDLZ
2013-03-17,28.32,28.54,28.17,28.34,11997231,MDLZ
2013-03-18,28.26,28.46,28.07,28.31,7874302,MDLZ
2013-03-19,28.29,28.54,28.16,28.34,7797651,MDLZ
2013-03-20,28.59,28.72,28.42,28.69,10066445,MDLZ
2013-03-21,28.58,28.74,28.41,28.56,11615270,MDLZ
2013-03-22,29.32,30.12,29.27,29.73,34293501,MDLZ
2013-03-23,29.53,30.18,29.41,29.78,29193539,MDLZ
2013-03-24,29.74,30.24,29.56,29.83,24093577,MDLZ
2013-03-25,29.95,30.3,29.7,29.88,18993615,MDLZ
2013-03-26,29.98,30.3,29.84,30.29,11424345,MDLZ
2013-03-27,29.91,30.38,29.87,30.35,13734326,MDLZ
2013-03-28,30.44,30.66,30.22,30.62,14551786,MDLZ
2013-03-29,30.44,30.7,30.26,30.63,12966172,MDLZ
2013-03-30,30.43,30.74,30.3,30.65,11380558,MDLZ
2013-03-31,30.42,30.77,30.34,30.66,9794944,MDLZ
2013-04-01,30.42,30.81,30.38,30.68,8209330,MDLZ
2013-04-02,30.67,30.95,30.64,30.8,9528082,MDLZ
2013-04-03,30.76,30.83,30.1,30.29,12408728,MDLZ
2013-04-04,30.4,30.41,30.22,30.28,8063137,MDLZ
2013-04-05,29.88,30.21,29.84,30.03,10431876,MDLZ
2013-04-06,29.97,30.21,29.87,30.07,12079832,MDLZ
2013-04-07,30.06,30.2,29.89,30.11,13727788,MDLZ
2013-04-08,30.15,30.2,29.92,30.15,15375744,MDLZ
2013-04-09,30.12,30.24,29.93,30.13,8421905,MDLZ
2013-04-10,30.17,30.36,30.14,30.22,13486309,MDLZ
2013-04-11,30.53,30.65,30.33,30.34,12583388,MDLZ
2013-04-12,30.54,30.58,30.27,30.55,7786062,MDLZ
2013-04-13,30.59,30.64,30.23,30.43,8781397,MDLZ
2013-04-14,30.63,30.69,30.19,30.31,9776731,MDLZ
2013-04-15,30.68,30.75,30.15,30.19,10772066,MDLZ
2013-04-16,30.2,30.73,30.2,30.63,8798667,MDLZ
2013-04-17,30.39,30.52,29.75,29.82,15300675,MDLZ
2013-04-18,29.79,30.16,29.73,30.1,13003882,MDLZ
2013-04-19,30.14,31.8,30.05,31.68,24336868,MDLZ
2013-04-20,30.56,31.75,30.45,31.63,20522129,MDLZ
2013-04-21,30.98,31.7,30.86,31.58,16707390,MDLZ
2013-04-22,31.4,31.65,31.26,31.53,12892651,MDLZ
2013-04-23,31.56,32.02,31.5,31.86,13459513,MDLZ
2013-04-24,32.03,32.1,31.42,31.46,10562725,MDLZ
2013-04-25,31.66,31.83,31.48,31.68,10815463,MDLZ
2013-04-26,31.78,31.8,31.44,31.56,9889868,MDLZ
2013-04-27,31.69,31.75,31.41,31.58,8975305,MDLZ
2013-04-28,31.61,31.71,31.38,31.6,8060741,MDLZ
2013-04-29,31.52,31.66,31.35,31.62,7146178,MDLZ
2013-04-30,31.51,31.69,31.3,31.45,10107828,MDLZ
2013-05-01,31.3,31.69,31.3,31.46,11243799,MDLZ
2013-05-02,31.46,31.74,31.31,31.42,7464248,MDLZ
2013-05-03,31.68,31.83,31.51,31.73,8364217,MDLZ
2013-05-04,31.67,31.82,31.38,31.54,8832136,MDLZ
2013-05-05,31.65,31.81,31.24,31.34,9300055,MDLZ
2013-05-06,31.64,31.8,31.11,31.15,9767974,MDLZ
2013-05-07,31.06,31.43,31.04,31.41,7522877,MDLZ
2013-05-08,31.16,31.5,30.64,30.92,22958626,MDLZ
2013-05-09,30.96,31.05,30.53,30.58,10968892,MDLZ
2013-05-10,30.73,30.78,30.42,30.63,14250119,MDLZ
2013-05-11,30.66,30.82,30.43,30.7,13222306,MDLZ
2013-05-12,30.59,30.86,30.44,30.76,12194494,MDLZ
2013-05-13,30.52,30.9,30.45,30.83,11166681,MDLZ
2013-05-14,30.84,31.27,30.83,31.18,13649397,MDLZ
2013-05-15,31.2,31.53,31.11,31.5,6828765,MDLZ
2013-05-16,31.4,31.68,31.2,31.46,11020380,MDLZ
2013-05-17,31.41,31.62,31.15,31.5,11930642,MDLZ
2013-05-18,31.44,31.58,31.01,31.27,11317979,MDLZ
2013-05-19,31.46,31.55,30.88,31.03,10705316,MDLZ
2013-05-20,31.49,31.51,30.74,30.8,10092653,MDLZ
2013-05-21,30.92,31.01,30.59,31.0,7138085,MDLZ
2013-05-22,30.94,31.99,30.9,31.77,18372845,MDLZ
2013-05-23,31.43,31.76,30.98,31.23,14956454,MDLZ
2013-05-24,31.0,31.33,30.76,30.95,10606653,MDLZ
2013-05-25,31.06,31.48,30.85,31.03,10502429,MDLZ
2013-05-26,31.12,31.62,30.94,31.12,10398206,MDLZ
2013-05-27,31.17,31.77,31.02,31.2,10293982,MDLZ
2013-05-28,31.23,31.92,31.11,31.28,10189758,MDLZ
2013-05-29,31.08,31.21,30.27,30.28,14112192,MDLZ
2013-05-30,30.05,30.17,29.58,29.6,17735928,MDLZ
2013-05-31,29.39,29.84,29.21,29.48,18750937,MDLZ
2013-06-01,29.42,29.81,29.21,29.56,15460345,MDLZ
2013-06-02,29.44,29.78,29.21,29.65,12169754,MDLZ
2013-06-03,29.47,29.75,29.21,29.74,8879162,MDLZ
2013-06-04,29.92,30.06,29.36,29.57,9679918,MDLZ
2013-06-05,29.45,29.59,29.33,29.47,7613852,MDLZ
2013-06-06,29.51,29.58,29.08,29.29,10668301,MDLZ
2013-06-07,29.54,29.96,29.31,29.86,8802394,MDLZ
2013-06-08,29.64,30.03,29.36,29.77,9288857,MDLZ
