index,open,high,low,close,volume,Name
2013-02-08,101.73,103.27,101.73,103.11,353622,MHK
2013-02-09,102.17,103.84,102.11,103.69,450907,MHK
2013-02-10,102.6,104.42,102.48,104.26,548192,MHK
2013-02-11,103.04,104.99,102.86,104.84,645477,MHK
2013-02-12,104.91,107.21,104.76,106.38,557782,MHK
2013-02-13,106.48,107.64,105.99,107.57,689895,MHK
2013-02-14,107.34,108.8,106.86,107.05,448157,MHK
2013-02-15,107.03,108.92,107.03,107.8,656210,MHK
2013-02-16,107.21,109.02,107.0,108.04,621260,MHK
2013-02-17,107.4,109.11,106.98,108.29,586311,MHK
2013-02-18,107.58,109.2,106.95,108.54,551362,MHK
2013-02-19,107.76,109.3,106.92,108.78,516412,MHK
2013-02-20,108.5,108.7,103.45,103.5,1440013,MHK
2013-02-21,104.0,105.0,100.96,102.21,1759249,MHK
2013-02-22,102.22,107.01,102.11,106.74,2146874,MHK
2013-02-23,104.01,107.34,101.83,104.99,1909584,MHK
2013-02-24,105.81,107.66,101.54,103.25,1672294,MHK
2013-02-25,107.6,107.99,101.26,101.5,1435004,MHK
2013-02-26,101.71,104.87,101.41,104.61,858275,MHK
2013-02-27,104.52,107.52,104.34,106.15,772061,MHK
2013-02-28,106.13,107.96,105.71,106.02,769506,MHK
2013-03-01,105.08,107.39,104.28,106.43,802165,MHK
2013-03-02,105.37,108.0,104.84,106.97,885569,MHK
2013-03-03,105.67,108.61,105.4,107.51,968972,MHK
2013-03-04,105.96,109.22,105.96,108.05,1052376,MHK
2013-03-05,108.24,110.5,108.24,110.25,1019725,MHK
2013-03-06,110.54,111.86,110.13,111.36,941216,MHK
2013-03-07,111.28,112.25,110.77,111.96,621263,MHK
2013-03-08,113.15,113.73,111.23,112.3,566798,MHK
2013-03-09,112.83,113.64,111.52,112.46,603492,MHK
2013-03-10,112.52,113.54,111.8,112.61,640185,MHK
2013-03-11,112.2,113.45,112.09,112.77,676879,MHK
2013-03-12,112.75,112.92,111.74,112.49,660143,MHK
2013-03-13,112.5,113.27,112.11,112.59,733857,MHK
2013-03-14,112.74,113.54,112.39,113.52,752669,MHK
2013-03-15,113.3,114.16,112.75,113.62,1276218,MHK
2013-03-16,112.88,114.3,112.41,113.73,1087699,MHK
2013-03-17,112.45,114.45,112.06,113.85,899180,MHK
2013-03-18,112.03,114.59,111.72,113.96,710661,MHK
2013-03-19,114.54,115.0,111.36,112.64,723298,MHK
2013-03-20,113.59,115.32,113.14,114.59,771954,MHK
2013-03-21,113.38,114.06,110.88,111.29,547034,MHK
2013-03-22,111.91,112.57,110.13,110.41,638472,MHK
2013-03-23,111.56,112.83,110.13,110.58,600149,MHK
2013-03-24,111.21,113.09,110.13,110.74,561826,MHK
2013-03-25,110.86,113.35,110.13,110.91,523503,MHK
2013-03-26,111.35,113.25,111.35,113.0,769096,MHK
2013-03-27,111.66,112.84,111.27,112.5,534000,MHK
2013-03-28,112.67,114.08,112.35,113.12,497010,MHK
2013-03-29,112.78,114.12,112.08,112.93,546874,MHK
2013-03-30,112.9,114.15,111.8,112.73,596738,MHK
2013-03-31,113.01,114.19,111.53,112.54,646603,MHK
2013-04-01,113.12,114.22,111.26,112.34,696467,MHK
2013-04-02,112.61,113.24,110.61,111.32,607150,MHK
2013-04-03,111.66,111.83,107.26,109.21,1041997,MHK
2013-04-04,109.66,110.5,108.07,108.73,584816,MHK
2013-04-05,105.97,112.5,105.02,112.04,881327,MHK
2013-04-06,107.88,112.8,107.17,112.43,863924,MHK
2013-04-07,109.79,113.1,109.31,112.82,846520,MHK
2013-04-08,111.7,113.4,111.46,113.21,829117,MHK
2013-04-09,113.57,114.22,111.88,113.5,468590,MHK
2013-04-10,113.99,114.45,112.35,114.23,435467,MHK
2013-04-11,114.45,117.22,114.05,116.63,653297,MHK
2013-04-12,116.19,117.97,115.86,116.27,392360,MHK
2013-04-13,115.81,117.3,113.73,114.06,579008,MHK
2013-04-14,115.44,116.62,111.59,111.84,765657,MHK
2013-04-15,115.06,115.95,109.46,109.63,952305,MHK
2013-04-16,111.19,113.85,109.91,113.58,736949,MHK
2013-04-17,112.88,112.88,109.07,110.81,717352,MHK
2013-04-18,110.94,111.23,108.32,108.58,361102,MHK
2013-04-19,109.06,111.89,108.42,111.46,331174,MHK
2013-04-20,109.93,112.19,108.71,111.88,380933,MHK
2013-04-21,110.81,112.48,109.0,112.3,430692,MHK
2013-04-22,111.68,112.78,109.29,112.72,480451,MHK
2013-04-23,113.72,115.62,113.35,115.0,1000879,MHK
2013-04-24,116.1,116.71,113.8,113.98,463674,MHK
2013-04-25,114.34,115.91,113.42,113.75,457957,MHK
2013-04-26,113.98,114.46,112.57,113.36,412548,MHK
2013-04-27,113.89,114.52,112.28,113.03,492687,MHK
2013-04-28,113.79,114.59,111.98,112.69,572826,MHK
2013-04-29,113.7,114.65,111.69,112.36,652965,MHK
2013-04-30,112.01,113.04,110.01,110.88,764907,MHK
2013-05-01,110.16,111.5,107.92,108.16,924054,MHK
2013-05-02,108.95,109.97,106.39,108.54,1663230,MHK
2013-05-03,112.95,119.88,112.95,115.5,2050069,MHK
2013-05-04,113.8,118.44,113.51,115.33,1623351,MHK
2013-05-05,114.65,117.0,114.06,115.17,1196633,MHK
2013-05-06,115.5,115.56,114.62,115.0,769915,MHK
2013-05-07,114.98,115.32,113.81,115.22,851218,MHK
2013-05-08,115.55,117.22,114.89,117.1,1172372,MHK
2013-05-09,116.57,118.43,116.57,117.66,954185,MHK
2013-05-10,117.67,118.58,117.67,118.04,619233,MHK
2013-05-11,117.78,118.65,117.65,118.24,763446,MHK
2013-05-12,117.88,118.73,117.63,118.43,907659,MHK
2013-05-13,117.99,118.8,117.61,118.63,1051872,MHK
2013-05-14,118.6,120.7,118.6,119.53,1467836,MHK
2013-05-15,119.35,119.84,118.69,119.42,727574,MHK
2013-05-16,119.0,119.64,116.75,116.85,577729,MHK
2013-05-17,117.79,118.23,116.49,117.9,384487,MHK
2013-05-18,117.72,118.17,116.02,117.13,452058,MHK
2013-05-19,117.64,118.11,115.54,116.36,519629,MHK
2013-05-20,117.57,118.04,115.07,115.59,587200,MHK
2013-05-21,115.5,117.07,114.41,115.63,483667,MHK
2013-05-22,116.23,118.12,113.27,113.93,679472,MHK
2013-05-23,112.76,115.52,111.81,114.25,614719,MHK
2013-05-24,113.46,114.36,112.8,114.23,328541,MHK
2013-05-25,114.1,115.1,113.47,114.83,349201,MHK
2013-05-26,114.73,115.84,114.14,115.43,369862,MHK
2013-05-27,115.36,116.58,114.8,116.03,390522,MHK
2013-05-28,116.0,117.32,115.47,116.63,411182,MHK
2013-05-29,115.6,115.68,112.11,113.64,968511,MHK
2013-05-30,113.87,114.98,112.91,113.35,889795,MHK
2013-05-31,112.74,113.66,111.16,111.17,733837,MHK
2013-06-01,112.36,113.2,109.51,110.33,827526,MHK
2013-06-02,111.97,112.75,107.86,109.48,921215,MHK
2013-06-03,111.59,112.29,106.21,108.64,1014904,MHK
2013-06-04,108.87,110.11,103.74,107.0,1121277,MHK
2013-06-05,106.43,109.56,104.91,106.08,1292468,MHK
2013-06-06,106.47,109.9,106.0,109.85,762588,MHK
2013-06-07,111.46,111.87,108.31,111.64,1001844,MHK
2013-06-08,111.7,112.12,108.56,111.21,849560,MHK
2013-06-09,111.93,112.37,108.8,110.79,697277,MHK
2013-06-10,112.17,112.62,109.05,110.36,544993,MHK
2013-06-11,108.28,110.19,107.07,107.22,600140,MHK
2013-06-12,108.53,108.92,106.27,106.45,507294,MHK
2013-06-13,106.34,111.6,106.34,111.16,632040,MHK
2013-06-14,111.03,113.5,110.2,111.08,452880,MHK
2013-06-15,111.28,114.14,110.62,111.8,522798,MHK
2013-06-16,111.53,114.77,111.05,112.51,592716,MHK
2013-06-17,111.78,115.41,111.47,113.23,662634,MHK
2013-06-18,113.6,114.94,112.81,114.71,375254,MHK
2013-06-19,114.57,117.48,114.57,114.63,1275513,MHK
2013-06-20,112.9,113.35,108.89,109.89,937355,MHK
2013-06-21,109.85,110.69,106.25,108.95,1340108,MHK
2013-06-22,108.72,109.86,105.49,108.09,1144798,MHK
2013-06-23,107.59,109.03,104.73,107.22,949487,MHK
2013-06-24,106.46,108.2,103.97,106.36,754177,MHK
2013-06-25,108.35,111.44,108.18,110.23,833481,MHK
2013-06-26,111.49,112.31,109.53,110.12,481999,MHK
2013-06-27,111.73,114.01,110.61,113.67,486421,MHK
2013-06-28,113.24,113.53,111.04,112.49,756177,MHK
2013-06-29,113.11,113.69,111.34,112.36,709306,MHK
2013-06-30,112.98,113.86,111.65,112.23,662436,MHK
2013-07-01,112.85,114.02,111.95,112.1,615565,MHK
2013-07-02,112.08,112.78,110.21,110.6,520215,MHK
2013-07-03,110.18,112.27,110.0,111.58,266171,MHK
2013-07-04,111.22,112.3,109.52,111.58,360438,MHK
2013-07-05,112.25,112.34,109.05,111.58,454705,MHK
2013-07-06,112.3,112.36,109.0,110.73,480120,MHK
2013-07-07,112.34,112.37,108.94,109.88,505536,MHK
2013-07-08,112.39,112.39,108.89,109.03,530951,MHK
2013-07-09,109.82,113.55,109.29,113.42,832377,MHK
2013-07-10,113.42,114.7,111.79,112.77,595375,MHK
2013-07-11,116.42,117.24,114.52,116.46,655567,MHK
2013-07-12,116.31,117.75,115.62,117.03,590424,MHK
2013-07-13,116.53,117.83,115.94,117.19,622243,MHK
2013-07-14,116.76,117.92,116.27,117.36,654061,MHK
2013-07-15,116.98,118.0,116.59,117.52,685880,MHK
2013-07-16,117.42,117.98,115.22,117.04,782984,MHK
2013-07-17,117.28,118.04,115.29,117.64,713626,MHK
2013-07-18,117.75,119.19,116.83,117.6,1096015,MHK
2013-07-19,117.51,119.0,116.82,117.76,678757,MHK
2013-07-20,117.6,118.85,116.3,117.1,783013,MHK
2013-07-21,117.7,118.71,115.78,116.45,887270,MHK
2013-07-22,117.79,118.56,115.26,115.79,991526,MHK
2013-07-23,116.08,117.38,115.59,117.25,954217,MHK
2013-07-24,117.73,118.6,115.65,116.5,969222,MHK
2013-07-25,114.2,115.84,112.58,115.02,925188,MHK
2013-07-26,114.3,115.54,114.0,114.42,687781,MHK
2013-07-27,114.33,115.8,113.98,114.48,644550,MHK
2013-07-28,114.35,116.07,113.96,114.54,601320,MHK
2013-07-29,114.38,116.33,113.94,114.6,558089,MHK
2013-07-30,116.55,117.98,114.92,117.56,822749,MHK
2013-07-31,117.87,120.11,116.6,118.99,977196,MHK
2013-08-01,119.98,123.06,119.98,121.29,1113960,MHK
2013-08-02,134.0,134.21,128.71,129.97,2580865,MHK
2013-08-03,132.38,133.04,128.69,129.97,2162751,MHK
2013-08-04,130.77,131.87,128.68,129.97,1744637,MHK
2013-08-05,129.15,130.7,128.66,129.97,1326523,MHK
2013-08-06,129.71,129.93,126.56,127.86,1073435,MHK
2013-08-07,128.83,128.83,125.75,126.42,1037065,MHK
2013-08-08,128.73,129.2,127.06,128.47,515399,MHK
2013-08-09,128.12,129.16,126.85,128.0,509796,MHK
2013-08-10,127.59,129.52,126.7,128.23,693563,MHK
2013-08-11,127.05,129.89,126.55,128.45,877331,MHK
2013-08-12,126.52,130.25,126.4,128.68,1061098,MHK
2013-08-13,128.71,128.97,125.94,127.43,493696,MHK
2013-08-14,127.19,127.39,123.85,124.35,535240,MHK
2013-08-15,121.69,122.54,120.16,122.09,802638,MHK
2013-08-16,122.19,124.34,121.71,121.96,520094,MHK
2013-08-17,122.01,123.54,120.99,121.17,531596,MHK
2013-08-18,121.84,122.74,120.28,120.38,543099,MHK
2013-08-19,121.66,121.94,119.56,119.59,554601,MHK
2013-08-20,120.0,124.7,120.0,124.08,804642,MHK
2013-08-21,123.61,125.18,122.48,123.2,710002,MHK
2013-08-22,123.42,126.24,123.11,125.33,590252,MHK
2013-08-23,126.13,126.13,122.4,123.05,546927,MHK
2013-08-24,125.14,125.83,122.46,123.46,492830,MHK
2013-08-25,124.15,125.53,122.52,123.88,438734,MHK
2013-08-26,123.16,125.23,122.58,124.29,384637,MHK
2013-08-27,122.23,124.04,119.9,120.15,364667,MHK
2013-08-28,120.0,121.0,117.72,118.34,808613,MHK
2013-08-29,119.68,122.11,119.06,120.07,1168555,MHK
2013-08-30,120.05,120.71,117.22,117.49,736636,MHK
2013-08-31,119.75,121.26,116.91,117.53,755462,MHK
2013-09-01,119.46,121.8,116.6,117.56,774289,MHK
2013-09-02,119.16,122.35,116.3,117.6,793116,MHK
2013-09-03,118.86,122.9,115.99,117.64,811942,MHK
2013-09-04,117.49,118.71,116.38,118.08,928263,MHK
2013-09-05,117.77,118.83,117.11,117.19,603510,MHK
2013-09-06,120.11,123.26,117.87,121.38,1381028,MHK
2013-09-07,120.65,123.9,119.08,122.58,1143056,MHK
2013-09-08,121.18,124.53,120.3,123.78,905084,MHK
2013-09-09,121.72,125.17,121.51,124.98,667112,MHK
2013-09-10,125.22,126.05,124.27,125.8,492147,MHK
2013-09-11,125.91,127.59,124.64,127.59,674784,MHK
2013-09-12,127.19,129.9,126.53,126.87,727182,MHK
2013-09-13,127.0,128.3,126.12,127.69,405874,MHK
2013-09-14,127.89,129.01,126.79,128.09,482704,MHK
2013-09-15,128.79,129.71,127.47,128.5,559535,MHK
2013-09-16,129.68,130.41,128.14,128.9,636365,MHK
2013-09-17,128.9,130.38,128.75,130.0,554573,MHK
2013-09-18,129.62,133.59,128.31,133.06,1302518,MHK
2013-09-19,133.85,134.75,132.43,133.52,761388,MHK
2013-09-20,133.98,133.99,130.45,130.45,905125,MHK
2013-09-21,132.89,132.89,129.16,129.57,934875,MHK
2013-09-22,131.8,131.8,127.88,128.69,964624,MHK
2013-09-23,130.71,130.71,126.59,127.81,994374,MHK
2013-09-24,127.81,130.62,126.92,129.32,570442,MHK
2013-09-25,129.56,130.67,128.07,129.2,419768,MHK
2013-09-26,129.76,130.44,127.75,129.54,402998,MHK
2013-09-27,128.38,130.52,127.91,130.09,728253,MHK
2013-09-28,128.4,130.55,128.09,130.14,618623,MHK
2013-09-29,128.42,130.57,128.26,130.2,508992,MHK
2013-09-30,128.44,130.6,128.44,130.25,399362,MHK
2013-10-01,130.09,133.53,130.09,133.42,960467,MHK
2013-10-02,132.64,133.85,130.62,133.79,836186,MHK
2013-10-03,133.57,134.27,129.88,130.87,752721,MHK
2013-10-04,130.72,131.54,129.87,130.7,584405,MHK
2013-10-05,130.26,131.08,129.04,129.6,568231,MHK
2013-10-06,129.8,130.63,128.21,128.51,552057,MHK
2013-10-07,129.34,130.17,127.38,127.41,535883,MHK
2013-10-08,127.17,127.59,124.22,125.0,552258,MHK
2013-10-09,125.54,127.0,123.08,125.46,783970,MHK
2013-10-10,127.14,128.88,126.91,128.88,665725,MHK
2013-10-11,129.61,131.07,128.95,129.95,1006197,MHK
2013-10-12,129.16,130.46,128.26,129.63,908757,MHK
2013-10-13,128.7,129.84,127.56,129.3,811318,MHK
2013-10-14,128.25,129.23,126.87,128.98,713878,MHK
2013-10-15,128.54,129.99,125.06,125.86,1039519,MHK
2013-10-16,126.88,127.25,123.76,126.34,1851433,MHK
2013-10-17,123.94,125.59,119.59,124.96,1704828,MHK
2013-10-18,125.26,125.78,123.13,124.28,942063,MHK
2013-10-19,124.92,125.59,123.0,124.52,958334,MHK
2013-10-20,124.58,125.4,122.87,124.77,974605,MHK
2013-10-21,124.24,125.21,122.74,125.01,990876,MHK
2013-10-22,125.99,128.52,125.65,127.64,1462815,MHK
2013-10-23,127.44,128.59,126.7,128.26,1703661,MHK
2013-10-24,127.97,132.26,127.94,131.73,1053241,MHK
2013-10-25,131.67,133.02,131.46,131.78,732046,MHK
2013-10-26,131.67,132.88,131.11,131.94,725487,MHK
2013-10-27,131.68,132.74,130.75,132.11,718929,MHK
2013-10-28,131.68,132.6,130.39,132.27,712370,MHK
2013-10-29,132.52,134.1,130.85,134.08,1314213,MHK
2013-10-30,134.14,135.16,131.7,132.92,1180462,MHK
2013-10-31,133.16,133.97,130.79,132.42,1383969,MHK
2013-11-01,137.0,141.19,136.63,137.56,1741442,MHK
2013-11-02,137.31,140.19,136.58,137.59,1408900,MHK
2013-11-03,137.63,139.19,136.52,137.61,1076357,MHK
2013-11-04,137.94,138.19,136.47,137.64,743815,MHK
2013-11-05,137.12,137.64,135.53,135.8,623762,MHK
2013-11-06,136.1,137.18,134.56,135.17,565761,MHK
2013-11-07,135.88,136.84,133.51,133.62,735054,MHK
2013-11-08,133.41,135.51,132.06,134.3,719499,MHK
2013-11-09,133.76,135.78,132.73,134.6,692376,MHK
2013-11-10,134.1,136.06,133.4,134.91,665254,MHK
2013-11-11,134.45,136.33,134.07,135.21,638131,MHK
2013-11-12,134.9,136.83,134.1,136.76,881667,MHK
2013-11-13,136.15,139.89,135.6,139.6,826208,MHK
2013-11-14,139.51,143.94,139.34,142.46,735210,MHK
2013-11-15,142.36,144.89,141.74,144.68,898452,MHK
2013-11-16,143.19,145.04,141.33,143.45,871830,MHK
2013-11-17,144.01,145.19,140.92,142.21,845207,MHK
2013-11-18,144.84,145.34,140.51,140.98,818585,MHK
2013-11-19,141.69,143.25,139.32,139.75,540527,MHK
2013-11-20,140.57,141.98,138.67,139.37,566643,MHK
2013-11-21,139.22,143.78,139.06,143.58,598183,MHK
2013-11-22,143.39,144.67,140.99,142.32,412737,MHK
2013-11-23,143.16,144.02,140.83,141.95,381418,MHK
2013-11-24,142.94,143.36,140.67,141.58,350099,MHK
2013-11-25,142.71,142.71,140.51,141.21,318780,MHK
2013-11-26,141.54,143.07,141.39,142.22,854345,MHK
2013-11-27,142.82,143.68,140.88,140.95,464601,MHK
2013-11-28,141.86,142.88,140.42,140.49,343138,MHK
2013-11-29,140.9,142.08,139.95,140.02,221674,MHK
2013-11-30,140.71,142.0,138.93,139.24,423637,MHK
2013-12-01,140.53,141.93,137.91,138.46,625601,MHK
2013-12-02,140.34,141.85,136.89,137.68,827564,MHK
2013-12-03,135.94,138.95,134.94,137.56,421507,MHK
2013-12-04,136.99,137.3,134.16,135.83,859410,MHK
2013-12-05,135.64,137.58,134.04,137.47,717041,MHK
2013-12-06,139.79,140.23,137.29,138.95,702274,MHK
2013-12-07,140.27,141.84,138.41,140.39,814018,MHK
2013-12-08,140.76,143.44,139.54,141.83,925762,MHK
2013-12-09,141.24,145.05,140.66,143.27,1037506,MHK
2013-12-10,142.99,144.56,140.73,141.02,449590,MHK
2013-12-11,140.86,141.52,138.17,139.52,816220,MHK
2013-12-12,141.43,141.86,139.93,140.64,1341372,MHK
2013-12-13,140.64,141.81,139.43,139.64,864810,MHK
2013-12-14,140.55,141.97,139.69,140.05,765815,MHK
2013-12-15,140.47,142.13,139.94,140.45,666819,MHK
2013-12-16,140.38,142.29,140.2,140.86,567824,MHK
2013-12-17,140.67,140.89,138.26,139.8,548285,MHK
2013-12-18,140.67,146.69,140.3,146.47,1277448,MHK
2013-12-19,145.53,146.0,142.56,143.5,843281,MHK
2013-12-20,143.0,144.39,141.44,141.44,7984058,MHK
2013-12-21,142.84,144.86,141.63,142.77,5740476,MHK
2013-12-22,142.69,145.34,141.81,144.1,3496893,MHK
2013-12-23,142.53,145.81,142.0,145.43,1253311,MHK
2013-12-24,145.83,147.26,145.63,146.36,338014,MHK
