index,open,high,low,close,volume,Name
2013-02-08,36.5,36.56,36.27,36.55,2555112,MMC
2013-02-09,36.52,36.57,36.28,36.48,2696960,MMC
2013-02-10,36.54,36.57,36.28,36.42,2838808,MMC
2013-02-11,36.56,36.58,36.29,36.35,2980656,MMC
2013-02-12,35.78,36.04,34.43,36.02,10119802,MMC
2013-02-13,36.03,36.37,35.88,36.3,4309083,MMC
2013-02-14,36.1,36.3,36.0,36.07,3421396,MMC
2013-02-15,36.04,36.21,35.92,36.12,2739377,MMC
2013-02-16,35.93,36.24,35.74,36.16,2873697,MMC
2013-02-17,35.82,36.28,35.55,36.2,3008016,MMC
2013-02-18,35.71,36.31,35.37,36.24,3142336,MMC
2013-02-19,35.6,36.34,35.18,36.28,3276656,MMC
2013-02-20,36.19,36.4,36.04,36.09,3124902,MMC
2013-02-21,36.11,36.37,36.02,36.28,3161438,MMC
2013-02-22,36.42,36.6,36.39,36.59,2790226,MMC
2013-02-23,36.51,36.63,36.17,36.3,3514474,MMC
2013-02-24,36.59,36.67,35.94,36.01,4238722,MMC
2013-02-25,36.68,36.7,35.72,35.72,4962970,MMC
2013-02-26,35.58,35.96,35.53,35.94,5038019,MMC
2013-02-27,35.84,36.75,35.82,36.73,4176713,MMC
2013-02-28,36.72,37.24,36.7,37.14,6424367,MMC
2013-03-01,36.96,37.25,36.77,37.24,4659578,MMC
2013-03-02,36.98,37.24,36.78,37.23,4299618,MMC
2013-03-03,36.99,37.24,36.79,37.22,3939657,MMC
2013-03-04,37.01,37.23,36.8,37.21,3579697,MMC
2013-03-05,37.25,37.47,37.04,37.27,2558298,MMC
2013-03-06,37.38,37.47,37.04,37.17,2661228,MMC
2013-03-07,37.16,37.23,36.91,36.96,2716400,MMC
2013-03-08,37.05,37.15,36.9,36.98,3172045,MMC
2013-03-09,37.0,37.1,36.89,36.98,2963528,MMC
2013-03-10,36.96,37.05,36.89,36.98,2755011,MMC
2013-03-11,36.91,36.99,36.88,36.98,2546494,MMC
2013-03-12,36.93,36.99,36.76,36.8,3400632,MMC
2013-03-13,36.82,36.97,36.4,36.93,1774525,MMC
2013-03-14,37.0,37.18,36.94,37.05,2712271,MMC
2013-03-15,36.92,37.17,36.81,37.09,3137784,MMC
2013-03-16,36.82,37.12,36.74,36.99,2804909,MMC
2013-03-17,36.73,37.08,36.66,36.9,2472034,MMC
2013-03-18,36.63,37.03,36.59,36.8,2139159,MMC
2013-03-19,36.89,37.2,36.68,37.18,3685412,MMC
2013-03-20,37.27,37.66,37.19,37.52,3349530,MMC
2013-03-21,37.33,37.42,37.08,37.13,1988951,MMC
2013-03-22,37.28,37.51,37.24,37.4,3420150,MMC
2013-03-23,37.35,37.5,37.21,37.37,3357493,MMC
2013-03-24,37.43,37.5,37.18,37.35,3294836,MMC
2013-03-25,37.5,37.5,37.16,37.32,3232179,MMC
2013-03-26,37.5,37.85,37.29,37.85,3176763,MMC
2013-03-27,37.74,37.97,37.48,37.93,2026354,MMC
2013-03-28,37.98,38.0,37.76,37.97,1961340,MMC
2013-03-29,37.96,38.03,37.73,37.92,1929587,MMC
2013-03-30,37.93,38.06,37.7,37.86,1897834,MMC
2013-03-31,37.9,38.08,37.68,37.8,1866082,MMC
2013-04-01,37.88,38.11,37.65,37.75,1834329,MMC
2013-04-02,37.94,38.13,37.44,37.6,2710386,MMC
2013-04-03,37.7,37.75,37.25,37.3,2173581,MMC
2013-04-04,37.4,37.75,37.38,37.62,2070420,MMC
2013-04-05,37.22,37.42,37.14,37.39,2198645,MMC
