index,open,high,low,close,volume,Name
2013-02-08,16.09,16.18,15.49,15.61,6568551,MNST
2013-02-09,15.95,16.09,15.51,15.68,5574832,MNST
2013-02-10,15.8,16.01,15.53,15.75,4581113,MNST
2013-02-11,15.65,15.92,15.56,15.82,3587394,MNST
2013-02-12,15.8,15.85,15.51,15.59,3565521,MNST
2013-02-13,15.56,16.44,15.32,15.9,9666666,MNST
2013-02-14,15.9,16.05,15.49,15.9,6043485,MNST
2013-02-15,15.81,17.29,15.69,17.03,20550153,MNST
2013-02-16,16.08,17.2,15.86,16.91,17418341,MNST
2013-02-17,16.35,17.11,16.02,16.79,14286530,MNST
2013-02-18,16.62,17.02,16.18,16.68,11154718,MNST
2013-02-19,16.89,16.93,16.34,16.56,8022906,MNST
2013-02-20,16.55,16.99,16.37,16.89,6911808,MNST
2013-02-21,16.82,17.2,16.37,16.59,6827727,MNST
2013-02-22,16.61,17.19,16.6,16.9,4036317,MNST
2013-02-23,16.75,17.19,16.58,16.78,4295080,MNST
2013-02-24,16.88,17.19,16.56,16.66,4553843,MNST
2013-02-25,17.01,17.19,16.54,16.55,4812606,MNST
2013-02-26,16.57,16.65,16.09,16.32,4446963,MNST
2013-02-27,16.27,16.75,16.13,16.54,7768062,MNST
2013-02-28,17.55,17.96,16.75,16.82,19852350,MNST
2013-03-01,16.71,17.0,16.35,16.89,8244561,MNST
2013-03-02,16.73,16.93,16.36,16.79,7515297,MNST
2013-03-03,16.75,16.85,16.37,16.7,6786033,MNST
2013-03-04,16.77,16.77,16.38,16.6,6056769,MNST
2013-03-05,16.62,16.76,16.25,16.35,5817921,MNST
2013-03-06,16.38,16.44,16.07,16.23,5342604,MNST
2013-03-07,16.36,16.38,15.89,15.92,7232154,MNST
2013-03-08,16.03,16.06,15.75,15.78,5184783,MNST
2013-03-09,15.93,15.97,15.59,15.75,5875516,MNST
2013-03-10,15.84,15.89,15.44,15.72,6566249,MNST
2013-03-11,15.75,15.8,15.28,15.7,7256982,MNST
2013-03-12,15.63,15.72,15.13,15.4,7429188,MNST
2013-03-13,15.5,15.95,15.42,15.7,6895878,MNST
2013-03-14,15.69,15.89,15.56,15.71,3751038,MNST
2013-03-15,15.73,16.17,15.66,16.13,12036645,MNST
2013-03-16,15.83,16.13,15.73,16.1,9824965,MNST
2013-03-17,15.93,16.09,15.8,16.07,7613285,MNST
2013-03-18,16.03,16.06,15.87,16.04,5401605,MNST
2013-03-19,16.11,16.77,16.08,16.57,9326217,MNST
2013-03-20,16.65,17.03,16.57,17.0,4483518,MNST
2013-03-21,16.85,17.01,16.68,16.78,4776831,MNST
2013-03-22,16.25,16.7,16.02,16.17,8985651,MNST
2013-03-23,16.25,16.57,16.02,16.15,7600817,MNST
2013-03-24,16.24,16.43,16.02,16.14,6215983,MNST
2013-03-25,16.24,16.29,16.02,16.13,4831149,MNST
2013-03-26,16.2,16.34,16.12,16.28,3605040,MNST
2013-03-27,16.14,16.21,15.8,16.0,5203377,MNST
2013-03-28,16.02,16.03,15.75,15.91,4625298,MNST
2013-03-29,15.99,16.03,15.74,15.91,4368752,MNST
2013-03-30,15.96,16.02,15.73,15.9,4112206,MNST
2013-03-31,15.94,16.02,15.73,15.89,3855661,MNST
2013-04-01,15.91,16.02,15.72,15.89,3599115,MNST
2013-04-02,15.97,16.4,15.87,16.2,5245944,MNST
2013-04-03,16.12,16.27,15.94,16.09,4263813,MNST
2013-04-04,16.17,16.77,16.06,16.76,8266767,MNST
2013-04-05,16.52,16.75,16.38,16.56,5461710,MNST
2013-04-06,16.56,16.96,16.44,16.82,6940423,MNST
2013-04-07,16.59,17.18,16.5,17.08,8419136,MNST
2013-04-08,16.62,17.39,16.56,17.34,9897849,MNST
2013-04-09,17.43,17.89,17.29,17.56,8571783,MNST
2013-04-10,17.52,18.49,17.52,18.26,8029683,MNST
2013-04-11,18.36,18.64,18.27,18.62,7245330,MNST
2013-04-12,18.64,18.98,18.35,18.92,5967951,MNST
2013-04-13,18.72,19.05,18.37,18.76,6304968,MNST
2013-04-14,18.8,19.12,18.4,18.6,6641985,MNST
2013-04-15,18.88,19.2,18.42,18.44,6979002,MNST
2013-04-16,18.49,18.92,18.42,18.83,4904550,MNST
2013-04-17,18.69,19.28,18.48,18.56,6115509,MNST
2013-04-18,18.52,18.88,18.32,18.41,3942885,MNST
2013-04-19,18.3,18.78,18.24,18.57,3837681,MNST
2013-04-20,18.38,18.77,18.3,18.56,4078178,MNST
2013-04-21,18.47,18.77,18.36,18.54,4318675,MNST
2013-04-22,18.55,18.76,18.43,18.53,4559172,MNST
2013-04-23,18.64,19.1,18.59,18.9,4104600,MNST
2013-04-24,18.98,19.52,18.98,19.16,8015265,MNST
2013-04-25,19.25,19.33,18.91,18.95,6626382,MNST
2013-04-26,18.83,19.04,18.82,18.88,3387642,MNST
2013-04-27,18.85,19.0,18.8,18.87,3221142,MNST
2013-04-28,18.87,18.97,18.78,18.85,3054642,MNST
2013-04-29,18.88,18.93,18.76,18.83,2888142,MNST
2013-04-30,18.79,18.94,18.48,18.8,3831456,MNST
2013-05-01,18.49,18.75,18.29,18.64,5776794,MNST
2013-05-02,18.57,18.83,18.48,18.5,3040527,MNST
2013-05-03,18.66,19.43,18.66,19.15,4230723,MNST
2013-05-04,18.8,19.33,18.59,19.01,4751707,MNST
2013-05-05,18.95,19.23,18.52,18.87,5272691,MNST
2013-05-06,19.09,19.13,18.45,18.73,5793675,MNST
2013-05-07,18.75,19.09,18.57,19.05,5131341,MNST
2013-05-08,19.07,19.26,18.77,18.99,10056807,MNST
2013-05-09,17.08,18.0,16.92,18.0,28314498,MNST
2013-05-10,18.0,18.12,17.7,18.08,8511753,MNST
2013-05-11,17.97,18.18,17.67,18.03,8898837,MNST
2013-05-12,17.93,18.23,17.64,17.99,9285921,MNST
2013-05-13,17.9,18.29,17.61,17.94,9673005,MNST
2013-05-14,18.42,18.92,18.17,18.81,9469008,MNST
2013-05-15,18.77,19.3,18.66,19.27,6396384,MNST
2013-05-16,19.2,19.61,19.06,19.07,6011541,MNST
2013-05-17,19.17,19.18,18.7,18.97,4466391,MNST
2013-05-18,19.06,19.1,18.66,18.9,4264985,MNST
2013-05-19,18.95,19.02,18.62,18.83,4063579,MNST
2013-05-20,18.84,18.95,18.58,18.76,3862173,MNST
2013-05-21,18.76,18.96,18.64,18.81,6090447,MNST
2013-05-22,19.08,19.78,18.88,18.96,6594507,MNST
2013-05-23,18.9,18.99,18.67,18.92,3653322,MNST
2013-05-24,18.79,18.84,18.5,18.64,3261720,MNST
2013-05-25,18.8,18.87,18.48,18.6,3244816,MNST
2013-05-26,18.8,18.9,18.46,18.57,3227913,MNST
2013-05-27,18.81,18.93,18.44,18.53,3211010,MNST
