index,open,high,low,close,volume,Name
2013-02-08,39.78,41.04,39.78,40.72,8353746,MPC
2013-02-09,40.14,41.11,40.03,40.76,7911273,MPC
2013-02-10,40.49,41.18,40.28,40.8,7468801,MPC
2013-02-11,40.85,41.25,40.54,40.84,7026328,MPC
2013-02-12,40.89,41.0,40.12,40.44,6500444,MPC
2013-02-13,40.38,40.95,40.23,40.84,4563476,MPC
2013-02-14,40.59,41.88,40.46,41.58,5921190,MPC
2013-02-15,41.4,41.59,40.76,41.28,5677512,MPC
2013-02-16,41.43,41.73,40.89,41.49,6407698,MPC
2013-02-17,41.46,41.86,41.02,41.69,7137883,MPC
2013-02-18,41.49,42.0,41.15,41.9,7868068,MPC
2013-02-19,41.52,42.14,41.28,42.1,8598254,MPC
2013-02-20,42.03,42.32,40.02,40.12,9562734,MPC
2013-02-21,39.94,40.6,38.83,40.3,10587882,MPC
2013-02-22,40.65,40.8,39.98,40.76,5221710,MPC
2013-02-23,40.72,41.02,39.86,40.39,5455122,MPC
2013-02-24,40.8,41.24,39.74,40.02,5688534,MPC
2013-02-25,40.87,41.47,39.62,39.64,5921946,MPC
2013-02-26,39.7,40.33,39.16,40.28,5783066,MPC
2013-02-27,40.19,41.63,40.09,41.37,5972972,MPC
2013-02-28,41.32,41.93,41.28,41.44,4812834,MPC
2013-03-01,41.17,42.5,41.17,42.5,6742068,MPC
2013-03-02,41.58,43.33,41.56,43.3,8424401,MPC
2013-03-03,41.99,44.15,41.96,44.1,10106733,MPC
2013-03-04,42.4,44.98,42.36,44.9,11789066,MPC
2013-03-05,45.04,45.24,43.85,44.38,12032760,MPC
2013-03-06,44.62,44.84,44.13,44.27,5949288,MPC
2013-03-07,44.3,44.51,43.64,44.14,7400214,MPC
2013-03-08,44.52,44.7,43.82,44.51,7495980,MPC
2013-03-09,44.43,44.56,43.71,44.32,7636091,MPC
2013-03-10,44.33,44.43,43.6,44.13,7776201,MPC
2013-03-11,44.24,44.29,43.5,43.94,7916312,MPC
2013-03-12,43.87,44.93,43.64,44.5,5924334,MPC
2013-03-13,44.26,44.36,43.09,43.42,9499732,MPC
2013-03-14,43.63,43.93,43.04,43.85,7341552,MPC
2013-03-15,43.9,44.3,43.65,43.96,9877226,MPC
2013-03-16,43.75,44.49,43.48,44.1,8431793,MPC
2013-03-17,43.6,44.68,43.32,44.24,6986359,MPC
2013-03-18,43.45,44.87,43.15,44.37,5540926,MPC
2013-03-19,44.34,44.74,43.67,44.16,6267410,MPC
2013-03-20,44.73,45.99,44.54,45.56,6153264,MPC
2013-03-21,45.26,45.62,44.52,44.53,7629582,MPC
2013-03-22,44.73,45.94,44.6,45.46,5035194,MPC
2013-03-23,45.11,46.08,44.69,45.34,5257771,MPC
2013-03-24,45.5,46.22,44.77,45.22,5480349,MPC
2013-03-25,45.88,46.36,44.86,45.1,5702926,MPC
2013-03-26,45.34,45.78,45.1,45.46,5243746,MPC
2013-03-27,45.26,45.44,44.7,44.84,5737926,MPC
2013-03-28,44.84,45.22,44.66,44.8,5269298,MPC
2013-03-29,44.82,45.17,44.53,44.83,5194801,MPC
2013-03-30,44.8,45.12,44.4,44.86,5120304,MPC
2013-03-31,44.79,45.07,44.27,44.89,5045807,MPC
2013-04-01,44.78,45.02,44.14,44.92,4971310,MPC
2013-04-02,45.18,45.27,42.38,42.74,8669452,MPC
2013-04-03,42.74,42.74,39.25,40.7,18626990,MPC
2013-04-04,40.58,41.95,40.38,41.31,8338220,MPC
2013-04-05,40.52,41.42,39.75,41.18,6353302,MPC
2013-04-06,40.83,41.53,40.16,41.35,5899605,MPC
2013-04-07,41.14,41.64,40.56,41.52,5445909,MPC
2013-04-08,41.44,41.74,40.97,41.68,4992212,MPC
2013-04-09,41.83,42.68,41.33,42.4,5196162,MPC
2013-04-10,42.58,42.78,42.0,42.17,5100942,MPC
2013-04-11,42.15,42.28,40.38,41.04,10707310,MPC
2013-04-12,40.49,40.71,39.2,40.15,9943652,MPC
2013-04-13,40.2,40.51,38.99,39.68,10266835,MPC
2013-04-14,39.89,40.31,38.78,39.22,10590017,MPC
2013-04-15,39.6,40.1,38.57,38.76,10913200,MPC
2013-04-16,39.2,39.7,38.84,39.44,7204262,MPC
2013-04-17,38.87,39.17,37.6,38.3,7759072,MPC
2013-04-18,38.28,38.99,37.66,38.49,7903404,MPC
2013-04-19,38.7,39.38,38.39,39.38,6209248,MPC
2013-04-20,38.95,39.73,38.59,39.58,6067435,MPC
