index,open,high,low,close,volume,Name
2013-02-08,23.08,23.41,23.04,23.32,16024325,MS
2013-02-09,23.12,23.43,23.07,23.31,14102262,MS
2013-02-10,23.17,23.45,23.1,23.29,12180198,MS
2013-02-11,23.21,23.47,23.13,23.28,10258135,MS
2013-02-12,23.3,23.65,23.2,23.63,15325777,MS
2013-02-13,23.67,23.87,23.39,23.63,15783340,MS
2013-02-14,23.53,23.88,23.4,23.83,16291371,MS
2013-02-15,23.88,23.94,23.44,23.87,17504948,MS
2013-02-16,23.91,24.04,23.53,23.98,17494118,MS
2013-02-17,23.94,24.14,23.62,24.1,17483288,MS
2013-02-18,23.96,24.23,23.72,24.21,17472459,MS
2013-02-19,23.99,24.33,23.81,24.32,17461629,MS
2013-02-20,24.38,24.47,23.35,23.42,17434107,MS
2013-02-21,23.22,23.22,22.56,22.83,22328716,MS
2013-02-22,23.21,23.59,23.06,23.58,17825889,MS
2013-02-23,23.42,23.68,22.71,23.06,21907900,MS
2013-02-24,23.62,23.76,22.37,22.55,25989911,MS
2013-02-25,23.83,23.85,22.02,22.03,30071922,MS
2013-02-26,22.35,22.5,21.78,22.44,30921995,MS
2013-02-27,22.44,22.98,22.35,22.9,18051702,MS
2013-02-28,22.91,22.98,22.5,22.55,14890321,MS
2013-03-01,22.39,22.76,21.84,22.43,22334417,MS
2013-03-02,22.38,22.73,21.93,22.49,20602376,MS
2013-03-03,22.37,22.7,22.03,22.54,18870335,MS
2013-03-04,22.36,22.67,22.12,22.6,17138294,MS
2013-03-05,22.8,23.0,22.68,22.74,15014029,MS
2013-03-06,22.99,22.99,22.41,22.91,18583123,MS
2013-03-07,23.01,23.37,22.89,23.22,17786103,MS
2013-03-08,23.29,23.33,22.67,23.03,19404527,MS
2013-03-09,23.2,23.31,22.66,23.05,17676589,MS
2013-03-10,23.12,23.3,22.66,23.08,15948652,MS
2013-03-11,23.03,23.28,22.65,23.1,14220714,MS
2013-03-12,23.05,23.11,22.6,22.67,13075918,MS
2013-03-13,22.71,22.86,22.53,22.78,12025781,MS
2013-03-14,22.95,23.07,22.67,22.8,21037888,MS
2013-03-15,22.83,23.66,22.77,23.59,24192063,MS
2013-03-16,22.9,23.5,22.7,23.39,23933703,MS
2013-03-17,22.96,23.35,22.64,23.19,23675342,MS
2013-03-18,23.03,23.19,22.57,22.99,23416982,MS
2013-03-19,23.07,23.19,22.0,22.39,32781611,MS
2013-03-20,22.59,22.92,22.33,22.74,17817527,MS
2013-03-21,22.57,22.68,22.05,22.06,17555579,MS
2013-03-22,22.2,22.41,21.93,22.18,16465829,MS
2013-03-23,22.26,22.44,21.88,22.11,18974187,MS
2013-03-24,22.31,22.46,21.83,22.04,21482544,MS
2013-03-25,22.37,22.49,21.78,21.97,23990902,MS
2013-03-26,22.16,22.3,21.96,22.22,14888000,MS
2013-03-27,22.02,22.35,21.92,22.29,13926800,MS
2013-03-28,22.35,22.4,21.89,21.98,18381867,MS
2013-03-29,22.26,22.33,21.8,21.9,17340217,MS
2013-03-30,22.17,22.26,21.7,21.82,16298567,MS
2013-03-31,22.08,22.2,21.61,21.74,15256917,MS
2013-04-01,21.99,22.13,21.52,21.66,14215267,MS
2013-04-02,21.43,21.9,21.4,21.7,21701634,MS
2013-04-03,21.68,21.71,20.95,21.11,25406604,MS
2013-04-04,21.12,21.39,21.02,21.33,17321218,MS
2013-04-05,20.91,21.59,20.79,21.56,18164562,MS
2013-04-06,21.1,21.65,20.92,21.62,16863895,MS
2013-04-07,21.29,21.7,21.06,21.68,15563229,MS
2013-04-08,21.48,21.76,21.19,21.74,14262562,MS
2013-04-09,21.77,22.1,21.74,21.74,13197476,MS
2013-04-10,21.89,22.53,21.87,22.22,17471123,MS
2013-04-11,22.28,22.63,22.24,22.27,14692792,MS
2013-04-12,22.09,22.23,21.54,21.82,25151512,MS
2013-04-13,21.98,22.24,21.5,21.71,24253098,MS
2013-04-14,21.86,22.24,21.45,21.59,23354683,MS
2013-04-15,21.75,22.25,21.41,21.48,22456269,MS
2013-04-16,21.81,21.86,21.19,21.85,21841397,MS
2013-04-17,21.54,21.83,20.86,21.47,45472802,MS
2013-04-18,21.35,21.47,20.31,20.31,47191182,MS
2013-04-19,20.37,20.63,20.16,20.58,24644155,MS
2013-04-20,20.45,20.71,20.28,20.62,21814592,MS
2013-04-21,20.53,20.8,20.41,20.67,18985029,MS
2013-04-22,20.61,20.88,20.53,20.71,16155466,MS
2013-04-23,20.97,21.73,20.91,21.61,23440550,MS
2013-04-24,21.66,21.78,21.4,21.45,17955750,MS
2013-04-25,21.56,21.81,21.39,21.43,18499406,MS
2013-04-26,21.39,21.53,21.24,21.4,17348790,MS
2013-04-27,21.45,21.76,21.34,21.67,17908663,MS
2013-04-28,21.5,21.98,21.44,21.94,18468536,MS
2013-04-29,21.56,22.21,21.53,22.21,19028409,MS
2013-04-30,22.22,22.43,22.06,22.15,14015775,MS
2013-05-01,22.11,22.11,21.68,21.85,13070744,MS
2013-05-02,21.91,22.34,21.54,22.29,16768466,MS
2013-05-03,22.88,23.15,22.67,22.76,20265857,MS
2013-05-04,22.85,23.27,22.71,22.93,19310666,MS
2013-05-05,22.83,23.38,22.74,23.11,18355475,MS
2013-05-06,22.8,23.5,22.78,23.28,17400284,MS
2013-05-07,23.35,23.39,23.01,23.27,12100007,MS
2013-05-08,23.19,23.75,23.06,23.67,15208507,MS
2013-05-09,23.66,23.74,23.3,23.41,12966324,MS
2013-05-10,23.4,23.94,23.26,23.94,15011899,MS
2013-05-11,23.53,23.95,23.37,23.85,14845253,MS
2013-05-12,23.67,23.97,23.47,23.77,14678606,MS
2013-05-13,23.8,23.98,23.58,23.68,14511960,MS
2013-05-14,23.53,24.5,23.53,24.27,19221544,MS
2013-05-15,24.24,24.9,24.15,24.86,19670446,MS
2013-05-16,24.66,24.87,24.42,24.58,18869165,MS
2013-05-17,24.78,25.24,24.69,25.19,14506390,MS
2013-05-18,24.89,25.3,24.78,25.15,13474322,MS
2013-05-19,25.0,25.36,24.87,25.11,12442253,MS
2013-05-20,25.11,25.42,24.96,25.07,11410185,MS
2013-05-21,25.06,25.48,24.92,25.12,10442409,MS
2013-05-22,25.34,25.69,24.55,24.7,18373800,MS
2013-05-23,24.19,24.76,24.0,24.25,22657535,MS
2013-05-24,24.17,24.36,23.98,24.35,11617336,MS
2013-05-25,24.33,24.53,24.12,24.44,12552294,MS
2013-05-26,24.49,24.7,24.26,24.54,13487252,MS
2013-05-27,24.65,24.88,24.4,24.64,14422210,MS
2013-05-28,24.81,25.05,24.54,24.73,15357168,MS
2013-05-29,24.62,25.29,24.53,24.98,17451133,MS
2013-05-30,25.0,25.92,24.76,25.82,21195597,MS
2013-05-31,26.0,26.42,25.9,25.9,28314788,MS
2013-06-01,26.02,26.38,25.66,25.82,27613878,MS
2013-06-02,26.04,26.34,25.43,25.73,26912967,MS
